MetaTest/door-close-v1/TerminationRate,Average/AverageDiscountedReturn,door-close-v1/SuccessRate,MetaTest/Average/StdReturn,door-close-v1/Iteration,Average/TerminationRate,Average/StdReturn,MetaTest/door-close-v1/NumEpisodes,MetaTest/door-close-v1/MinReturn,MetaTest/door-close-v1/StdReturn,MetaTest/Average/MaxReturn,MetaTest/door-close-v1/AverageReturn,door-close-v1/AverageDiscountedReturn,door-close-v1/AverageReturn,door-close-v1/MinReturn,policy/LossBefore,Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/door-close-v1/MaxReturn,Average/MinReturn,policy/KLBefore,policy/Entropy,Average/AverageReturn,door-close-v1/NumEpisodes,door-close-v1/TerminationRate,MetaTest/door-close-v1/Iteration,policy/dLoss,MetaTest/Average/NumEpisodes,Average/MaxReturn,Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/TerminationRate,MetaTest/door-close-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/SuccessRate,policy/KL,Average/Iteration,MetaTest/Average/MinReturn,door-close-v1/MaxReturn,policy/LossAfter,door-close-v1/StdReturn
0.0,-30.755326131115343,0.0,7.040085091687449,0,0.0,10.086298367630528,10,-88.02078282369918,7.040085091687449,-63.780743809044786,-81.03528226478065,-30.755326131115343,-78.81527750064117,-106.84533062601658,-0.017853135,100,-81.03528226478065,-81.03528226478065,-63.780743809044786,-106.84533062601658,0.0,5.686503,-78.81527750064117,100,0.0,0,0.026278151,10,-54.70991197813577,0.0,-81.03528226478065,0,0.5584562053842415,0.0,0.0,20000,0.0,0.006738505,0,-88.02078282369918,-54.70991197813577,-0.044131286,10.086298367630528
,-27.337576385604535,0.0,,1,0.0,9.297866440568674,,,,,,-27.337576385604535,-67.6305190886116,-89.06777244648922,-0.01835475,100,,,,-89.06777244648922,0.0,5.68039,-67.6305190886116,100,0.0,,0.018229527,,-43.54757283216775,0.0,,,0.6347441569226997,,,40000,,0.022244113,1,,-43.54757283216775,-0.036584277,9.297866440568674
,-20.173911895855248,0.07,,2,0.0,39.23284768305753,,,,,,-20.173911895855248,-42.98073129689762,-74.07315708717871,0.015635487,100,,,,-74.07315708717871,0.0,5.6840353,-42.98073129689762,100,0.0,,0.036156826,,338.26760550917146,0.07,,,0.09298377934518798,,,60000,,0.017841678,2,,338.26760550917146,-0.020521337,39.23284768305753
,-18.590428349126846,0.26,,3,0.0,33.236732627669,,,,,,-18.590428349126846,-44.11941290261744,-81.68593781869869,0.05260325,100,,,,-81.68593781869869,0.0,5.676722,-44.11941290261744,100,0.0,,0.020271558,,212.54460060636407,0.26,,,0.07408303244833714,,,80000,,0.011477814,3,,212.54460060636407,0.03233169,33.236732627669
,-19.308545423095012,0.05,,4,0.0,30.348456638226182,,,,,,-19.308545423095012,-41.700082380881696,-79.53336315101109,0.0068404665,100,,,,-79.53336315101109,0.0,5.664718,-41.700082380881696,100,0.0,,0.02060501,,249.970521924887,0.05,,,0.06672372616284516,,,100000,,0.008701637,4,,249.970521924887,-0.013764544,30.348456638226182
,-18.88619674676198,0.29,,5,0.0,10.449433022783106,,,,,,-18.88619674676198,-44.083301373792736,-77.6266268591715,-0.0024649934,100,,,,-77.6266268591715,0.0,5.6505427,-44.083301373792736,100,0.0,,-0.0023036073,,-23.448321383334942,0.29,,,0.4596953922940883,,,120000,,0.006661281,5,,-23.448321383334942,-0.00016138611,10.449433022783106
,-17.901212536472023,0.19,,6,0.0,54.321692533576154,,,,,,-17.901212536472023,-38.59742833459032,-76.51785253691875,0.014014411,100,,,,-76.51785253691875,0.0,5.6540885,-38.59742833459032,100,0.0,,0.059795514,,448.5891818959605,0.19,,,0.13003839043480248,,,140000,,0.009710814,6,,448.5891818959605,-0.045781102,54.321692533576154
,-17.421632168875227,0.24,,7,0.0,41.95160676282078,,,,,,-17.421632168875227,-36.57791574081828,-76.91015419625101,0.024852064,100,,,,-76.91015419625101,0.0,5.6472955,-36.57791574081828,100,0.0,,0.03328822,,274.7990839228395,0.24,,,0.1261719570964075,,,160000,,0.009684561,7,,274.7990839228395,-0.008436157,41.95160676282078
,-15.34420959999879,0.21,,8,0.0,79.37029521988732,,,,,,-15.34420959999879,-34.21174389401303,-88.44582560527117,0.028021924,100,,,,-88.44582560527117,0.0,5.620188,-34.21174389401303,100,0.0,,0.064075485,,681.1996169171422,0.21,,,0.05013652933254953,,,180000,,0.0068152784,8,,681.1996169171422,-0.036053564,79.37029521988732
,-15.020739584752098,0.28,,9,0.0,111.41170709980817,,,,,,-15.020739584752098,-29.340387634240546,-77.96839412131779,0.030585205,100,,,,-77.96839412131779,0.0,5.5949197,-29.340387634240546,100,0.0,,0.10473164,,1030.958676808847,0.28,,,0.11183434088739297,,,200000,,0.009677022,9,,1030.958676808847,-0.074146435,111.41170709980817
