MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/stick-pull-v1/MaxReturn,MetaTest/stick-pull-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTest/stick-pull-v1/NumTrajs,MetaTest/stick-pull-v1/TerminationRate,MetaTest/stick-pull-v1/AverageDiscountedReturn,MetaTest/stick-pull-v1/MinReturn,MetaTest/stick-pull-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/stick-pull-v1/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/stick-pull-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn
3.200736114598982,0,-20.07307840729599,0.0,224000,0.0,10,0.0,-24.87498653487181,-29.31319106328016,-24.874986534871816,10,3.200736114598982,-24.87498653487181,0,-29.31319106328016,-24.874986534871816,0.0,-20.07307840729599
2.515172469046533,1,-12.884154118534868,0.0,248000,0.0,10,0.0,-16.231865239555287,-21.205033115647637,-16.231865239555283,10,2.515172469046533,-16.231865239555287,1,-21.205033115647637,-16.231865239555283,0.0,-12.884154118534868
2.5718228889506642,2,-10.364962560224386,0.0,272000,0.0,10,0.0,-13.832925228623205,-19.21452836154805,-13.832925228623205,10,2.5718228889506642,-13.832925228623205,2,-19.21452836154805,-13.832925228623205,0.0,-10.364962560224386
1.68273837643685,3,-9.309256043318365,0.0,296000,0.0,10,0.0,-11.609302418827719,-14.893867067751923,-11.609302418827719,10,1.68273837643685,-11.609302418827719,3,-14.893867067751923,-11.609302418827719,0.0,-9.309256043318365
3.8679163433084898,4,-7.165463690429126,0.0,320000,0.0,10,0.0,-10.655551089351851,-18.542750235218104,-10.655551089351851,10,3.8679163433084898,-10.655551089351851,4,-18.542750235218104,-10.655551089351851,0.0,-7.165463690429126
3.3235402783679056,5,-6.4224185041279345,0.0,344000,0.0,10,0.0,-10.786752837218618,-17.403883744285295,-10.78675283721862,10,3.3235402783679056,-10.786752837218618,5,-17.403883744285295,-10.78675283721862,0.0,-6.4224185041279345
2.963443170982685,6,-5.7219570808426825,0.0,368000,0.0,10,0.0,-8.733596287362717,-15.197181162573989,-8.733596287362719,10,2.963443170982685,-8.733596287362717,6,-15.197181162573989,-8.733596287362719,0.0,-5.7219570808426825
2.06981454001892,7,-6.356743008518078,0.0,392000,0.0,10,0.0,-9.880232199654833,-13.545480748618251,-9.88023219965483,10,2.06981454001892,-9.880232199654833,7,-13.545480748618251,-9.88023219965483,0.0,-6.356743008518078
0.7989005615021018,8,-11.28883122794885,0.0,416000,0.0,10,0.0,-12.515339972365641,-13.64009526195998,-12.515339972365641,10,0.7989005615021018,-12.515339972365641,8,-13.64009526195998,-12.515339972365641,0.0,-11.28883122794885
0.6339914201739386,9,-12.414984217507861,0.0,440000,0.0,10,0.0,-13.19883448690663,-14.467803419784692,-13.198834486906625,10,0.6339914201739386,-13.19883448690663,9,-14.467803419784692,-13.198834486906625,0.0,-12.414984217507861
1.083031050126867,10,-12.022580680523792,0.0,464000,0.0,10,0.0,-14.015141807026833,-15.790535286494029,-14.015141807026831,10,1.083031050126867,-14.015141807026833,10,-15.790535286494029,-14.015141807026831,0.0,-12.022580680523792
2.090148888628692,11,-10.523148516621818,0.0,488000,0.0,10,0.0,-14.432858510222715,-16.901806241484582,-14.432858510222719,10,2.090148888628692,-14.432858510222715,11,-16.901806241484582,-14.432858510222719,0.0,-10.523148516621818
2.3522310997679177,12,-9.010576222666412,0.0,512000,0.0,10,0.0,-12.208878200592494,-16.74589748845176,-12.208878200592494,10,2.3522310997679177,-12.208878200592494,12,-16.74589748845176,-12.208878200592494,0.0,-9.010576222666412
2.127122633316206,13,-8.037073544942908,0.0,536000,0.0,10,0.0,-11.8234540971599,-15.2460405326695,-11.8234540971599,10,2.127122633316206,-11.8234540971599,13,-15.2460405326695,-11.8234540971599,0.0,-8.037073544942908
6.9413700138651775,14,-7.312849649797733,0.0,560000,0.0,10,0.0,-15.56776380055326,-29.821015910948088,-15.567763800553257,10,6.9413700138651775,-15.56776380055326,14,-29.821015910948088,-15.567763800553257,0.0,-7.312849649797733
44.541399669508095,15,-7.987580756363724,0.0,584000,0.0,10,0.0,-49.64414400762168,-111.9237590622546,-49.64414400762165,10,44.541399669508095,-49.64414400762168,15,-111.9237590622546,-49.64414400762165,0.0,-7.987580756363724
905.8293756431024,16,2952.403460027821,0.0,608000,0.0,10,0.0,235.4256919299484,-92.92002585268224,235.42569192994847,10,905.8293756431024,235.4256919299484,16,-92.92002585268224,235.42569192994847,0.0,2952.403460027821
1147.3602968700138,17,3799.0678223079935,0.0,632000,0.0,10,0.0,357.11533925249313,-42.677853059320974,357.11533925249313,10,1147.3602968700138,357.11533925249313,17,-42.677853059320974,357.11533925249313,0.0,3799.0678223079935
1563.1027500621383,18,3936.1245105306957,0.0,656000,0.0,10,0.0,762.1922324017153,-53.116104610417985,762.1922324017148,10,1563.1027500621383,762.1922324017153,18,-53.116104610417985,762.1922324017148,0.0,3936.1245105306957
28.06163115341861,19,-37.50592927991783,0.0,680000,0.0,10,0.0,-63.241002604813715,-113.20171844980437,-63.241002604813715,10,28.06163115341861,-63.241002604813715,19,-113.20171844980437,-63.241002604813715,0.0,-37.50592927991783
4.032987620301264,20,-19.951749883171008,0.0,704000,0.0,10,0.0,-25.552601829182123,-31.9541111177701,-25.552601829182112,10,4.032987620301264,-25.552601829182123,20,-31.9541111177701,-25.552601829182112,0.0,-19.951749883171008
