MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/door-close-v1/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/TerminationRate,MetaTest/door-close-v1/AverageReturn,MetaTest/Average/Iteration,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/door-close-v1/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/door-close-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/SuccessRate
11.3439865,-36.53215240518837,0.8692504,7.380856377478598,5.851908,-36.53215240518837,10,0,0.0,-48.225171820335504,0,-48.225171820335504,-58.48323186494981,0.0,10,0.49967653,-58.48323186494981,-48.225171820335504,1.3323025,0.0,-48.225171820335504,112000,7.380856377478598,0.0
7.659864,-31.550980839237784,0.66236997,6.3168226159090315,4.4534187,-31.550980839237784,10,1,0.0,-41.79176901681531,1,-41.79176901681531,-54.22133636985253,0.0,10,1.3832891,-54.22133636985253,-41.79176901681531,12.723053,0.2,-41.79176901681531,124000,6.3168226159090315,0.2
7.6372156,-33.597716861328365,0.5105816,4.29407775199202,3.4196227,-33.597716861328365,10,2,0.0,-41.46632307736723,2,-41.466323077367235,-48.66812723680648,0.0,10,3.0904262,-48.66812723680648,-41.466323077367235,27.19484,0.1,-41.46632307736723,136000,4.29407775199202,0.1
8.416643,284.2765178361038,0.39514133,98.89041512721674,2.593977,284.2765178361038,10,3,0.0,-11.606388653323554,3,-11.606388653323542,-57.714353273113815,0.0,10,155.81317,-57.714353273113815,-11.606388653323542,39.91271,0.5,-11.606388653323554,148000,98.89041512721674,0.5
22.700027,-64.79134647830878,0.30916065,4.911290014541361,1.7422242,-64.79134647830878,10,4,0.0,-71.13517705401536,4,-71.13517705401537,-79.14958197426348,0.0,10,453.07758,-79.14958197426348,-71.13517705401537,50.017845,1.0,-71.13517705401536,160000,4.911290014541361,1.0
8.178915,-35.88679052414484,0.24535626,5.1513467893310425,1.1432924,-35.88679052414484,10,5,0.0,-40.24265707043152,5,-40.242657070431505,-54.30691753517067,0.0,10,475.64783,-54.30691753517067,-40.242657070431505,58.841656,0.9,-40.24265707043152,172000,5.1513467893310425,0.9
11.515367,-43.11298128512164,0.19851142,5.16721291544328,0.6102174,-43.11298128512164,10,6,0.0,-51.24824202860818,6,-51.248242028608175,-56.2889476339197,0.0,10,714.9332,-56.2889476339197,-51.248242028608175,52.17955,0.0,-51.24824202860818,184000,5.16721291544328,0.0
17.848421,-43.835128192341536,0.16608861,13.280838986290322,0.25568992,-43.835128192341536,10,7,0.0,-65.44530728820138,7,-65.44530728820136,-89.16881063504151,0.0,10,1149.8048,-89.16881063504151,-65.44530728820136,37.861656,0.9,-65.44530728820138,196000,13.280838986290322,0.9
21.10239,-45.40105843626909,0.17388682,6.392849271447637,-0.39748868,-45.40105843626909,10,8,0.0,-56.46140521907468,8,-56.46140521907468,-68.04882577458622,0.0,10,10888.283,-68.04882577458622,-56.46140521907468,-179.20241,0.0,-56.46140521907468,208000,6.392849271447637,0.0
112.11402,240.9930944144161,0.24737756,111.4899562483244,-0.8142089,240.9930944144161,10,9,0.0,-3.929421061911247,9,-3.9294210619112384,-68.14052427267511,0.0,10,8936.092,-68.14052427267511,-3.9294210619112384,-379.96625,0.3,-3.929421061911247,220000,111.4899562483244,0.3
