MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTest/faucet-open-v1/AverageDiscountedReturn,MetaTest/faucet-open-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/faucet-open-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/faucet-open-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/NumTrajs,MetaTest/faucet-open-v1/MinReturn,MetaTest/faucet-open-v1/AverageReturn,MetaTest/faucet-open-v1/StdReturn,MetaTest/faucet-open-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/faucet-open-v1/Iteration
1455.2682099299498,-317.85986,1455.2682099299498,6376.439599697549,224000,0,-51.34196202776758,2.6273625,0.0,0.0,41831.375,0.0,nan,0.0,1455.26820992995,2140.508600694146,10,-51.34196202776758,1455.26820992995,2140.508600694146,10,6376.439599697549,8.915805,0
1245.8929922433551,-2420.6194,1245.8929922433551,4303.857523932276,248000,1,-30.1725981609944,-5.4786725,0.0,0.0,106909.75,0.0,nan,0.0,1245.892992243355,1465.8359555299523,10,-30.1725981609944,1245.892992243355,1465.8359555299523,10,4303.857523932276,11.301129,1
897.2310763650445,-7032.259,897.2310763650445,1690.380204372585,272000,2,297.225022520556,-8.856415,0.0,0.0,323680.84,0.0,nan,0.0,897.2310763650445,364.3945786344847,10,297.225022520556,897.2310763650445,364.3945786344847,10,1690.380204372585,48.477478,2
217.63850080351813,-11448.194,217.63850080351813,823.1350911020864,296000,3,-75.51847205109019,-10.350431,0.0,0.0,571542.56,0.0,nan,0.0,217.63850080351804,358.5513446192734,10,-75.51847205109019,217.63850080351804,358.5513446192734,10,823.1350911020864,275.8382,3
7508.3065662520185,-16804.72,7508.3065662520185,32426.398911272674,320000,4,-96.43180197678392,-11.867336,0.1,0.0,890635.1,0.0,nan,0.1,7508.306566252019,10778.294645603664,10,-96.43180197678392,7508.306566252019,10778.294645603664,10,32426.398911272674,225.0523,4
10689.958954200862,-21526.848,10689.958954200862,28087.073113033395,344000,5,-99.23541212442763,-13.765394,0.0,0.0,1130728.2,0.0,nan,0.0,10689.958954200862,13105.397410749061,10,-99.23541212442763,10689.958954200862,13105.397410749061,10,28087.073113033395,170.06387,5
3916.3625399998223,-21636.523,3916.3625399998223,23697.729854316305,368000,6,-68.97539002631214,-13.853151,0.0,0.0,929143.2,0.0,nan,0.0,3916.362539999821,7448.4719811145005,10,-68.97539002631214,3916.362539999821,7448.4719811145005,10,23697.729854316305,154.17938,6
9397.26568752756,-26203.176,9397.26568752756,23482.73798749783,392000,7,-100.39904368423862,-13.99332,0.0,0.0,1356061.8,0.0,nan,0.0,9397.26568752756,10194.711078363045,10,-100.39904368423862,9397.26568752756,10194.711078363045,10,23482.73798749783,210.26724,7
22627.67123470332,-30773.596,22627.67123470332,27996.48848113309,416000,8,16298.911476872821,-14.698151,0.0,0.0,2027859.5,0.0,nan,0.0,22627.671234703324,2828.227618687278,10,16298.911476872821,22627.671234703324,2828.227618687278,10,27996.48848113309,410.7012,8
11756.19126335599,-36463.984,11756.19126335599,17830.334066389234,440000,9,3610.9636443314994,-15.0202875,0.0,0.0,3181623.2,0.0,nan,0.0,11756.19126335599,4178.923547712052,10,3610.9636443314994,11756.19126335599,4178.923547712052,10,17830.334066389234,551.13513,9
