MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/AverageReturn,TotalEnvSteps,MetaTest/coffee-pull-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/coffee-pull-v1/NumTrajs,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/Average/StdReturn,MetaTest/coffee-pull-v1/TerminationRate
-21.224455569549924,-23.68671224515193,224000,1.1983749999348652,0,0.0,-23.686712245151934,-25.55162835438121,0.0,0,0.0,-23.68671224515193,-25.55162835438121,-23.686712245151934,10,10,-21.224455569549924,1.1983749999348652,0.0
-50.25605663490944,-65.24380666827392,248000,5.928589399123096,1,0.0,-65.2438066682739,-71.93827145605975,0.0,1,0.0,-65.24380666827392,-71.93827145605975,-65.2438066682739,10,10,-50.25605663490944,5.928589399123096,0.0
766.9320742211092,54.264879666371314,272000,238.90429035104128,2,0.0,54.2648796663713,-41.51236651091737,0.0,2,0.0,54.264879666371314,-41.51236651091737,54.2648796663713,10,10,766.9320742211092,238.90429035104128,0.0
308.4869918789332,-6.6250103745752345,296000,105.05039769282205,3,0.0,-6.625010374575247,-44.04367982701918,0.0,3,0.0,-6.6250103745752345,-44.04367982701918,-6.625010374575247,10,10,308.4869918789332,105.05039769282205,0.0
1665.1273302405677,389.1579677664513,320000,612.6704274416569,4,0.0,389.1579677664514,-38.924914087608826,0.0,4,0.0,389.1579677664513,-38.924914087608826,389.1579677664514,10,10,1665.1273302405677,612.6704274416569,0.0
8764.22982846748,1071.1280578156386,344000,2580.79061507839,5,0.0,1071.1280578156386,-45.95182272602078,0.0,5,0.0,1071.1280578156386,-45.95182272602078,1071.1280578156386,10,10,8764.22982846748,2580.79061507839,0.0
374.2815221396387,35.957262452520126,368000,119.97287123021195,6,0.0,35.95726245252015,-41.95513222652799,0.0,6,0.0,35.957262452520126,-41.95513222652799,35.95726245252015,10,10,374.2815221396387,119.97287123021195,0.0
448.81118765191496,120.73133428282509,392000,184.88717523304092,7,0.0,120.73133428282509,-39.0045123716375,0.0,7,0.0,120.73133428282509,-39.0045123716375,120.73133428282509,10,10,448.81118765191496,184.88717523304092,0.0
1348.045619066252,338.9571598347256,416000,379.45287775980023,8,0.0,338.9571598347255,-39.775514088472235,0.0,8,0.0,338.9571598347256,-39.775514088472235,338.9571598347255,10,10,1348.045619066252,379.45287775980023,0.0
398.2648188240367,170.7524120578481,440000,124.49501280735859,9,0.0,170.75241205784812,-20.414743427950974,0.0,9,0.0,170.7524120578481,-20.414743427950974,170.75241205784812,10,10,398.2648188240367,124.49501280735859,0.0
971.4833128547135,260.90182700068254,464000,342.2145154209641,10,0.0,260.9018270006826,-66.1327691424976,0.0,10,0.0,260.90182700068254,-66.1327691424976,260.9018270006826,10,10,971.4833128547135,342.2145154209641,0.0
619.8611205928912,123.7345023015732,488000,245.66164939858152,11,0.0,123.73450230157307,-40.237321887412676,0.0,11,0.0,123.7345023015732,-40.237321887412676,123.73450230157307,10,10,619.8611205928912,245.66164939858152,0.0
850.087508765525,226.26119532199868,512000,307.9949352540814,12,0.0,226.26119532199863,-38.80049015134966,0.0,12,0.0,226.26119532199868,-38.80049015134966,226.26119532199863,10,10,850.087508765525,307.9949352540814,0.0
710.3649698183567,154.52637443574474,536000,282.74464279882676,13,0.0,154.52637443574469,-45.99854592914325,0.0,13,0.0,154.52637443574474,-45.99854592914325,154.52637443574469,10,10,710.3649698183567,282.74464279882676,0.0
566.0627056273914,99.11090390400874,560000,200.12292216549113,14,0.0,99.11090390400874,-43.08145180052236,0.0,14,0.0,99.11090390400874,-43.08145180052236,99.11090390400874,10,10,566.0627056273914,200.12292216549113,0.0
193.06998182936346,39.51848273834172,584000,95.29906966555241,15,0.0,39.518482738341696,-61.62703160189345,0.0,15,0.0,39.51848273834172,-61.62703160189345,39.518482738341696,10,10,193.06998182936346,95.29906966555241,0.0
839.384468821288,233.08465522239186,608000,309.06462124189926,16,0.0,233.08465522239175,-43.48942449196998,0.0,16,0.0,233.08465522239186,-43.48942449196998,233.08465522239175,10,10,839.384468821288,309.06462124189926,0.0
130.5889206259277,-10.636832816605551,632000,54.00580643286996,17,0.0,-10.636832816605565,-52.18856839913236,0.0,17,0.0,-10.636832816605551,-52.18856839913236,-10.636832816605565,10,10,130.5889206259277,54.00580643286996,0.0
-28.507765910388624,-36.47463460598928,656000,9.361629072800358,18,0.0,-36.47463460598927,-62.821886037070975,0.0,18,0.0,-36.47463460598928,-62.821886037070975,-36.47463460598927,10,10,-28.507765910388624,9.361629072800358,0.0
9158.922182166007,962.3498739375742,680000,2736.5646390370634,19,0.0,962.349873937574,-80.28446063909168,0.0,19,0.0,962.3498739375742,-80.28446063909168,962.349873937574,10,10,9158.922182166007,2736.5646390370634,0.0
122.26069835562501,-39.94585558426648,704000,57.587994398022786,20,0.0,-39.94585558426649,-81.79890143669894,0.0,20,0.0,-39.94585558426648,-81.79890143669894,-39.94585558426649,10,10,122.26069835562501,57.587994398022786,0.0
1792.4076485145872,176.34745579718154,728000,541.9831976276384,21,0.0,176.3474557971816,-59.13955572295412,0.0,21,0.0,176.34745579718154,-59.13955572295412,176.3474557971816,10,10,1792.4076485145872,541.9831976276384,0.0
