MetaTest/Average/TerminationRate,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/plate-slide-back-v1/Iteration,MetaTest/plate-slide-back-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/plate-slide-back-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/Iteration,MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/MaxReturn,MetaTest/plate-slide-back-v1/AverageReturn,MetaTest/plate-slide-back-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn
0.0,10,0,-31.283125264552346,-29.137524133202543,-31.283125264552346,-30.111914336581588,0.0,0.0,224000,0,-30.111914336581588,-30.111914336581588,-29.137524133202543,-30.111914336581588,0.6802772729270257,10,0.0,0.6802772729270257
0.0,10,1,-69.50033742005442,-27.425554352397086,-69.50033742005442,-47.4589686125435,0.0,0.0,248000,1,-47.458968612543494,-47.458968612543494,-27.425554352397086,-47.4589686125435,19.161998713277374,10,0.0,19.161998713277374
0.0,10,2,-78.45957344935846,500.1176070953553,-78.45957344935846,21.80461139553806,0.0,0.0,272000,2,21.804611395538082,21.804611395538082,500.1176070953553,21.80461139553806,160.2928633052452,10,0.0,160.2928633052452
0.0,10,3,-77.00781939569904,-25.918852970173713,-77.00781939569904,-62.27870821064539,0.0,0.0,296000,3,-62.27870821064537,-62.27870821064537,-25.918852970173713,-62.27870821064539,15.154877657556419,10,0.0,15.154877657556419
0.0,10,4,-49.747574265531455,-14.997236684360587,-49.747574265531455,-28.60243315610589,0.0,0.0,320000,4,-28.60243315610589,-28.60243315610589,-14.997236684360587,-28.60243315610589,11.979958828323152,10,0.0,11.979958828323152
0.0,10,5,-22.313022757348698,1852.870004794891,-22.313022757348698,308.68910750418723,0.0,0.0,344000,5,308.6891075041873,308.6891075041873,1852.870004794891,308.68910750418723,660.8759864068671,10,0.0,660.8759864068671
0.0,10,6,-48.87370408334609,-15.363579899474198,-48.87370408334609,-29.545841888865937,0.0,0.0,368000,6,-29.545841888865944,-29.545841888865944,-15.363579899474198,-29.545841888865937,14.138800161070982,10,0.0,14.138800161070982
0.0,10,7,-39.83255599571176,11801.367725108608,-39.83255599571176,2062.895358619001,0.0,0.0,392000,7,2062.895358619001,2062.895358619001,11801.367725108608,2062.895358619001,3535.6987530695237,10,0.0,3535.6987530695237
0.0,10,8,-76.79841381896989,3040.7332525405473,-76.79841381896989,342.559079327345,0.0,0.0,416000,8,342.55907932734505,342.55907932734505,3040.7332525405473,342.559079327345,907.0953956478194,10,0.0,907.0953956478194
0.0,10,9,-19.915903592894036,46.87869683933424,-19.915903592894036,-11.773021198785742,0.0,0.0,440000,9,-11.773021198785743,-11.773021198785743,46.87869683933424,-11.773021198785742,19.5947290508677,10,0.0,19.5947290508677
0.0,10,10,-20.274609292065094,1603.4452945281632,-20.274609292065094,146.6361832851446,0.0,0.0,464000,10,146.63618328514468,146.63618328514468,1603.4452945281632,146.6361832851446,485.6094114228367,10,0.0,485.6094114228367
0.0,10,11,-39.494139280723076,388.9023622406613,-39.494139280723076,14.401310518821665,0.0,0.0,488000,11,14.401310518821651,14.401310518821651,388.9023622406613,14.401310518821665,124.95361326958023,10,0.0,124.95361326958023
0.0,10,12,-32.249007933947645,4573.702244158331,-32.249007933947645,1253.5742140212128,0.0,0.0,512000,12,1253.5742140212128,1253.5742140212128,4573.702244158331,1253.5742140212128,1839.1382165451346,10,0.0,1839.1382165451346
0.0,10,13,-90.78031126378279,1048.8463600164632,-90.78031126378279,171.75983034710137,0.0,0.0,536000,13,171.7598303471014,171.7598303471014,1048.8463600164632,171.75983034710137,422.32672586941106,10,0.0,422.32672586941106
0.0,10,14,-40.28909528458125,42.17092675877238,-40.28909528458125,-24.95539767548603,0.0,0.0,560000,14,-24.95539767548603,-24.95539767548603,42.17092675877238,-24.95539767548603,23.25764657341855,10,0.0,23.25764657341855
0.0,10,15,-79.07861353008715,-16.4660118195762,-79.07861353008715,-52.77123629217208,0.0,0.0,584000,15,-52.77123629217208,-52.77123629217208,-16.4660118195762,-52.77123629217208,24.2139504832252,10,0.0,24.2139504832252
0.0,10,16,-116.99174060442627,-18.084870020436323,-116.99174060442627,-71.03046506994174,0.0,0.0,608000,16,-71.03046506994173,-71.03046506994173,-18.084870020436323,-71.03046506994174,29.8289119895367,10,0.0,29.8289119895367
0.0,10,17,-78.8617092595469,1393.3483730611886,-78.8617092595469,112.42199731627663,0.0,0.0,632000,17,112.42199731627663,112.42199731627663,1393.3483730611886,112.42199731627663,427.3335365004064,10,0.0,427.3335365004064
0.0,10,18,-40.53610214917201,5633.460647381351,-40.53610214917201,1079.9717957125931,0.0,0.0,656000,18,1079.9717957125936,1079.9717957125936,5633.460647381351,1079.9717957125931,1857.133242383804,10,0.0,1857.133242383804
0.0,10,19,-54.4299457659789,12184.583190342111,-54.4299457659789,3408.987287637986,0.0,0.0,680000,19,3408.987287637986,3408.987287637986,12184.583190342111,3408.987287637986,3878.3917498337596,10,0.0,3878.3917498337596
0.0,10,20,-26.448694473292516,4028.6574842434406,-26.448694473292516,1276.3387879939044,0.0,0.1,704000,20,1276.3387879939044,1276.3387879939044,4028.6574842434406,1276.3387879939044,1402.1656275293606,10,0.1,1402.1656275293606
