window-open-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/NumEpisodes,MetaTest/window-open-v1/AverageDiscountedReturn,Average/TerminationRate,policy/LossAfter,Average/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/window-open-v1/TerminationRate,MetaTest/window-open-v1/SuccessRate,MetaTest/window-open-v1/MaxReturn,window-open-v1/MinReturn,policy/Entropy,MetaTest/Average/AverageReturn,Average/AverageReturn,MetaTest/Average/StdReturn,window-open-v1/AverageDiscountedReturn,Average/MaxReturn,window-open-v1/Iteration,MetaTest/window-open-v1/StdReturn,MetaTest/window-open-v1/NumEpisodes,MetaTest/Average/SuccessRate,window-open-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/window-open-v1/Iteration,window-open-v1/StdReturn,window-open-v1/NumEpisodes,policy/KLBefore,TotalEnvSteps,MetaTest/Average/MinReturn,Average/Iteration,MetaTest/Average/AverageDiscountedReturn,Average/StdReturn,MetaTest/window-open-v1/AverageReturn,window-open-v1/AverageReturn,Average/NumEpisodes,MetaTest/window-open-v1/MinReturn,policy/LossBefore,policy/KL,Average/AverageDiscountedReturn,Average/MinReturn,MetaTest/Average/Iteration,window-open-v1/MaxReturn,policy/dLoss
0.0,146906.9253651531,10,14641.046967342685,0.0,-10.395816,0.01,0.0,0.0,0.1,146906.9253651531,-77.12498325153415,5.678983,14641.046967342685,1372.0010892812033,44088.627236659806,351.60792276009755,123317.12433116038,0,44088.627236659806,10,0.1,0.01,0.6576212684567001,0,12407.130084321845,100,0.0,20000,-74.17438939149015,0,14641.046967342685,12407.130084321845,14641.046967342685,1372.0010892812033,100,-74.17438939149015,-4.193658,0.007217,351.60792276009755,-77.12498325153415,0,123317.12433116038,6.202158
0.0,,,,0.0,-0.0111645665,0.0,,,,,-80.03451189283982,5.673007,,-59.095295007356505,,-22.419586554164372,-28.134701569224585,1,,,,0.0,0.6912661319750038,,11.261723961129254,100,0.0,40000,,1,,11.261723961129254,,-59.095295007356505,100,,-0.013705786,0.00391383,-22.419586554164372,-80.03451189283982,,-28.134701569224585,-0.0025412198
0.0,,,,0.0,-0.024293097,0.0,,,,,-90.84120911375236,5.6708345,,-61.40211562745642,,-23.04290972705959,-32.56640006011289,2,,,,0.0,0.7014120559059825,,11.67661566104919,100,0.0,60000,,2,,11.67661566104919,,-61.40211562745642,100,,-0.023170462,0.00062507583,-23.04290972705959,-90.84120911375236,,-32.56640006011289,0.0011226349
0.0,,,,0.0,-1.1731689,0.0,,,,,-82.71555370100621,5.674421,,69.82205551637429,,21.97802497074723,12629.88100983302,3,,,,0.0,0.6308870966505216,,1262.3787141517892,100,0.0,80000,,3,,1262.3787141517892,,69.82205551637429,100,,-0.3706624,0.008293132,21.97802497074723,-82.71555370100621,,12629.88100983302,0.8025065
0.0,,,,0.0,-0.04847264,0.0,,,,,-72.21602108414636,5.6765895,,-47.101198440841635,,-17.586551526901626,27.736293828704472,4,,,,0.0,0.5547879190885029,,14.66793992377612,100,0.0,100000,,4,,14.66793992377612,,-47.101198440841635,100,,-0.03458162,0.005083719,-17.586551526901626,-72.21602108414636,,27.736293828704472,0.013891019
0.0,,,,0.0,-0.76924944,0.0,,,,,-73.01874586944491,5.6749086,,172.97710708209925,,46.9860915556782,14931.507531057656,5,,,,0.0,0.5860058379332653,,1639.8595964448832,100,0.0,120000,,5,,1639.8595964448832,,172.97710708209925,100,,-0.004584961,0.0130215,46.9860915556782,-73.01874586944491,,14931.507531057656,0.7646645
0.0,,,,0.0,-13.626706,0.02,,,,,-55.26652461371651,5.6489005,,1779.2036831448675,,408.18771257544233,68418.2731952582,6,,,,0.02,0.5529696119395199,,8883.274987048086,100,0.0,140000,,6,,8883.274987048086,,1779.2036831448675,100,,-5.605204,0.0062535927,408.18771257544233,-55.26652461371651,,68418.2731952582,8.021502
0.0,,,,0.0,-10.812253,0.02,,,,,-69.44181848979723,5.630152,,5046.159753154809,,1269.6159972692508,96022.7725921234,7,,,,0.02,0.6076953644158035,,16222.467617525983,100,0.0,160000,,7,,16222.467617525983,,5046.159753154809,100,,1.3709601,0.007356682,1269.6159972692508,-69.44181848979723,,96022.7725921234,12.183213
0.0,,,,0.0,-7.085392,0.0,,,,,-50.872318192064,5.646362,,509.0852673810244,,101.5658718705793,52708.2816200131,8,,,,0.0,0.6451842536131499,,5246.5384887830805,100,0.0,180000,,8,,5246.5384887830805,,509.0852673810244,100,,-2.3148074,0.006860002,101.5658718705793,-50.872318192064,,52708.2816200131,4.7705846
0.0,,,,0.0,-1.1110831,0.0,,,,,-57.350641344504275,5.659837,,569.7737945953869,,225.94408005008736,22064.052348716654,9,,,,0.0,0.5856827772599877,,2853.298294196002,100,0.0,200000,,9,,2853.298294196002,,569.7737945953869,100,,-0.03226582,0.0054292595,225.94408005008736,-57.350641344504275,,22064.052348716654,1.0788174
