MetaTest/coffee-pull-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/coffee-pull-v1/AverageReturn,MetaTest/coffee-pull-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/coffee-pull-v1/StdReturn,MetaTest/coffee-pull-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/coffee-pull-v1/MaxReturn,MetaTest/coffee-pull-v1/MinReturn,MetaTest/coffee-pull-v1/NumTrajs,TotalEnvSteps,MetaTest/coffee-pull-v1/SuccessRate,MetaTest/Average/Iteration
0.0,10,-51.18221793816908,-31.71041803832579,-31.71041803832579,51.47947594270982,122.61144954061963,-31.71041803832579,-31.71041803832579,0.0,51.47947594270982,0,0.0,122.61144954061963,-51.18221793816908,10,224000,0.0,0
0.0,10,-40.43936910713106,2147.9743357230977,2147.974335723097,2847.5196259900276,9037.494865729033,2147.9743357230977,2147.974335723097,0.0,2847.5196259900276,1,0.0,9037.494865729033,-40.43936910713106,10,248000,0.0,1
0.0,10,-32.486423932291736,452.0978291728346,452.09782917283445,570.903600897395,1547.716084909359,452.0978291728346,452.09782917283445,0.0,570.903600897395,2,0.0,1547.716084909359,-32.486423932291736,10,272000,0.0,2
0.0,10,-27.448677293626943,1701.33424645496,1701.33424645496,2060.872844543383,6101.732038365856,1701.33424645496,1701.33424645496,0.0,2060.872844543383,3,0.0,6101.732038365856,-27.448677293626943,10,296000,0.0,3
0.0,10,-46.58988450699378,3019.9657923196537,3019.965792319653,5476.517875251177,14781.540603395639,3019.9657923196537,3019.965792319653,0.0,5476.517875251177,4,0.0,14781.540603395639,-46.58988450699378,10,320000,0.0,4
0.0,10,-46.68077374912143,4.604479054242929,4.604479054242927,135.21833906049423,409.81192807980767,4.604479054242929,4.604479054242927,0.0,135.21833906049423,5,0.0,409.81192807980767,-46.68077374912143,10,344000,0.0,5
0.0,10,-52.5271345522202,4003.5158112006293,4003.5158112006275,6204.715639737096,19843.56989669166,4003.5158112006293,4003.5158112006275,0.0,6204.715639737096,6,0.0,19843.56989669166,-52.5271345522202,10,368000,0.0,6
0.0,10,-52.994414655603045,3705.6986522521197,3705.6986522521206,11264.581291953278,37499.44073808015,3705.6986522521197,3705.6986522521206,0.0,11264.581291953278,7,0.0,37499.44073808015,-52.994414655603045,10,392000,0.0,7
0.0,10,-64.29154034243774,-61.7374324431986,-61.737432443198585,3.009711559088627,-53.811823084679126,-61.7374324431986,-61.737432443198585,0.0,3.009711559088627,8,0.0,-53.811823084679126,-64.29154034243774,10,416000,0.0,8
0.0,10,-57.465722474395974,-48.587908856020164,-48.58790885602015,10.833388756136205,-17.85190347359609,-48.587908856020164,-48.58790885602015,0.0,10.833388756136205,9,0.0,-17.85190347359609,-57.465722474395974,10,440000,0.0,9
0.0,10,-68.06445951174396,-56.38737576245395,-56.38737576245394,11.752851675524363,-24.331694609183206,-56.38737576245395,-56.38737576245394,0.0,11.752851675524363,10,0.0,-24.331694609183206,-68.06445951174396,10,464000,0.0,10
0.0,10,-62.692847997815015,98.02908004870795,98.02908004870805,439.53198756606207,1415.7929553194326,98.02908004870795,98.02908004870805,0.0,439.53198756606207,11,0.0,1415.7929553194326,-62.692847997815015,10,488000,0.0,11
0.0,10,-52.76596565879898,61.63939032437419,61.639390324374155,326.82537012623726,1042.0770608676312,61.63939032437419,61.639390324374155,0.0,326.82537012623726,12,0.0,1042.0770608676312,-52.76596565879898,10,512000,0.0,12
0.0,10,-51.60695982022451,36.27259145025523,36.27259145025518,173.09587971918387,479.22209315453887,36.27259145025523,36.27259145025518,0.0,173.09587971918387,13,0.0,479.22209315453887,-51.60695982022451,10,536000,0.0,13
0.0,10,-53.12504731729383,-48.48395590983432,-48.483955909834336,4.630440119338832,-40.82638407498152,-48.48395590983432,-48.483955909834336,0.0,4.630440119338832,14,0.0,-40.82638407498152,-53.12504731729383,10,560000,0.0,14
0.0,10,-79.26784872058604,-58.159598893277135,-58.159598893277135,12.15123734126604,-37.55198627103413,-58.159598893277135,-58.159598893277135,0.0,12.15123734126604,15,0.0,-37.55198627103413,-79.26784872058604,10,584000,0.0,15
0.0,10,-76.75899736375399,-56.640707340487936,-56.640707340487936,7.485893775995693,-50.73404737580973,-56.640707340487936,-56.640707340487936,0.0,7.485893775995693,16,0.0,-50.73404737580973,-76.75899736375399,10,608000,0.0,16
0.0,10,-113.13140899437994,-52.77827742114207,-52.77827742114208,52.09692273785826,94.86289977024929,-52.77827742114207,-52.77827742114208,0.0,52.09692273785826,17,0.0,94.86289977024929,-113.13140899437994,10,632000,0.0,17
0.0,10,-83.94992900809778,-31.308869055362415,-31.308869055362415,86.70973656217407,224.3549028197063,-31.308869055362415,-31.308869055362415,0.0,86.70973656217407,18,0.0,224.3549028197063,-83.94992900809778,10,656000,0.0,18
0.0,10,-82.37640836996222,-48.56994482558296,-48.569944825582944,11.855557540019609,-36.90488373935314,-48.56994482558296,-48.569944825582944,0.0,11.855557540019609,19,0.0,-36.90488373935314,-82.37640836996222,10,680000,0.0,19
0.0,10,-92.84642713407962,393.19750564717503,393.19750564717503,1387.1401208289892,4554.099815029196,393.19750564717503,393.19750564717503,0.0,1387.1401208289892,20,0.0,4554.099815029196,-92.84642713407962,10,704000,0.0,20
