MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/drawer-open-v1/AverageReturn,MetaTest/drawer-open-v1/Iteration,MetaTest/drawer-open-v1/MaxReturn,MetaTest/drawer-open-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,MetaTest/drawer-open-v1/MinReturn,MetaTest/drawer-open-v1/SuccessRate,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTest/drawer-open-v1/StdReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/drawer-open-v1/NumTrajs
10,-26.55524739948201,0,-23.924187874800886,0.0,0.0,-26.55524739948202,0,-23.924187874800886,0.0,2.965126112302992,-26.55524739948202,-33.193978517212074,0.0,-26.55524739948201,2.965126112302992,224000,-33.193978517212074,10
10,1249.6949637902321,1,3499.7633257000316,0.0,0.2,1249.694963790232,1,3499.7633257000316,0.0,1510.5522197629236,1249.694963790232,-25.898583822646014,0.2,1249.6949637902321,1510.5522197629236,248000,-25.898583822646014,10
10,448.135489776551,2,2568.974124788417,0.0,0.0,448.13548977655125,2,2568.974124788417,0.0,929.7060996379759,448.13548977655125,-34.5897286636524,0.0,448.135489776551,929.7060996379759,272000,-34.5897286636524,10
10,658.9672148681204,3,3328.9626143075257,0.0,0.0,658.9672148681203,3,3328.9626143075257,0.0,957.5599676157592,658.9672148681203,-37.29614547670519,0.0,658.9672148681204,957.5599676157592,296000,-37.29614547670519,10
10,1627.2858747479977,4,5358.562311161881,0.0,0.1,1627.2858747479982,4,5358.562311161881,0.0,1729.3961415838833,1627.2858747479982,-42.864583266432895,0.1,1627.2858747479977,1729.3961415838833,320000,-42.864583266432895,10
10,713.2403993454175,5,3317.5217881991384,0.0,0.0,713.240399345417,5,3317.5217881991384,0.0,1266.5400772150585,713.240399345417,-44.082539433952974,0.0,713.2403993454175,1266.5400772150585,344000,-44.082539433952974,10
10,1295.0182591202545,6,3393.8210652699986,0.0,0.0,1295.0182591202542,6,3393.8210652699986,0.0,1631.594318466841,1295.0182591202542,-40.71363175773874,0.0,1295.0182591202545,1631.594318466841,368000,-40.71363175773874,10
10,2231.434192611832,7,6110.442120224636,0.0,0.0,2231.4341926118323,7,6110.442120224636,0.0,2118.0257373865634,2231.4341926118323,-34.23651031906796,0.0,2231.434192611832,2118.0257373865634,392000,-34.23651031906796,10
10,3050.8070506388603,8,3767.8875031878506,0.0,0.0,3050.8070506388603,8,3767.8875031878506,0.0,1060.2146178064047,3050.8070506388603,1.1795023479738471,0.0,3050.8070506388603,1060.2146178064047,416000,1.1795023479738471,10
10,454.87409219832955,9,2741.1659117842296,0.0,0.0,454.87409219832955,9,2741.1659117842296,0.0,871.8744692448112,454.87409219832955,-72.40184259619237,0.0,454.87409219832955,871.8744692448112,440000,-72.40184259619237,10
10,330.7978966308417,10,2259.4899979119787,0.0,0.1,330.7978966308414,10,2259.4899979119787,0.0,682.326450173615,330.7978966308414,-39.174062989523534,0.1,330.7978966308417,682.326450173615,464000,-39.174062989523534,10
10,638.0226687872972,11,3361.465070730598,0.0,0.0,638.0226687872974,11,3361.465070730598,0.0,1320.9320562697626,638.0226687872974,-91.29071818930555,0.0,638.0226687872972,1320.9320562697626,488000,-91.29071818930555,10
10,-55.38667372220111,12,-30.39269723302958,0.0,0.0,-55.3866737222011,12,-30.39269723302958,0.0,18.35127302296187,-55.3866737222011,-95.03509198892885,0.0,-55.38667372220111,18.35127302296187,512000,-95.03509198892885,10
10,-26.052497698274458,13,285.65327380428994,0.0,0.0,-26.052497698274454,13,285.65327380428994,0.0,103.96729387509367,-26.052497698274454,-66.73629089570193,0.0,-26.052497698274458,103.96729387509367,536000,-66.73629089570193,10
10,11.015307556478458,14,672.8719273144569,0.0,0.0,11.015307556478412,14,672.8719273144569,0.0,221.1244477096841,11.015307556478412,-69.06416903817062,0.0,11.015307556478458,221.1244477096841,560000,-69.06416903817062,10
10,-63.2765023804635,15,-13.623295237348959,0.0,0.0,-63.2765023804635,15,-13.623295237348959,0.0,16.983523771461247,-63.2765023804635,-72.1602357726088,0.0,-63.2765023804635,16.983523771461247,584000,-72.1602357726088,10
10,-56.00370919467589,16,-48.61572460085039,0.0,0.0,-56.00370919467588,16,-48.61572460085039,0.0,6.085811544884146,-56.00370919467588,-66.72097858196909,0.0,-56.00370919467589,6.085811544884146,608000,-66.72097858196909,10
10,408.21760545157593,17,2681.056535828432,0.0,0.0,408.21760545157593,17,2681.056535828432,0.0,967.0549274142872,408.21760545157593,-69.71661673869274,0.0,408.21760545157593,967.0549274142872,632000,-69.71661673869274,10
