MetaTest/Average/AverageReturn,shelf-place-v1/NumEpisodes,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/shelf-place-v1/SuccessRate,Average/TerminationRate,shelf-place-v1/AverageDiscountedReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/KLBefore,MetaTest/Average/Iteration,MetaTest/shelf-place-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,shelf-place-v1/TerminationRate,MetaTest/Average/StdReturn,Average/MaxReturn,MetaTest/shelf-place-v1/MaxReturn,MetaTest/shelf-place-v1/Iteration,Average/Iteration,shelf-place-v1/MinReturn,Average/AverageDiscountedReturn,shelf-place-v1/AverageReturn,GaussianMLPPolicy/LossAfter,shelf-place-v1/Iteration,Average/StdReturn,shelf-place-v1/StdReturn,shelf-place-v1/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/shelf-place-v1/TerminationRate,Average/SuccessRate,GaussianMLPPolicy/dLoss,Average/AverageReturn,Iteration,MetaTest/shelf-place-v1/StdReturn,MetaTest/shelf-place-v1/NumEpisodes,shelf-place-v1/MaxReturn,Average/NumEpisodes,MetaTest/Average/SuccessRate,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,GaussianMLPPolicy/KLAfter
-24.23107051025083,200,-24.23107051025083,880000,0.0,0.0,-10.920145245901521,-0.0008576567051932216,0.0,10,-24.23107051025083,-24.23107051025083,-24.23107051025083,-24.231070510250824,-34.526993595461605,0.0,0.0,-15.901694386282403,-24.23107051025083,10,10,-34.526993595461605,-10.920145245901521,-24.778243096523212,-0.002505974378436804,10,2.928989599157209,2.928989599157209,0.0,5.542815685272217,0.0,0.0,0.0016483176732435822,-24.778243096523212,10,0.0,1,-15.901694386282403,200,0.0,-24.231070510250824,1,0.0,0.008825048804283142
-24.729790934561755,200,-24.729790934561755,960000,0.0,0.0,-10.508014576622177,-0.003423950169235468,0.0,11,-24.729790934561755,-24.729790934561755,-24.729790934561755,-24.729790934561752,-30.240255896401123,0.0,0.0,-17.54256708836644,-24.729790934561755,11,11,-30.240255896401123,-10.508014576622177,-23.758833210093336,-0.00460395822301507,11,1.9813777507865649,1.9813777507865649,0.0,5.500309944152832,0.0,0.0,0.001180008053779602,-23.758833210093336,11,0.0,1,-17.54256708836644,200,0.0,-24.729790934561752,1,0.0,0.006962502840906382
-23.862565248230123,200,-23.862565248230123,1040000,0.0,0.0,-10.342626616835641,0.004350866656750441,0.0,12,-23.862565248230123,-23.862565248230123,-23.862565248230123,-23.862565248230148,-30.36988821200959,0.0,0.0,-16.885552472996398,-23.862565248230123,12,12,-30.36988821200959,-10.342626616835641,-23.357923103612148,0.0028938925825059414,12,1.9412847363929866,1.9412847363929866,0.0,5.551821708679199,0.0,0.0,0.0014569740742444992,-23.357923103612148,12,0.0,1,-16.885552472996398,200,0.0,-23.862565248230148,1,0.0,0.006938533391803503
-24.091098874064972,200,-24.091098874064972,1120000,0.0,0.0,-10.185233896388628,-0.0013155520427972078,0.0,13,-24.091098874064972,-24.091098874064972,-24.091098874064972,-24.091098874064954,-29.531410832444877,0.0,0.0,-16.303589851183702,-24.091098874064972,13,13,-29.531410832444877,-10.185233896388628,-22.800001082358403,-0.003424382535740733,13,1.9010415943063974,1.9010415943063974,0.0,5.542874813079834,0.0,0.0,0.0021088304929435253,-22.800001082358403,13,0.0,1,-16.303589851183702,200,0.0,-24.091098874064954,1,0.0,0.008146898820996284
-21.55438295835157,200,-21.55438295835157,1200000,0.0,0.0,-9.74286274894591,0.000802765425760299,0.0,14,-21.55438295835157,-21.55438295835157,-21.55438295835157,-21.554382958351564,-33.96063874014484,0.0,0.0,-15.007215184870349,-21.55438295835157,14,14,-33.96063874014484,-9.74286274894591,-21.941640478497074,-0.0007369761005975306,14,2.106843129372246,2.106843129372246,0.0,5.558228015899658,0.0,0.0,0.0015397415263578296,-21.941640478497074,14,0.0,1,-15.007215184870349,200,0.0,-21.554382958351564,1,0.0,0.007483390625566244
-17.742317991113726,200,-17.742317991113726,1280000,0.0,0.0,-9.91972904181247,0.0033048149198293686,0.0,15,-17.742317991113726,-17.742317991113726,-17.742317991113726,-17.74231799111372,-44.63926577475434,0.0,0.0,-13.981028553425949,-17.742317991113726,15,15,-44.63926577475434,-9.91972904181247,-22.254549192819677,0.0015181774506345391,15,2.9500889144828912,2.9500889144828912,0.0,5.5976881980896,0.0,0.0,0.0017866374691948295,-22.254549192819677,15,0.0,1,-13.981028553425949,200,0.0,-17.74231799111372,1,0.0,0.00736159086227417
-20.281267669228654,200,-20.281267669228654,1360000,0.0,0.0,-9.452436899536089,-0.0012155788717791438,0.0,16,-20.281267669228654,-20.281267669228654,-20.281267669228654,-20.28126766922865,-36.26289073264859,0.0,0.0,-15.209486684024641,-20.281267669228654,16,16,-36.26289073264859,-9.452436899536089,-21.286770447152126,-0.002662859857082367,16,1.9221548501829158,1.9221548501829158,0.0,5.586777687072754,0.0,0.0,0.0014472809853032231,-21.286770447152126,16,0.0,1,-15.209486684024641,200,0.0,-20.28126766922865,1,0.0,0.006890761200338602
-20.358120746643092,200,-20.358120746643092,1440000,0.0,0.0,-9.802222447024358,-0.006657836027443409,0.0,17,-20.358120746643092,-20.358120746643092,-20.358120746643092,-20.358120746643113,-31.1079874029576,0.0,0.0,-13.49000216799979,-20.358120746643092,17,17,-31.1079874029576,-9.802222447024358,-21.88893268755999,-0.008643383160233498,17,2.76567066976559,2.76567066976559,0.0,5.5314435958862305,0.0,0.0,0.0019855471327900887,-21.88893268755999,17,0.0,1,-13.49000216799979,200,0.0,-20.358120746643113,1,0.0,0.007593074347823858
-18.963857645972464,200,-18.963857645972464,1520000,0.0,0.0,-9.44136795966808,-0.0026358545292168856,0.0,18,-18.963857645972464,-18.963857645972464,-18.963857645972464,-18.96385764597246,-34.7716712591251,0.0,0.0,-15.122502993934757,-18.963857645972464,18,18,-34.7716712591251,-9.44136795966808,-21.30304607871309,-0.004155336879193783,18,2.658512941772405,2.658512941772405,0.0,5.501276016235352,0.0,0.0,0.0015194823499768972,-21.30304607871309,18,0.0,1,-15.122502993934757,200,0.0,-18.96385764597246,1,0.0,0.006654040422290564
-18.4979504646493,200,-18.4979504646493,1600000,0.0,0.0,-9.43228613902041,-0.002850803080946207,0.0,19,-18.4979504646493,-18.4979504646493,-18.4979504646493,-18.4979504646493,-35.69377381697503,0.0,0.0,-16.154230775629276,-18.4979504646493,19,19,-35.69377381697503,-9.43228613902041,-21.252892158912033,-0.004585959482938051,19,1.7588212823425613,1.7588212823425613,0.0,5.4742560386657715,0.0,0.0,0.0017351564019918442,-21.252892158912033,19,0.0,1,-16.154230775629276,200,0.0,-18.4979504646493,1,0.0,0.007535391487181187
-15.736558664882146,200,-15.736558664882146,1680000,0.0,0.0,-9.63286574936468,-0.0023325025103986263,0.0,20,-15.736558664882146,-15.736558664882146,-15.736558664882146,-15.73655866488216,-36.26519001813133,0.0,0.0,-15.123480594560727,-15.736558664882146,20,20,-36.26519001813133,-9.63286574936468,-21.74448917697444,-0.0036424838472157717,20,2.9912964660340458,2.9912964660340458,0.0,5.452437877655029,0.0,0.0,0.0013099813368171453,-21.74448917697444,20,0.0,1,-15.123480594560727,200,0.0,-15.73655866488216,1,0.0,0.007113886531442404
-22.462684056918626,200,-22.462684056918626,1760000,0.0,0.0,-9.191449516343459,0.0019316260004416108,0.0,21,-22.462684056918626,-22.462684056918626,-22.462684056918626,-22.46268405691866,-26.127075678372833,0.0,0.0,-16.628033907225102,-22.462684056918626,21,21,-26.127075678372833,-9.191449516343459,-20.881716023938026,0.0007586947758682072,21,1.6902428177529192,1.6902428177529192,0.0,5.4906840324401855,0.0,0.0,0.0011729312245734036,-20.881716023938026,21,0.0,1,-16.628033907225102,200,0.0,-22.46268405691866,1,0.0,0.009909172542393208
-23.573425940150397,200,-23.573425940150397,1840000,0.0,0.0,-9.556236588821402,-0.008724035695195198,0.0,22,-23.573425940150397,-23.573425940150397,-23.573425940150397,-23.573425940150404,-36.162551827865016,0.0,0.0,-16.347825678240156,-23.573425940150397,22,22,-36.162551827865016,-9.556236588821402,-21.57753284458673,-0.010243183933198452,22,3.330563369501835,3.330563369501835,0.0,5.415724277496338,0.0,0.0,0.001519148238003254,-21.57753284458673,22,0.0,1,-16.347825678240156,200,0.0,-23.573425940150404,1,0.0,0.006864562630653381
-21.220968853364823,200,-21.220968853364823,1920000,0.0,0.0,-9.09126941476768,0.002101803431287408,0.0,23,-21.220968853364823,-21.220968853364823,-21.220968853364823,-21.22096885336483,-28.666376208968636,0.0,0.0,-14.533217826404533,-21.220968853364823,23,23,-28.666376208968636,-9.09126941476768,-20.629566730951936,0.0004174032364971936,23,2.267002010653154,2.267002010653154,0.0,5.4603962898254395,0.0,0.0,0.0016844001947902143,-20.629566730951936,23,0.0,1,-14.533217826404533,200,0.0,-21.22096885336483,1,0.0,0.009329177439212799
-17.940700459835025,200,-17.940700459835025,2000000,0.0,0.0,-9.25987173626448,-0.0009343436104245484,0.0,24,-17.940700459835025,-17.940700459835025,-17.940700459835025,-17.940700459835025,-34.52702996988245,0.0,0.0,-15.017178165554766,-17.940700459835025,24,24,-34.52702996988245,-9.25987173626448,-20.977229404600347,-0.0028996870387345552,24,2.195202962687988,2.195202962687988,0.0,5.455990791320801,0.0,0.0,0.001965343428310007,-20.977229404600347,24,0.0,1,-15.017178165554766,200,0.0,-17.940700459835025,1,0.0,0.008279172703623772
-20.19246694157943,200,-20.19246694157943,2080000,0.0,0.0,-9.276875333118745,0.00031760684214532375,0.0,25,-20.19246694157943,-20.19246694157943,-20.19246694157943,-20.192466941579415,-38.55354503490857,0.0,0.0,-14.527611725958039,-20.19246694157943,25,25,-38.55354503490857,-9.276875333118745,-20.947986192931992,-0.0012222646037116647,25,2.5315218118387612,2.5315218118387612,0.0,5.466799736022949,0.0,0.0,0.0015398714458569884,-20.947986192931992,25,0.0,1,-14.527611725958039,200,0.0,-20.192466941579415,1,0.0,0.009085838682949543
-24.4130126998187,200,-24.4130126998187,2160000,0.0,0.0,-9.450616718889897,-0.0013569517759606242,0.0,26,-24.4130126998187,-24.4130126998187,-24.4130126998187,-24.413012699818694,-27.00083582943331,0.0,0.0,-16.751854501968115,-24.4130126998187,26,26,-27.00083582943331,-9.450616718889897,-21.52542293876681,-0.0026383050717413425,26,1.7922018994518323,1.7922018994518323,0.0,5.465569019317627,0.0,0.0,0.0012813532957807183,-21.52542293876681,26,0.0,1,-16.751854501968115,200,0.0,-24.413012699818694,1,0.0,0.007409936282783747
-20.25866730843151,200,-20.25866730843151,2240000,0.0,0.0,-9.502761024739918,0.0004997484502382576,0.0,27,-20.25866730843151,-20.25866730843151,-20.25866730843151,-20.258667308431495,-36.78802702748747,0.0,0.0,-15.691794285521278,-20.25866730843151,27,27,-36.78802702748747,-9.502761024739918,-21.46895092358095,-0.0006198775954544544,27,3.1552316042866297,3.1552316042866297,0.0,5.48110294342041,0.0,0.0,0.001119626045692712,-21.46895092358095,27,0.0,1,-15.691794285521278,200,0.0,-20.258667308431495,1,0.0,0.008706996217370033
-21.17739092165965,200,-21.17739092165965,2320000,0.0,0.0,-9.470602359899749,-0.0041533042676746845,0.0,28,-21.17739092165965,-21.17739092165965,-21.17739092165965,-21.177390921659676,-35.190028272960205,0.0,0.0,-15.256378790103481,-21.17739092165965,28,28,-35.190028272960205,-9.470602359899749,-21.533900391338157,-0.006276670843362808,28,3.258707890235488,3.258707890235488,0.0,5.449978828430176,0.0,0.0,0.0021233665756881237,-21.533900391338157,28,0.0,1,-15.256378790103481,200,0.0,-21.177390921659676,1,0.0,0.006528384983539581
-17.964758201284525,200,-17.964758201284525,2400000,0.0,0.0,-9.286064949723164,-0.003457381622865796,0.0,29,-17.964758201284525,-17.964758201284525,-17.964758201284525,-17.964758201284507,-29.947089812620547,0.0,0.0,-15.20377330415975,-17.964758201284525,29,29,-29.947089812620547,-9.286064949723164,-21.11037235764294,-0.005022934637963772,29,2.3013611290576086,2.3013611290576086,0.0,5.413581848144531,0.0,0.0,0.0015655530150979757,-21.11037235764294,29,0.0,1,-15.20377330415975,200,0.0,-17.964758201284507,1,0.0,0.007366559002548456
-35.15085825403979,200,-35.15085825403979,2480000,0.0,0.0,-9.527540416454398,0.0023735808208584785,0.0,30,-35.15085825403979,-35.15085825403979,-35.15085825403979,-35.15085825403981,-35.90905227578812,0.0,0.0,-17.7389331642095,-35.15085825403979,30,30,-35.90905227578812,-9.527540416454398,-21.809407479489167,0.0011903585400432348,30,2.994505145808647,2.994505145808647,0.0,5.476638317108154,0.0,0.0,0.0011832222808152437,-21.809407479489167,30,0.0,1,-17.7389331642095,200,0.0,-35.15085825403981,1,0.0,0.009723560884594917
-21.713271475955484,200,-21.713271475955484,2560000,0.0,0.0,-9.324080426087415,-0.0033850609324872494,0.0,31,-21.713271475955484,-21.713271475955484,-21.713271475955484,-21.71327147595547,-35.160937107069024,0.0,0.0,-14.827567869297523,-21.713271475955484,31,31,-35.160937107069024,-9.324080426087415,-21.121810085209354,-0.004770380444824696,31,3.457246180452135,3.457246180452135,0.0,5.437312126159668,0.0,0.0,0.0013853195123374462,-21.121810085209354,31,0.0,1,-14.827567869297523,200,0.0,-21.71327147595547,1,0.0,0.006857014261186123
-22.793988711583417,200,-22.793988711583417,2640000,0.0,0.0,-9.240540466966372,-0.004332507494837046,0.0,32,-22.793988711583417,-22.793988711583417,-22.793988711583417,-22.793988711583424,-28.546318290288813,0.0,0.0,-16.6156083672291,-22.793988711583417,32,32,-28.546318290288813,-9.240540466966372,-21.089828101494717,-0.005851512309163809,32,2.1164759064837044,2.1164759064837044,0.0,5.390144348144531,0.0,0.0,0.0015190048143267632,-21.089828101494717,32,0.0,1,-16.6156083672291,200,0.0,-22.793988711583424,1,0.0,0.007344335317611694
-17.3790862799843,200,-17.3790862799843,2720000,0.0,0.0,-9.675120577661136,0.00040598056511953473,0.0,33,-17.3790862799843,-17.3790862799843,-17.3790862799843,-17.3790862799843,-36.4728899866586,0.0,0.0,-15.513125748742134,-17.3790862799843,33,33,-36.4728899866586,-9.675120577661136,-21.959333940145125,-0.0010934078600257635,33,3.668035894788963,3.668035894788963,0.0,5.400787830352783,0.0,0.0,0.0014993884251452982,-21.959333940145125,33,0.0,1,-15.513125748742134,200,0.0,-17.3790862799843,1,0.0,0.00669970503076911
-19.630950915192443,200,-19.630950915192443,2800000,0.0,0.0,-9.251647705601727,-0.003657069755718112,0.0,34,-19.630950915192443,-19.630950915192443,-19.630950915192443,-19.630950915192454,-37.1145746061619,0.0,0.0,-17.429322214456747,-19.630950915192443,34,34,-37.1145746061619,-9.251647705601727,-20.995668618336655,-0.005288609769195318,34,2.6187934743770342,2.6187934743770342,0.0,5.370063304901123,0.0,0.0,0.0016315400134772062,-20.995668618336655,34,0.0,1,-17.429322214456747,200,0.0,-19.630950915192454,1,0.0,0.007078719325363636
-22.25382085568805,200,-22.25382085568805,2880000,0.0,0.0,-9.087884107840903,-0.004919826053082943,0.0,35,-22.25382085568805,-22.25382085568805,-22.25382085568805,-22.25382085568803,-40.731091684708325,0.0,0.0,-17.710762137733923,-22.25382085568805,35,35,-40.731091684708325,-9.087884107840903,-20.550160275825437,-0.006470342166721821,35,2.459301024574219,2.459301024574219,0.0,5.320068359375,0.0,0.0,0.0015505161136388779,-20.550160275825437,35,0.0,1,-17.710762137733923,200,0.0,-22.25382085568803,1,0.0,0.006774488836526871
-21.290091911345236,200,-21.290091911345236,2960000,0.0,0.0,-8.999579634029466,-0.005718969739973545,0.0,36,-21.290091911345236,-21.290091911345236,-21.290091911345236,-21.290091911345243,-37.08954774804564,0.0,0.0,-13.853792609574983,-21.290091911345236,36,36,-37.08954774804564,-8.999579634029466,-20.34677702534668,-0.007093262858688831,36,2.938276942287467,2.938276942287467,0.0,5.273949146270752,0.0,0.0,0.0013742931187152863,-20.34677702534668,36,0.0,1,-13.853792609574983,200,0.0,-21.290091911345243,1,0.0,0.006497947033494711
-19.01739581660056,200,-19.01739581660056,3040000,0.0,0.0,-9.175333263311758,0.0016796700656414032,0.0,37,-19.01739581660056,-19.01739581660056,-19.01739581660056,-19.01739581660056,-33.99480304148611,0.0,0.0,-15.734979698059231,-19.01739581660056,37,37,-33.99480304148611,-9.175333263311758,-20.684073153355207,0.0002731958811637014,37,2.2864589578521475,2.2864589578521475,0.0,5.300143241882324,0.0,0.0,0.0014064741844777018,-20.684073153355207,37,0.0,1,-15.734979698059231,200,0.0,-19.01739581660056,1,0.0,0.00652329484000802
-21.012231098951673,200,-21.012231098951673,3120000,0.0,0.0,-9.266396389847426,0.0010071337455883622,0.0,38,-21.012231098951673,-21.012231098951673,-21.012231098951673,-21.012231098951688,-36.79303191772069,0.0,0.0,-16.55321696766988,-21.012231098951673,38,38,-36.79303191772069,-9.266396389847426,-20.97525234321003,-0.0006005404284223914,38,3.3380622476449324,3.3380622476449324,0.0,5.31876277923584,0.0,0.0,0.0016076741740107536,-20.97525234321003,38,0.0,1,-16.55321696766988,200,0.0,-21.012231098951688,1,0.0,0.007061759475618601
-18.253203983884582,200,-18.253203983884582,3200000,0.0,0.0,-8.663959679157706,0.0024450395721942186,0.0,39,-18.253203983884582,-18.253203983884582,-18.253203983884582,-18.25320398388459,-34.265836228343574,0.0,0.0,-15.116749927296201,-18.253203983884582,39,39,-34.265836228343574,-8.663959679157706,-19.550881445257282,0.0007982043316587806,39,1.7771531934245068,1.7771531934245068,0.0,5.358824253082275,0.0,0.0,0.001646835240535438,-19.550881445257282,39,0.0,1,-15.116749927296201,200,0.0,-18.25320398388459,1,0.0,0.008753768168389797
-22.260139187975188,200,-22.260139187975188,3280000,0.0,0.0,-8.967380417264064,0.0003907449427060783,0.0,40,-22.260139187975188,-22.260139187975188,-22.260139187975188,-22.26013918797521,-39.25646038230482,0.0,0.0,-15.33704937069721,-22.260139187975188,40,40,-39.25646038230482,-8.967380417264064,-20.292308041775364,-0.0009893387323245406,40,3.2407060880336536,3.2407060880336536,0.0,5.3748931884765625,0.0,0.0,0.001380083675030619,-20.292308041775364,40,0.0,1,-15.33704937069721,200,0.0,-22.26013918797521,1,0.0,0.006625725422054529
-19.741549355194593,200,-19.741549355194593,3360000,0.0,0.0,-8.876466650469807,-0.0046679554507136345,0.0,41,-19.741549355194593,-19.741549355194593,-19.741549355194593,-19.741549355194575,-35.51416218353163,0.0,0.0,-16.357469156277933,-19.741549355194593,41,41,-35.51416218353163,-8.876466650469807,-20.07682379239541,-0.005762613378465176,41,1.7245831278213808,1.7245831278213808,0.0,5.337061882019043,0.0,0.0,0.0010946579277515411,-20.07682379239541,41,0.0,1,-16.357469156277933,200,0.0,-19.741549355194575,1,0.0,0.006521695759147406
-33.53230644609327,200,-33.53230644609327,3440000,0.0,0.0,-9.189774691511735,0.0011298208264634013,0.0,42,-33.53230644609327,-33.53230644609327,-33.53230644609327,-33.53230644609327,-48.2490050095354,0.0,0.0,-15.856556442447934,-33.53230644609327,42,42,-48.2490050095354,-9.189774691511735,-20.78651677600468,4.007983807241544e-05,42,3.4295047896868645,3.4295047896868645,0.0,5.350677967071533,0.0,0.0,0.0010897409883909859,-20.78651677600468,42,0.0,1,-15.856556442447934,200,0.0,-33.53230644609327,1,0.0,0.006752035114914179
-17.493954621252342,200,-17.493954621252342,3520000,0.0,0.0,-8.901710525389122,-0.0016908843535929918,0.0,43,-17.493954621252342,-17.493954621252342,-17.493954621252342,-17.493954621252335,-34.2944705946092,0.0,0.0,-14.553308334099418,-17.493954621252342,43,43,-34.2944705946092,-8.901710525389122,-20.12063058678535,-0.003309010760858655,43,2.671014804891636,2.671014804891636,0.0,5.334558963775635,0.0,0.0,0.0016181264072656631,-20.12063058678535,43,0.0,1,-14.553308334099418,200,0.0,-17.493954621252335,1,0.0,0.0069539593532681465
-20.08565825372973,200,-20.08565825372973,3600000,0.0,0.0,-8.774939077224095,-0.0047946469858288765,0.0,44,-20.08565825372973,-20.08565825372973,-20.08565825372973,-20.085658253729715,-24.30991200049081,0.0,0.0,-17.28548768096882,-20.08565825372973,44,44,-24.30991200049081,-8.774939077224095,-19.894068123341736,-0.0063511379994452,44,1.4795403803896188,1.4795403803896188,0.0,5.277397155761719,0.0,0.0,0.0015564910136163235,-19.894068123341736,44,0.0,1,-17.28548768096882,200,0.0,-20.085658253729715,1,0.0,0.007472150027751923
