MetaTest/push-v1/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/push-v1/MinReturn,Average/MinReturn,TotalEnvSteps,MetaTest/push-v1/TerminationRate,push-v1/StdReturn,Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/push-v1/AverageDiscountedReturn,push-v1/TerminationRate,push-v1/AverageDiscountedReturn,policy/LossBefore,push-v1/NumEpisodes,push-v1/SuccessRate,Average/AverageReturn,Average/StdReturn,MetaTest/Average/NumEpisodes,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/StdReturn,push-v1/AverageReturn,MetaTest/Average/MinReturn,policy/Entropy,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/StdReturn,MetaTest/push-v1/MaxReturn,push-v1/MinReturn,policy/dLoss,policy/LossAfter,policy/KLBefore,MetaTest/Average/MaxReturn,MetaTest/push-v1/AverageReturn,push-v1/MaxReturn,Average/NumEpisodes,MetaTest/push-v1/SuccessRate,Average/Iteration,MetaTest/Average/Iteration,policy/KL,Average/MaxReturn,MetaTest/Average/SuccessRate,push-v1/Iteration,Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration
10,0.0,-61.36024498018628,-80.98867854295223,20000,0.0,10.7038210258737,-21.82530750950631,0.0,-52.43951229360287,0.0,-21.82530750950631,-0.02296705,100,0.0,-58.03935612279033,10.7038210258737,10,0.5966510812100183,6.801883154454925,-58.03935612279033,-61.36024498018628,5.6786904,-52.43951229360287,6.801883154454925,-40.47113299036281,-80.98867854295223,0.028711503,-0.051678553,0.0,-40.47113299036281,-52.43951229360287,-26.567361391245722,100,0.0,0,0,0.0121308025,-26.567361391245722,0.0,0,0.0,-52.43951229360287,0
,,,-76.98554244771023,40000,,109.37059208357988,-14.884040066574446,0.0,,0.0,-14.884040066574446,0.11875703,100,0.0,-34.754274252421645,109.37059208357988,,0.23934062372231513,,-34.754274252421645,,5.6870446,,,,-76.98554244771023,0.105390295,0.013366739,0.0,,,1048.468716468988,100,,1,,0.017549263,1048.468716468988,,1,0.0,,
,,,-59.027776763110886,60000,,84.86625045429062,-7.611870009632283,0.0,,0.0,-7.611870009632283,-0.01771587,100,0.0,-15.92826163050152,84.86625045429062,,0.10395179415019751,,-15.92826163050152,,5.6989145,,,,-59.027776763110886,0.09431093,-0.1120268,0.0,,,765.2991981935401,100,,2,,0.012146457,765.2991981935401,,2,0.0,,
,,,-52.33771815474215,80000,,811.3724309260003,44.84640803158816,0.0,,0.0,44.84640803158816,-0.2712164,100,0.0,144.0347288464458,811.3724309260003,,0.1168106698286312,,144.0347288464458,,5.6866765,,,,-52.33771815474215,1.1253914,-1.3966078,0.0,,,7677.232420691815,100,,3,,0.006744723,7677.232420691815,,3,0.0,,
,,,-56.999064056955056,100000,,162.62576116213927,21.088817397014292,0.0,,0.0,21.088817397014292,0.14392234,100,0.0,53.8721624434009,162.62576116213927,,0.14149345776718525,,53.8721624434009,,5.6783776,,,,-56.999064056955056,0.11571517,0.028207177,0.0,,,745.0107710134437,100,,4,,0.0058619753,745.0107710134437,,4,0.0,,
,,,-54.680202287015184,120000,,387.8409873539081,18.523497169779958,0.0,,0.0,18.523497169779958,0.6027335,100,0.0,76.75192888941766,387.8409873539081,,0.17227243729906172,,76.75192888941766,,5.6737065,,,,-54.680202287015184,0.4512756,0.1514579,0.0,,,2728.7273949849077,100,,5,,0.011957667,2728.7273949849077,,5,0.0,,
,,,-76.47183082373142,140000,,479.33419596202106,44.00652229522698,0.0,,0.0,44.00652229522698,-0.052315917,100,0.0,106.75521354950055,479.33419596202106,,0.1287888321270132,,106.75521354950055,,5.6777244,,,,-76.47183082373142,0.38964453,-0.44196045,0.0,,,4216.919173120708,100,,6,,0.0062800883,4216.919173120708,,6,0.0,,
,,,-70.80812514883314,160000,,1065.820932033302,47.38911941146181,0.0,,0.0,47.38911941146181,1.7843835,100,0.0,153.20041986411184,1065.820932033302,,0.16178970066795706,,153.20041986411184,,5.6704416,,,,-70.80812514883314,1.0127413,0.7716422,0.0,,,8479.50278376769,100,,7,,0.005001033,8479.50278376769,,7,0.0,,
,,,-72.7539407039708,180000,,156.80605871493412,9.1707107329057,0.0,,0.0,9.1707107329057,-0.07447861,100,0.0,10.105126112476468,156.80605871493412,,0.12712269044097024,,10.105126112476468,,5.668182,,,,-72.7539407039708,0.08049786,-0.15497647,0.0,,,1232.467699754721,100,,8,,0.0038342644,1232.467699754721,,8,0.0,,
,,,-75.90471058143251,200000,,505.09978071045947,70.5826162690425,0.0,,0.0,70.5826162690425,0.58024335,100,0.04,153.17850468803925,505.09978071045947,,0.14698466349035677,,153.17850468803925,,5.659426,,,,-75.90471058143251,0.42993963,0.1503037,0.0,,,2931.6718912410265,100,,9,,0.0069025466,2931.6718912410265,,9,0.04,,
10,0.0,-41.91839819533837,-70.85384538593087,220000,0.0,1858.7286755799537,170.479176062445,0.0,2607.811891134216,0.0,170.479176062445,1.2451273,100,0.02,410.073711738328,1858.7286755799537,10,0.20378564970790936,5519.808218415976,410.073711738328,-41.91839819533837,5.6659217,2607.811891134216,5519.808218415976,18152.854119519547,-70.85384538593087,2.5975118,-1.3523843,0.0,18152.854119519547,2607.811891134216,13473.258441819004,100,0.1,10,1,0.006651852,13473.258441819004,0.1,10,0.02,2607.811891134216,1
,,,-69.89501079810606,240000,,1318.432389619664,76.91932521349287,0.0,,0.0,76.91932521349287,-0.96926874,100,0.0,193.07030572892262,1318.432389619664,,0.09917821182987363,,193.07030572892262,,5.6319985,,,,-69.89501079810606,1.2536132,-2.222882,0.0,,,12872.91473139138,100,,11,,0.008503789,12872.91473139138,,11,0.0,,
,,,-45.60289153330892,260000,,1280.9402464215839,99.86563691473384,0.0,,0.0,99.86563691473384,0.29397577,100,0.03,293.8342020569264,1280.9402464215839,,0.12199815940134284,,293.8342020569264,,5.593,,,,-45.60289153330892,1.0956023,-0.80162656,0.0,,,10817.041348580096,100,,12,,0.007299574,10817.041348580096,,12,0.03,,
,,,-53.854885936713096,280000,,296.67400445393906,35.593739894017126,0.0,,0.0,35.593739894017126,-0.003752832,100,0.02,77.3174076994536,296.67400445393906,,0.14648794725567182,,77.3174076994536,,5.5822754,,,,-53.854885936713096,0.07663676,-0.0803896,0.0,,,1918.613610313766,100,,13,,0.003656078,1918.613610313766,,13,0.02,,
,,,-41.10531165927076,300000,,1312.8008234960987,93.76232976685385,0.0,,0.0,93.76232976685385,-0.69512033,100,0.02,267.72682575936784,1312.8008234960987,,0.20939204124021216,,267.72682575936784,,5.5794396,,,,-41.10531165927076,1.1455679,-1.8406882,0.0,,,12745.546677813361,100,,14,,0.007356617,12745.546677813361,,14,0.02,,
,,,-58.68507196580355,320000,,260.2139833286393,37.51764239906126,0.0,,0.0,37.51764239906126,0.049819045,100,0.0,78.8838433879565,260.2139833286393,,0.13782352927462627,,78.8838433879565,,5.571397,,,,-58.68507196580355,0.15358897,-0.10376992,0.0,,,1370.3916141684956,100,,15,,0.014654097,1370.3916141684956,,15,0.0,,
,,,-69.67910855523597,340000,,1189.5768224479943,72.81107396197991,0.0,,0.0,72.81107396197991,0.29653046,100,0.03,217.99162482965596,1189.5768224479943,,0.17484750872704968,,217.99162482965596,,5.5634513,,,,-69.67910855523597,1.2619308,-0.9654004,0.0,,,11227.603442152196,100,,16,,0.0086738225,11227.603442152196,,16,0.03,,
,,,-55.17181443522909,360000,,1200.2152672199009,118.04665475661915,0.0,,0.0,118.04665475661915,0.2460547,100,0.04,308.5677805896074,1200.2152672199009,,0.15586112629938886,,308.5677805896074,,5.5741506,,,,-55.17181443522909,1.467086,-1.2210313,0.0,,,7614.242405341052,100,,17,,0.00474594,7614.242405341052,,17,0.04,,
,,,-72.69285964162512,380000,,1535.9023219776777,152.72111781705877,0.0,,0.0,152.72111781705877,0.5712004,100,0.03,458.99676991230166,1535.9023219776777,,0.14865996209622445,,458.99676991230166,,5.566811,,,,-72.69285964162512,1.7383835,-1.1671832,0.0,,,8759.756248415822,100,,18,,0.0069419867,8759.756248415822,,18,0.03,,
,,,-68.39407049315581,400000,,1248.4943674757449,138.28786027702847,0.0,,0.0,138.28786027702847,-0.5906406,100,0.01,399.9353867594435,1248.4943674757449,,0.19225258258744649,,399.9353867594435,,5.552546,,,,-68.39407049315581,1.2210176,-1.8116581,0.0,,,8117.978383154134,100,,19,,0.0051088226,8117.978383154134,,19,0.01,,
10,0.0,-32.15495436591507,-60.04513354440383,420000,0.0,1337.4240180796417,126.01981025637778,0.0,6285.507017973103,0.0,126.01981025637778,-0.04353828,100,0.02,352.2827669607812,1337.4240180796417,10,0.1762591733817026,11933.936386746109,352.2827669607812,-32.15495436591507,5.558482,6285.507017973103,11933.936386746109,35240.909098327385,-60.04513354440383,1.377753,-1.4212914,0.0,35240.909098327385,6285.5070179731065,8991.593311634904,100,0.2,20,2,0.006058303,8991.593311634904,0.2,20,0.02,6285.5070179731065,2
,,,-52.25670356292997,440000,,3976.5388143702585,323.7965604797401,0.0,,0.0,323.7965604797401,1.5038766,100,0.05,1173.7730473804406,3976.5388143702585,,0.21254813854412657,,1173.7730473804406,,5.5476913,,,,-52.25670356292997,5.631297,-4.1274204,0.0,,,27381.572078476256,100,,21,,0.006386046,27381.572078476256,,21,0.05,,
,,,-48.747151976049715,460000,,10280.46245204911,591.3311354723631,0.0,,0.0,591.3311354723631,-0.00185,100,0.05,2196.8740518056793,10280.46245204911,,0.22488556734920617,,2196.8740518056793,,5.5354714,,,,-48.747151976049715,13.639609,-13.641459,0.0,,,91985.76668833631,100,,22,,0.008600245,91985.76668833631,,22,0.05,,
,,,-39.68973086478058,480000,,7159.050038747517,486.16009111233853,0.0,,0.0,486.16009111233853,1.9987968,100,0.06,1890.1155851644428,7159.050038747517,,0.2140575787067941,,1890.1155851644428,,5.519691,,,,-39.68973086478058,9.076958,-7.078161,0.0,,,52829.16720263548,100,,23,,0.0072487127,52829.16720263548,,23,0.06,,
,,,-54.57894661771114,500000,,10464.69380514875,925.8338849028165,0.0,,0.0,925.8338849028165,-11.386997,100,0.07,3271.250749171747,10464.69380514875,,0.22708688529939935,,3271.250749171747,,5.494424,,,,-54.57894661771114,14.37183,-25.758827,0.0,,,67760.90566376952,100,,24,,0.00792316,67760.90566376952,,24,0.07,,
,,,-45.240690271716204,520000,,10938.022908012254,1111.0645584716328,0.0,,0.0,1111.0645584716328,7.3307548,100,0.07,3253.7921618414107,10938.022908012254,,0.24574178714020134,,3253.7921618414107,,5.4491267,,,,-45.240690271716204,11.627805,-4.29705,0.0,,,69701.6966416455,100,,25,,0.00698703,69701.6966416455,,25,0.07,,
,,,-74.56764011072782,540000,,7679.64450587327,593.8964032506314,0.0,,0.0,593.8964032506314,-2.821939,100,0.05,2089.1934030370317,7679.64450587327,,0.21617716084253036,,2089.1934030370317,,5.431582,,,,-74.56764011072782,8.757467,-11.579406,0.0,,,59944.36387878446,100,,26,,0.004979478,59944.36387878446,,26,0.05,,
