MetaTrain/Average/PolicyLoss,MetaTest/door-open-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/door-open-v1/NumTrajs,MetaTest/door-open-v1/Iteration,MetaTest/door-open-v1/StdReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTest/Average/Iteration,MetaTest/door-open-v1/MinReturn,MetaTest/door-open-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/door-open-v1/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/QfLoss,MetaTest/door-open-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/door-open-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/MinReturn
4.3848014,0.0,nan,10,0,3.0125607175569944,224000,3.0125607175569944,0,-30.28481364974266,-26.70394019099974,0.0,-26.703940190999738,10,-26.703940190999738,1.2116086,-19.42139509537588,-26.70394019099974,0.0,0.0,6.731063,-19.42139509537588,8.8274145,-30.28481364974266
14.367709,0.0,nan,10,1,4.027474466427841,248000,4.027474466427841,1,-28.233445849006255,-24.11084926580418,0.0,-24.110849265804177,10,-24.110849265804177,3.2867987,-14.776061457046339,-24.11084926580418,0.0,0.0,6.720744,-14.776061457046339,8.06812,-28.233445849006255
16.704268,0.0,nan,10,2,5.750315076210639,272000,5.750315076210639,2,-77.14634049331343,-65.41997889546631,0.0,-65.4199788954663,10,-65.4199788954663,71.73927,-58.25409946282445,-65.41997889546631,0.0,0.0,6.6956854,-58.25409946282445,7.82312,-77.14634049331343
14.889518,0.0,nan,10,3,5.257065735165119,296000,5.257065735165119,3,-40.76911129443626,-27.99416584807912,0.2,-27.99416584807912,10,-27.99416584807912,104.218376,-22.09682609452119,-27.99416584807912,0.0,0.2,6.6182184,-22.09682609452119,16.878798,-40.76911129443626
9.028868,0.0,nan,10,4,10.940489785904651,320000,10.940489785904651,4,-48.69595497475633,-27.75043543720313,0.0,-27.750435437203116,10,-27.750435437203116,114.53769,-17.839815579398657,-27.75043543720313,0.0,0.0,6.440919,-17.839815579398657,11.465116,-48.69595497475633
-30.40486,0.0,nan,10,5,6.260585558076145,344000,6.260585558076145,5,-42.66696879621393,-34.00738846348187,0.0,-34.007388463481874,10,-34.007388463481874,706.9629,-24.39972938619331,-34.00738846348187,0.0,0.0,5.696158,-24.39972938619331,8.788252,-42.66696879621393
-95.68249,0.0,nan,10,6,6.969008688789872,368000,6.969008688789872,6,-37.83384456580468,-21.09762621960002,0.0,-21.097626219600013,10,-21.097626219600013,1060.9032,-15.521823940836219,-21.09762621960002,0.0,0.0,4.5391574,-15.521823940836219,9.256256,-37.83384456580468
-260.92993,0.0,nan,10,7,12.312608422690067,392000,12.312608422690067,7,-62.334470948143526,-26.19346695964727,0.0,-26.19346695964726,10,-26.19346695964726,5381.59,-17.97994996760352,-26.19346695964727,0.0,0.0,2.4726,-17.97994996760352,17.986914,-62.334470948143526
-505.64087,0.0,nan,10,8,2511.0059867596315,416000,2511.0059867596315,8,-18.56421513478859,2532.714387800779,0.0,2532.7143878007782,10,2532.7143878007782,11518.713,6687.313436917753,2532.714387800779,0.0,0.0,1.6572425,6687.313436917753,38.832188,-18.56421513478859
-1166.8104,0.0,nan,10,9,2162.754452033761,440000,2162.754452033761,9,-43.69883415579363,1428.494240152653,0.0,1428.4942401526516,10,1428.4942401526516,33014.957,7134.456756319212,1428.494240152653,0.0,0.0,0.15360405,7134.456756319212,56.14496,-43.69883415579363
-2142.8442,0.0,nan,10,10,9042.546975113284,464000,9042.546975113284,10,466.10738644885384,9837.182653946416,0.1,9837.182653946418,10,9837.182653946418,77294.766,22146.11958494455,9837.182653946416,0.0,0.1,-2.5797405,22146.11958494455,90.684166,466.10738644885384
-4605.916,0.0,nan,10,11,9214.734654567814,488000,9214.734654567814,11,45.34159356874757,4897.852582030595,0.1,4897.852582030599,10,4897.852582030599,160689.69,30615.42614504279,4897.852582030595,0.0,0.1,-5.9472833,30615.42614504279,83.58618,45.34159356874757
-7756.327,0.0,nan,10,12,5874.408208384553,512000,5874.408208384553,12,-45.515658344540505,5425.698580379069,0.1,5425.6985803790685,10,5425.6985803790685,284431.3,18510.617828614577,5425.698580379069,0.0,0.1,-8.896241,18510.617828614577,125.69422,-45.515658344540505
-9683.823,0.0,nan,10,13,2554.1525624930587,536000,2554.1525624930587,13,82.01617535995095,3078.7899166969455,0.1,3078.7899166969437,10,3078.7899166969437,383334.66,7240.280149095101,3078.7899166969455,0.0,0.1,-8.985849,7240.280149095101,201.43979,82.01617535995095
-11155.922,0.0,nan,10,14,8007.522915615669,560000,8007.522915615669,14,-93.66188985531286,8847.402470742547,0.0,8847.402470742547,10,8847.402470742547,477602.94,23005.16738301812,8847.402470742547,0.0,0.0,-8.791456,23005.16738301812,312.52744,-93.66188985531286
-13957.529,0.0,nan,10,15,3349.293074158842,584000,3349.293074158842,15,-23.270032918174085,3883.037687967445,0.1,3883.0376879674427,10,3883.0376879674427,545159.9,8771.564157752728,3883.037687967445,0.0,0.1,-9.365058,8771.564157752728,316.6732,-23.270032918174085
-19271.535,0.0,nan,10,16,2099.3136269142933,608000,2099.3136269142933,16,-10.678191049420203,2266.0412442287743,0.1,2266.0412442287748,10,2266.0412442287748,709466.4,6723.945342720994,2266.0412442287743,0.0,0.1,-10.363171,6723.945342720994,240.20416,-10.678191049420203
-14448.448,0.0,nan,10,17,5007.169662039495,632000,5007.169662039495,17,-140.29413219854086,1584.5529177140265,0.1,1584.5529177140274,10,1584.5529177140274,892132.7,16605.634718035835,1584.5529177140265,0.0,0.1,-9.871865,16605.634718035835,1062.0815,-140.29413219854086
-22087.676,0.0,nan,10,18,12056.037882060304,656000,12056.037882060304,18,-139.7279987823462,6024.440016712336,0.4,6024.440016712336,10,6024.440016712336,1972132.6,36456.062754320796,6024.440016712336,0.0,0.4,-12.578004,36456.062754320796,800.35,-139.7279987823462
-30494.443,0.0,nan,10,19,2593.294318005106,680000,2593.294318005106,19,-115.28957468377304,1137.4213974897061,0.4,1137.4213974897066,10,1137.4213974897066,3599204.8,8259.885681306123,1137.4213974897061,0.0,0.4,-15.255134,8259.885681306123,2120.1958,-115.28957468377304
-31663.324,0.0,nan,10,20,57038.82422862419,704000,57038.82422862419,20,-22.19874350495791,24474.15723963389,0.4,24474.157239633896,10,24474.157239633896,4030924.5,193524.06518939047,24474.15723963389,0.0,0.4,-14.382161,193524.06518939047,1495.6672,-22.19874350495791
-32849.11,0.0,nan,10,21,7240.094909629656,728000,7240.094909629656,21,-58.912374056025726,5055.057185958432,0.9,5055.0571859584325,10,5055.0571859584325,5271358.0,18731.120203068178,5055.057185958432,0.0,0.9,-13.535846,18731.120203068178,1108.1932,-58.912374056025726
-56283.523,0.0,nan,10,22,47348.5254599208,752000,47348.5254599208,22,-57.47543105905639,22109.961788830446,0.8,22109.961788830453,10,22109.961788830453,10000077.0,162608.4815838277,22109.961788830446,0.0,0.8,-16.519533,162608.4815838277,1636.8273,-57.47543105905639
-82125.266,0.0,nan,10,23,83302.22027220207,776000,83302.22027220207,23,-15.850427764187007,78696.98091801359,0.9,78696.9809180136,10,78696.9809180136,14122414.0,225934.49235598615,78696.98091801359,0.0,0.9,-18.762722,225934.49235598615,837.81165,-15.850427764187007
-105485.1,0.0,nan,10,24,68757.32894922023,800000,68757.32894922023,24,1198.5219354761282,53957.430623724256,0.9,53957.43062372426,10,53957.43062372426,19660410.0,187993.08473688774,53957.430623724256,0.0,0.9,-20.27581,187993.08473688774,816.401,1198.5219354761282
-125639.19,0.0,nan,10,25,46120.397077532594,824000,46120.397077532594,25,-14.24420331111917,53947.16901172408,1.0,53947.1690117241,10,53947.1690117241,25001602.0,145107.9169504301,53947.16901172408,0.0,1.0,-21.338413,145107.9169504301,604.4335,-14.24420331111917
-147504.61,0.0,nan,10,26,51840.530541619955,848000,51840.530541619955,26,8363.408245916458,58026.93413491751,1.0,58026.93413491752,10,58026.93413491752,31786418.0,198427.81524460076,58026.93413491751,0.0,1.0,-22.164043,198427.81524460076,618.1645,8363.408245916458
-165868.92,0.0,nan,10,27,54035.75427583112,872000,54035.75427583112,27,-14.916858429173896,43054.16398558967,1.0,43054.16398558965,10,43054.16398558965,39247256.0,183375.69451757654,43054.16398558967,0.0,1.0,-23.764074,183375.69451757654,673.0295,-14.916858429173896
-172139.3,0.0,nan,10,28,38716.51913310687,896000,38716.51913310687,28,674.4251153748481,50377.83883098536,1.0,50377.83883098537,10,50377.83883098537,45093710.0,128699.98448849436,50377.83883098536,0.0,1.0,-24.593449,128699.98448849436,619.1194,674.4251153748481
-189734.94,0.0,nan,10,29,66040.36749901889,920000,66040.36749901889,29,64.18216847588593,88486.7890164956,1.0,88486.78901649563,10,88486.78901649563,55984496.0,177452.39072693934,88486.7890164956,0.0,1.0,-25.508146,177452.39072693934,2625.2227,64.18216847588593
-216054.45,0.0,nan,10,30,66890.43280981501,944000,66890.43280981501,30,-16.928843237314815,54346.27469029613,0.7,54346.274690296115,10,54346.274690296115,72293370.0,185802.30843095182,54346.27469029613,0.0,0.7,-26.221691,185802.30843095182,4570.101,-16.928843237314815
-249133.34,0.0,nan,10,31,56905.82877875282,968000,56905.82877875282,31,5841.641200463642,51854.77378742255,1.0,51854.77378742254,10,51854.77378742254,89107020.0,204887.75775336407,51854.77378742255,0.0,1.0,-26.684298,204887.75775336407,2336.673,5841.641200463642
-264291.62,0.0,nan,10,32,74694.96538283647,992000,74694.96538283647,32,2475.70782021507,91422.92323373622,1.0,91422.92323373625,10,91422.92323373625,103782776.0,229210.55467612948,91422.92323373622,0.0,1.0,-27.176481,229210.55467612948,903.6981,2475.70782021507
-303460.97,0.0,nan,10,33,82797.4622162661,1016000,82797.4622162661,33,21323.740231557596,96254.81094379329,1.0,96254.81094379326,10,96254.81094379326,132490856.0,296932.2954945005,96254.81094379329,0.0,1.0,-27.709055,296932.2954945005,961.94385,21323.740231557596
-340467.53,0.0,nan,10,34,104237.44295758197,1040000,104237.44295758197,34,8064.116443933784,145254.44145527697,1.0,145254.44145527697,10,145254.44145527697,155736300.0,307515.13131416397,145254.44145527697,0.0,1.0,-28.38087,307515.13131416397,774.5167,8064.116443933784
-356925.0,0.0,nan,10,35,94058.81412407514,1064000,94058.81412407514,35,124.37968366629975,126968.92780351597,0.9,126968.92780351592,10,126968.92780351592,168055500.0,237475.72195394852,126968.92780351597,0.0,0.9,-28.739895,237475.72195394852,632.2129,124.37968366629975
-380760.25,0.0,nan,10,36,78487.93695908035,1088000,78487.93695908035,36,4162.764071225285,75662.13753631871,1.0,75662.13753631871,10,75662.13753631871,182682820.0,218581.28952176124,75662.13753631871,0.0,1.0,-29.08934,218581.28952176124,665.01776,4162.764071225285
-396792.3,0.0,nan,10,37,69353.22604412449,1112000,69353.22604412449,37,42178.680876182654,133996.58557787497,0.9,133996.58557787494,10,133996.58557787494,195484750.0,256632.62697030528,133996.58557787497,0.0,0.9,-29.296562,256632.62697030528,730.44,42178.680876182654
-406353.66,0.0,nan,10,38,87669.71520047629,1136000,87669.71520047629,38,11442.145119422374,142285.03507753147,1.0,142285.03507753141,10,142285.03507753141,213984830.0,255824.60067679457,142285.03507753147,0.0,1.0,-29.627016,255824.60067679457,835.1788,11442.145119422374
-422474.25,0.0,nan,10,39,81653.93168592556,1160000,81653.93168592556,39,54155.768149643605,224356.89491494946,1.0,224356.89491494955,10,224356.89491494955,236070640.0,303035.0611155946,224356.89491494946,0.0,1.0,-30.101845,303035.0611155946,565.2886,54155.768149643605
-439082.1,0.0,nan,10,40,59951.90396376474,1184000,59951.90396376474,40,10002.029495209825,136725.13547326095,0.7,136725.13547326095,10,136725.13547326095,267036000.0,205974.41282261076,136725.13547326095,0.0,0.7,-30.550735,205974.41282261076,505.53958,10002.029495209825
-465167.97,0.0,nan,10,41,91492.61038708885,1208000,91492.61038708885,41,14426.497811163024,174923.3740855549,0.9,174923.37408555485,10,174923.37408555485,303531070.0,288008.16167041665,174923.3740855549,0.0,0.9,-30.743567,288008.16167041665,459.97046,14426.497811163024
-487072.38,0.0,nan,10,42,74960.40834999066,1232000,74960.40834999066,42,63480.65869283773,205619.93339178065,0.9,205619.93339178068,10,205619.93339178068,337510400.0,293076.27788948215,205619.93339178065,0.0,0.9,-30.712738,293076.27788948215,404.17606,63480.65869283773
-521702.94,0.0,nan,10,43,102124.6530917781,1256000,102124.6530917781,43,35244.46547522081,185864.8549807045,1.0,185864.85498070455,10,185864.85498070455,385816800.0,316799.6481585346,185864.8549807045,0.0,1.0,-30.761417,316799.6481585346,454.4037,35244.46547522081
-555268.6,0.0,nan,10,44,56914.11918295427,1280000,56914.11918295427,44,99964.41642757879,250540.4390763329,1.0,250540.4390763329,10,250540.4390763329,421370980.0,303290.1214713525,250540.4390763329,0.0,1.0,-30.82958,303290.1214713525,474.9758,99964.41642757879
-581726.2,0.0,nan,10,45,91290.71676482586,1304000,91290.71676482586,45,16662.321912748997,223957.79857304116,1.0,223957.79857304116,10,223957.79857304116,450040160.0,301438.7962964336,223957.79857304116,0.0,1.0,-30.650522,301438.7962964336,498.69333,16662.321912748997
-612001.7,0.0,nan,10,46,89961.93499996077,1328000,89961.93499996077,46,11539.625640900073,174475.68098451846,0.9,174475.68098451843,10,174475.68098451843,481506300.0,283027.21698395687,174475.68098451846,0.0,0.9,-30.332148,283027.21698395687,433.61676,11539.625640900073
-637090.44,0.0,nan,10,47,96814.61372836011,1352000,96814.61372836011,47,595.3622732478891,110473.31351922441,0.6,110473.31351922438,10,110473.31351922438,502047040.0,276846.1189313251,110473.31351922441,0.0,0.6,-30.219593,276846.1189313251,453.59396,595.3622732478891
-657638.25,0.0,nan,10,48,115147.96651404863,1376000,115147.96651404863,48,14507.533693901356,174656.582617482,1.0,174656.58261748202,10,174656.58261748202,513312670.0,298903.4300943479,174656.582617482,0.0,1.0,-30.077383,298903.4300943479,489.903,14507.533693901356
-679619.7,0.0,nan,10,49,100691.40982479267,1400000,100691.40982479267,49,922.9814270694715,147068.68037414207,1.0,147068.68037414204,10,147068.68037414204,522307840.0,299459.8098528566,147068.68037414207,0.0,1.0,-30.228844,299459.8098528566,513.13696,922.9814270694715
-684389.7,0.0,nan,10,50,98527.62457696778,1424000,98527.62457696778,50,-16.1035838975061,196242.3949652905,0.9,196242.39496529047,10,196242.39496529047,527293300.0,306200.3164757377,196242.3949652905,0.0,0.9,-30.43008,306200.3164757377,792.3529,-16.1035838975061
-698551.06,0.0,nan,10,51,94159.663945031,1448000,94159.663945031,51,387.5069373353678,84663.95095071934,0.7,84663.95095071937,10,84663.95095071937,558351800.0,266892.13811660267,84663.95095071934,0.0,0.7,-30.412357,266892.13811660267,1963.3818,387.5069373353678
-705961.25,0.0,nan,10,52,78664.4879084359,1472000,78664.4879084359,52,49320.549816687344,181067.70867032226,1.0,181067.70867032223,10,181067.70867032223,584149760.0,289335.3365153996,181067.70867032226,0.0,1.0,-30.348621,289335.3365153996,873.1594,49320.549816687344
-722177.25,0.0,nan,10,53,93773.0638056367,1496000,93773.0638056367,53,10086.05853153188,162340.33394307297,0.8,162340.33394307297,10,162340.33394307297,595823550.0,283667.08508014283,162340.33394307297,0.0,0.8,-30.29966,283667.08508014283,862.36273,10086.05853153188
-723385.8,0.0,nan,10,54,59644.561692796626,1520000,59644.561692796626,54,119544.69976993826,192408.5283686411,1.0,192408.52836864104,10,192408.52836864104,597962940.0,302681.3620365032,192408.5283686411,0.0,1.0,-30.355278,302681.3620365032,1140.7963,119544.69976993826
-716229.0,0.0,nan,10,55,53763.84763081802,1544000,53763.84763081802,55,71984.20428715406,153269.01697299146,0.9,153269.01697299146,10,153269.01697299146,612425540.0,258832.06532138248,153269.01697299146,0.0,0.9,-30.513086,258832.06532138248,1273.6223,71984.20428715406
-737731.7,0.0,nan,10,56,62657.45898447003,1568000,62657.45898447003,56,33084.92746848152,170978.70781307793,1.0,170978.70781307793,10,170978.70781307793,649522800.0,254853.28930292765,170978.70781307793,0.0,1.0,-30.538315,254853.28930292765,726.83264,33084.92746848152
-760927.0,0.0,nan,10,57,109651.54665256562,1592000,109651.54665256562,57,15883.598853999694,148021.9995603236,0.8,148021.9995603235,10,148021.9995603235,678976100.0,293504.1304758861,148021.9995603236,0.0,0.8,-30.293394,293504.1304758861,866.7922,15883.598853999694
-767630.94,0.0,nan,10,58,93984.91504703781,1616000,93984.91504703781,58,5499.757400617294,139367.01584272058,0.8,139367.01584272058,10,139367.01584272058,675677300.0,300893.6790413425,139367.01584272058,0.0,0.8,-30.256184,300893.6790413425,715.3464,5499.757400617294
-773242.94,0.0,nan,10,59,109445.8840812843,1640000,109445.8840812843,59,-27.977079877711272,100997.17486321348,0.7,100997.17486321351,10,100997.17486321351,684060800.0,273456.8219968307,100997.17486321348,0.0,0.7,-30.234241,273456.8219968307,705.91077,-27.977079877711272
-794492.6,0.0,nan,10,60,81451.28014958513,1664000,81451.28014958513,60,9971.982708889116,184571.2900228325,1.0,184571.29002283252,10,184571.29002283252,708635000.0,283890.05944272655,184571.2900228325,0.0,1.0,-30.005232,283890.05944272655,672.6215,9971.982708889116
-814274.7,0.0,nan,10,61,70596.95336183913,1688000,70596.95336183913,61,88000.9148394329,188236.74494626702,1.0,188236.74494626702,10,188236.74494626702,703672400.0,297300.41862184514,188236.74494626702,0.0,1.0,-30.01668,297300.41862184514,539.8738,88000.9148394329
-818716.2,0.0,nan,10,62,84189.13212311377,1712000,84189.13212311377,62,40728.88681543978,194110.91436040137,1.0,194110.9143604013,10,194110.9143604013,705153100.0,289824.6609327089,194110.91436040137,0.0,1.0,-29.861557,289824.6609327089,577.70337,40728.88681543978
-820156.75,0.0,nan,10,63,36422.2890568558,1736000,36422.2890568558,63,185264.30394499798,256334.40227304088,1.0,256334.4022730409,10,256334.4022730409,702772350.0,294894.11107927945,256334.40227304088,0.0,1.0,-29.818905,294894.11107927945,506.07736,185264.30394499798
-821684.4,0.0,nan,10,64,94486.80299309855,1760000,94486.80299309855,64,24562.53691119186,151733.3341158318,1.0,151733.3341158317,10,151733.3341158317,703469300.0,306973.28114950773,151733.3341158318,0.0,1.0,-29.943344,306973.28114950773,704.062,24562.53691119186
-827261.7,0.0,nan,10,65,51332.56518352765,1784000,51332.56518352765,65,141176.73421873426,244652.54172488145,1.0,244652.5417248814,10,244652.5417248814,706671000.0,315372.6601798828,244652.54172488145,0.0,1.0,-29.85387,315372.6601798828,966.87164,141176.73421873426
-841577.44,0.0,nan,10,66,112525.94279539297,1808000,112525.94279539297,66,-44.79577850647012,116486.42732268537,0.5,116486.42732268537,10,116486.42732268537,728518300.0,280669.37868983526,116486.42732268537,0.0,0.5,-30.010996,280669.37868983526,669.9424,-44.79577850647012
-840701.44,0.0,nan,10,67,109620.18478060537,1832000,109620.18478060537,67,22718.81492328683,169362.85281459786,0.9,169362.85281459783,10,169362.85281459783,731658750.0,304763.46854793007,169362.85281459786,0.0,0.9,-30.004816,304763.46854793007,578.462,22718.81492328683
-844002.94,0.0,nan,10,68,70114.45774156926,1856000,70114.45774156926,68,85635.98962591395,215021.6188660233,1.0,215021.61886602332,10,215021.61886602332,735898000.0,287015.3101265387,215021.6188660233,0.0,1.0,-29.951876,287015.3101265387,376.92227,85635.98962591395
-842713.44,0.0,nan,10,69,47662.294024125506,1880000,47662.294024125506,69,99832.08805512296,146022.20436383554,1.0,146022.20436383548,10,146022.20436383548,738853500.0,235759.48949478674,146022.20436383554,0.0,1.0,-30.103617,235759.48949478674,534.44495,99832.08805512296
-855950.75,0.0,nan,10,70,109912.3038086569,1904000,109912.3038086569,70,-38.801245419661456,147515.28684244922,0.8,147515.28684244925,10,147515.28684244925,756877400.0,308046.2698576486,147515.28684244922,0.0,0.8,-30.273968,308046.2698576486,1649.8539,-38.801245419661456
-860682.6,0.0,nan,10,71,65837.19049140073,1928000,65837.19049140073,71,56519.13014082535,159998.5754116475,0.9,159998.5754116475,10,159998.5754116475,768479900.0,241091.51564554466,159998.5754116475,0.0,0.9,-30.443497,241091.51564554466,1204.126,56519.13014082535
-850051.8,0.0,nan,10,72,91196.43010449223,1952000,91196.43010449223,72,3028.8254789654407,172848.85631200665,0.9,172848.85631200668,10,172848.85631200668,757767360.0,284925.0922188212,172848.85631200665,0.0,0.9,-30.521227,284925.0922188212,1181.9608,3028.8254789654407
-859164.5,0.0,nan,10,73,76747.47227673806,1976000,76747.47227673806,73,-29.05331114693925,168621.03372372384,0.9,168621.03372372378,10,168621.03372372378,771766600.0,250758.19096537886,168621.03372372384,0.0,0.9,-30.733816,250758.19096537886,1043.3451,-29.05331114693925
-877829.25,0.0,nan,10,74,95089.7235618795,2000000,95089.7235618795,74,55438.4526480374,201137.99161973334,1.0,201137.99161973337,10,201137.99161973337,812664000.0,316597.1893013398,201137.99161973334,0.0,1.0,-30.879507,316597.1893013398,2456.9355,55438.4526480374
-879599.94,0.0,nan,10,75,94352.28933019536,2024000,94352.28933019536,75,21788.93180179036,150769.6228444854,0.8,150769.6228444854,10,150769.6228444854,790304800.0,293134.4560136702,150769.6228444854,0.0,0.8,-30.977915,293134.4560136702,1325.323,21788.93180179036
-872414.2,0.0,nan,10,76,99208.96301782773,2048000,99208.96301782773,76,14834.234099933057,156491.48634252738,0.9,156491.48634252738,10,156491.48634252738,780447600.0,289060.54992644617,156491.48634252738,0.0,0.9,-31.041153,289060.54992644617,750.98846,14834.234099933057
-866825.5,0.0,nan,10,77,63377.66563453961,2072000,63377.66563453961,77,98600.8665087548,184396.118443592,1.0,184396.11844359201,10,184396.11844359201,786501300.0,277161.53470637737,184396.118443592,0.0,1.0,-31.036003,277161.53470637737,1703.4507,98600.8665087548
-869499.3,0.0,nan,10,78,105490.48304755174,2096000,105490.48304755174,78,-50.389652344613054,135376.49578976614,0.9,135376.49578976617,10,135376.49578976617,782782140.0,305796.90071847686,135376.49578976614,0.0,0.9,-31.169952,305796.90071847686,794.1338,-50.389652344613054
-872183.25,0.0,nan,10,79,87969.85357858756,2120000,87969.85357858756,79,-10.468893666046359,149014.621452194,0.9,149014.62145219397,10,149014.62145219397,787623000.0,262878.34001016873,149014.621452194,0.0,0.9,-31.106071,262878.34001016873,1007.5528,-10.468893666046359
-873727.44,0.0,nan,10,80,75101.46657308089,2144000,75101.46657308089,80,6862.97717983067,90313.92517864965,0.8,90313.92517864968,10,90313.92517864968,778636300.0,242251.90868425719,90313.92517864965,0.0,0.8,-30.913485,242251.90868425719,962.90326,6862.97717983067
