MetaTest/handle-press-side-v1/Iteration,MetaTest/Average/NumEpisodes,Average/AverageReturn,policy/Entropy,MetaTest/Average/SuccessRate,policy/LossAfter,MetaTest/handle-press-side-v1/MinReturn,MetaTest/Average/TerminationRate,handle-press-side-v1/MaxReturn,MetaTest/Average/Iteration,Average/SuccessRate,MetaTest/handle-press-side-v1/AverageReturn,policy/KL,Average/MaxReturn,handle-press-side-v1/StdReturn,MetaTest/Average/StdReturn,handle-press-side-v1/MinReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/MaxReturn,handle-press-side-v1/SuccessRate,MetaTest/Average/AverageReturn,handle-press-side-v1/AverageDiscountedReturn,handle-press-side-v1/TerminationRate,handle-press-side-v1/Iteration,Average/NumEpisodes,Average/TerminationRate,policy/dLoss,MetaTest/handle-press-side-v1/StdReturn,MetaTest/handle-press-side-v1/AverageDiscountedReturn,MetaTest/handle-press-side-v1/NumEpisodes,MetaTest/handle-press-side-v1/TerminationRate,policy/KLBefore,MetaTest/handle-press-side-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/handle-press-side-v1/SuccessRate,Average/StdReturn,Average/MinReturn,Average/Iteration,Average/AverageDiscountedReturn,handle-press-side-v1/NumEpisodes,handle-press-side-v1/AverageReturn,TotalEnvSteps
0,10,-64.5071975859591,5.6836267,0.0,-0.04332805,-77.74452771350519,0.0,-43.37550882001232,0,0.0,-65.35991878657664,0.0052378825,-43.37550882001232,9.196211735034968,9.078395616230996,-87.05632069708992,0.5019046813106015,-52.248127269686556,0.0,-65.35991878657664,-23.879785670060652,0.0,0,100,0.0,0.018944925,9.078395616230996,-65.35991878657664,10,0.0,0.0,-52.248127269686556,-65.35991878657664,-77.74452771350519,-0.024383126,0.0,9.196211735034968,-87.05632069708992,0,-23.879785670060652,100,-64.5071975859591,20000
,,-55.78430807891453,5.6917796,,-0.033531103,,,-38.16613337408199,,0.0,,0.018639538,-38.16613337408199,8.801018210659711,,-79.06863905986826,0.5447691330329962,,0.0,,-21.15440052229566,0.0,1,100,0.0,0.01830427,,,,,0.0,,,,-0.015226834,,8.801018210659711,-79.06863905986826,1,-21.15440052229566,100,-55.78430807891453,40000
,,26.663406138048185,5.66031,,-0.75000477,,,1651.3614676214647,,0.0,,0.0208764,1651.3614676214647,293.44396871190185,,-63.358654457960704,0.11815445874659902,,0.0,,6.199381839521862,0.0,2,100,0.0,0.46180692,,,,,0.0,,,,-0.28819785,,293.44396871190185,-63.358654457960704,2,6.199381839521862,100,26.663406138048185,60000
,,417.63141521381607,5.6365123,,-0.49175897,,,4114.829311972023,,0.0,,0.0066431565,4114.829311972023,758.4917202962569,,-53.38174252573391,0.16164997773386303,,0.0,,158.34627104472045,0.0,3,100,0.0,1.0628078,,,,,0.0,,,,0.57104886,,758.4917202962569,-53.38174252573391,3,158.34627104472045,100,417.63141521381607,80000
,,593.8791267121611,5.606231,,-0.88868415,,,4614.85514300614,,0.0,,0.010150084,4614.85514300614,1033.7970048666327,,-48.89291242231507,0.1974051943691839,,0.0,,282.32235489826763,0.0,4,100,0.0,1.1199566,,,,,0.0,,,,0.23127246,,1033.7970048666327,-48.89291242231507,4,282.32235489826763,100,593.8791267121611,100000
,,976.1736568221933,5.6006494,,-0.13309766,,,13203.768365043321,,0.0,,0.005044191,13203.768365043321,2015.2661614304022,,-60.68895179714854,0.1986312801126171,,0.0,,424.20713055015904,0.0,5,100,0.0,1.6644117,,,,,0.0,,,,1.531314,,2015.2661614304022,-60.68895179714854,5,424.20713055015904,100,976.1736568221933,120000
,,1316.1427780725187,5.574163,,0.950068,,,8270.965018038092,,0.0,,0.0049628885,8270.965018038092,1963.193453458491,,-47.67133530543165,0.05898608628362478,,0.0,,602.0629300293137,0.0,6,100,0.0,2.5432618,,,,,0.0,,,,3.4933298,,1963.193453458491,-47.67133530543165,6,602.0629300293137,100,1316.1427780725187,140000
,,1569.5722053522225,5.523797,,-1.0505937,,,12669.206610929574,,0.0,,0.006423687,12669.206610929574,2512.625091604007,,-44.111146897677926,0.2717438868461063,,0.0,,744.4025841406072,0.0,7,100,0.0,2.2755947,,,,,0.0,,,,1.225001,,2512.625091604007,-44.111146897677926,7,744.4025841406072,100,1569.5722053522225,160000
,,1995.174844691216,5.493777,,-0.5189258,,,12928.538367317014,,0.0,,0.0051540323,12928.538367317014,2880.1862843618333,,-54.77154614030039,0.18349893678452334,,0.0,,955.5684566252082,0.0,8,100,0.0,2.8132062,,,,,0.0,,,,2.2942805,,2880.1862843618333,-54.77154614030039,8,955.5684566252082,100,1995.174844691216,180000
,,2085.871316669912,5.490372,,-1.8202043,,,18532.398994285097,,0.0,,0.0050890753,18532.398994285097,3082.0277125306493,,-50.871499080716994,0.21181647762622557,,0.0,,1025.442676936434,0.0,9,100,0.0,2.857607,,,,,0.0,,,,1.0374027,,3082.0277125306493,-50.871499080716994,9,1025.442676936434,100,2085.871316669912,200000
1,10,2878.0663004865114,5.4802933,0.0,-2.133947,-26.207638759007104,0.0,13634.822232452725,1,0.0,1440.6147339167946,0.005403072,13634.822232452725,3602.472285420255,2244.062555299836,-58.23267158289819,0.1795650518605867,7262.539318169284,0.0,1440.6147339167946,1352.329312171952,0.0,10,100,0.0,3.9043703,2244.062555299836,1440.6147339167946,10,0.0,0.0,7262.539318169284,1440.6147339167946,-26.207638759007104,1.7704234,0.0,3602.472285420255,-58.23267158289819,10,1352.329312171952,100,2878.0663004865114,220000
