MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/dial-turn-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTest/dial-turn-v1/TerminationRate,MetaTest/dial-turn-v1/StdReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/Alpha,MetaTest/dial-turn-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/dial-turn-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/dial-turn-v1/NumTrajs,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/dial-turn-v1/MinReturn,MetaTest/dial-turn-v1/Iteration,MetaTest/Average/TerminationRate
4.080251462281971,224000,-10.058048872390021,-16.0413246485951,10,0.0,0.0,4.080251462281971,-16.0413246485951,-10.058048872390021,nan,-16.041324648595094,-1.0997101,0.0,1.6098754,-23.07607964815448,8.183267,-16.041324648595094,10,0,6.729427,-23.07607964815448,0,0.0
3.6492900508223016,248000,-25.887127859527777,-33.354167208262695,10,0.0,0.0,3.6492900508223016,-33.354167208262695,-25.887127859527777,nan,-33.354167208262695,-0.77789,0.0,30.653975,-39.763706546022334,7.9419627,-33.354167208262695,10,1,6.713244,-39.763706546022334,1,0.0
3.506592984966659,272000,-40.03690124171012,-43.139832049949376,10,0.0,0.0,3.506592984966659,-43.139832049949376,-40.03690124171012,nan,-43.139832049949376,-18.693977,0.0,16595.826,-50.334158212704516,12.805972,-43.139832049949376,10,2,5.9808583,-50.334158212704516,2,0.0
12.630148867905922,296000,-11.10435197853257,-33.061401675486636,10,0.2,0.0,12.630148867905922,-33.061401675486636,-11.10435197853257,nan,-33.06140167548664,-44.86692,0.2,14129.662,-52.51939677571664,11.673934,-33.06140167548664,10,3,6.0352516,-52.51939677571664,3,0.0
21.84874324309671,320000,-19.075296931041105,-47.06119839404758,10,0.4,0.0,21.84874324309671,-47.06119839404758,-19.075296931041105,nan,-47.06119839404757,6.7778497,0.4,12943.76,-81.99318939935235,133.20554,-47.06119839404757,10,4,5.952084,-81.99318939935235,4,0.0
20.69125537558305,344000,-47.59908494801845,-72.06011792638762,10,0.0,0.0,20.69125537558305,-72.06011792638762,-47.59908494801845,nan,-72.06011792638765,-272.40393,0.0,18382.316,-99.7964002385501,254.51788,-72.06011792638765,10,5,5.432891,-99.7964002385501,5,0.0
8.852682789587965,368000,-65.6086780861419,-77.41495755379717,10,0.2,0.0,8.852682789587965,-77.41495755379717,-65.6086780861419,nan,-77.41495755379718,-3499.13,0.2,140626.14,-89.15509441321213,136.87741,-77.41495755379718,10,6,-2.3193982,-89.15509441321213,6,0.0
10.331155305681959,392000,-50.70860148691338,-62.750551499459775,10,0.0,0.0,10.331155305681959,-62.750551499459775,-50.70860148691338,nan,-62.75055149945975,-5082.523,0.0,55323.523,-77.55788926683188,47.620277,-62.75055149945975,10,7,-6.9653535,-77.55788926683188,7,0.0
6.378318245076851,416000,-31.879802004313976,-43.772391210835316,10,0.2,0.0,6.378318245076851,-43.772391210835316,-31.879802004313976,nan,-43.772391210835316,-5319.584,0.2,50781.48,-49.520639798263254,171.37268,-43.772391210835316,10,8,-4.5033455,-49.520639798263254,8,0.0
11.951713632873778,440000,-27.902009621570706,-48.415035034512,10,0.3,0.0,11.951713632873778,-48.415035034512,-27.902009621570706,nan,-48.415035034512016,-4519.2856,0.3,56447.12,-64.61874907244278,285.5511,-48.415035034512016,10,9,0.90751666,-64.61874907244278,9,0.0
8.908900429077248,464000,-27.80985638983597,-42.76749229340128,10,0.3,0.0,8.908900429077248,-42.76749229340128,-27.80985638983597,nan,-42.76749229340129,-4111.79,0.3,50474.5,-54.554509216778214,144.34799,-42.76749229340129,10,10,0.742981,-54.554509216778214,10,0.0
6.247336889647146,488000,-47.93002907907956,-60.785992348258034,10,0.0,0.0,6.247336889647146,-60.785992348258034,-47.93002907907956,nan,-60.78599234825803,-1722.1024,0.0,8662155.0,-67.4338622371335,3058.0718,-60.78599234825803,10,11,4.0233855,-67.4338622371335,11,0.0
7.384055521043354,512000,-89.0053284425101,-97.30912924219551,10,0.0,0.0,7.384055521043354,-97.30912924219551,-89.0053284425101,nan,-97.30912924219562,-192.57025,0.0,163995.95,-108.50028702711212,1639.3439,-97.30912924219562,10,12,2.8997598,-108.50028702711212,12,0.0
11.772581370934907,536000,-98.17992514265528,-113.07665995964992,10,0.0,0.0,11.772581370934907,-113.07665995964992,-98.17992514265528,nan,-113.07665995964992,-921.3244,0.0,62605.625,-135.0153053650773,818.51215,-113.07665995964992,10,13,2.313622,-135.0153053650773,13,0.0
27.95652542773985,560000,-17.43809856107727,-40.26412663200233,10,0.1,0.0,27.95652542773985,-40.26412663200233,-17.43809856107727,nan,-40.264126632002345,-763.2356,0.1,86647.52,-121.58435795244151,656.8467,-40.264126632002345,10,14,1.4034573,-121.58435795244151,14,0.0
6040.3688398669865,584000,20081.66381914755,1960.6536378895757,10,0.1,0.0,6040.3688398669865,1960.6536378895757,20081.66381914755,nan,1960.6536378895755,-4484.1445,0.1,185292.45,-108.22330378128221,421.3405,1960.6536378895755,10,15,-4.284486,-108.22330378128221,15,0.0
