MetaTest/Average/AverageReturn,Average/SuccessRate,pick-place-wall-v1/MaxReturn,MetaTest/pick-place-wall-v1/Iteration,LinearFeatureBaseline/ExplainedVariance,policy/LossAfter,TotalEnvSteps,Average/MaxReturn,pick-place-wall-v1/MinReturn,policy/dLoss,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,pick-place-wall-v1/NumEpisodes,pick-place-wall-v1/TerminationRate,Average/StdReturn,Average/AverageReturn,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,policy/KLBefore,MetaTest/pick-place-wall-v1/StdReturn,policy/LossBefore,pick-place-wall-v1/Iteration,MetaTest/pick-place-wall-v1/TerminationRate,Average/AverageDiscountedReturn,Average/MinReturn,Average/TerminationRate,MetaTest/pick-place-wall-v1/MinReturn,MetaTest/Average/StdReturn,Average/Iteration,Average/NumEpisodes,MetaTest/pick-place-wall-v1/AverageReturn,pick-place-wall-v1/StdReturn,policy/Entropy,MetaTest/Average/NumEpisodes,pick-place-wall-v1/AverageReturn,MetaTest/Average/Iteration,pick-place-wall-v1/SuccessRate,MetaTest/pick-place-wall-v1/MaxReturn,policy/KL,pick-place-wall-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTest/pick-place-wall-v1/SuccessRate
-62.35209275241236,0.0,-34.117096258932655,0,0.3951312617462993,-0.060737886,20000,-34.117096258932655,-103.78083535659746,0.032562397,-37.132800618766005,0.0,100,0.0,16.502471391421363,-64.40043300148457,-62.35209275241239,-62.35209275241239,0.0,12.749833068298992,-0.028175488,0,0.0,-22.082403385741404,-103.78083535659746,0.0,-82.88245350927733,12.749833068298992,0,100,-62.35209275241236,16.502471391421363,5.6812186,10,-64.40043300148457,0,0.0,-37.132800618766005,0.006103469,-22.082403385741404,0.0,-82.88245350927733,10,0.0
,0.0,317.92218066651054,,0.18188356403636974,-0.034199975,40000,317.92218066651054,-85.35874853921392,0.044863462,,,100,0.0,39.22772109368738,-49.63398442922483,,,0.0,,0.010663489,1,,-17.045110948008173,-85.35874853921392,0.0,,,1,100,,39.22772109368738,5.685389,,-49.63398442922483,,0.0,,0.008867941,-17.045110948008173,,,,
,0.0,4.838174498367562,,0.28730338497697006,-0.018439315,60000,4.838174498367562,-84.55827727782356,0.009504369,,,100,0.0,13.85336654592172,-46.94590323184784,,,0.0,,-0.008934946,2,,-17.256924400279523,-84.55827727782356,0.0,,,2,100,,13.85336654592172,5.678436,,-46.94590323184784,,0.0,,0.009538723,-17.256924400279523,,,,
,0.0,78.57157363768378,,0.22614296015235857,0.0054782163,80000,78.57157363768378,-93.80633610931606,0.02061612,,,100,0.0,26.763352659276052,-38.0386932517742,,,0.0,,0.026094336,3,,-14.734099764576904,-93.80633610931606,0.0,,,3,100,,26.763352659276052,5.6637797,,-38.0386932517742,,0.0,,0.006551732,-14.734099764576904,,,,
,0.0,-21.31994032652035,,0.41853254111935934,-0.021457179,100000,-21.31994032652035,-97.80591911755641,0.0123559395,,,100,0.0,14.428027983375534,-43.9550693477228,,,0.0,,-0.009101239,4,,-16.558961346378634,-97.80591911755641,0.0,,,4,100,,14.428027983375534,5.6524606,,-43.9550693477228,,0.0,,0.014763371,-16.558961346378634,,,,
,0.0,-26.427012722065417,,0.4376919771035126,-0.034182195,120000,-26.427012722065417,-89.81587826763287,0.021688545,,,100,0.0,14.72485424092496,-51.49191281235309,,,0.0,,-0.0124936495,5,,-18.468305028827753,-89.81587826763287,0.0,,,5,100,,14.72485424092496,5.6423264,,-51.49191281235309,,0.0,,0.018728822,-18.468305028827753,,,,
,0.0,-0.7772496713780217,,0.3733551214555034,-0.015130695,140000,-0.7772496713780217,-90.93084025257787,0.009495765,,,100,0.0,14.158389424949842,-40.94738575075162,,,0.0,,-0.0056349305,6,,-15.679570247949407,-90.93084025257787,0.0,,,6,100,,14.158389424949842,5.6354623,,-40.94738575075162,,0.0,,0.011131859,-15.679570247949407,,,,
,0.0,-21.202008393454882,,0.5052305383758935,-0.025368039,160000,-21.202008393454882,-99.68610063699492,0.022984557,,,100,0.0,17.44515781137064,-45.7553884618425,,,0.0,,-0.0023834808,7,,-17.062188557657485,-99.68610063699492,0.0,,,7,100,,17.44515781137064,5.6351705,,-45.7553884618425,,0.0,,0.020783605,-17.062188557657485,,,,
,0.0,-26.667822157175948,,0.44117792076485574,-0.036507983,180000,-26.667822157175948,-95.20982305591366,0.020500513,,,100,0.0,15.096024530471103,-48.40868500353132,,,0.0,,-0.01600747,8,,-17.579206078455965,-95.20982305591366,0.0,,,8,100,,15.096024530471103,5.6295094,,-48.40868500353132,,0.0,,0.013295276,-17.579206078455965,,,,
,0.0,-18.842255891978645,,0.322824050697173,-0.0029650033,200000,-18.842255891978645,-67.45432846204797,-0.0006846001,,,100,0.0,8.832614006974563,-37.953599273695325,,,0.0,,-0.0036496033,9,,-15.00522259119519,-67.45432846204797,0.0,,,9,100,,8.832614006974563,5.620425,,-37.953599273695325,,0.0,,0.0075368346,-15.00522259119519,,,,
