MetaTest/hand-insert-v1/Iteration,hand-insert-v1/StdReturn,hand-insert-v1/Iteration,hand-insert-v1/AverageReturn,hand-insert-v1/TerminationRate,hand-insert-v1/MaxReturn,Average/MinReturn,MetaTest/hand-insert-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,Average/SuccessRate,Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/hand-insert-v1/MinReturn,MetaTest/Average/MaxReturn,hand-insert-v1/AverageDiscountedReturn,hand-insert-v1/MinReturn,Average/AverageReturn,policy/KL,TotalEnvSteps,LinearFeatureBaseline/ExplainedVariance,Average/StdReturn,MetaTest/hand-insert-v1/SuccessRate,MetaTest/hand-insert-v1/TerminationRate,MetaTest/hand-insert-v1/MaxReturn,Average/TerminationRate,MetaTest/hand-insert-v1/NumEpisodes,Average/NumEpisodes,policy/KLBefore,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,hand-insert-v1/NumEpisodes,policy/Entropy,Average/Iteration,MetaTest/Average/MinReturn,policy/dLoss,MetaTest/hand-insert-v1/StdReturn,hand-insert-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/Average/SuccessRate,Average/AverageDiscountedReturn,policy/LossBefore,MetaTest/hand-insert-v1/AverageReturn,MetaTest/Average/TerminationRate,policy/LossAfter
0,8.66491989459382,0,-67.87841101410527,0.0,-38.535912313270615,-88.94337912682244,-67.90712867484888,-67.90712867484888,0.0,-38.535912313270615,0,-87.36687432597346,-50.47442250219506,-27.0787931067699,-88.94337912682244,-67.87841101410527,0.009382878,20000,0.5999790758233231,8.66491989459382,0.0,0.0,-50.47442250219506,0.0,10,100,0.0,-67.90712867484886,9.524313105670425,100,5.676473,0,-87.36687432597346,0.022005336,9.524313105670425,0.0,10,0.0,-27.0787931067699,-0.020690048,-67.90712867484886,0.0,-0.042695384
,10.256690807203286,1,-52.17072548180425,0.0,-28.242302479605204,-71.28367378379893,,,0.01,-28.242302479605204,,,,-21.743798202748952,-71.28367378379893,-52.17072548180425,0.0288982,40000,0.5337229103786336,10.256690807203286,,,,0.0,,100,0.0,,,100,5.66789,1,,0.022617228,,0.01,,,-21.743798202748952,-0.019896217,,,-0.042513445
,68.96695154303748,2,-25.262383474111846,0.0,578.2187412467225,-57.758037829320294,,,0.12,578.2187412467225,,,,-11.321933014119445,-57.758037829320294,-25.262383474111846,0.010866433,60000,0.18315822898707979,68.96695154303748,,,,0.0,,100,0.0,,,100,5.6676555,2,,0.09564437,,0.12,,,-11.321933014119445,0.05054414,,,-0.04510023
,371.22678501903766,3,89.4121045964873,0.0,2230.7754386868137,-48.54342735132079,,,0.47,2230.7754386868137,,,,35.30965806362366,-48.54342735132079,89.4121045964873,0.013521426,80000,0.10621232703255812,371.22678501903766,,,,0.0,,100,0.0,,,100,5.648856,3,,0.6668078,,0.47,,,35.30965806362366,0.09377837,,,-0.5730294
,1592.438819401672,4,680.623986025631,0.0,9405.043352200333,-55.96033448026491,,,0.66,9405.043352200333,,,,258.76842319637376,-55.96033448026491,680.623986025631,0.0136976605,100000,0.1770943262938076,1592.438819401672,,,,0.0,,100,0.0,,,100,5.6264215,4,,3.0138187,,0.66,,,258.76842319637376,1.7823786,,,-1.2314401
,17064.28812096031,5,4937.367437126075,0.0,162964.49591607685,-47.04384433726693,,,0.61,162964.49591607685,,,,1360.7226151584068,-47.04384433726693,4937.367437126075,0.0063326573,120000,0.17166231845487634,17064.28812096031,,,,0.0,,100,0.0,,,100,5.619596,5,,18.872536,,0.61,,,1360.7226151584068,16.671906,,,-2.2006311
,14074.550283733566,6,7523.541260973685,0.0,109638.24563140108,-47.24199582893906,,,0.76,109638.24563140108,,,,2100.4662134249193,-47.24199582893906,7523.541260973685,0.010157889,140000,0.20536812207499688,14074.550283733566,,,,0.0,,100,0.0,,,100,5.585648,6,,15.420876,,0.76,,,2100.4662134249193,5.6265435,,,-9.794332
,26512.389473381154,7,15046.072923180796,0.0,174843.19663983776,-49.6332831413945,,,0.59,174843.19663983776,,,,3661.114137288759,-49.6332831413945,15046.072923180796,0.005161576,160000,0.19724010930656977,26512.389473381154,,,,0.0,,100,0.0,,,100,5.557429,7,,28.736708,,0.59,,,3661.114137288759,-13.234037,,,-41.970745
,20093.837466260313,8,15387.709598468324,0.0,84502.98551469046,-30.298772626450564,,,0.76,84502.98551469046,,,,4344.343606924658,-30.298772626450564,15387.709598468324,0.005801136,180000,0.29791830982548817,20093.837466260313,,,,0.0,,100,0.0,,,100,5.5300107,8,,25.182674,,0.76,,,4344.343606924658,-0.67709374,,,-25.859768
,41674.0320463487,9,35245.92041139463,0.0,198921.27204464292,-33.7897637682723,,,0.82,198921.27204464292,,,,9112.70792350932,-33.7897637682723,35245.92041139463,0.008141257,200000,0.2246389611059052,41674.0320463487,,,,0.0,,100,0.0,,,100,5.5085635,9,,53.0727,,0.82,,,9112.70792350932,13.21335,,,-39.85935
1,48578.446121495595,10,38166.80053509767,0.0,227981.69796460605,-34.642537373615504,28951.80478755088,28951.80478755088,0.71,227981.69796460605,1,-30.038161102030724,81052.53182076472,9243.592605252203,-34.642537373615504,38166.80053509767,0.0058898996,220000,0.2598425113652634,48578.446121495595,0.6,0.0,81052.53182076472,0.0,10,100,0.0,28951.80478755087,31809.37101310486,100,5.490069,10,-30.038161102030724,53.083202,31809.37101310486,0.71,10,0.6,9243.592605252203,-32.985912,28951.80478755087,0.0,-86.069115
