MetaTest/Average/TerminationRate,policy/KLBefore,MetaTest/bin-picking-v1/MaxReturn,Average/MinReturn,Average/SuccessRate,bin-picking-v1/AverageReturn,bin-picking-v1/MinReturn,bin-picking-v1/TerminationRate,bin-picking-v1/Iteration,Average/AverageDiscountedReturn,policy/Entropy,LinearFeatureBaseline/ExplainedVariance,Average/StdReturn,MetaTest/bin-picking-v1/StdReturn,MetaTest/Average/MinReturn,Average/Iteration,MetaTest/Average/Iteration,MetaTest/bin-picking-v1/SuccessRate,Average/TerminationRate,MetaTest/Average/AverageReturn,Average/NumEpisodes,TotalEnvSteps,policy/dLoss,bin-picking-v1/SuccessRate,MetaTest/bin-picking-v1/NumEpisodes,Average/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,bin-picking-v1/MaxReturn,policy/KL,bin-picking-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/bin-picking-v1/AverageDiscountedReturn,policy/LossBefore,MetaTest/Average/AverageDiscountedReturn,MetaTest/bin-picking-v1/AverageReturn,bin-picking-v1/StdReturn,bin-picking-v1/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/bin-picking-v1/Iteration,Average/AverageReturn,policy/LossAfter,MetaTest/bin-picking-v1/TerminationRate,MetaTest/bin-picking-v1/MinReturn
0.0,0.0,-53.44149679431206,-165.52236055135447,0.0,-94.4330523994111,-165.52236055135447,0.0,0,-39.9769054415878,5.663691,0.9026487973895546,35.57940372980542,28.04611308441393,-145.59684803830584,0,0,0.0,0.0,-94.23661646563589,100,20000,0.017508628,0.0,10,-31.772905543102734,-53.44149679431206,0.0,-31.772905543102734,0.0054321573,-39.9769054415878,10,-94.23661646563588,-0.004310897,-94.23661646563588,-94.23661646563589,35.57940372980542,100,28.04611308441393,0,-94.4330523994111,-0.021819524,0.0,-145.59684803830584
,0.0,,-129.32219730229653,0.0,-65.19187744065448,-129.32219730229653,0.0,1,-26.655401192106122,5.658973,0.8184975447522097,21.42527752599903,,,1,,,0.0,,100,40000,0.010485364,0.0,,-29.82888354238059,,,-29.82888354238059,0.008804863,-26.655401192106122,,,-0.011645792,,,21.42527752599903,100,,,-65.19187744065448,-0.022131156,,
,0.0,,-180.16665716397836,0.1,27484.4580857033,-180.16665716397836,0.0,2,11869.146399648893,5.628945,0.970739936795229,82777.33820498358,,,2,,,0.0,,100,60000,13.647529,0.1,,283009.7698106105,,,283009.7698106105,0.009922379,11869.146399648893,,,7.3669343,,,82777.33820498358,100,,,27484.4580857033,-6.2805943,,
,0.0,,-202.94394195206766,0.0,-102.84392076603542,-202.94394195206766,0.0,3,-44.24363889852101,5.6120977,0.8981936306941504,34.97112294130167,,,3,,,0.0,,100,80000,0.0038560852,0.0,,-42.316387461544416,,,-42.316387461544416,0.0067434204,-44.24363889852101,,,-0.023410633,,,34.97112294130167,100,,,-102.84392076603542,-0.027266718,,
,0.0,,-129.65270156658386,0.0,-79.07100946332054,-129.65270156658386,0.0,4,-35.182678682117796,5.605532,0.8701803241403944,22.29940190960668,,,4,,,0.0,,100,100000,-0.0022375267,0.0,,-43.5846548090906,,,-43.5846548090906,0.0007774803,-35.182678682117796,,,-0.01876831,,,22.29940190960668,100,,,-79.07100946332054,-0.016530784,,
,0.0,,-134.26480434138804,0.0,-82.43673082768684,-134.26480434138804,0.0,5,-34.636368223500554,5.6030116,0.8947710175503222,28.278679281664058,,,5,,,0.0,,100,120000,-0.0011327965,0.0,,-34.82834089995316,,,-34.82834089995316,0.00012157197,-34.636368223500554,,,-0.009528939,,,28.278679281664058,100,,,-82.43673082768684,-0.008396142,,
,0.0,,-195.14057364492638,0.0,-85.7111234312584,-195.14057364492638,0.0,6,-37.14271802313553,5.602059,0.9380073494247816,43.76055922133744,,,6,,,0.0,,100,140000,0.00045373477,0.0,,-27.567702053394125,,,-27.567702053394125,3.2481457e-05,-37.14271802313553,,,-0.018623596,,,43.76055922133744,100,,,-85.7111234312584,-0.01907733,,
,0.0,,-157.85862349217916,0.0,-87.84338951767592,-157.85862349217916,0.0,7,-37.943486639972726,5.601664,0.9226346684315312,37.809725381061575,,,7,,,0.0,,100,160000,0.00040938705,0.0,,-24.115643039718424,,,-24.115643039718424,2.0203946e-05,-37.943486639972726,,,-0.016768865,,,37.809725381061575,100,,,-87.84338951767592,-0.017178252,,
,0.0,,-168.4080180073317,0.1,28109.63785830108,-168.4080180073317,0.0,8,12186.937525440384,5.5850754,0.9706370302874456,84606.44876087984,,,8,,,0.0,,100,180000,10.029724,0.1,,292021.8417162774,,,292021.8417162774,0.008392845,12186.937525440384,,,3.3951101,,,84606.44876087984,100,,,28109.63785830108,-6.634614,,
,0.0,,-160.12077087026947,0.0,-96.52709052617179,-160.12077087026947,0.0,9,-41.61341130024905,5.572173,0.899315441572184,29.928356690814212,,,9,,,0.0,,100,200000,-0.01682406,0.0,,-35.0626559916358,,,-35.0626559916358,0.0072187004,-41.61341130024905,,,-0.022369208,,,29.928356690814212,100,,,-96.52709052617179,-0.0055451477,,
