Average/NumEpisodes,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/SuccessRate,MetaTest/Average/MinReturn,policy/LossBefore,MetaTest/reach-v1/MaxReturn,policy/LossAfter,MetaTest/reach-v1/StdReturn,reach-v1/SuccessRate,reach-v1/AverageReturn,MetaTest/Average/AverageReturn,Average/MinReturn,MetaTest/Average/NumEpisodes,TotalEnvSteps,Average/TerminationRate,reach-v1/TerminationRate,MetaTest/reach-v1/Iteration,MetaTest/reach-v1/NumEpisodes,reach-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/Iteration,reach-v1/NumEpisodes,Average/AverageReturn,MetaTest/reach-v1/MinReturn,policy/Entropy,reach-v1/MaxReturn,reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,Average/StdReturn,Average/Iteration,policy/KLBefore,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,LinearFeatureBaseline/ExplainedVariance,reach-v1/StdReturn,policy/KL,Average/SuccessRate,Average/MaxReturn,MetaTest/reach-v1/AverageDiscountedReturn,reach-v1/Iteration,Average/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,policy/dLoss
100,3580.264023264454,0.0,1732.0381094852808,0.19972734,6030.850097254919,-2.5934978,1418.6684992433234,0.0,3122.179764390622,3580.264023264454,851.0965159879161,10,20000,0.0,0.0,0,10,2637.1419027966513,1418.6684992433234,0.0,0,100,3122.179764390622,1732.0381094852808,5.667414,6685.063567417139,851.0965159879161,0.0,1419.9607769308727,0,0.0,0.0,6030.850097254919,0.5387354993954627,1419.9607769308727,0.005812528,0.0,6685.063567417139,3580.264023264454,0,2637.1419027966513,3580.264023264454,2.793225
100,,,,0.2752709,,-1.3762305,,0.0,2960.173997525895,,1050.157192746801,,40000,0.0,0.0,,,2532.4291580549725,,,,100,2960.173997525895,,5.6511636,6289.736066715314,1050.157192746801,,1193.1498273692664,1,0.0,,,0.5236325644511391,1193.1498273692664,0.0070780427,0.0,6289.736066715314,,1,2532.4291580549725,,1.6515014
100,,,,1.2495906,,-0.90731174,,0.0,3154.040657366595,,1296.0024701741465,,60000,0.0,0.0,,,2695.7604412184633,,,,100,3154.040657366595,,5.627274,5828.058165578527,1296.0024701741465,,962.7569038153367,2,0.0,,,0.6311215851870388,962.7569038153367,0.00784465,0.0,5828.058165578527,,2,2695.7604412184633,,2.1569023
100,,,,0.82842654,,-1.521,,0.0,3583.5350255531466,,1313.2952356337335,,80000,0.0,0.0,,,3021.467588585373,,,,100,3583.5350255531466,,5.597463,9207.707432274494,1313.2952356337335,,1835.8180574888022,3,0.0,,,0.5420808120159915,1835.8180574888022,0.009610539,0.0,9207.707432274494,,3,3021.467588585373,,2.3494265
100,,,,0.13150702,,-3.3279765,,0.0,4629.8068222401025,,1495.5296747435787,,100000,0.0,0.0,,,3447.9177635020287,,,,100,4629.8068222401025,,5.5695777,16449.524327739175,1495.5296747435787,,3865.589856308686,4,0.0,,,0.6525132554230111,3865.589856308686,0.004598682,0.0,16449.524327739175,,4,3447.9177635020287,,3.4594834
100,,,,1.3774793,,-1.0568746,,0.0,3925.075691491785,,1444.8764672617335,,120000,0.0,0.0,,,3278.8957704644067,,,,100,3925.075691491785,,5.5644174,8082.391281932888,1444.8764672617335,,1840.8273304294191,5,0.0,,,0.6304654638021487,1840.8273304294191,0.0046110293,0.0,8082.391281932888,,5,3278.8957704644067,,2.4343538
100,,,,2.5751579,,1.7262461,,0.0,3130.258696172871,,1321.8156162592165,,140000,0.0,0.0,,,2666.9137660081424,,,,100,3130.258696172871,,5.56176,5218.394700296653,1321.8156162592165,,902.7496743617851,6,0.0,,,0.5671212941438128,902.7496743617851,0.0061185313,0.0,5218.394700296653,,6,2666.9137660081424,,0.84891176
100,,,,0.97132814,,-0.68773437,,0.0,5146.204094519362,,1943.557596018501,,160000,0.0,0.0,,,4219.299285540239,,,,100,5146.204094519362,,5.555575,11109.888465686145,1943.557596018501,,2350.0836907968956,7,0.0,,,0.5398091567580945,2350.0836907968956,0.003378338,0.0,11109.888465686145,,7,4219.299285540239,,1.6590625
100,,,,0.98068905,,-1.3168015,,0.0,4141.249397187184,,2164.2309467266896,,180000,0.0,0.0,,,3469.5652381300442,,,,100,4141.249397187184,,5.5649643,8325.353333715402,2164.2309467266896,,1310.7092897848818,8,0.0,,,0.6456061838143796,1310.7092897848818,0.0082025165,0.0,8325.353333715402,,8,3469.5652381300442,,2.2974906
100,,,,3.2834148,,1.0363021,,0.0,4903.196583184231,,2075.6552309874032,,200000,0.0,0.0,,,4068.757456158128,,,,100,4903.196583184231,,5.5627203,11198.548453790687,2075.6552309874032,,2057.877039069509,9,0.0,,,0.7197197508554576,2057.877039069509,0.009913356,0.0,11198.548453790687,,9,4068.757456158128,,2.2471128
100,5765.805319987815,0.0,1344.834669065807,1.2825078,10014.878532611094,-1.3253031,2196.613037028221,0.0,5945.761110809531,5765.805319987815,2175.0100142765295,10,220000,0.0,0.0,1,10,4758.076320825355,2196.613037028221,0.0,1,100,5945.761110809531,1344.834669065807,5.542477,15420.74056981983,2175.0100142765295,0.0,2910.0837941161262,10,0.0,0.0,10014.878532611094,0.5081893523880446,2910.0837941161262,0.0060379235,0.0,15420.74056981983,5765.805319987814,10,4758.076320825355,5765.805319987814,2.607811
