MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-push-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/TerminationRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration
-49.10989150920463,-37.70784568764806,-37.70784568764807,6.573739241965777,6.573739241965777,-26.442080695561042,0.0,824000,-26.442080695561042,25,0.0,0.0,-37.70784568764807,0.0,10,-49.10989150920463,10,-37.70784568764806,25
-51.206922267556365,6.002480912915294,6.002480912915322,82.31521986356887,82.31521986356887,212.53905637870292,0.2,848000,212.53905637870292,26,0.0,0.0,6.002480912915322,0.2,10,-51.206922267556365,10,6.002480912915294,26
-44.376423610060186,30.670044774427755,30.67004477442764,172.04405985070986,172.04405985070986,546.0176932655572,0.2,872000,546.0176932655572,27,0.0,0.0,30.67004477442764,0.2,10,-44.376423610060186,10,30.670044774427755,27
-56.1830095104547,5538.291909210192,5538.291909210189,15429.014230409679,15429.014230409679,51773.416228841874,0.3,896000,51773.416228841874,28,0.0,0.0,5538.291909210189,0.3,10,-56.1830095104547,10,5538.291909210192,28
-125.37889131474607,-39.36646513092505,-39.36646513092505,85.05840300115644,85.05840300115644,201.7966672279912,0.2,920000,201.7966672279912,29,0.0,0.0,-39.36646513092505,0.2,10,-125.37889131474607,10,-39.36646513092505,29
-57.29515099437647,16488.052376609605,16488.0523766096,33559.225801096276,33559.225801096276,95696.01081404962,0.2,944000,95696.01081404962,30,0.0,0.0,16488.0523766096,0.2,10,-57.29515099437647,10,16488.052376609605,30
-92.81098452028606,1475.1222517367291,1475.122251736731,3925.4444268731136,3925.4444268731136,13170.55407452166,0.3,968000,13170.55407452166,31,0.0,0.0,1475.122251736731,0.3,10,-92.81098452028606,10,1475.1222517367291,31
-46.78107451852415,17329.73502906341,17329.735029063413,29670.1190370387,29670.1190370387,83532.08802243882,0.3,992000,83532.08802243882,32,0.0,0.0,17329.735029063413,0.3,10,-46.78107451852415,10,17329.73502906341,32
-55.52819418369854,34294.19161542061,34294.19161542061,53179.364630244,53179.364630244,126559.82543232993,0.4,1016000,126559.82543232993,33,0.0,0.0,34294.19161542061,0.4,10,-55.52819418369854,10,34294.19161542061,33
-16.871895191172975,69881.71475116975,69881.71475116975,83821.80153305494,83821.80153305494,242691.41269074823,0.6,1040000,242691.41269074823,34,0.0,0.0,69881.71475116975,0.6,10,-16.871895191172975,10,69881.71475116975,34
890.0370214576604,52446.5248706555,52446.52487065546,54910.07480471833,54910.07480471833,145324.8449047049,0.4,1064000,145324.8449047049,35,0.0,0.0,52446.52487065546,0.4,10,890.0370214576604,10,52446.5248706555,35
-54.33190484497735,30563.765922398172,30563.76592239818,60318.71092208288,60318.71092208288,170094.69756925374,0.4,1088000,170094.69756925374,36,0.0,0.0,30563.76592239818,0.4,10,-54.33190484497735,10,30563.765922398172,36
-43.69594946022129,70839.23937426915,70839.23937426915,116428.0271477049,116428.0271477049,334406.38447889517,0.4,1112000,334406.38447889517,37,0.0,0.0,70839.23937426915,0.4,10,-43.69594946022129,10,70839.23937426915,37
-41.41471583046014,30148.41982592691,30148.41982592693,85378.9682364553,85378.9682364553,286196.13042465714,0.1,1136000,286196.13042465714,38,0.0,0.0,30148.41982592693,0.1,10,-41.41471583046014,10,30148.41982592691,38
-47.60491030972378,3942.4757545754887,3942.4757545754896,6471.260564225405,6471.260564225405,16837.25428431639,0.1,1160000,16837.25428431639,39,0.0,0.0,3942.4757545754896,0.1,10,-47.60491030972378,10,3942.4757545754887,39
-37.97696946926603,74791.5913200246,74791.59132002461,102653.34051254233,102653.34051254233,313073.41762118787,0.4,1184000,313073.41762118787,40,0.0,0.0,74791.59132002461,0.4,10,-37.97696946926603,10,74791.5913200246,40
-44.798429240717155,56171.42144807383,56171.42144807383,69429.55021117143,69429.55021117143,192966.55409746096,0.6,1208000,192966.55409746096,41,0.0,0.0,56171.42144807383,0.6,10,-44.798429240717155,10,56171.42144807383,41
-13.770256900009164,66579.28570211299,66579.28570211297,90089.89754129473,90089.89754129473,261704.80539823024,0.4,1232000,261704.80539823024,42,0.0,0.0,66579.28570211297,0.4,10,-13.770256900009164,10,66579.28570211299,42
-18.609278202564038,74772.25001336062,74772.25001336062,118515.86633649313,118515.86633649313,322090.1576236414,0.6,1256000,322090.1576236414,43,0.0,0.0,74772.25001336062,0.6,10,-18.609278202564038,10,74772.25001336062,43
-10.172419508660687,93753.58772305705,93753.58772305702,97025.21396476538,97025.21396476538,267485.3335283604,0.7,1280000,267485.3335283604,44,0.0,0.0,93753.58772305702,0.7,10,-10.172419508660687,10,93753.58772305705,44
-16.380690240821433,139577.20765413286,139577.20765413297,132702.61273747034,132702.61273747034,335636.1384559959,0.7,1304000,335636.1384559959,45,0.0,0.0,139577.20765413297,0.7,10,-16.380690240821433,10,139577.20765413286,45
101.39744701440684,35043.83813377398,35043.83813377397,56530.197910546354,56530.197910546354,184318.85698108794,0.1,1328000,184318.85698108794,46,0.0,0.0,35043.83813377397,0.1,10,101.39744701440684,10,35043.83813377398,46
-18.98912705614064,78895.91214638308,78895.91214638304,113059.32501888466,113059.32501888466,268696.89428800315,0.5,1352000,268696.89428800315,47,0.0,0.0,78895.91214638304,0.5,10,-18.98912705614064,10,78895.91214638308,47
86.70053282366632,55961.52221146548,55961.522211465475,83281.81288669251,83281.81288669251,216308.6792488206,0.4,1376000,216308.6792488206,48,0.0,0.0,55961.522211465475,0.4,10,86.70053282366632,10,55961.52221146548,48
-31.88713436727121,72051.83387353618,72051.83387353622,103292.97554536251,103292.97554536251,327450.6900920653,0.5,1400000,327450.6900920653,49,0.0,0.0,72051.83387353622,0.5,10,-31.88713436727121,10,72051.83387353618,49
-24.22458356881747,107059.12323195976,107059.12323195976,115908.63737941251,115908.63737941251,330140.1007879408,0.5,1424000,330140.1007879408,50,0.0,0.0,107059.12323195976,0.5,10,-24.22458356881747,10,107059.12323195976,50
-13.96589692802014,107192.68889880029,107192.68889880032,124805.61526220362,124805.61526220362,337041.432850862,0.9,1448000,337041.432850862,51,0.0,0.0,107192.68889880032,0.9,10,-13.96589692802014,10,107192.68889880029,51
-29.934236030723092,74816.04129025877,74816.04129025879,114475.0672494263,114475.0672494263,290144.84709172975,0.4,1472000,290144.84709172975,52,0.0,0.0,74816.04129025879,0.4,10,-29.934236030723092,10,74816.04129025877,52
-49.98816355135661,112309.30086355815,112309.3008635582,108577.31786824769,108577.31786824769,319421.8436017261,0.6,1496000,319421.8436017261,53,0.0,0.0,112309.3008635582,0.6,10,-49.98816355135661,10,112309.30086355815,53
-52.339600145920556,31411.191408787643,31411.191408787658,71994.9684916075,71994.9684916075,244173.1720722417,0.4,1520000,244173.1720722417,54,0.0,0.0,31411.191408787658,0.4,10,-52.339600145920556,10,31411.191408787643,54
-60.28501798950938,113782.73758915233,113782.73758915234,129617.96151564326,129617.96151564326,311159.1285945207,0.6,1544000,311159.1285945207,55,0.0,0.0,113782.73758915234,0.6,10,-60.28501798950938,10,113782.73758915233,55
-70.37876060861535,76801.570580427,76801.57058042698,102170.98612471306,102170.98612471306,283693.070344917,0.6,1568000,283693.070344917,56,0.0,0.0,76801.57058042698,0.6,10,-70.37876060861535,10,76801.570580427,56
-57.434454845495104,98074.86755954982,98074.86755954978,103740.63642578246,103740.63642578246,286819.7563881291,0.6,1592000,286819.7563881291,57,0.0,0.0,98074.86755954978,0.6,10,-57.434454845495104,10,98074.86755954982,57
-46.209336396991674,55709.79260727381,55709.79260727381,76073.93287776726,76073.93287776726,214072.87434650311,0.3,1616000,214072.87434650311,58,0.0,0.0,55709.79260727381,0.3,10,-46.209336396991674,10,55709.79260727381,58
-64.44555941062718,100732.28759139644,100732.2875913964,109174.63107026186,109174.63107026186,269271.2935023133,0.7,1640000,269271.2935023133,59,0.0,0.0,100732.2875913964,0.7,10,-64.44555941062718,10,100732.28759139644,59
-37.52190821183835,114490.54103675045,114490.54103675047,119258.57840999025,119258.57840999025,306355.053587336,0.7,1664000,306355.053587336,60,0.0,0.0,114490.54103675047,0.7,10,-37.52190821183835,10,114490.54103675045,60
-25.634916626722188,120656.56839831422,120656.56839831427,122528.39791261693,122528.39791261693,323797.58415536286,0.6,1688000,323797.58415536286,61,0.0,0.0,120656.56839831427,0.6,10,-25.634916626722188,10,120656.56839831422,61
344.04966238547007,130104.64746831248,130104.6474683125,134651.8367269169,134651.8367269169,314291.2097889442,0.8,1712000,314291.2097889442,62,0.0,0.0,130104.6474683125,0.8,10,344.04966238547007,10,130104.64746831248,62
-21.594005459779755,128866.08483360478,128866.08483360478,124759.30604731118,124759.30604731118,321873.9320501693,0.7,1736000,321873.9320501693,63,0.0,0.0,128866.08483360478,0.7,10,-21.594005459779755,10,128866.08483360478,63
-18.19504285916572,87619.34598220485,87619.34598220477,96600.0859856398,96600.0859856398,272642.345135812,0.5,1760000,272642.345135812,64,0.0,0.0,87619.34598220477,0.5,10,-18.19504285916572,10,87619.34598220485,64
-47.81118652521597,111185.37490038792,111185.37490038795,114842.04180484069,114842.04180484069,329282.1711306876,0.7,1784000,329282.1711306876,65,0.0,0.0,111185.37490038795,0.7,10,-47.81118652521597,10,111185.37490038792,65
230.43245783839112,130836.60605437329,130836.60605437332,110421.94843459835,110421.94843459835,306913.6077689896,0.7,1808000,306913.6077689896,66,0.0,0.0,130836.60605437332,0.7,10,230.43245783839112,10,130836.60605437329,66
-23.918679628900566,111867.42080326231,111867.42080326231,93198.5779925571,93198.5779925571,331230.7645326762,0.9,1832000,331230.7645326762,67,0.0,0.0,111867.42080326231,0.9,10,-23.918679628900566,10,111867.42080326231,67
-24.488545581331383,152195.9704519569,152195.97045195693,91042.17387158284,91042.17387158284,287103.71843074,0.8,1856000,287103.71843074,68,0.0,0.0,152195.97045195693,0.8,10,-24.488545581331383,10,152195.9704519569,68
-21.808319302350302,121588.08989875163,121588.08989875167,126486.45105193663,126486.45105193663,314856.2014596879,0.5,1880000,314856.2014596879,69,0.0,0.0,121588.08989875167,0.5,10,-21.808319302350302,10,121588.08989875163,69
-18.270058794222138,87757.7093471038,87757.70934710381,123150.35684872477,123150.35684872477,299121.27168519725,0.5,1904000,299121.27168519725,70,0.0,0.0,87757.70934710381,0.5,10,-18.270058794222138,10,87757.7093471038,70
19.477757764873232,124740.05752062993,124740.05752062998,122431.41963256856,122431.41963256856,324320.9085414059,0.6,1928000,324320.9085414059,71,0.0,0.0,124740.05752062998,0.6,10,19.477757764873232,10,124740.05752062993,71
-20.48166396688255,30762.98839603545,30762.98839603545,39130.997717040766,39130.997717040766,113514.90262116022,0.5,1952000,113514.90262116022,72,0.0,0.0,30762.98839603545,0.5,10,-20.48166396688255,10,30762.98839603545,72
-17.00531172199114,128224.29873422932,128224.29873422932,138252.6435701286,138252.6435701286,327414.199780406,0.6,1976000,327414.199780406,73,0.0,0.0,128224.29873422932,0.6,10,-17.00531172199114,10,128224.29873422932,73
-85.73474188320444,20592.967044156954,20592.967044156965,46464.39820232837,46464.39820232837,153821.52658766357,0.2,2000000,153821.52658766357,74,0.0,0.0,20592.967044156965,0.2,10,-85.73474188320444,10,20592.967044156954,74
-89.63351951960837,33006.25485942468,33006.25485942468,68947.57089087744,68947.57089087744,224082.48878192218,0.2,2024000,224082.48878192218,75,0.0,0.0,33006.25485942468,0.2,10,-89.63351951960837,10,33006.25485942468,75
-92.13888739465358,-51.46077915349472,-51.46077915349472,33.131412645360754,33.131412645360754,-14.361665905112877,0.0,2048000,-14.361665905112877,76,0.0,0.0,-51.46077915349472,0.0,10,-92.13888739465358,10,-51.46077915349472,76
-106.7735453204625,31364.27496376531,31364.274963765318,94228.92177881123,94228.92177881123,314051.02418404643,0.1,2072000,314051.02418404643,77,0.0,0.0,31364.274963765318,0.1,10,-106.7735453204625,10,31364.27496376531,77
-18.879054846869643,177861.375588849,177861.375588849,123293.52397372301,123293.52397372301,319219.57857479766,0.7,2096000,319219.57857479766,78,0.0,0.0,177861.375588849,0.7,10,-18.879054846869643,10,177861.375588849,78
-15.871206072150656,128989.65556425601,128989.65556425606,117394.79232117935,117394.79232117935,347733.0307225314,0.8,2120000,347733.0307225314,79,0.0,0.0,128989.65556425606,0.8,10,-15.871206072150656,10,128989.65556425601,79
-32.96715055769414,117142.19981980296,117142.19981980298,127251.86595827084,127251.86595827084,307576.41814668744,0.6,2144000,307576.41814668744,80,0.0,0.0,117142.19981980298,0.6,10,-32.96715055769414,10,117142.19981980296,80
31674.30881868153,178496.64443225268,178496.64443225262,73615.14287285472,73615.14287285472,299344.52945780323,1.0,2168000,299344.52945780323,81,0.0,0.0,178496.64443225262,1.0,10,31674.30881868153,10,178496.64443225268,81
11994.159657836015,130301.8001403905,130301.8001403904,92700.51696228418,92700.51696228418,333883.782370865,0.8,2192000,333883.782370865,82,0.0,0.0,130301.8001403904,0.8,10,11994.159657836015,10,130301.8001403905,82
67207.70863996628,221473.41739807194,221473.41739807185,97934.90025023861,97934.90025023861,335912.66459586495,1.0,2216000,335912.66459586495,83,0.0,0.0,221473.41739807185,1.0,10,67207.70863996628,10,221473.41739807194,83
-17.848128934392577,120793.12582268337,120793.12582268336,116902.13884821718,116902.13884821718,292475.28156376875,0.6,2240000,292475.28156376875,84,0.0,0.0,120793.12582268336,0.6,10,-17.848128934392577,10,120793.12582268337,84
-57.476560651054584,69332.64993711626,69332.64993711624,77797.69500134025,77797.69500134025,252348.66462035815,0.5,2264000,252348.66462035815,85,0.0,0.0,69332.64993711624,0.5,10,-57.476560651054584,10,69332.64993711626,85
-39.42402157837987,183238.17427219724,183238.17427219724,113267.55414510894,113267.55414510894,303493.04274224973,0.9,2288000,303493.04274224973,86,0.0,0.0,183238.17427219724,0.9,10,-39.42402157837987,10,183238.17427219724,86
99421.0746893207,233358.0095204263,233358.0095204263,86584.02071309867,86584.02071309867,338607.9115232567,1.0,2312000,338607.9115232567,87,0.0,0.0,233358.0095204263,1.0,10,99421.0746893207,10,233358.0095204263,87
10791.043134897925,233124.0827704093,233124.0827704093,103808.50021048437,103808.50021048437,326533.74197883945,0.8,2336000,326533.74197883945,88,0.0,0.0,233124.0827704093,0.8,10,10791.043134897925,10,233124.0827704093,88
2187.9861329401137,131546.12129083558,131546.1212908356,117780.04833520144,117780.04833520144,332057.674487921,0.7,2360000,332057.674487921,89,0.0,0.0,131546.1212908356,0.7,10,2187.9861329401137,10,131546.12129083558,89
-19.54820681066017,128598.64800732824,128598.64800732827,96122.43146299821,96122.43146299821,272310.2757040858,0.7,2384000,272310.2757040858,90,0.0,0.0,128598.64800732827,0.7,10,-19.54820681066017,10,128598.64800732824,90
1248.2325285358872,120456.08608478257,120456.08608478254,107505.66812600501,107505.66812600501,318802.05084092234,0.7,2408000,318802.05084092234,91,0.0,0.0,120456.08608478254,0.7,10,1248.2325285358872,10,120456.08608478257,91
-31.031052538674277,81479.33108656912,81479.33108656912,86743.37870090967,86743.37870090967,224749.34831453752,0.5,2432000,224749.34831453752,92,0.0,0.0,81479.33108656912,0.5,10,-31.031052538674277,10,81479.33108656912,92
-19.766354800367274,69628.06840106873,69628.06840106868,67678.74448816109,67678.74448816109,199256.3579417347,0.5,2456000,199256.3579417347,93,0.0,0.0,69628.06840106868,0.5,10,-19.766354800367274,10,69628.06840106873,93
-53.2721026641046,76253.16161114069,76253.1616111407,95824.79565562212,95824.79565562212,277906.0926735037,0.4,2480000,277906.0926735037,94,0.0,0.0,76253.1616111407,0.4,10,-53.2721026641046,10,76253.16161114069,94
-21.296895427161484,129751.71143020087,129751.71143020081,118927.66374996484,118927.66374996484,316216.58404191607,0.6,2504000,316216.58404191607,95,0.0,0.0,129751.71143020081,0.6,10,-21.296895427161484,10,129751.71143020087,95
-22.258667917679542,97645.58558260623,97645.58558260625,120362.8926116406,120362.8926116406,290490.3319728647,0.4,2528000,290490.3319728647,96,0.0,0.0,97645.58558260625,0.4,10,-22.258667917679542,10,97645.58558260623,96
-48.14850337645907,132921.15116703697,132921.1511670369,124244.11541313985,124244.11541313985,304636.6491905813,0.5,2552000,304636.6491905813,97,0.0,0.0,132921.1511670369,0.5,10,-48.14850337645907,10,132921.15116703697,97
-19.313944153294077,63848.232461194566,63848.232461194566,67344.65729536327,67344.65729536327,194298.44504912556,0.5,2576000,194298.44504912556,98,0.0,0.0,63848.232461194566,0.5,10,-19.313944153294077,10,63848.232461194566,98
-30.451975956756677,123570.45958239883,123570.45958239883,115523.56245589053,115523.56245589053,304833.85508407024,0.6,2600000,304833.85508407024,99,0.0,0.0,123570.45958239883,0.6,10,-30.451975956756677,10,123570.45958239883,99
