MetaTest/coffee-push-v1/MinReturn,MetaTest/coffee-push-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/coffee-push-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/coffee-push-v1/MaxReturn,MetaTest/coffee-push-v1/Iteration,MetaTest/Average/TerminationRate,MetaTest/coffee-push-v1/TerminationRate,MetaTest/coffee-push-v1/AverageReturn,MetaTest/coffee-push-v1/SuccessRate,MetaTest/Average/NumTrajs,MetaTest/Average/MinReturn,MetaTest/coffee-push-v1/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration
-80.27498695769975,-5.911998768256425,-5.911998768256424,127.39885894970662,127.39885894970662,373.294540457143,0.0,224000,373.294540457143,0,0.0,0.0,-5.911998768256424,0.0,10,-80.27498695769975,10,-5.911998768256425,0
-112.86996927792852,-56.69452877870661,-56.694528778706605,37.985922111591066,37.985922111591066,8.64961411683811,0.0,248000,8.64961411683811,1,0.0,0.0,-56.694528778706605,0.0,10,-112.86996927792852,10,-56.69452877870661,1
-101.42730313965086,-91.67383852244714,-91.67383852244714,8.189362571846328,8.189362571846328,-74.4178998410568,0.0,272000,-74.4178998410568,2,0.0,0.0,-91.67383852244714,0.0,10,-101.42730313965086,10,-91.67383852244714,2
-106.98293128062281,-46.32331347827398,-46.32331347827398,31.825980995194726,31.825980995194726,-1.1261539405387428,0.0,296000,-1.1261539405387428,3,0.0,0.0,-46.32331347827398,0.0,10,-106.98293128062281,10,-46.32331347827398,3
-108.46063527472843,-88.96395168527465,-88.96395168527465,15.553340514862056,15.553340514862056,-61.58671511401637,0.0,320000,-61.58671511401637,4,0.0,0.0,-88.96395168527465,0.0,10,-108.46063527472843,10,-88.96395168527465,4
-115.84938379625446,-97.0341825782264,-97.0341825782264,14.129511832011975,14.129511832011975,-62.318255881888724,0.0,344000,-62.318255881888724,5,0.0,0.0,-97.0341825782264,0.0,10,-115.84938379625446,10,-97.0341825782264,5
-107.1514110939018,-17.07731365150629,-17.07731365150629,81.43743884789849,81.43743884789849,202.21789532975666,0.0,368000,202.21789532975666,6,0.0,0.0,-17.07731365150629,0.0,10,-107.1514110939018,10,-17.07731365150629,6
-134.26970267323728,11293.483586364735,11293.48358636474,33970.89258970349,33970.89258970349,113205.47197687099,0.1,392000,113205.47197687099,7,0.0,0.0,11293.48358636474,0.1,10,-134.26970267323728,10,11293.483586364735,7
-130.03248064569377,335.16740634388344,335.16740634388304,1152.6143672960986,1152.6143672960986,3784.886693292436,0.0,416000,3784.886693292436,8,0.0,0.0,335.16740634388304,0.0,10,-130.03248064569377,10,335.16740634388344,8
-109.52398630689493,-67.76156559776754,-67.76156559776754,32.567663385663934,32.567663385663934,-13.763179559369917,0.1,440000,-13.763179559369917,9,0.0,0.0,-67.76156559776754,0.1,10,-109.52398630689493,10,-67.76156559776754,9
-127.69996223297578,-93.76876770633362,-93.76876770633362,12.97000942656053,12.97000942656053,-83.90431531346053,0.0,464000,-83.90431531346053,10,0.0,0.0,-93.76876770633362,0.0,10,-127.69996223297578,10,-93.76876770633362,10
-107.84467365716615,-71.3375397070967,-71.3375397070967,28.758625696114446,28.758625696114446,-28.55913988564161,0.0,488000,-28.55913988564161,11,0.0,0.0,-71.3375397070967,0.0,10,-107.84467365716615,10,-71.3375397070967,11
-100.59014531529918,-89.71078189342434,-89.71078189342437,7.334765535268057,7.334765535268057,-78.18314171647275,0.0,512000,-78.18314171647275,12,0.0,0.0,-89.71078189342437,0.0,10,-100.59014531529918,10,-89.71078189342434,12
-73.95041395534784,32.17458094105554,32.1745809410555,249.2548854035201,249.2548854035201,778.6501439675666,0.0,536000,778.6501439675666,13,0.0,0.0,32.1745809410555,0.0,10,-73.95041395534784,10,32.17458094105554,13
-85.12027680887246,223.45131991626,223.4513199162599,467.23993460310777,467.23993460310777,1426.9895446467322,0.0,560000,1426.9895446467322,14,0.0,0.0,223.4513199162599,0.0,10,-85.12027680887246,10,223.45131991626,14
-89.18736535335043,23337.344219033082,23337.344219033057,70158.4652068858,70158.4652068858,233812.7300476001,0.1,584000,233812.7300476001,15,0.0,0.0,23337.344219033057,0.1,10,-89.18736535335043,10,23337.344219033082,15
-105.47526074041228,488.7125210290178,488.71252102901764,1490.2179724094308,1490.2179724094308,4949.219732744301,0.0,608000,4949.219732744301,16,0.0,0.0,488.71252102901764,0.0,10,-105.47526074041228,10,488.7125210290178,16
-59.5151953060242,14346.455219870972,14346.455219870977,42796.91394058742,42796.91394058742,142735.26305989912,0.3,632000,142735.26305989912,17,0.0,0.0,14346.455219870977,0.3,10,-59.5151953060242,10,14346.455219870972,17
-113.5811886744358,26848.791960149858,26848.791960149887,80693.1424380389,80693.1424380389,268928.2082404639,0.1,656000,268928.2082404639,18,0.0,0.0,26848.791960149887,0.1,10,-113.5811886744358,10,26848.791960149858,18
-85.61791941766069,32896.818822474685,32896.818822474714,98719.28528872064,98719.28528872064,329054.55025600386,0.1,680000,329054.55025600386,19,0.0,0.0,32896.818822474714,0.1,10,-85.61791941766069,10,32896.818822474685,19
-80.84548443418672,24347.939935178227,24347.9399351782,73180.7225038579,73180.7225038579,243890.1006434014,0.1,704000,243890.1006434014,20,0.0,0.0,24347.9399351782,0.1,10,-80.84548443418672,10,24347.939935178227,20
-71.9151528562852,18266.693520788776,18266.69352078877,54953.31928638728,54953.31928638728,183126.648476513,0.1,728000,183126.648476513,21,0.0,0.0,18266.69352078877,0.1,10,-71.9151528562852,10,18266.693520788776,21
-89.78673801611758,1814.622690232236,1814.6226902322346,5610.57838095191,5610.57838095191,18646.29388216439,0.1,752000,18646.29388216439,22,0.0,0.0,1814.6226902322346,0.1,10,-89.78673801611758,10,1814.622690232236,22
-52.16749700527336,1234.9872573716036,1234.9872573716043,3829.3267280417845,3829.3267280417845,12722.950992083033,0.0,776000,12722.950992083033,23,0.0,0.0,1234.9872573716043,0.0,10,-52.16749700527336,10,1234.9872573716036,23
-49.21384313831504,725.0060111418014,725.0060111418018,2156.1853997422754,2156.1853997422754,7188.155544806927,0.0,800000,7188.155544806927,24,0.0,0.0,725.0060111418018,0.0,10,-49.21384313831504,10,725.0060111418014,24
