MetaTest/dial-turn-v1/MinReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,TotalEnvSteps,Average/AverageDiscountedReturn,MetaTest/dial-turn-v1/SuccessRate,MetaTest/Average/TerminationRate,MetaTest/dial-turn-v1/MaxReturn,GaussianMLPPolicy/Entropy,Average/AverageReturn,Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,dial-turn-v1/Iteration,MetaTest/dial-turn-v1/Iteration,MetaTest/dial-turn-v1/TerminationRate,dial-turn-v1/MaxReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,dial-turn-v1/AverageReturn,Average/StdReturn,dial-turn-v1/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/dial-turn-v1/StdReturn,Average/MinReturn,Average/NumEpisodes,dial-turn-v1/StdReturn,MetaTest/Average/MaxReturn,Average/SuccessRate,MetaTest/dial-turn-v1/AverageReturn,dial-turn-v1/SuccessRate,Average/TerminationRate,MetaTest/dial-turn-v1/NumEpisodes,Iteration,dial-turn-v1/NumEpisodes,dial-turn-v1/TerminationRate,Average/Iteration,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossBefore,dial-turn-v1/MinReturn,MetaTest/Average/AverageReturn
-46.244058190714824,-46.244058190714824,0.006517332047224045,80000,-19.93648945429995,0.0,0.0,-46.244058190714824,5.705490589141846,-53.188146742168975,-26.399682987101393,0,0.0,0,0,0.0,-26.399682987101393,-46.24405819071479,1,0.0010609683813527226,-46.24405819071479,0.0,-53.188146742168975,10.080389799829161,-19.93648945429995,0.000988902640528977,0.0,-75.94636054669884,200,10.080389799829161,-46.244058190714824,0.0,-46.244058190714824,0.0,0.0,1,0,200,0.0,0,0.0,0.0020498710218816996,-75.94636054669884,-46.244058190714824
-45.41038561842801,-45.41038561842801,0.0068044839426875114,160000,-15.339674444671514,0.0,0.0,-45.41038561842801,5.698127746582031,-38.4576213464383,-14.544841584959572,1,0.0,1,1,0.0,-14.544841584959572,-45.410385618427995,1,-0.0019451504340395331,-45.410385618427995,0.0,-38.4576213464383,11.947505075932733,-15.339674444671514,0.0012310079764574766,0.0,-70.68257539197802,200,11.947505075932733,-45.41038561842801,0.0,-45.41038561842801,0.0,0.0,1,1,200,0.0,1,0.0,-0.0007141424575820565,-70.68257539197802,-45.41038561842801
-18.196927444332502,-18.196927444332502,0.007298561744391918,240000,-12.433576847360442,0.0,0.0,-18.196927444332502,5.7045369148254395,-28.403879738884896,93.45734494333213,2,0.0,2,2,0.0,93.45734494333213,-18.1969274443325,1,-0.0009899664437398314,-18.1969274443325,0.0,-28.403879738884896,14.613072686625829,-12.433576847360442,0.0016213564667850733,0.0,-59.60587306333043,200,14.613072686625829,-18.196927444332502,0.03,-18.196927444332502,0.03,0.0,1,2,200,0.0,2,0.0,0.0006313900230452418,-59.60587306333043,-18.196927444332502
-14.50993472326326,-14.50993472326326,0.007726290728896856,320000,-0.2549408242464068,1.0,0.0,-14.50993472326326,5.682319164276123,42.977301029530956,5495.237392877237,3,0.0,3,3,0.0,5495.237392877237,-14.509934723263253,1,-0.004094123840332031,-14.509934723263253,0.0,42.977301029530956,536.9238438327235,-0.2549408242464068,0.0018324274569749832,0.0,-44.739417872028284,200,536.9238438327235,-14.50993472326326,0.055,-14.50993472326326,0.055,0.0,1,3,200,0.0,3,1.0,-0.002261696383357048,-44.739417872028284,-14.50993472326326
-16.96183736141193,-16.96183736141193,0.008916787803173065,400000,174.1932402503211,0.0,0.0,-16.96183736141193,5.670406818389893,1007.4416128769823,52758.67610622941,4,0.0,4,4,0.0,52758.67610622941,-16.961837361411913,1,-0.002956498647108674,-16.961837361411913,0.0,1007.4416128769823,5768.133707657388,174.1932402503211,0.0018785222200676799,0.0,-29.079171105764143,200,5768.133707657388,-16.96183736141193,0.175,-16.96183736141193,0.175,0.0,1,4,200,0.0,4,0.0,-0.0010779764270409942,-29.079171105764143,-16.96183736141193
513.7492307562466,513.7492307562466,0.0009252427262254059,480000,921.7475098515259,0.0,0.0,513.7492307562466,5.657290458679199,4916.9850294282605,106490.56222339206,5,0.0,5,5,0.0,106490.56222339206,513.7492307562468,1,-1.096780579246115e-05,513.7492307562468,0.0,4916.9850294282605,15255.40395349045,921.7475098515259,1.3683820725418627e-06,0.0,-24.07673909315524,200,15255.40395349045,513.7492307562466,0.355,513.7492307562466,0.355,0.0,1,5,200,0.0,5,0.0,-9.599423719919287e-06,-24.07673909315524,513.7492307562466
1580.9907233839112,1580.9907233839112,0.009929538704454899,560000,898.6317960355148,0.0,0.0,1580.9907233839112,5.692843437194824,4566.034425000226,110153.50785134833,6,0.0,6,6,0.0,110153.50785134833,1580.99072338391,1,0.0005455894279293716,1580.99072338391,0.0,4566.034425000226,15020.088985866576,898.6317960355148,0.0009222915978170931,0.0,-23.867938204215566,200,15020.088985866576,1580.9907233839112,0.34,1580.9907233839112,0.34,0.0,1,6,200,0.0,6,0.0,0.0014678810257464647,-23.867938204215566,1580.9907233839112
-9.769552270888344,-9.769552270888344,0.0004232387582305819,640000,1653.9681433439732,0.0,0.0,-9.769552270888344,5.708456993103027,8226.300943107162,201785.05945050635,7,0.0,7,7,0.0,201785.05945050635,-9.769552270888346,1,1.0745607141871005e-05,-9.769552270888346,0.0,8226.300943107162,23890.058689373334,1653.9681433439732,6.09721610089764e-07,0.0,-23.79400564652029,200,23890.058689373334,-9.769552270888344,0.4,-9.769552270888344,0.4,0.0,1,7,200,0.0,7,0.0,1.135532875196077e-05,-23.79400564652029,-9.769552270888344
506.5057876164019,506.5057876164019,0.00699398759752512,720000,1102.7912280109435,0.0,0.0,506.5057876164019,5.736290454864502,5455.608298723025,151485.0658225283,8,0.0,8,8,0.0,151485.0658225283,506.50578761640196,1,9.133999265031889e-05,506.50578761640196,0.0,5455.608298723025,18820.445847061805,1102.7912280109435,0.00018238560733152553,0.0,-23.40626654806842,200,18820.445847061805,506.5057876164019,0.315,506.5057876164019,0.315,0.0,1,8,200,0.0,8,0.0,0.0002737255999818444,-23.40626654806842,506.5057876164019
-15.929118779009514,-15.929118779009514,0.006959936115890741,800000,2458.3845841509856,1.0,0.0,-15.929118779009514,5.740071773529053,11777.720930554067,129396.79408595037,9,0.0,9,9,0.0,129396.79408595037,-15.929118779009519,1,-0.00027204761863686144,-15.929118779009519,0.0,11777.720930554067,26416.675675794584,2458.3845841509856,0.000359892233973369,0.0,-23.188774854555113,200,26416.675675794584,-15.929118779009514,0.455,-15.929118779009514,0.455,0.0,1,9,200,0.0,9,1.0,8.784461533650756e-05,-23.188774854555113,-15.929118779009514
