MetaTrain/Average/Alpha,MetaTest/push-wall-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/SuccessRate,MetaTest/push-wall-v1/TerminationRate,MetaTest/push-wall-v1/NumTrajs,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/push-wall-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/Iteration,MetaTest/push-wall-v1/MaxReturn,MetaTest/push-wall-v1/Iteration
nan,154.31548625546975,-1.8565899,0.0,0.0,10,399.7304839928555,224000,154.31548625546975,8.467863,0.0,-17.122761131996697,131.94060491149608,6.729876,2.1853623,131.94060491149608,0.0,131.94060491149608,131.94060491149608,-17.122761131996697,10,0,399.7304839928555,0
nan,2.2120411844800243,-11.141359,0.0,0.0,10,-48.1104953171433,248000,2.2120411844800243,21.71768,0.0,-54.128572492357584,-51.44408578123439,6.4563537,1033.6538,-51.44408578123439,0.0,-51.44408578123439,-51.44408578123439,-54.128572492357584,10,1,-48.1104953171433,1
nan,3.9546988389162245,-315.36743,0.0,0.0,10,-105.4374016331093,272000,3.9546988389162245,56.094753,0.0,-116.86733836023087,-111.15621529615218,2.4335828,60052.31,-111.15621529615218,0.0,-111.15621529615218,-111.15621529615218,-116.86733836023087,10,2,-105.4374016331093,2
nan,3.755669574994398,-565.1452,0.0,0.0,10,-40.189618818750496,296000,3.755669574994398,64.9617,0.0,-53.17558009049727,-48.645291347591,-1.4871942,40576.125,-48.645291347591,0.0,-48.64529134759099,-48.64529134759099,-53.17558009049727,10,3,-40.189618818750496,3
nan,18.99773468502251,-1220.0884,0.0,0.0,10,-4.360406262923188,320000,18.99773468502251,179.17316,0.0,-66.97117966449672,-39.45438453524975,-2.732214,116170.62,-39.45438453524975,0.0,-39.45438453524974,-39.45438453524974,-66.97117966449672,10,4,-4.360406262923188,4
nan,31.403266919057817,-2991.6274,0.0,0.0,10,-13.037056442092718,344000,31.403266919057817,325.91177,0.0,-105.3164110863903,-59.08054652302421,-3.6624355,305684.2,-59.08054652302421,0.0,-59.0805465230242,-59.0805465230242,-105.3164110863903,10,5,-13.037056442092718,5
nan,30.25427893165835,-2929.8374,0.0,0.0,10,-4.057114751685848,368000,30.25427893165835,201.2775,0.0,-106.72793055648188,-70.68003048348038,-3.8854282,332753.66,-70.68003048348038,0.0,-70.68003048348038,-70.68003048348038,-106.72793055648188,10,6,-4.057114751685848,6
nan,4.837532210509365,-2315.7715,0.0,0.0,10,-84.69721838378285,392000,4.837532210509365,4459.345,0.0,-99.07653331130447,-90.73721404762514,-4.368503,2258208.2,-90.73721404762514,0.0,-90.73721404762517,-90.73721404762517,-99.07653331130447,10,7,-84.69721838378285,7
nan,30.12848316998796,-2045.9036,0.0,0.0,10,-21.830444005253383,416000,30.12848316998796,7601.6704,0.0,-98.74059612230275,-59.008660787807756,-3.7239726,155313.25,-59.008660787807756,0.0,-59.00866078780774,-59.00866078780774,-98.74059612230275,10,8,-21.830444005253383,8
nan,23.59269517019193,800.62354,0.0,0.0,10,-35.01816355756167,440000,23.59269517019193,5472.1367,0.0,-94.66055837289693,-62.23682896785577,2.6264806,131489.14,-62.23682896785577,0.0,-62.236828967855764,-62.236828967855764,-94.66055837289693,10,9,-35.01816355756167,9
nan,1.8541965816416601,822.42865,0.0,0.0,10,-92.55801425252139,464000,1.8541965816416601,1251.0663,0.0,-97.70171554145287,-95.04871774876501,4.0268216,39949.742,-95.04871774876501,0.0,-95.04871774876497,-95.04871774876497,-97.70171554145287,10,10,-92.55801425252139,10
nan,13.604382296652538,-149.7042,0.0,0.0,10,-38.58920044693368,488000,13.604382296652538,1309.8942,0.0,-87.97205534594106,-71.7438899814211,1.074251,75589.555,-71.7438899814211,0.0,-71.74388998142109,-71.74388998142109,-87.97205534594106,10,11,-38.58920044693368,11
nan,4.361768018734511,-734.1986,0.0,0.0,10,-113.38316117904097,512000,4.361768018734511,2645.9436,0.0,-126.6156935337115,-119.4088590146359,0.11046747,222352.72,-119.4088590146359,0.0,-119.4088590146359,-119.4088590146359,-126.6156935337115,10,12,-113.38316117904097,12
nan,1.5911360927806195,-140.6188,0.0,0.0,10,-92.6954864555087,536000,1.5911360927806195,9076.14,0.0,-97.20912702609994,-95.09087631530105,-0.83506167,123693.22,-95.09087631530105,0.0,-95.09087631530105,-95.09087631530105,-97.20912702609994,10,13,-92.6954864555087,13
nan,17.620682085549998,-9183.374,0.0,0.0,10,-27.19992823413745,560000,17.620682085549998,1011.61615,0.0,-94.76015185840143,-50.30990367484297,-10.426513,583538.3,-50.30990367484297,0.0,-50.30990367484295,-50.30990367484295,-94.76015185840143,10,14,-27.19992823413745,14
nan,68.05366340275845,-9946.44,0.0,0.0,10,92.42366671390354,584000,68.05366340275845,525.10834,0.0,-134.0482497706057,-75.69476708962443,-9.620782,810144.75,-75.69476708962443,0.0,-75.69476708962443,-75.69476708962443,-134.0482497706057,10,15,92.42366671390354,15
