pick-place-v1/NumEpisodes,pick-place-v1/StdReturn,pick-place-v1/AverageReturn,MetaTest/Average/NumEpisodes,policy/LossBefore,MetaTest/pick-place-v1/SuccessRate,MetaTest/pick-place-v1/AverageDiscountedReturn,pick-place-v1/AverageDiscountedReturn,policy/KL,Average/Iteration,Average/SuccessRate,MetaTest/pick-place-v1/TerminationRate,pick-place-v1/Iteration,policy/LossAfter,Average/TerminationRate,Average/MinReturn,policy/Entropy,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,Average/NumEpisodes,Average/MaxReturn,MetaTest/pick-place-v1/MinReturn,Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-place-v1/Iteration,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/SuccessRate,pick-place-v1/TerminationRate,MetaTest/Average/MaxReturn,pick-place-v1/MaxReturn,MetaTest/pick-place-v1/AverageReturn,Average/StdReturn,pick-place-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/pick-place-v1/MaxReturn,Average/AverageDiscountedReturn,pick-place-v1/MinReturn,MetaTest/pick-place-v1/NumEpisodes,policy/dLoss,MetaTest/pick-place-v1/StdReturn,MetaTest/Average/StdReturn,policy/KLBefore
100,15.629012954529738,-65.86028689721077,10,-0.022979682,0.0,-56.12649755705436,-23.338831238804513,0.00516858,0,0.0,0.0,0,-0.04480845,0.0,-107.5631492828232,5.662864,20000,0.0,-56.12649755705435,100,-34.24727058195286,-71.75255551318924,-65.86028689721077,0,-56.12649755705436,0,0.436091517317727,0.0,0.0,-40.408125779933,-34.24727058195286,-56.12649755705435,15.629012954529738,0.0,-71.75255551318924,-40.408125779933,-23.338831238804513,-107.5631492828232,10,0.021828769,9.61357024155894,9.61357024155894,0.0
100,15.371644509270428,-56.82689327045227,,-0.0057481444,,,-20.8575264626496,0.010213854,1,0.0,,1,-0.024257168,0.0,-93.50058717564963,5.668709,40000,,,100,-29.376610366990626,,-56.82689327045227,,,,0.3855677208598738,,0.0,,-29.376610366990626,,15.371644509270428,0.0,,,-20.8575264626496,-93.50058717564963,,0.018509023,,,0.0
100,14.860704998782904,-49.61395939022107,,-0.024085244,,,-18.39747675151266,0.008284079,2,0.0,,2,-0.039724596,0.0,-95.42292968725266,5.6798334,60000,,,100,-24.071695285546266,,-49.61395939022107,,,,0.4037055483261607,,0.0,,-24.071695285546266,,14.860704998782904,0.0,,,-18.39747675151266,-95.42292968725266,,0.015639352,,,0.0
100,11.614673962547043,-43.43340047370631,,-0.011981634,,,-17.068300819075954,0.010894826,3,0.0,,3,-0.02364046,0.0,-77.81173286360418,5.67443,80000,,,100,-7.636536581304303,,-43.43340047370631,,,,0.29165636769391523,,0.0,,-7.636536581304303,,11.614673962547043,0.0,,,-17.068300819075954,-77.81173286360418,,0.011658825,,,0.0
100,13.363671815486345,-45.14441385608181,,-0.011182393,,,-17.298112930947717,0.009337705,4,0.0,,4,-0.02069653,0.0,-86.97805934098302,5.656611,100000,,,100,-24.34076218646674,,-45.14441385608181,,,,0.4134748798218896,,0.0,,-24.34076218646674,,13.363671815486345,0.0,,,-17.298112930947717,-86.97805934098302,,0.009514137,,,0.0
100,10.245778560129544,-42.29428581407772,,0.0051244325,,,-16.414839847270457,0.013269506,5,0.0,,5,-0.0025879578,0.0,-72.69693891963439,5.6433206,120000,,,100,-24.494862658379198,,-42.29428581407772,,,,0.37897491661099836,,0.0,,-24.494862658379198,,10.245778560129544,0.0,,,-16.414839847270457,-72.69693891963439,,0.0077123903,,,0.0
100,11.373454646134498,-42.69675511776248,,-0.01215732,,,-16.38824669713735,0.0108325165,6,0.0,,6,-0.021000316,0.0,-81.05868422339377,5.6383586,140000,,,100,-26.122088343398538,,-42.69675511776248,,,,0.4033918152571365,,0.0,,-26.122088343398538,,11.373454646134498,0.0,,,-16.38824669713735,-81.05868422339377,,0.008842996,,,0.0
100,11.619573874679467,-38.17061152101802,,-0.0026400567,,,-15.551850085994344,0.009367569,7,0.0,,7,-0.011046256,0.0,-82.15103933079395,5.6273346,160000,,,100,16.177188912544615,,-38.17061152101802,,,,0.38617819475579007,,0.0,,16.177188912544615,,11.619573874679467,0.0,,,-15.551850085994344,-82.15103933079395,,0.0084061995,,,0.0
100,8.795271266736965,-40.075686645074214,,-0.010848976,,,-15.390918766172128,0.010614543,8,0.0,,8,-0.019149454,0.0,-64.95400494108497,5.621264,180000,,,100,-24.37552811035128,,-40.075686645074214,,,,0.43957441881989867,,0.0,,-24.37552811035128,,8.795271266736965,0.0,,,-15.390918766172128,-64.95400494108497,,0.008300479,,,0.0
100,17.646105608856132,-37.81790423383118,,0.0006121521,,,-15.490160395102158,0.008631682,9,0.0,,9,-0.008515155,0.0,-92.3049673802395,5.605668,200000,,,100,64.55046025227726,,-37.81790423383118,,,,0.32692307503330487,,0.0,,64.55046025227726,,17.646105608856132,0.0,,,-15.490160395102158,-92.3049673802395,,0.009127307,,,0.0
