Average/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossBefore,Average/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MaxReturn,pick-out-of-hole-v1/Iteration,MetaTest/pick-out-of-hole-v1/Iteration,pick-out-of-hole-v1/AverageReturn,MetaTest/pick-out-of-hole-v1/NumEpisodes,MetaTest/pick-out-of-hole-v1/SuccessRate,MetaTest/pick-out-of-hole-v1/StdReturn,MetaTest/Average/StdReturn,pick-out-of-hole-v1/SuccessRate,pick-out-of-hole-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,MetaTest/pick-out-of-hole-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/pick-out-of-hole-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,pick-out-of-hole-v1/MaxReturn,Average/StdReturn,pick-out-of-hole-v1/StdReturn,pick-out-of-hole-v1/AverageDiscountedReturn,pick-out-of-hole-v1/TerminationRate,Average/NumEpisodes,Average/AverageReturn,Average/AverageDiscountedReturn,MetaTest/pick-out-of-hole-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/pick-out-of-hole-v1/AverageReturn,GaussianMLPPolicy/Entropy,Iteration,Average/MinReturn,MetaTest/Average/AverageReturn,pick-out-of-hole-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/pick-out-of-hole-v1/MaxReturn
10,-34.69257666505266,0.0,-0.003064133692532778,0.0,0.007840724661946297,-25.360549816117555,10,10,-33.20240411995739,1,0.0,0.0,0.0,0.0,200,-0.004970712121576071,0.001906578429043293,0.0,1,0.0,880000,-34.69257666505266,-34.69257666505266,10,-25.360549816117555,3.2023425623133885,3.2023425623133885,-15.612512773272842,0.0,200,-33.20240411995739,-15.612512773272842,-34.69257666505266,0.0,-34.69257666505266,5.854774475097656,10,-42.46099174772814,-34.69257666505266,-42.46099174772814,-34.69257666505266,0.0,-34.69257666505266
11,-29.411947449148148,0.0,-0.0031826291233301163,0.0,0.007896577939391136,-23.761339329788065,11,11,-32.840912054208154,1,0.0,0.0,0.0,0.0,200,-0.004677952732890844,0.001495323609560728,0.0,1,0.0,960000,-29.411947449148148,-29.411947449148148,11,-23.761339329788065,3.53036984991607,3.53036984991607,-15.216806202701651,0.0,200,-32.840912054208154,-15.216806202701651,-29.41194744914813,0.0,-29.411947449148148,5.788884162902832,11,-43.68952435440338,-29.411947449148148,-43.68952435440338,-29.41194744914813,0.0,-29.411947449148148
12,-32.301826916026165,0.0,-0.0022809519432485104,0.0,0.006260865367949009,-23.674512904537835,12,12,-30.956975414876606,1,0.0,0.0,0.0,0.0,200,-0.0043027219362556934,0.002021769993007183,0.0,1,0.0,1040000,-32.301826916026165,-32.301826916026165,12,-23.674512904537835,3.2915124353744516,3.2915124353744516,-14.610959098882907,0.0,200,-30.956975414876606,-14.610959098882907,-32.301826916026165,0.0,-32.301826916026165,5.7646589279174805,12,-40.88745883117996,-32.301826916026165,-40.88745883117996,-32.301826916026165,0.0,-32.301826916026165
13,-29.21131662085568,0.0,-0.00029312711558304727,0.0,0.00851608905941248,-23.25481271216566,13,13,-30.3157992146357,1,0.0,0.0,0.0,0.0,200,-0.003352923784404993,0.003059796668821946,0.0,1,0.0,1120000,-29.21131662085568,-29.21131662085568,13,-23.25481271216566,2.868825891079256,2.868825891079256,-14.317742570623729,0.0,200,-30.3157992146357,-14.317742570623729,-29.2113166208557,0.0,-29.21131662085568,5.764086723327637,13,-39.541176390529934,-29.21131662085568,-39.541176390529934,-29.2113166208557,0.0,-29.21131662085568
14,-30.684330516808465,0.0,0.0018588921520859003,0.0,0.006529947277158499,-22.934239406341312,14,14,-28.885227399249807,1,0.0,0.0,0.0,0.0,200,0.0002510478370822966,0.0016078443150036037,0.0,1,0.0,1200000,-30.684330516808465,-30.684330516808465,14,-22.934239406341312,2.9029635793824373,2.9029635793824373,-13.731040541616794,0.0,200,-28.885227399249807,-13.731040541616794,-30.68433051680849,0.0,-30.684330516808465,5.7978692054748535,14,-39.00244912238526,-30.684330516808465,-39.00244912238526,-30.68433051680849,0.0,-30.684330516808465
15,-28.828399187928422,0.0,-0.0035679955035448074,0.0,0.006373066455125809,-22.098525938866587,15,15,-27.77642093839531,1,0.0,0.0,0.0,0.0,200,-0.0040411800146102905,0.0004731845110654831,0.0,1,0.0,1280000,-28.828399187928422,-28.828399187928422,15,-22.098525938866587,2.6708243663203213,2.6708243663203213,-13.336721434583733,0.0,200,-27.77642093839531,-13.336721434583733,-28.828399187928394,0.0,-28.828399187928422,5.725844383239746,15,-36.27081247662639,-28.828399187928422,-36.27081247662639,-28.828399187928394,0.0,-28.828399187928422
16,-29.1282615910884,0.0,-0.00044105033157393336,0.0,0.00808870792388916,-20.822259416407242,16,16,-27.680163259858958,1,0.0,0.0,0.0,0.0,200,-0.0023262551985681057,0.0018852048669941723,0.0,1,0.0,1360000,-29.1282615910884,-29.1282615910884,16,-20.822259416407242,3.329218132724268,3.329218132724268,-13.408803510045226,0.0,200,-27.680163259858958,-13.408803510045226,-29.12826159108842,0.0,-29.1282615910884,5.716924667358398,16,-39.788422471799066,-29.1282615910884,-39.788422471799066,-29.12826159108842,0.0,-29.1282615910884
17,-26.302596234298857,0.0,0.0038500833325088024,0.0,0.0068679628893733025,-22.075607966644156,17,17,-27.68840570207154,1,0.0,0.0,0.0,0.0,200,0.0005977187538519502,0.0032523645786568522,0.0,1,0.0,1440000,-26.302596234298857,-26.302596234298857,17,-22.075607966644156,2.8852354684938035,2.8852354684938035,-13.347452697303783,0.0,200,-27.68840570207154,-13.347452697303783,-26.30259623429884,0.0,-26.302596234298857,5.758774757385254,17,-35.889380437809905,-26.302596234298857,-35.889380437809905,-26.30259623429884,0.0,-26.302596234298857
18,-27.020508530935725,0.0,-0.0015138101298362017,0.0,0.0065339296124875546,-21.38990708831641,18,18,-27.066239691021853,1,0.0,0.0,0.0,0.0,200,-0.0037698119413107634,0.0022560018114745617,0.0,1,0.0,1520000,-27.020508530935725,-27.020508530935725,18,-21.38990708831641,2.5593713413931676,2.5593713413931676,-13.071012891880175,0.0,200,-27.066239691021853,-13.071012891880175,-27.020508530935736,0.0,-27.020508530935725,5.743081092834473,18,-34.36802247831828,-27.020508530935725,-34.36802247831828,-27.020508530935736,0.0,-27.020508530935725
19,-33.989989245641375,0.0,-0.0002553079684730619,0.0,0.007443249225616455,-20.51471950410531,19,19,-27.012075779647272,1,0.0,0.0,0.0,0.0,200,-0.0015991050750017166,0.0013437971065286547,0.0,1,0.0,1600000,-33.989989245641375,-33.989989245641375,19,-20.51471950410531,2.758600234521392,2.758600234521392,-12.870007853616647,0.0,200,-27.012075779647272,-12.870007853616647,-33.98998924564136,0.0,-33.989989245641375,5.744115352630615,19,-37.21902535185906,-33.989989245641375,-37.21902535185906,-33.98998924564136,0.0,-33.989989245641375
20,-26.696382952690676,0.0,-0.00131411908660084,0.0,0.006094195879995823,-21.516364804596712,20,20,-26.775137327090825,1,0.0,0.0,0.0,0.0,200,-0.0027764495462179184,0.0014623304596170783,0.0,1,0.0,1680000,-26.696382952690676,-26.696382952690676,20,-21.516364804596712,2.290300812630359,2.290300812630359,-12.779226983080994,0.0,200,-26.775137327090825,-12.779226983080994,-26.696382952690666,0.0,-26.696382952690676,5.726994514465332,20,-36.2900748025243,-26.696382952690676,-36.2900748025243,-26.696382952690666,0.0,-26.696382952690676
21,-25.525986309736243,0.0,-0.002276324899867177,0.0,0.008281297981739044,-20.243554982432343,21,21,-26.239567574474467,1,0.0,0.0,0.0,0.0,200,-0.004566292278468609,0.002289967378601432,0.0,1,0.0,1760000,-25.525986309736243,-25.525986309736243,21,-20.243554982432343,2.2254209908205573,2.2254209908205573,-12.565902471982044,0.0,200,-26.239567574474467,-12.565902471982044,-25.525986309736247,0.0,-25.525986309736243,5.69407844543457,21,-35.98025416294592,-25.525986309736243,-35.98025416294592,-25.525986309736247,0.0,-25.525986309736243
22,-26.353433958625057,0.0,-0.005627837032079697,0.0,0.0075860703364014626,-21.29651711200147,22,22,-25.298423552956656,1,0.0,0.0,0.0,0.0,200,-0.008322471752762794,0.002694634720683098,0.0,1,0.0,1840000,-26.353433958625057,-26.353433958625057,22,-21.29651711200147,2.12826390016242,2.12826390016242,-12.11484542397468,0.0,200,-25.298423552956656,-12.11484542397468,-26.35343395862507,0.0,-26.353433958625057,5.622175693511963,22,-32.4427037139617,-26.353433958625057,-32.4427037139617,-26.35343395862507,0.0,-26.353433958625057
23,-21.28476456320777,0.0,-0.0017777091125026345,0.0,0.007235719822347164,-20.595217007159864,23,23,-25.988964556175375,1,0.0,0.0,0.0,0.0,200,-0.004726329352706671,0.0029486202402040362,0.0,1,0.0,1920000,-21.28476456320777,-21.28476456320777,23,-20.595217007159864,2.5394554244047076,2.5394554244047076,-12.365296771539475,0.0,200,-25.988964556175375,-12.365296771539475,-21.284764563207776,0.0,-21.28476456320777,5.595175743103027,23,-36.22867248938069,-21.28476456320777,-36.22867248938069,-21.284764563207776,0.0,-21.28476456320777
24,-26.198624037758382,0.0,-9.026825136970729e-05,0.0,0.008218144997954369,-20.46298049018546,24,24,-24.792712962751583,1,0.0,0.0,0.0,0.0,200,-0.0021369350142776966,0.0020466667629079893,0.0,1,0.0,2000000,-26.198624037758382,-26.198624037758382,24,-20.46298049018546,2.0349552954569146,2.0349552954569146,-11.915424598212393,0.0,200,-24.792712962751583,-11.915424598212393,-26.198624037758393,0.0,-26.198624037758382,5.606687068939209,24,-33.26695848783984,-26.198624037758382,-33.26695848783984,-26.198624037758393,0.0,-26.198624037758382
