MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/drawer-close-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/drawer-close-v1/MaxReturn,MetaTest/drawer-close-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/Alpha,MetaTest/drawer-close-v1/StdReturn,MetaTest/Average/NumEpisodes,MetaTrain/Average/ContrastiveLoss,MetaTest/drawer-close-v1/AverageDiscountedReturn,TotalEnvSteps,MetaTest/drawer-close-v1/Iteration,MetaTest/drawer-close-v1/MinReturn,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTest/Average/StdReturn,MetaTest/drawer-close-v1/NumEpisodes,MetaTrain/Average/QfLoss,MetaTest/drawer-close-v1/TerminationRate
-23.872001953149095,0.0,-23.872001953149095,-16.98781262831429,-16.98781262831429,0.0,-23.872001953149102,0.8692385,6.026402326369172,10,8.639084,-23.872001953149102,112000,0,-38.08019405618826,-38.08019405618826,0.0,5.848626,0.8652284,0,6.026402326369172,10,1.3655505,0.0
-49.56016368026074,0.0,-49.56016368026074,-46.356485132685066,-46.356485132685066,0.0,-49.56016368026075,0.68294895,3.3430407094618326,10,14.952511,-49.56016368026075,124000,1,-56.99148730471874,-56.99148730471874,0.0,2.67589,-14.514184,1,3.3430407094618326,10,9306.158,0.0
6.763116116492415,0.0,6.763116116492415,269.49568398018704,269.49568398018704,0.0,6.763116116492382,0.6000175,87.8521239100622,10,20.74669,6.763116116492382,136000,2,-38.514315326533975,-38.514315326533975,0.0,0.5612954,-94.84505,2,87.8521239100622,10,9707.773,0.0
-31.461297807858944,0.0,-31.461297807858944,-12.897036067115275,-12.897036067115275,0.0,-31.461297807858962,0.5349446,10.209796231920869,10,63.835682,-31.461297807858962,148000,3,-42.80820144558264,-42.80820144558264,0.0,0.73476815,-108.96378,3,10.209796231920869,10,10304.832,0.0
-23.953274730234163,0.5,-23.953274730234163,-15.443122021654327,-15.443122021654327,0.5,-23.95327473023416,0.49882483,4.950890221659323,10,86.262794,-23.95327473023416,160000,4,-28.447522633215325,-28.447522633215325,0.0,-0.34414026,-417.456,4,4.950890221659323,10,16190.953,0.0
-83.94921736264817,0.0,-83.94921736264817,-68.19780287482318,-68.19780287482318,0.0,-83.94921736264816,0.6133471,11.02028665425823,10,66.02525,-83.94921736264816,172000,5,-105.50596352425345,-105.50596352425345,0.0,-1.0677893,-1115.073,5,11.02028665425823,10,29934.027,0.0
-57.394261419196525,0.0,-57.394261419196525,-13.014201371263358,-13.014201371263358,0.0,-57.39426141919652,0.67372507,37.39607743785011,10,3298.3147,-57.39426141919652,184000,6,-103.39382566740717,-103.39382566740717,0.0,-2.466157,-943.0829,6,37.39607743785011,10,59927.45,0.0
-64.79085891642903,0.0,-64.79085891642903,-54.52655654598461,-54.52655654598461,0.0,-64.79085891642904,0.77326614,5.00328240147646,10,305.3913,-64.79085891642904,196000,7,-72.64457955272975,-72.64457955272975,0.0,-1.2945917,-1354.254,7,5.00328240147646,10,17004.043,0.0
-20.27425804283559,0.0,-20.27425804283559,-5.298512807061714,-5.298512807061714,0.0,-20.274258042835594,0.7839108,8.629208318238863,10,150.17558,-20.274258042835594,208000,8,-39.101059457722755,-39.101059457722755,0.0,-0.23742822,-869.73413,8,8.629208318238863,10,9004.223,0.0
-19.65168946315668,0.9,-19.65168946315668,-14.811004474016043,-14.811004474016043,0.9,-19.65168946315667,0.8070742,3.149174113750341,10,731.14294,-19.65168946315667,220000,9,-27.433798223613604,-27.433798223613604,0.0,1.4978545,-695.0874,9,3.149174113750341,10,15329.196,0.0
-22.825678745264128,0.0,-22.825678745264128,-14.628266302623704,-14.628266302623704,0.0,-22.825678745264128,0.8675389,9.085805412940388,10,23.53589,-22.825678745264128,232000,10,-43.76624729139665,-43.76624729139665,0.0,-4.852629,-4405.27,10,9.085805412940388,10,34578.734,0.0
-26.510137440575313,0.8,-26.510137440575313,-16.26570546524484,-16.26570546524484,0.8,-26.510137440575317,0.9599747,13.234636791052289,10,159.18999,-26.510137440575317,244000,11,-64.75694145600035,-64.75694145600035,0.0,1.5519027,-979.2831,11,13.234636791052289,10,12790.556,0.0
-108.02563145936548,0.0,-108.02563145936548,-101.03499223029955,-101.03499223029955,0.0,-108.02563145936547,0.88081336,6.215133200433814,10,3569.3362,-108.02563145936547,256000,12,-119.0227176419273,-119.0227176419273,0.0,-0.8104436,-921.3352,12,6.215133200433814,10,504765.88,0.0
-92.3735884523866,0.0,-92.3735884523866,-76.12965231117485,-76.12965231117485,0.0,-92.3735884523866,0.8452313,9.780673440876642,10,6410.1333,-92.3735884523866,268000,13,-109.90881686027438,-109.90881686027438,0.0,0.49300492,-928.3984,13,9.780673440876642,10,505564.88,0.0
-100.79405978511161,0.0,-100.79405978511161,-86.14728007213375,-86.14728007213375,0.0,-100.79405978511159,0.86323965,7.831561846791388,10,19268.342,-100.79405978511159,280000,14,-111.12049879250544,-111.12049879250544,0.0,-0.9647903,-1807.7556,14,7.831561846791388,10,886135.3,0.0
-89.5050452468787,0.0,-89.5050452468787,-14.088590405725569,-14.088590405725569,0.0,-89.50504524687868,0.88825125,33.073642751169515,10,19078.494,-89.50504524687868,292000,15,-126.01929430695763,-126.01929430695763,0.0,-0.17227906,-1089.0125,15,33.073642751169515,10,569866.44,0.0
-114.5872790225549,0.0,-114.5872790225549,-105.94568940897682,-105.94568940897682,0.0,-114.58727902255484,0.8783374,5.454289636120186,10,9435.206,-114.58727902255484,304000,16,-122.34484096899615,-122.34484096899615,0.0,0.55023324,-2.2179375,16,5.454289636120186,10,371266.62,0.0
-102.21422795960966,0.0,-102.21422795960966,-100.28773943761074,-100.28773943761074,0.0,-102.2142279596097,0.8479568,1.2440499874701922,10,4772.836,-102.2142279596097,316000,17,-104.12116958601845,-104.12116958601845,0.0,-0.36517683,356.69037,17,1.2440499874701922,10,390997.75,0.0
-112.90690436458155,0.0,-112.90690436458155,-101.50361157162946,-101.50361157162946,0.0,-112.90690436458158,0.9585884,7.477162116675984,10,9294.608,-112.90690436458158,328000,18,-127.90001943866898,-127.90001943866898,0.0,-1.4289289,-1475.6793,18,7.477162116675984,10,388163.12,0.0
-48.98843693770526,0.0,-48.98843693770526,-14.928340543349313,-14.928340543349313,0.0,-48.98843693770527,1.2154723,39.237756213478576,10,1956.7009,-48.98843693770527,340000,19,-113.80497787198821,-113.80497787198821,0.0,-5.9883475,-3094.9182,19,39.237756213478576,10,436466.8,0.0
-41.488760555727765,0.0,-41.488760555727765,61.19720924537678,61.19720924537678,0.0,-41.48876055572775,1.3596121,43.82081460741865,10,2851.9578,-41.48876055572775,352000,20,-83.24063773066196,-83.24063773066196,0.0,0.94212365,-3718.7737,20,43.82081460741865,10,527543.2,0.0
-73.87520211315994,0.0,-73.87520211315994,-59.05100835032342,-59.05100835032342,0.0,-73.87520211315994,1.5229691,12.720790186760649,10,7090.077,-73.87520211315994,364000,21,-99.68008301903079,-99.68008301903079,0.0,-4.8461957,-9309.334,21,12.720790186760649,10,733920.9,0.0
-23.589784649863482,0.0,-23.589784649863482,-7.9733631474488895,-7.9733631474488895,0.0,-23.589784649863468,1.7002151,13.1354141868906,10,6770.382,-23.589784649863468,376000,22,-54.26922780303598,-54.26922780303598,0.0,0.72566617,-3987.0906,22,13.1354141868906,10,607853.6,0.0
-95.75419960733198,0.0,-95.75419960733198,-78.15407925435878,-78.15407925435878,0.0,-95.75419960733203,1.7339647,11.509869514552829,10,6760.871,-95.75419960733203,388000,23,-116.91899681592493,-116.91899681592493,0.0,-0.5107364,-3875.7974,23,11.509869514552829,10,580672.1,0.0
-97.14204582848257,0.0,-97.14204582848257,-72.6627263393232,-72.6627263393232,0.0,-97.14204582848254,1.5331194,13.511316053051067,10,7722.2354,-97.14204582848254,400000,24,-117.38233408554875,-117.38233408554875,0.0,2.8634584,-2216.3513,24,13.511316053051067,10,630014.2,0.0
-78.28090587934707,0.6,-78.28090587934707,-59.5266841457405,-59.5266841457405,0.6,-78.28090587934705,1.5903152,16.64498926294082,10,2149.558,-78.28090587934705,412000,25,-104.79299785879486,-104.79299785879486,0.0,-25.07802,-51192.375,25,16.64498926294082,10,1088913.4,0.0
-56.47280081205876,0.2,-56.47280081205876,-12.900466967007283,-12.900466967007283,0.2,-56.47280081205874,2.3964982,36.79275808230112,10,421.1111,-56.47280081205874,424000,26,-100.8743151478025,-100.8743151478025,0.0,-66.29141,-100329.52,26,36.79275808230112,10,1732166.0,0.0
-39.44069899570538,0.9,-39.44069899570538,-20.69092306576342,-20.69092306576342,0.9,-39.440698995705375,3.2165697,24.886691893013136,10,5526.134,-39.440698995705375,436000,27,-98.1294209030094,-98.1294209030094,0.0,-40.334,-64031.11,27,24.886691893013136,10,856530.94,0.0
-59.347190735184896,0.1,-59.347190735184896,-15.070371745338027,-15.070371745338027,0.1,-59.34719073518487,3.7186065,33.354533922273966,10,7685.505,-59.34719073518487,448000,28,-102.49672223363338,-102.49672223363338,0.0,-16.666351,-31234.025,28,33.354533922273966,10,543303.5,0.0
-41.70047199806222,0.9,-41.70047199806222,-23.93972912264974,-23.93972912264974,0.9,-41.700471998062234,4.7664557,29.117862766222824,10,6275.798,-41.700471998062234,460000,29,-100.23088908329593,-100.23088908329593,0.0,-21.23868,-37952.664,29,29.117862766222824,10,585532.3,0.0
