peg-unplug-side-v1/TerminationRate,peg-unplug-side-v1/AverageDiscountedReturn,TotalEnvSteps,Average/MaxReturn,Average/NumEpisodes,peg-unplug-side-v1/NumEpisodes,MetaTest/Average/TerminationRate,policy/KLBefore,policy/dLoss,policy/Entropy,peg-unplug-side-v1/AverageReturn,peg-unplug-side-v1/SuccessRate,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/Iteration,Average/SuccessRate,policy/LossBefore,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,Average/AverageReturn,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/Average/MinReturn,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,Average/AverageDiscountedReturn,Average/Iteration,MetaTest/peg-unplug-side-v1/StdReturn,policy/KL,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,policy/LossAfter,MetaTest/peg-unplug-side-v1/MaxReturn,Average/StdReturn,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/peg-unplug-side-v1/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/peg-unplug-side-v1/Iteration,peg-unplug-side-v1/MaxReturn,peg-unplug-side-v1/MinReturn,peg-unplug-side-v1/Iteration,peg-unplug-side-v1/StdReturn,Average/TerminationRate,Average/MinReturn
0.0,-31.61835685912076,20000,-51.87166908616321,100,100,0.0,0.0,0.030301,5.684115,-85.97969343603974,0.0,0.4389273225946503,0,0.0,-0.03408354,0.0,-89.61493818367714,-85.97969343603974,10,-62.30114298667717,-115.84447109483617,-89.61493818367714,-31.61835685912076,0,15.125555084194742,0.0053263595,0.0,15.125555084194742,-0.06438454,-62.30114298667717,16.045342642539865,-89.61493818367713,-89.61493818367713,0.0,10,-115.84447109483617,0,-51.87166908616321,-126.73596293461515,0,16.045342642539865,0.0,-126.73596293461515
0.0,-30.1983548195249,40000,-49.11330226888211,100,100,,0.0,0.022446705,5.687136,-77.99168915403565,0.0,0.42802068556243533,,0.0,-0.01748514,,,-77.99168915403565,,,,,-30.1983548195249,1,,0.009733245,,,-0.039931845,,14.941905102167617,,,,,,,-49.11330226888211,-115.33897416810508,1,14.941905102167617,0.0,-115.33897416810508
0.0,-26.584082358520728,60000,-39.78855671216323,100,100,,0.0,0.0142374495,5.6721945,-67.91519148674129,0.0,0.47935813495649293,,0.0,-0.011480867,,,-67.91519148674129,,,,,-26.584082358520728,2,,0.01971188,,,-0.025718316,,14.616551290575437,,,,,,,-39.78855671216323,-119.26827867415747,2,14.616551290575437,0.0,-119.26827867415747
0.0,20.198232229826058,80000,8962.983430746437,100,100,,0.0,0.9967402,5.65376,140.64471673196806,0.01,0.21329591065876796,,0.01,1.2572196,,,140.64471673196806,,,,,20.198232229826058,3,,0.0061119245,,,0.2604793,,947.1315538408662,,,,,,,8962.983430746437,-106.13694843971716,3,947.1315538408662,0.0,-106.13694843971716
0.0,23.269934006118454,100000,2389.1638351680617,100,100,,0.0,0.6260701,5.641319,134.22083812303921,0.0,0.282773165996959,,0.0,0.16864839,,,134.22083812303921,,,,,23.269934006118454,4,,0.019613186,,,-0.4574217,,469.63908437568386,,,,,,,2389.1638351680617,-95.94726293394481,4,469.63908437568386,0.0,-95.94726293394481
0.0,153.15117393109563,120000,6105.787077899836,100,100,,0.0,1.477695,5.6455836,539.3225897156339,0.03,0.20959278697589534,,0.03,1.1533653,,,539.3225897156339,,,,,153.15117393109563,5,,0.0062341345,,,-0.32432967,,1099.590831438659,,,,,,,6105.787077899836,-123.63383519309875,5,1099.590831438659,0.0,-123.63383519309875
0.0,808.6784847802809,140000,67820.9410096905,100,100,,0.0,10.976538,5.6450143,3145.626758319686,0.06,0.17888476175561685,,0.06,2.2930655,,,3145.626758319686,,,,,808.6784847802809,6,,0.0047516893,,,-8.683472,,9606.519267443005,,,,,,,67820.9410096905,-111.88124118170529,6,9606.519267443005,0.0,-111.88124118170529
0.0,731.6240241409803,160000,94629.48025028226,100,100,,0.0,10.1647625,5.6230803,2250.480612718613,0.03,0.16484946122019428,,0.03,2.3320062,,,2250.480612718613,,,,,731.6240241409803,7,,0.0091221845,,,-7.832756,,10013.758684993116,,,,,,,94629.48025028226,-115.13018545344441,7,10013.758684993116,0.0,-115.13018545344441
0.0,189.1860115188977,180000,15701.592888327477,100,100,,0.0,1.0150852,5.5987577,506.72127138097034,0.01,0.15276049958406945,,0.01,-0.7460385,,,506.72127138097034,,,,,189.1860115188977,8,,0.012054439,,,-1.7611238,,1804.8288217867507,,,,,,,15701.592888327477,-128.5532076408111,8,1804.8288217867507,0.0,-128.5532076408111
0.0,564.5220791673214,200000,41089.120784730425,100,100,,0.0,2.4670124,5.6037674,1816.0706468678816,0.04,0.18069944498256485,,0.04,2.6850812,,,1816.0706468678816,,,,,564.5220791673214,9,,0.0054293945,,,0.21806875,,4426.292262266763,,,,,,,41089.120784730425,-105.44152207272342,9,4426.292262266763,0.0,-105.44152207272342
