MetaTest/reach-wall-v1/StdReturn,MetaTest/reach-wall-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/NumEpisodes,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTrain/Average/Alpha,MetaTest/Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/reach-wall-v1/NumEpisodes,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/reach-wall-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/reach-wall-v1/TerminationRate,MetaTest/Average/Iteration,MetaTest/reach-wall-v1/Iteration,MetaTest/reach-wall-v1/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/reach-wall-v1/MinReturn,MetaTest/reach-wall-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn
5229.096085779634,18139.30803110886,-4079.8035,10,87975.81,5312407.0,0.0,56000,1.0470787,0.0,3276.339655046994,10,-3.8835547,18139.30803110886,9388.529220176328,9388.529220176328,0.0,0,0,0.0,9388.529220176328,3276.339655046994,9388.529220176328,5229.096085779634
134.2234841264927,672.375057307893,-11459.684,10,14140.573,4705170.5,0.0,62000,1.2099403,0.0,260.80378051929597,10,-8.092458,672.375057307893,442.90668519716763,442.90668519716763,0.0,1,1,0.0,442.90668519716763,260.80378051929597,442.90668519716763,134.2234841264927
9147.715508625117,31608.250744725632,-15524.135,10,9784.256,4453419.5,0.0,68000,1.450907,0.0,275.44449680173574,10,-10.348886,31608.250744725632,4483.883962374579,4483.883962374579,0.0,2,2,0.0,4483.883962374579,275.44449680173574,4483.883962374579,9147.715508625117
1713.313452370518,5971.043544668754,-14528.426,10,6183.557,4199088.5,0.0,74000,1.6321518,0.0,373.7452233412979,10,-3.7197235,5971.043544668754,2348.6052994849424,2348.6052994849424,0.0,3,3,0.0,2348.6052994849424,373.7452233412979,2348.6052994849424,1713.313452370518
47854.71044888864,152512.83986550674,-17338.512,10,4285.0767,3835615.8,0.1,80000,1.8276169,0.0,2596.600720667489,10,-9.783009,152512.83986550674,59118.89951117673,59118.89951117673,0.0,4,4,0.1,59118.89951117673,2596.600720667489,59118.89951117673,47854.71044888864
75.38967850488427,573.9148087960551,-20976.902,10,1998.5579,3284168.2,0.0,86000,2.0704658,0.0,348.02590849846354,10,-8.553193,573.9148087960551,499.34705526337905,499.34705526337905,0.0,5,5,0.0,499.34705526337905,348.02590849846354,499.34705526337905,75.38967850488427
16452.665116017146,46670.521593913036,-24689.479,10,2367.7017,2801142.8,0.0,92000,2.4220314,0.0,468.6734608749101,10,-12.905783,46670.521593913036,24142.68329664589,24142.683296645897,0.0,6,6,0.0,24142.68329664589,468.6734608749101,24142.683296645897,16452.665116017146
47774.121943849466,139914.5473283814,-28890.582,10,2312.468,2630119.8,0.2,98000,2.9288247,0.0,497.41869714140125,10,-19.52545,139914.5473283814,39952.785514820316,39952.785514820316,0.0,7,7,0.2,39952.785514820316,497.41869714140125,39952.785514820316,47774.121943849466
64989.883160060046,252843.260208393,-33922.48,10,1492.2903,2444555.2,0.2,104000,3.5097182,0.0,24608.08649461155,10,-23.79691,252843.260208393,69998.39418136231,69998.39418136231,0.0,8,8,0.2,69998.39418136231,24608.08649461155,69998.39418136231,64989.883160060046
17865.42371345534,84924.13815817989,-39916.016,10,1720.7065,2568104.5,0.0,110000,4.1662483,0.0,21114.735892902838,10,-26.880695,84924.13815817989,42995.582030481964,42995.58203048195,0.0,9,9,0.0,42995.582030481964,21114.735892902838,42995.58203048195,17865.42371345534
