MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTest/plate-slide-side-v1/SuccessRate,MetaTest/plate-slide-side-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/plate-slide-side-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/plate-slide-side-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/plate-slide-side-v1/Iteration,MetaTest/plate-slide-side-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTrain/Average/QfLoss,MetaTrain/Average/PolicyLoss,TotalEnvSteps,MetaTest/plate-slide-side-v1/AverageDiscountedReturn,MetaTest/plate-slide-side-v1/TerminationRate,MetaTest/plate-slide-side-v1/StdReturn
-33.373118661204536,nan,0.0,10,0.0,6.5258155,10,0.13661317633372236,-33.58761048239768,-33.16494780098973,0.0,-33.58761048239768,8.1983595,0,-33.373118661204536,-33.16494780098973,-33.37311866120456,0,391.0055,-15.424676,224000,-33.37311866120456,0.0,0.13661317633372236
-39.90498470600575,nan,0.0,10,0.0,4.3272004,10,4.129718924374692,-47.70823494492416,-29.960000629239016,0.0,-47.70823494492416,23.165968,1,-39.90498470600575,-29.960000629239016,-39.90498470600575,1,1962.4175,-149.93541,248000,-39.90498470600575,0.0,4.129718924374692
-32.225701761098634,nan,0.0,10,0.0,1.0957643,10,0.9270880436274779,-33.73313904492231,-30.669601517376552,0.0,-33.73313904492231,35.20683,2,-32.225701761098634,-30.669601517376552,-32.22570176109864,2,8947.37,-621.08655,272000,-32.22570176109864,0.0,0.9270880436274779
-39.73243948448476,nan,0.0,10,0.0,-5.389912,10,0.03875047828339783,-39.78469510839098,-39.67687052413919,0.0,-39.78469510839098,516.74316,3,-39.73243948448476,-39.67687052413919,-39.73243948448476,3,114912.44,-2114.0315,296000,-39.73243948448476,0.0,0.03875047828339783
-57.97934220537188,nan,0.0,10,0.0,-6.232183,10,21.004766475488896,-79.6285772060328,-21.160688184712452,0.0,-79.6285772060328,617.35315,4,-57.97934220537188,-21.160688184712452,-57.97934220537187,4,97381.2,-3266.777,320000,-57.97934220537187,0.0,21.004766475488896
26787.304469722243,nan,0.1,10,0.1,-12.842207,10,36722.45189859432,3887.2275652057892,118283.96704278028,0.0,3887.2275652057892,208.54509,5,26787.304469722243,118283.96704278028,26787.304469722247,5,398103.72,-9816.723,344000,26787.304469722247,0.0,36722.45189859432
-86.29900712601645,nan,0.0,10,0.0,-16.616894,10,26.20236258024229,-111.8507703461683,-24.87527083867822,0.0,-111.8507703461683,1033.634,6,-86.29900712601645,-24.87527083867822,-86.29900712601648,6,1392155.6,-21641.936,368000,-86.29900712601648,0.0,26.20236258024229
-70.78164990374057,nan,0.0,10,0.0,-18.915777,10,22.214741358398552,-84.445048123156,-20.67015265669092,0.0,-84.445048123156,229.55093,7,-70.78164990374057,-20.67015265669092,-70.78164990374057,7,3538036.8,-40982.496,392000,-70.78164990374057,0.0,22.214741358398552
1594.8475003573865,nan,0.2,10,0.2,-20.631094,10,3758.710147291378,-72.63445554292981,12381.45251860414,0.0,-72.63445554292981,205.72713,8,1594.8475003573865,12381.45251860414,1594.8475003573888,8,6929505.0,-61732.88,416000,1594.8475003573888,0.0,3758.710147291378
-78.25439361113402,nan,0.0,10,0.0,-20.44075,10,5.956584823368405,-81.79391213904184,-64.95537749366885,0.0,-81.79391213904184,349.25824,9,-78.25439361113402,-64.95537749366885,-78.25439361113403,9,7667401.0,-65544.02,440000,-78.25439361113403,0.0,5.956584823368405
-50.48168613739574,nan,0.0,10,0.0,-20.76191,10,12.964648855621611,-67.17528061357474,-23.850676833844897,0.0,-67.17528061357474,322.97583,10,-50.48168613739574,-23.850676833844897,-50.48168613739573,10,4782020.5,-42981.67,464000,-50.48168613739573,0.0,12.964648855621611
-33.09746250849527,nan,0.0,10,0.0,-18.151005,10,10.2781508904785,-50.91137112771207,-21.120318897714004,0.0,-50.91137112771207,174.25218,11,-33.09746250849527,-21.120318897714004,-33.097462508495276,11,4413525.0,-44100.5,488000,-33.097462508495276,0.0,10.2781508904785
-34.07883454527237,nan,0.1,10,0.1,-17.14528,10,11.424411686353029,-52.747729032698544,-15.07671983282531,0.0,-52.747729032698544,303.70636,12,-34.07883454527237,-15.07671983282531,-34.078834545272386,12,3865181.0,-39646.914,512000,-34.078834545272386,0.0,11.424411686353029
260.01982242267474,nan,0.0,10,0.0,-16.81391,10,935.4244003214396,-89.71756676568396,3065.520657634205,0.0,-89.71756676568396,423.87225,13,260.01982242267474,3065.520657634205,260.0198224226745,13,5569737.0,-39503.434,536000,260.0198224226745,0.0,935.4244003214396
-50.052477242415804,nan,0.0,10,0.0,-17.6113,10,14.411451248672629,-75.83090852527658,-26.309184322535685,0.0,-75.83090852527658,443.7337,14,-50.052477242415804,-26.309184322535685,-50.052477242415804,14,6007756.5,-36585.246,560000,-50.052477242415804,0.0,14.411451248672629
457.69361533798144,nan,0.0,10,0.0,-17.818892,10,943.7843175315769,-58.23859836250033,2624.9066203995676,0.0,-58.23859836250033,462.69125,15,457.69361533798144,2624.9066203995676,457.69361533798127,15,8737200.0,-40523.336,584000,457.69361533798127,0.0,943.7843175315769
-94.92003041510212,nan,0.0,10,0.0,-20.281199,10,10.467578218601275,-126.32253581382602,-91.3798615195721,0.0,-126.32253581382602,2928.1748,16,-94.92003041510212,-91.3798615195721,-94.92003041510209,16,9989418.0,-42313.258,608000,-94.92003041510209,0.0,10.467578218601275
33183.82969664866,nan,0.0,10,0.0,-20.597776,10,32170.8186424199,-43.57351630361798,78092.53156845742,0.0,-43.57351630361798,6720.244,17,33183.82969664866,78092.53156845742,33183.82969664867,17,10992688.0,-46612.04,632000,33183.82969664867,0.0,32170.8186424199
8717.496738496844,nan,0.0,10,0.0,-20.242874,10,19147.95267424389,-95.41240243049833,64263.28005131,0.0,-95.41240243049833,5283.1675,18,8717.496738496844,64263.28005131,8717.496738496844,18,13273097.0,-49089.453,656000,8717.496738496844,0.0,19147.95267424389
2493.2920783562413,nan,0.0,10,0.0,-17.854156,10,4148.942023403553,-58.26070923409499,12174.092032398306,0.0,-58.26070923409499,6135.4033,19,2493.2920783562413,12174.092032398306,2493.2920783562413,19,17622502.0,-61713.105,680000,2493.2920783562413,0.0,4148.942023403553
2320.121935973465,nan,0.0,10,0.0,-17.92809,10,870.7593423603857,-57.21854533589149,3253.4534720879515,0.0,-57.21854533589149,3514.3757,20,2320.121935973465,3253.4534720879515,2320.1219359734646,20,16531859.0,-62765.137,704000,2320.1219359734646,0.0,870.7593423603857
12307.251210469836,nan,0.0,10,0.0,-17.604336,10,15969.163879920525,-92.81149498928808,43018.6966989679,0.0,-92.81149498928808,2735.143,21,12307.251210469836,43018.6966989679,12307.25121046984,21,16915012.0,-65317.62,728000,12307.25121046984,0.0,15969.163879920525
19318.516182401327,nan,0.1,10,0.1,-16.887983,10,38428.644788570586,-105.64529751078271,120616.40951785663,0.0,-105.64529751078271,1390.7295,22,19318.516182401327,120616.40951785663,19318.516182401312,22,14975894.0,-56108.48,752000,19318.516182401312,0.0,38428.644788570586
30367.21745579695,nan,0.0,10,0.0,-16.818287,10,26414.444401382767,-82.28582056816454,64445.47691381136,0.0,-82.28582056816454,1219.0697,23,30367.21745579695,64445.47691381136,30367.217455796945,23,15909401.0,-57546.688,776000,30367.217455796945,0.0,26414.444401382767
657.3123849483152,nan,0.0,10,0.0,-17.383923,10,1188.1204030050217,-93.14704218621281,3511.1823817382533,0.0,-93.14704218621281,419.65588,24,657.3123849483152,3511.1823817382533,657.3123849483152,24,20865278.0,-69493.875,800000,657.3123849483152,0.0,1188.1204030050217
9951.629827656523,nan,0.1,10,0.1,-14.916685,10,21081.943227779484,-99.34878312833274,69153.78044140602,0.0,-99.34878312833274,676.5237,25,9951.629827656523,69153.78044140602,9951.629827656518,25,18645156.0,-66456.7,824000,9951.629827656518,0.0,21081.943227779484
18382.03056786247,nan,0.1,10,0.1,-14.68603,10,55264.65733156453,-91.53069526015335,184175.98762707584,0.0,-91.53069526015335,1045.0955,26,18382.03056786247,184175.98762707584,18382.03056786248,26,18790250.0,-64996.12,848000,18382.03056786248,0.0,55264.65733156453
10129.728044971871,nan,0.0,10,0.0,-16.269634,10,17959.363207770544,-30.442698363673152,56592.79045233481,0.0,-30.442698363673152,1843.1532,27,10129.728044971871,56592.79045233481,10129.728044971871,27,18944284.0,-65630.42,872000,10129.728044971871,0.0,17959.363207770544
833.4517246703688,nan,0.0,10,0.0,-16.088654,10,2575.412009376457,-78.42677118701214,8559.479996931528,0.0,-78.42677118701214,2090.7512,28,833.4517246703688,8559.479996931528,833.4517246703681,28,15043381.0,-63716.992,896000,833.4517246703681,0.0,2575.412009376457
-27.14702773208084,nan,0.0,10,0.0,-14.447448,10,16.98103519608555,-64.14919051743001,-14.245095947967364,0.0,-64.14919051743001,7310.748,29,-27.14702773208084,-14.245095947967364,-27.14702773208084,29,12656106.0,-48676.35,920000,-27.14702773208084,0.0,16.98103519608555
-19.119683631506806,nan,0.0,10,0.0,-15.165189,10,9.115685462601734,-43.169659382159736,-14.357249766786877,0.0,-43.169659382159736,407.87854,30,-19.119683631506806,-14.357249766786877,-19.11968363150681,30,10374607.0,-39312.86,944000,-19.11968363150681,0.0,9.115685462601734
8685.697868450123,nan,0.1,10,0.1,-16.514067,10,24791.821203473435,-130.3785956619685,82962.8016182487,0.0,-130.3785956619685,432.8843,31,8685.697868450123,82962.8016182487,8685.697868450123,31,13295694.0,-50930.227,968000,8685.697868450123,0.0,24791.821203473435
19496.85950647414,nan,0.0,10,0.0,-15.940549,10,33238.00477239172,-28.08374416533679,97900.63336703386,0.0,-28.08374416533679,1845.8882,32,19496.85950647414,97900.63336703386,19496.859506474128,32,12744670.0,-48425.07,992000,19496.859506474128,0.0,33238.00477239172
7332.307718873846,nan,0.1,10,0.1,-16.993113,10,11674.754558948647,-91.3519123058654,35207.09933036523,0.0,-91.3519123058654,3307.4402,33,7332.307718873846,35207.09933036523,7332.307718873848,33,14679731.0,-58010.895,1016000,7332.307718873848,0.0,11674.754558948647
8495.1938887683,nan,0.0,10,0.0,-16.797993,10,21510.793856040476,-76.97002921882847,72467.76930513476,0.0,-76.97002921882847,2393.755,34,8495.1938887683,72467.76930513476,8495.19388876829,34,14939953.0,-58315.14,1040000,8495.19388876829,0.0,21510.793856040476
3211.172325412749,nan,0.0,10,0.0,-15.282826,10,4667.644527599407,-83.41874278493911,12283.466249342444,0.0,-83.41874278493911,2694.5276,35,3211.172325412749,12283.466249342444,3211.1723254127487,35,12309236.0,-46276.527,1064000,3211.1723254127487,0.0,4667.644527599407
1245.0602180443134,nan,0.0,10,0.0,-15.831168,10,2411.3133111553766,-29.973147152757594,8122.607037894979,0.0,-29.973147152757594,885.37177,36,1245.0602180443134,8122.607037894979,1245.060218044313,36,12738444.0,-50546.52,1088000,1245.060218044313,0.0,2411.3133111553766
35681.69209900167,nan,0.0,10,0.0,-16.556805,10,28771.23293301971,1067.592995464564,89087.43141413957,0.0,1067.592995464564,2063.0037,37,35681.69209900167,89087.43141413957,35681.69209900167,37,14361036.0,-55276.11,1112000,35681.69209900167,0.0,28771.23293301971
739.5518520741739,nan,0.0,10,0.0,-15.801846,10,2017.5788404498587,-82.32771131818103,6727.136108647824,0.0,-82.32771131818103,5463.197,38,739.5518520741739,6727.136108647824,739.5518520741741,38,13570363.0,-49375.55,1136000,739.5518520741741,0.0,2017.5788404498587
36916.363605046645,nan,0.2,10,0.2,-15.102344,10,43855.98314457096,-121.57196498000188,107633.4016356132,0.0,-121.57196498000188,22721.656,39,36916.363605046645,107633.4016356132,36916.363605046645,39,13820239.0,-42694.984,1160000,36916.363605046645,0.0,43855.98314457096
9179.917418979325,nan,0.0,10,0.0,-15.467515,10,14350.472388743623,-95.34153618297532,37342.94218401321,0.0,-95.34153618297532,14307.433,40,9179.917418979325,37342.94218401321,9179.917418979327,40,16779128.0,-48745.137,1184000,9179.917418979327,0.0,14350.472388743623
