MetaTest/push-wall-v1/Iteration,MetaTest/push-wall-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/push-wall-v1/MinReturn,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/push-wall-v1/MaxReturn,MetaTest/push-wall-v1/NumTrajs,MetaTest/push-wall-v1/AverageReturn
0,203.18622397199488,0.0,0.0,224000,48.74503120441737,203.18622397199488,658.2746297131893,0.0,48.74503120441737,-22.213678233918852,0.0,0,10,-22.213678233918852,48.74503120441737,658.2746297131893,10,48.74503120441737
1,382.0801314481121,0.0,0.0,248000,128.98508277690996,382.0801314481121,1257.6696372796875,0.0,128.98508277691005,-28.827845793702277,0.0,1,10,-28.827845793702277,128.98508277691005,1257.6696372796875,10,128.98508277690996
2,8.241538163589059,0.0,0.0,272000,-27.8698118980195,8.241538163589059,-12.589787008994744,0.0,-27.8698118980195,-46.35804898051065,0.0,2,10,-46.35804898051065,-27.8698118980195,-12.589787008994744,10,-27.8698118980195
3,4902.800174929232,0.0,0.0,296000,3914.4684129344373,4902.800174929232,14946.96680412699,0.0,3914.4684129344364,-63.462662611455386,0.0,3,10,-63.462662611455386,3914.4684129344364,14946.96680412699,10,3914.4684129344373
4,274.5742950496023,0.0,0.0,320000,54.61691396254457,274.5742950496023,868.1819937186591,0.0,54.616913962544615,-98.99641525219859,0.0,4,10,-98.99641525219859,54.616913962544615,868.1819937186591,10,54.61691396254457
5,724.3427898221323,0.0,0.0,344000,268.4220559163672,724.3427898221323,2383.5812800711146,0.0,268.4220559163672,-39.7761542067853,0.0,5,10,-39.7761542067853,268.4220559163672,2383.5812800711146,10,268.4220559163672
6,77.19430857705657,0.0,0.0,368000,24.196828426554415,77.19430857705657,161.11575620295937,0.0,24.196828426554433,-39.6196062120707,0.0,6,10,-39.6196062120707,24.196828426554433,161.11575620295937,10,24.196828426554415
7,44.68598280009011,0.0,0.0,392000,-56.38700874458273,44.68598280009011,44.48557070323288,0.0,-56.38700874458274,-111.37950681726281,0.0,7,10,-111.37950681726281,-56.38700874458274,44.48557070323288,10,-56.38700874458273
8,15.259661163663296,0.0,0.0,416000,-34.08677337387212,15.259661163663296,-18.40777792307962,0.0,-34.08677337387212,-58.28752555514652,0.0,8,10,-58.28752555514652,-34.08677337387212,-18.40777792307962,10,-34.08677337387212
9,30.965176888869813,0.0,0.0,440000,-57.631851047149134,30.965176888869813,-6.033154737281037,0.0,-57.63185104714911,-95.59492153778876,0.0,9,10,-95.59492153778876,-57.63185104714911,-6.033154737281037,10,-57.631851047149134
