Average/MinReturn,MetaTest/Average/AverageDiscountedReturn,window-open-v1/StdReturn,MetaTest/Average/Iteration,window-open-v1/MaxReturn,GaussianMLPPolicy/KLBefore,Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/window-open-v1/TerminationRate,window-open-v1/AverageDiscountedReturn,MetaTest/window-open-v1/Iteration,window-open-v1/SuccessRate,Average/MaxReturn,window-open-v1/Iteration,Average/SuccessRate,Average/TerminationRate,MetaTest/window-open-v1/AverageDiscountedReturn,Iteration,MetaTest/window-open-v1/SuccessRate,GaussianMLPPolicy/LossBefore,MetaTest/window-open-v1/MinReturn,MetaTest/Average/SuccessRate,Average/Iteration,MetaTest/window-open-v1/NumEpisodes,Average/AverageReturn,window-open-v1/MinReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLAfter,MetaTest/Average/MaxReturn,window-open-v1/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/window-open-v1/MaxReturn,window-open-v1/NumEpisodes,TotalEnvSteps,window-open-v1/TerminationRate,MetaTest/window-open-v1/StdReturn,Average/NumEpisodes,MetaTest/window-open-v1/AverageReturn,GaussianMLPPolicy/Entropy,Average/StdReturn
-90.80942470813208,-56.251132416075556,19.100932556050992,0,169.3668129173449,0.0,-22.525219523068543,-56.25113241607557,0.0,1,0.0,-22.525219523068543,0,0.0,169.3668129173449,0,0.0,0.0,-56.251132416075556,0,0.0,0.0013739290880039334,-56.25113241607557,0.0,0,1,-63.20950837356697,-90.80942470813208,0.0004343813343439251,0.0009395477536600083,0.009430693462491035,-56.25113241607557,-63.20950837356697,-56.25113241607557,0.0,-56.25113241607557,200,80000,0.0,0.0,200,-56.25113241607557,5.713841438293457,19.100932556050992
-92.95320466012491,-36.41728586087168,19.02785322844966,1,83.19529484476834,0.0,-21.60926502366287,-36.41728586087169,0.0,1,0.0,-21.60926502366287,1,0.0,83.19529484476834,1,0.0,0.0,-36.41728586087168,1,0.0,0.0032183099538087845,-36.41728586087169,0.0,1,1,-57.76021464598567,-92.95320466012491,0.0022787442430853844,0.0009395657107234001,0.0072179436683654785,-36.41728586087169,-57.76021464598567,-36.41728586087169,0.0,-36.41728586087169,200,160000,0.0,0.0,200,-36.41728586087169,5.763787269592285,19.02785322844966
-90.31236943545393,-22.244207070539918,320.08852105891043,2,3237.089749285819,0.0,5.069523651079074,-22.244207070539908,0.0,1,0.0,5.069523651079074,2,0.0,3237.089749285819,2,0.0,0.0,-22.244207070539918,2,0.0,0.0009591897251084447,-22.244207070539908,0.0,2,1,17.084747856256303,-90.31236943545393,0.00027504126774147153,0.0006841484573669732,0.006939278449863195,-22.244207070539908,17.084747856256303,-22.244207070539908,0.0,-22.244207070539908,200,240000,0.0,0.0,200,-22.244207070539908,5.7812933921813965,320.08852105891043
-70.09520834775759,-29.609753042642314,403.44147132315067,3,2816.6954269610146,0.0,25.44781066829026,-29.609753042642332,0.0,1,0.0,25.44781066829026,3,0.0,2816.6954269610146,3,0.0,0.0,-29.609753042642314,3,0.0,-0.00015362755220849067,-29.609753042642332,0.0,3,1,85.69614819362647,-70.09520834775759,-0.0008486808510497212,0.0006950532988412306,0.006579126231372356,-29.609753042642332,85.69614819362647,-29.609753042642332,0.0,-29.609753042642332,200,320000,0.0,0.0,200,-29.609753042642332,5.773340702056885,403.44147132315067
-56.483722014728755,2501.8821327384276,787.9018654861814,4,6289.5469698671695,0.0,80.39364818096332,2501.8821327384267,0.0,1,0.0,80.39364818096332,4,0.0,6289.5469698671695,4,0.0,0.0,2501.8821327384276,4,0.0,-0.00040270882891491055,2501.8821327384267,0.0,4,1,270.016139269753,-56.483722014728755,-0.0007573115872219205,0.00035460275830700994,0.007007043808698654,2501.8821327384267,270.016139269753,2501.8821327384267,0.0,2501.8821327384267,200,400000,0.0,0.0,200,2501.8821327384267,5.750908851623535,787.9018654861814
-41.29367806322604,-18.40176211809881,1576.9558173820283,5,16404.32626072398,0.0,150.36093606069392,-18.40176211809882,0.0,1,0.0,150.36093606069392,5,0.0,16404.32626072398,5,0.0,0.0,-18.40176211809881,5,0.0,-0.0006362369749695063,-18.40176211809882,0.0,5,1,518.2957453328881,-41.29367806322604,-0.0010466165840625763,0.00041037960909307003,0.00614996999502182,-18.40176211809882,518.2957453328881,-18.40176211809882,0.0,-18.40176211809882,200,480000,0.0,0.0,200,-18.40176211809882,5.729872703552246,1576.9558173820283
-40.997366578314505,-12.602732556896537,1034.030947424131,6,6378.103851221095,0.0,171.99973842956885,-12.602732556896528,0.0,1,0.0,171.99973842956885,6,0.0,6378.103851221095,6,0.0,0.0,-12.602732556896537,6,0.0,-2.8255653887754306e-05,-12.602732556896528,0.0,6,1,519.7487433983183,-40.997366578314505,-5.322177821653895e-05,2.4966124328784645e-05,0.009121125563979149,-12.602732556896528,519.7487433983183,-12.602732556896528,0.0,-12.602732556896528,200,560000,0.0,0.0,200,-12.602732556896528,5.709782123565674,1034.030947424131
-36.17788461065197,-27.65954230006455,6801.066319155459,7,70853.86108884875,0.0,560.6599472627217,-27.659542300064558,0.0,1,0.0,560.6599472627217,7,0.01,70853.86108884875,7,0.01,0.0,-27.65954230006455,7,0.0,1.6842570403241552e-05,-27.659542300064558,0.0,7,1,2228.0958566485874,-36.17788461065197,1.240947767655598e-05,4.433092726685572e-06,0.0024529097136110067,-27.659542300064558,2228.0958566485874,-27.659542300064558,0.0,-27.659542300064558,200,640000,0.0,0.0,200,-27.659542300064558,5.728806018829346,6801.066319155459
-27.479510197631434,-19.444646016548976,2176.3717720543273,8,16002.82463781823,0.0,367.4078004118093,-19.444646016548973,0.0,1,0.0,367.4078004118093,8,0.0,16002.82463781823,8,0.0,0.0,-19.444646016548976,8,0.0,3.3643250390014146e-06,-19.444646016548973,0.0,8,1,1239.1877560106443,-27.479510197631434,-3.6755675409949617e-06,7.039892579996376e-06,0.0034762476570904255,-19.444646016548973,1239.1877560106443,-19.444646016548973,0.0,-19.444646016548973,200,720000,0.0,0.0,200,-19.444646016548973,5.7327656745910645,2176.3717720543273
-35.09886255041148,-24.99625813804272,2072.8754282558816,9,14023.36448417869,0.0,384.183569915053,-24.996258138042705,0.0,1,0.0,384.183569915053,9,0.0,14023.36448417869,9,0.0,0.0,-24.99625813804272,9,0.0,-6.533513214890263e-07,-24.996258138042705,0.0,9,1,1296.246224357579,-35.09886255041148,-6.180273885547649e-06,5.526922564058623e-06,0.0030121796298772097,-24.996258138042705,1296.246224357579,-24.996258138042705,0.0,-24.996258138042705,200,800000,0.0,0.0,200,-24.996258138042705,5.7320942878723145,2072.8754282558816
