MetaTest/push-wall-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/push-wall-v1/StdReturn,MetaTest/push-wall-v1/Iteration,MetaTest/push-wall-v1/MaxReturn,MetaTest/push-wall-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/PolicyLoss,MetaTest/push-wall-v1/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/NumTrajs,MetaTest/push-wall-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTrain/Average/Alpha,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/SuccessRate
362.39451667665503,65.56797,362.39451667665503,0.0,362.39451667665503,-21.282940994944934,0,2912.939544392982,224000,854.7985101472192,0,2912.939544392982,-21.282940994944934,362.39451667665503,8.406933,-11.861749,0.0,6.6866035,10,10,854.7985101472192,nan,0.0,0.0
3008.402245104759,1189.363,3008.402245104759,0.0,3008.402245104758,-43.37923597473009,1,15219.317668725538,248000,5413.993997327129,1,15219.317668725538,-43.37923597473009,3008.402245104758,8.394819,-41.66803,0.0,6.139507,10,10,5413.993997327129,nan,0.0,0.0
-45.943372387738954,10627.183,-45.943372387738954,0.0,-45.94337238773895,-52.31686557519402,2,-27.14728494809104,272000,7.7186758383410945,2,-27.14728494809104,-52.31686557519402,-45.94337238773895,17.48507,-308.5818,0.0,4.5535817,10,10,7.7186758383410945,nan,0.0,0.0
51.233706096905834,49961.027,51.233706096905834,0.0,51.23370609690579,-27.85974837879082,3,614.9683922895447,296000,188.2703963317147,3,614.9683922895447,-27.85974837879082,51.23370609690579,29.72369,-1887.5065,0.0,0.9416743,10,10,188.2703963317147,nan,0.0,0.0
-25.620201633537413,125131.734,-25.620201633537413,0.0,-25.62020163353742,-30.6069787443402,4,-15.755802541749308,320000,4.790023766441845,4,-15.755802541749308,-30.6069787443402,-25.62020163353742,26.137287,-5308.597,0.0,-4.643619,10,10,4.790023766441845,nan,0.0,0.0
6646.229266085138,200558.94,6646.229266085138,0.0,6646.229266085138,-33.19322274806048,5,19565.47025986891,344000,8222.747407334533,5,19565.47025986891,-33.19322274806048,6646.229266085138,27.79494,-9474.067,0.0,-6.5188212,10,10,8222.747407334533,nan,0.0,0.0
1087.5451066893477,268330.94,1087.5451066893477,0.0,1087.545106689348,-64.37921675431302,6,9512.479758171155,368000,2841.634522427706,6,9512.479758171155,-64.37921675431302,1087.545106689348,12.808057,-13215.57,0.0,-8.5919285,10,10,2841.634522427706,nan,0.0,0.0
402.28070734028483,331959.16,402.28070734028483,0.0,402.2807073402851,-162.33909287674172,7,1901.4944652197826,392000,727.6856723981941,7,1901.4944652197826,-162.33909287674172,402.2807073402851,12.323211,-15068.564,0.0,-9.229636,10,10,727.6856723981941,nan,0.0,0.0
-43.393698279138604,497241.97,-43.393698279138604,0.0,-43.393698279138604,-47.252852613918776,8,-38.419329274679704,416000,2.726919730980022,8,-38.419329274679704,-47.252852613918776,-43.393698279138604,10.933119,-17543.572,0.0,-11.221574,10,10,2.726919730980022,nan,0.0,0.0
-37.37631536746032,542607.7,-37.37631536746032,0.0,-37.37631536746032,-44.00192884014254,9,-22.959850005792422,440000,5.443150374559538,9,-22.959850005792422,-44.00192884014254,-37.37631536746032,11.081546,-20188.729,0.0,-11.957073,10,10,5.443150374559538,nan,0.0,0.0
161.42957773761657,452995.3,161.42957773761657,0.0,161.4295777376165,-40.15752597855765,10,1865.276920253549,464000,568.0122370647535,10,1865.276920253549,-40.15752597855765,161.4295777376165,10.24617,-20691.096,0.0,-12.189943,10,10,568.0122370647535,nan,0.0,0.0
17.78540490008432,274146.12,17.78540490008432,0.0,17.785404900084284,-46.110433110256864,11,433.3241547057355,488000,139.03037372758948,11,433.3241547057355,-46.110433110256864,17.785404900084284,8.385988,-17362.666,0.0,-11.138243,10,10,139.03037372758948,nan,0.0,0.0
821.0614189734218,252310.83,821.0614189734218,0.0,821.0614189734217,-38.884172440320434,12,6692.8972310241315,512000,2021.327634515091,12,6692.8972310241315,-38.884172440320434,821.0614189734217,9.438541,-14654.118,0.0,-9.891738,10,10,2021.327634515091,nan,0.0,0.0
-8.922485967960153,332297.78,-8.922485967960153,0.0,-8.922485967960158,-71.44984480849959,13,205.63275145678398,536000,74.50665006743468,13,205.63275145678398,-71.44984480849959,-8.922485967960158,10.213358,-15253.24,0.1,-10.066328,10,10,74.50665006743468,nan,0.0,0.1
4499.47576330365,487468.4,4499.47576330365,0.0,4499.475763303651,-110.30191100583752,14,18735.819648122408,560000,7082.999975413521,14,18735.819648122408,-110.30191100583752,4499.475763303651,10.669068,-18624.53,0.0,-10.56658,10,10,7082.999975413521,nan,0.0,0.0
962.5720265747148,697154.1,962.5720265747148,0.0,962.5720265747144,-171.8383257304029,15,6749.6119752824015,584000,2058.170816248464,15,6749.6119752824015,-171.8383257304029,962.5720265747144,13.993218,-21751.363,0.0,-10.458464,10,10,2058.170816248464,nan,0.0,0.0
3710.4452511381032,970047.6,3710.4452511381032,0.0,3710.4452511381037,-82.30703475942002,16,15438.331662174744,608000,5146.288204644716,16,15438.331662174744,-82.30703475942002,3710.4452511381037,19.106928,-26001.045,0.0,-10.911867,10,10,5146.288204644716,nan,0.0,0.0
