MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/door-open-v1/Iteration,MetaTest/door-open-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MaxReturn,MetaTest/door-open-v1/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/Average/TerminationRate,MetaTest/door-open-v1/AverageDiscountedReturn,MetaTest/door-open-v1/StdReturn,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/door-open-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/door-open-v1/NumTrajs,MetaTest/door-open-v1/TerminationRate,MetaTrain/Average/QfLoss,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/door-open-v1/MinReturn
10.053277,6.641005,nan,0,0.6,-67.04959249159135,0,-54.965899030709394,-54.965899030709394,10,0.0,-67.04959249159135,8.96754242604853,8.96754242604853,224000,-67.04959249159134,-67.04959249159134,-6.65038,10,0.0,69.917984,0.6,-82.44373572799472,-82.44373572799472
7.632149,6.354522,nan,1,0.0,-58.3808067004605,1,-56.59042488510644,-56.59042488510644,10,0.0,-58.3808067004605,1.0289137548925325,1.0289137548925325,248000,-58.3808067004605,-58.3808067004605,-28.53967,10,0.0,75.883766,0.0,-60.6882876722574,-60.6882876722574
7.669466,5.407506,nan,2,0.6,-41.571170206916676,2,-30.906980559444712,-30.906980559444712,10,0.0,-41.571170206916676,7.762834069503076,7.762834069503076,272000,-41.571170206916676,-41.571170206916676,-75.35347,10,0.0,118.65147,0.6,-60.31294041614263,-60.31294041614263
11.331888,2.8925042,nan,3,0.0,-75.08582067455856,3,-71.46108373337238,-71.46108373337238,10,0.0,-75.08582067455856,3.312429137106913,3.312429137106913,296000,-75.0858206745585,-75.0858206745585,-208.07576,10,0.0,942.5125,0.0,-81.9192919182938,-81.9192919182938
11.10362,1.7966185,nan,4,0.0,-31.082209961381626,4,-24.172741062419977,-24.172741062419977,10,0.0,-31.082209961381626,3.7663602101235987,3.7663602101235987,320000,-31.08220996138162,-31.08220996138162,-439.2364,10,0.0,1577.086,0.0,-38.66594361598332,-38.66594361598332
30.178495,0.019671189,nan,5,0.0,-98.9445437556475,5,-23.960720662666205,-23.960720662666205,10,0.0,-98.9445437556475,25.258083280892393,25.258083280892393,344000,-98.9445437556475,-98.9445437556475,-771.5899,10,0.0,3265.6084,0.0,-113.33669680059576,-113.33669680059576
64.32687,-1.6671727,nan,6,0.0,-58.9204682972066,6,-23.449105422984132,-23.449105422984132,10,0.0,-58.9204682972066,25.209461011257638,25.209461011257638,368000,-58.9204682972066,-58.9204682972066,-1022.8229,10,0.0,4447.0376,0.0,-91.45739192857252,-91.45739192857252
110.43478,-2.6885989,nan,7,0.0,-61.98326643631647,7,-42.041400377737595,-42.041400377737595,10,0.0,-61.98326643631647,8.775822352276695,8.775822352276695,392000,-61.983266436316455,-61.983266436316455,-1538.3472,10,0.0,7557.796,0.0,-72.32704385214525,-72.32704385214525
67.834946,-5.2475443,nan,8,0.0,-54.57341062501119,8,-24.940829030381483,-24.940829030381483,10,0.0,-54.57341062501119,18.005930680538548,18.005930680538548,416000,-54.57341062501119,-54.57341062501119,-2161.0215,10,0.0,10975.974,0.0,-74.15617485202908,-74.15617485202908
63.44225,-5.280099,nan,9,0.1,360.5133702590466,9,1967.4713387881955,1967.4713387881955,10,0.0,360.5133702590466,784.4758169608807,784.4758169608807,440000,360.5133702590466,360.5133702590466,-2702.5105,10,0.0,14801.674,0.1,-106.28009449262487,-106.28009449262487
