MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/plate-slide-back-v1/Iteration,MetaTest/plate-slide-back-v1/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/plate-slide-back-v1/AverageReturn,MetaTest/plate-slide-back-v1/SuccessRate,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/Average/NumTrajs,MetaTest/plate-slide-back-v1/StdReturn
-28.893815211300296,-27.47088824023172,-27.47088824023172,0,0,-31.11016434978096,1.1559614470983421,0.0,-28.893815211300296,-31.11016434978096,-28.89381521130029,0.0,0.0,224000,0.0,-28.89381521130029,10,10,1.1559614470983421
22.503423054944285,76.87173052685205,76.87173052685205,1,1,-20.990491650760852,34.46029388788005,0.0,22.503423054944285,-20.990491650760852,22.503423054944296,0.0,0.0,248000,0.0,22.503423054944296,10,10,34.46029388788005
-35.40901960711099,-33.754006794856416,-33.754006794856416,2,2,-36.05152711588176,0.6376445692449418,0.0,-35.40901960711099,-36.05152711588176,-35.409019607110984,0.0,0.0,272000,0.0,-35.409019607110984,10,10,0.6376445692449418
38.83269908954342,814.988288809484,814.988288809484,3,3,-78.91479274996993,261.02684197131157,0.0,38.83269908954342,-78.91479274996993,38.8326990895434,0.0,0.0,296000,0.0,38.8326990895434,10,10,261.02684197131157
-29.504170053288714,-17.31944948301152,-17.31944948301152,4,4,-35.16872581590705,6.348442655657066,0.0,-29.504170053288714,-35.16872581590705,-29.504170053288714,0.0,0.0,320000,0.0,-29.504170053288714,10,10,6.348442655657066
-19.188036950627446,-14.035125516321045,-14.035125516321045,5,5,-24.138267155871677,3.5976790255238504,0.0,-19.188036950627446,-24.138267155871677,-19.188036950627446,0.0,0.0,344000,0.0,-19.188036950627446,10,10,3.5976790255238504
174.30026810415634,2165.219631573513,2165.219631573513,6,6,-115.84658063146342,664.3185185847017,0.0,174.30026810415634,-115.84658063146342,174.30026810415637,0.0,0.0,368000,0.0,174.30026810415637,10,10,664.3185185847017
259.1678710673116,1429.0753330440423,1429.0753330440423,7,7,-80.65544702349158,582.5489791686454,0.0,259.1678710673116,-80.65544702349158,259.1678710673115,0.0,0.0,392000,0.0,259.1678710673115,10,10,582.5489791686454
389.2535998004852,2633.592658653765,2633.592658653765,8,8,-22.818762087942464,859.0291947621013,0.0,389.2535998004852,-22.818762087942464,389.2535998004849,0.0,0.0,416000,0.0,389.2535998004849,10,10,859.0291947621013
438.87555948394737,3092.414095505102,3092.414095505102,9,9,-41.90527999192339,953.1492053461122,0.0,438.87555948394737,-41.90527999192339,438.8755594839473,0.0,0.0,440000,0.0,438.8755594839473,10,10,953.1492053461122
-64.17531614608525,-13.036682575005909,-13.036682575005909,10,10,-106.56063509485281,27.422645148820145,0.0,-64.17531614608525,-106.56063509485281,-64.17531614608528,0.0,0.0,464000,0.0,-64.17531614608528,10,10,27.422645148820145
299.85085641917067,2602.8683718137486,2602.8683718137486,11,11,-64.53404295735025,791.9145301484631,0.1,299.85085641917067,-64.53404295735025,299.85085641917055,0.1,0.0,488000,0.0,299.85085641917055,10,10,791.9145301484631
141.42730126173632,1423.7540040565125,1423.7540040565125,12,12,-41.51177846770391,430.5586352498128,0.0,141.42730126173632,-41.51177846770391,141.42730126173635,0.0,0.0,512000,0.0,141.42730126173635,10,10,430.5586352498128
244.3057208185278,2636.708891652452,2636.708891652452,13,13,-22.90587288505368,797.4685531362912,0.0,244.3057208185278,-22.90587288505368,244.3057208185277,0.0,0.0,536000,0.0,244.3057208185277,10,10,797.4685531362912
1045.1029473437811,3140.261604065581,3140.261604065581,14,14,-64.59774699927921,1168.7838569549433,0.0,1045.1029473437811,-64.59774699927921,1045.1029473437814,0.0,0.0,560000,0.0,1045.1029473437814,10,10,1168.7838569549433
5637.305640885826,47766.8956390098,47766.8956390098,15,15,-24.18370827398048,14076.290315573813,0.1,5637.305640885826,-24.18370827398048,5637.305640885819,0.1,0.0,584000,0.0,5637.305640885819,10,10,14076.290315573813
1403.1619301596497,5012.7172562227215,5012.7172562227215,16,16,-62.36097958478961,1663.4558748276634,0.0,1403.1619301596497,-62.36097958478961,1403.16193015965,0.0,0.0,608000,0.0,1403.16193015965,10,10,1663.4558748276634
2020.169140755901,8856.945176177847,8856.945176177847,17,17,-56.81519206502248,3349.5564992925074,0.0,2020.169140755901,-56.81519206502248,2020.1691407558992,0.0,0.0,632000,0.0,2020.1691407558992,10,10,3349.5564992925074
