reach-v1/MinReturn,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/reach-v1/MinReturn,reach-v1/NumEpisodes,MetaTest/Average/Iteration,Average/StdReturn,reach-v1/StdReturn,Average/NumEpisodes,GaussianMLPPolicy/LossAfter,Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,reach-v1/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/reach-v1/MaxReturn,Average/AverageDiscountedReturn,Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/reach-v1/TerminationRate,reach-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,TotalEnvSteps,GaussianMLPPolicy/Entropy,Average/MinReturn,reach-v1/Iteration,MetaTest/reach-v1/SuccessRate,MetaTest/reach-v1/NumEpisodes,reach-v1/AverageReturn,GaussianMLPPolicy/LossBefore,Average/AverageReturn,Iteration,GaussianMLPPolicy/KLBefore,MetaTest/reach-v1/Iteration,MetaTest/reach-v1/AverageReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/KLAfter,reach-v1/SuccessRate,Average/Iteration,Average/SuccessRate,MetaTest/Average/MaxReturn,reach-v1/MaxReturn,GaussianMLPPolicy/dLoss,MetaTest/reach-v1/StdReturn
486.48468617522684,11365.103553703362,1246.4240606758258,200,0,8016.558067140335,8016.558067140335,200,-4.768811777466908e-06,48377.394208403275,0.0,11365.103553703362,0.0,50,37406.49972498466,4867.208101164253,0.0,0.0,11365.103553703362,0.0,4867.208101164253,7298.956115958413,80000,5.671168327331543,486.48468617522684,0,0.0,50,9350.012442671026,-3.1680888241680805e-06,9350.012442671026,0,0.0,0,11365.103553703362,1246.4240606758258,0.0010809951927512884,0.0,0,0.0,37406.49972498466,48377.394208403275,1.6007229532988276e-06,7298.956115958413
682.3295063738249,,,200,,10022.100433288839,10022.100433288839,200,4.693984863024525e-07,73084.57185249976,,,0.0,,,5908.31284655197,0.0,,,,5908.31284655197,,160000,5.673055648803711,682.3295063738249,1,,,12110.052640509068,1.2930138382216683e-06,12110.052640509068,1,0.0,,,,0.0005696347798220813,0.0,1,0.0,,73084.57185249976,8.236153519192158e-07,
786.7595239544983,,,200,,12559.044260096225,12559.044260096225,200,-2.761407358775614e-06,64589.78000716346,,,0.0,,,7234.463981244911,0.0,,,,7234.463981244911,,240000,5.670028209686279,786.7595239544983,2,,,16692.43481201799,-2.10244388654246e-06,16692.43481201799,2,0.0,,,,0.000457326095784083,0.0,2,0.0,,64589.78000716346,6.589634722331539e-07,
741.6543092037676,,,200,,17966.899836205186,17966.899836205186,200,1.1844178970932262e-06,122902.93820838092,,,0.0,,,8620.74985568268,0.0,,,,8620.74985568268,,320000,5.6715874671936035,741.6543092037676,3,,,20796.47431108745,1.5046707630972378e-06,20796.47431108745,3,0.0,,,,0.00022467307280749083,0.01,3,0.01,,122902.93820838092,3.202528660040116e-07,
2497.148285728775,,,200,,15278.211773215946,15278.211773215946,200,1.08357880890253e-07,132756.61021920652,,,0.0,,,8529.846233985996,0.0,,,,8529.846233985996,,400000,5.672255992889404,2497.148285728775,4,,,20790.499305947695,4.5358609668255667e-07,20790.499305947695,4,0.0,,,,0.00024176556325983256,0.005,4,0.005,,132756.61021920652,3.4522821579230367e-07,
1791.605643488567,,,200,,21099.24921244283,21099.24921244283,200,1.657444954616949e-07,117696.77083258152,,,0.0,,,11139.066345005645,0.0,,,,11139.066345005645,,480000,5.672650337219238,1791.605643488567,5,,,29270.60652558105,3.506047505652532e-07,29270.60652558105,5,0.0,,,,0.00013012008275836706,0.02,5,0.02,,117696.77083258152,1.848602551035583e-07,
1489.2203461247514,,,200,,21084.644310115447,21084.644310115447,200,-1.9179374248778913e-06,140845.05528507044,,,0.0,,,10409.03039109421,0.0,,,,10409.03039109421,,560000,5.6707844734191895,1489.2203461247514,6,,,26541.86343295337,-1.6982334045678726e-06,26541.86343295337,6,0.0,,,,0.00015441057621501386,0.025,6,0.025,,140845.05528507044,2.1970402031001868e-07,
2729.5883730267683,,,200,,24398.0007633267,24398.0007633267,200,7.463249858119525e-07,132740.5690073961,,,0.0,,,12279.141028980921,0.0,,,,12279.141028980921,,640000,5.671656131744385,2729.5883730267683,7,,,33154.58988541398,8.705398499841976e-07,33154.58988541398,7,0.0,,,,8.756052557146177e-05,0.035,7,0.035,,132740.5690073961,1.2421486417224514e-07,
1959.9177891555823,,,200,,21544.16685239327,21544.16685239327,200,-2.267301397296251e-06,121085.57308393418,,,0.0,,,11718.964596410939,0.0,,,,11718.964596410939,,720000,5.66943359375,1959.9177891555823,8,,,31209.09083147537,-2.1393020688265096e-06,31209.09083147537,8,0.0,,,,9.021694859256968e-05,0.01,8,0.01,,121085.57308393418,1.2799932846974116e-07,
3230.3514111934996,,,200,,29458.86104632783,29458.86104632783,200,-2.3930449515319197e-06,163259.95334991807,,,0.0,,,14441.404734351647,0.0,,,,14441.404734351647,,800000,5.667006969451904,3230.3514111934996,9,,,40012.99784755743,-2.3164800495578675e-06,40012.99784755743,9,0.0,,,,5.403909017331898e-05,0.045,9,0.045,,163259.95334991807,7.656490197405219e-08,
