MetaTest/Average/MaxReturn,MetaTest/lever-pull-v1/MinReturn,MetaTest/lever-pull-v1/Iteration,MetaTest/lever-pull-v1/NumTrajs,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,MetaTest/lever-pull-v1/SuccessRate,MetaTest/lever-pull-v1/AverageReturn,MetaTest/lever-pull-v1/StdReturn,MetaTest/Average/NumTrajs,MetaTest/lever-pull-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/lever-pull-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,TotalEnvSteps,MetaTest/lever-pull-v1/MaxReturn
-11.11396392946731,-19.869288961305237,0,10,-19.869288961305237,0.0,0.0,-14.525712140353502,2.7429518468722764,10,0.0,-14.525712140353502,2.7429518468722764,-14.525712140353502,0,0.0,-14.525712140353502,224000,-11.11396392946731
-7.995629749483815,-20.537274402947947,1,10,-20.537274402947947,0.0,0.0,-11.127494460426709,4.037703087947345,10,0.0,-11.127494460426709,4.037703087947345,-11.127494460426709,1,0.0,-11.127494460426709,248000,-7.995629749483815
-7.661829442872778,-11.91480298545657,2,10,-11.91480298545657,0.0,0.0,-9.302952332992103,1.2283014978392517,10,0.0,-9.302952332992106,1.2283014978392517,-9.302952332992106,2,0.0,-9.302952332992103,272000,-7.661829442872778
-6.159249318758081,-12.752672416063467,3,10,-12.752672416063467,0.0,0.0,-9.199024206760194,2.046870814952673,10,0.0,-9.199024206760194,2.046870814952673,-9.199024206760194,3,0.0,-9.199024206760194,296000,-6.159249318758081
-5.677394196992775,-10.560785708023289,4,10,-10.560785708023289,0.0,0.0,-7.789926284958424,1.617296218521219,10,0.0,-7.789926284958428,1.617296218521219,-7.789926284958428,4,0.0,-7.789926284958424,320000,-5.677394196992775
-6.891624862416555,-11.929763537283424,5,10,-11.929763537283424,0.0,0.0,-9.122947378647561,1.831182294707687,10,0.0,-9.12294737864756,1.831182294707687,-9.12294737864756,5,0.0,-9.122947378647561,344000,-6.891624862416555
-6.010399456539339,-9.533696697247265,6,10,-9.533696697247265,0.0,0.0,-7.083145282538557,0.9671232220425673,10,0.0,-7.083145282538555,0.9671232220425673,-7.083145282538555,6,0.0,-7.083145282538557,368000,-6.010399456539339
-5.630827097970399,-10.673551347890715,7,10,-10.673551347890715,0.0,0.0,-7.064992574792226,1.4180746595877038,10,0.0,-7.064992574792226,1.4180746595877038,-7.064992574792226,7,0.0,-7.064992574792226,392000,-5.630827097970399
-5.963859908112111,-9.478695038539021,8,10,-9.478695038539021,0.0,0.0,-7.775829652459096,1.0638059737491556,10,0.0,-7.775829652459096,1.0638059737491556,-7.775829652459096,8,0.0,-7.775829652459096,416000,-5.963859908112111
-4.6739672923197135,-8.14429013751848,9,10,-8.14429013751848,0.0,0.0,-6.485009381104083,1.0639710298023455,10,0.0,-6.4850093811040805,1.0639710298023455,-6.4850093811040805,9,0.0,-6.485009381104083,440000,-4.6739672923197135
-5.526250377170574,-8.750016865601525,10,10,-8.750016865601525,0.0,0.0,-6.832530246563609,0.9685925169832833,10,0.0,-6.832530246563609,0.9685925169832833,-6.832530246563609,10,0.0,-6.832530246563609,464000,-5.526250377170574
-4.30595995393349,-9.435303516418124,11,10,-9.435303516418124,0.0,0.0,-6.334764081242353,1.7784415333418335,10,0.0,-6.334764081242356,1.7784415333418335,-6.334764081242356,11,0.0,-6.334764081242353,488000,-4.30595995393349
-3.955112844227527,-8.924371160218206,12,10,-8.924371160218206,0.0,0.0,-6.771064011750046,1.4718155456899442,10,0.0,-6.771064011750046,1.4718155456899442,-6.771064011750046,12,0.0,-6.771064011750046,512000,-3.955112844227527
-4.299470168719586,-8.068790417755613,13,10,-8.068790417755613,0.0,0.0,-5.887572480652819,1.4024186220298789,10,0.0,-5.887572480652819,1.4024186220298789,-5.887572480652819,13,0.0,-5.887572480652819,536000,-4.299470168719586
-4.670209171272468,-7.927162609612827,14,10,-7.927162609612827,0.0,0.0,-6.129233488031786,1.1053013278967951,10,0.0,-6.129233488031785,1.1053013278967951,-6.129233488031785,14,0.0,-6.129233488031786,560000,-4.670209171272468
-5.792330982495719,-8.171960881448966,15,10,-8.171960881448966,0.0,0.0,-6.812894877799951,0.6703409201780087,10,0.0,-6.81289487779995,0.6703409201780087,-6.81289487779995,15,0.0,-6.812894877799951,584000,-5.792330982495719
-4.0433269370703,-7.47901982450666,16,10,-7.47901982450666,0.0,0.0,-5.537699388239114,1.1040903104874296,10,0.0,-5.537699388239114,1.1040903104874296,-5.537699388239114,16,0.0,-5.537699388239114,608000,-4.0433269370703
-3.7458900385418255,-8.97178161456096,17,10,-8.97178161456096,0.0,0.0,-5.219584544770139,1.3943531368265096,10,0.0,-5.219584544770139,1.3943531368265096,-5.219584544770139,17,0.0,-5.219584544770139,632000,-3.7458900385418255
-3.829590839677845,-7.4053921703592,18,10,-7.4053921703592,0.0,0.0,-5.625288405213293,1.2331745778998198,10,0.0,-5.625288405213293,1.2331745778998198,-5.625288405213293,18,0.0,-5.625288405213293,656000,-3.829590839677845
-3.2873343472833962,-8.955240103878463,19,10,-8.955240103878463,0.0,0.0,-5.897751814876313,1.854477801297316,10,0.0,-5.897751814876313,1.854477801297316,-5.897751814876313,19,0.0,-5.897751814876313,680000,-3.2873343472833962
-3.664419058843236,-8.24572591378009,20,10,-8.24572591378009,0.0,0.0,-5.18198193991234,1.4837928620439946,10,0.0,-5.181981939912342,1.4837928620439946,-5.181981939912342,20,0.0,-5.18198193991234,704000,-3.664419058843236
-3.5489835240850094,-8.79734673247498,21,10,-8.79734673247498,0.0,0.0,-5.566404961063305,1.5684292073384196,10,0.0,-5.566404961063305,1.5684292073384196,-5.566404961063305,21,0.0,-5.566404961063305,728000,-3.5489835240850094
-4.098724143319092,-9.22929655903815,22,10,-9.22929655903815,0.0,0.0,-5.527054645876091,1.44225021941939,10,0.0,-5.527054645876092,1.44225021941939,-5.527054645876092,22,0.0,-5.527054645876091,752000,-4.098724143319092
-3.2643680016014085,-8.207935478911123,23,10,-8.207935478911123,0.0,0.0,-5.285097405057693,1.6259673239667967,10,0.0,-5.28509740505769,1.6259673239667967,-5.28509740505769,23,0.0,-5.285097405057693,776000,-3.2643680016014085
-4.464724395704635,-7.217521784938747,24,10,-7.217521784938747,0.0,0.0,-6.0629328863732415,0.972520366234782,10,0.0,-6.062932886373242,0.972520366234782,-6.062932886373242,24,0.0,-6.0629328863732415,800000,-4.464724395704635
-3.6856829521559646,-5.923829576327152,25,10,-5.923829576327152,0.0,0.0,-4.79761743407329,0.6396623635179901,10,0.0,-4.797617434073289,0.6396623635179901,-4.797617434073289,25,0.0,-4.79761743407329,824000,-3.6856829521559646
-3.7618686746968977,-7.3800691012098545,26,10,-7.3800691012098545,0.0,0.0,-5.074558313811748,0.9608145245399194,10,0.0,-5.074558313811748,0.9608145245399194,-5.074558313811748,26,0.0,-5.074558313811748,848000,-3.7618686746968977
-3.879248962264176,-6.28488112046359,27,10,-6.28488112046359,0.0,0.0,-5.030079177657259,0.7530974888553196,10,0.0,-5.030079177657262,0.7530974888553196,-5.030079177657262,27,0.0,-5.030079177657259,872000,-3.879248962264176
-3.370793026618337,-7.69607594052721,28,10,-7.69607594052721,0.0,0.0,-4.565321082038579,1.550536462210219,10,0.0,-4.565321082038579,1.550536462210219,-4.565321082038579,28,0.0,-4.565321082038579,896000,-3.370793026618337
-3.790845531185598,-6.948287517516959,29,10,-6.948287517516959,0.0,0.0,-5.090438396804679,1.0243278303608965,10,0.0,-5.09043839680468,1.0243278303608965,-5.09043839680468,29,0.0,-5.090438396804679,920000,-3.790845531185598
-3.417895253039124,-6.6284086053656255,30,10,-6.6284086053656255,0.0,0.0,-4.405996168016073,0.8988777086869341,10,0.0,-4.405996168016072,0.8988777086869341,-4.405996168016072,30,0.0,-4.405996168016073,944000,-3.417895253039124
-4.500287715820167,-6.314952639105692,31,10,-6.314952639105692,0.0,0.0,-5.5528887555544975,0.5525330455392725,10,0.0,-5.552888755554498,0.5525330455392725,-5.552888755554498,31,0.0,-5.5528887555544975,968000,-4.500287715820167
-3.710576317043231,-8.064968126590767,32,10,-8.064968126590767,0.0,0.0,-5.1156088209582276,1.3253293815803748,10,0.0,-5.115608820958227,1.3253293815803748,-5.115608820958227,32,0.0,-5.1156088209582276,992000,-3.710576317043231
-3.5633913417400196,-7.542301728966565,33,10,-7.542301728966565,0.0,0.0,-5.03160216338426,1.3599615282433413,10,0.0,-5.031602163384261,1.3599615282433413,-5.031602163384261,33,0.0,-5.03160216338426,1016000,-3.5633913417400196
