MetaTest/Average/Iteration,Average/Iteration,Average/NumEpisodes,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/MinReturn,MetaTest/Average/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/push-v1/Iteration,Iteration,Average/SuccessRate,push-v1/MaxReturn,push-v1/AverageReturn,Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v1/TerminationRate,push-v1/AverageDiscountedReturn,MetaTest/push-v1/AverageDiscountedReturn,push-v1/MinReturn,Average/AverageReturn,Average/TerminationRate,MetaTest/push-v1/SuccessRate,GaussianMLPPolicy/KLAfter,Average/MinReturn,MetaTest/Average/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,MetaTest/Average/NumEpisodes,Average/MaxReturn,push-v1/NumEpisodes,push-v1/StdReturn,TotalEnvSteps,push-v1/TerminationRate,MetaTest/Average/MaxReturn,GaussianMLPPolicy/KLBefore,MetaTest/push-v1/StdReturn,MetaTest/Average/SuccessRate,push-v1/Iteration,MetaTest/push-v1/NumEpisodes,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/AverageReturn,MetaTest/Average/StdReturn,push-v1/SuccessRate,Average/AverageDiscountedReturn
,12,200,,,,,,12,0.065,68354.40971472354,5341.01843806352,10803.730075088202,,,1350.6031329124467,,-22.58924387692269,5341.01843806352,0.0,,0.005972261540591717,-22.58924387692269,,1.3212520570959896e-05,5.569490909576416,-4.549327422864735e-05,,68354.40971472354,200,10803.730075088202,1040000,0.0,,0.0,,,12,,-5.870579479960725e-05,,,0.065,1350.6031329124467
,13,200,,,,,,13,0.06,119956.37761526805,6045.850674537912,14298.316565983001,,,1562.862313991221,,-23.766464313067054,6045.850674537912,0.0,,0.00011479345994303003,-23.766464313067054,,1.6312242223648354e-07,5.555534839630127,-1.1320435078232549e-05,,119956.37761526805,200,14298.316565983001,1120000,0.0,,0.0,,,13,,-1.1483557500469033e-05,,,0.06,1562.862313991221
,14,200,,,,,,14,0.04,47803.49971693738,4692.273529930065,8495.897889626798,,,1357.106310329341,,-27.655191133838375,4692.273529930065,0.0,,0.00016936911561060697,-27.655191133838375,,2.411707100691274e-07,5.579911708831787,1.621613591851201e-05,,47803.49971693738,200,8495.897889626798,1200000,0.0,,0.0,,,14,,1.5974965208442882e-05,,,0.04,1357.106310329341
,15,200,,,,,,15,0.085,114906.22195312589,8151.9442059744315,17722.221856178207,,,2029.0195477169736,,-24.766802548295544,8151.9442059744315,0.0,,0.00012814078945666552,-24.766802548295544,,1.814853476389544e-07,5.585113048553467,3.5747791571338894e-06,,114906.22195312589,200,17722.221856178207,1280000,0.0,,0.0,,,15,,3.393293809494935e-06,,,0.085,2029.0195477169736
,16,200,,,,,,16,0.07,154592.0532703978,7493.810162680827,18613.332155603865,,,1952.853197175256,,-26.376906182908233,7493.810162680827,0.0,,0.00016882075578905642,-26.376906182908233,,2.404514134468627e-07,5.583963394165039,-9.680530865807668e-07,,154592.0532703978,200,18613.332155603865,1360000,0.0,,0.0,,,16,,-1.2085045000276295e-06,,,0.07,1952.853197175256
,17,200,,,,,,17,0.02,92595.49185124211,4206.1631506605245,9090.628714888113,,,1231.204950965626,,-24.690209081594045,4206.1631506605245,0.0,,0.0016887970268726349,-24.690209081594045,,3.0808810578264456e-06,5.58335018157959,-9.758760199929384e-08,,92595.49185124211,200,9090.628714888113,1440000,0.0,,0.0,,,17,,-3.1784686598257395e-06,,,0.02,1231.204950965626
,18,200,,,,,,18,0.09,159888.12557868412,9488.48578902377,19208.615767736224,,,2386.9422361289758,,-25.201741860960464,9488.48578902377,0.0,,4.181841359240934e-05,-25.201741860960464,,5.9115791373187676e-08,5.583868980407715,5.359670467441902e-07,,159888.12557868412,200,19208.615767736224,1520000,0.0,,0.0,,,18,,4.768512553710025e-07,,,0.09,2386.9422361289758
,19,200,,,,,,19,0.02,110050.42860630064,4420.949550999327,11541.044194175756,,,1198.0642751853054,,-23.19966199330455,4420.949550999327,0.0,,0.00031413324177265167,-23.19966199330455,,4.5119486458133906e-07,5.583078384399414,-8.030938261072151e-07,,110050.42860630064,200,11541.044194175756,1600000,0.0,,0.0,,,19,,-1.2542886906885542e-06,,,0.02,1198.0642751853054
2,20,200,39080.178727627186,-14.930283811599192,0.0,5434.887216793175,2,20,0.075,113411.63665740751,6742.97397248116,15401.241696398838,5434.887216793173,0.0,1781.728013461707,5434.887216793173,-18.98334634218131,6742.97397248116,0.0,0.1,2.676322401384823e-05,-18.98334634218131,-14.930283811599192,3.7746303860330954e-08,5.583008766174316,-2.5531022629365907e-07,10,113411.63665740751,200,15401.241696398838,1680000,0.0,39080.178727627186,0.0,11350.7589687162,0.1,20,10,-2.9305653015399e-07,5434.887216793175,11350.7589687162,0.075,1781.728013461707
,21,200,,,,,,21,0.045,89498.7478105103,6863.170622060471,14154.805397697944,,,1833.522575513276,,-21.088130592138818,6863.170622060471,0.0,,0.00012112875992897898,-21.088130592138818,,1.7152319742308464e-07,5.586287975311279,2.970274408653495e-06,,89498.7478105103,200,14154.805397697944,1760000,0.0,,0.0,,,21,,2.7987512112304103e-06,,,0.045,1833.522575513276
