MetaTest/door-close-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/door-close-v1/MinReturn,MetaTest/door-close-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/door-close-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/door-close-v1/NumTrajs,MetaTest/door-close-v1/TerminationRate
0,-37.600370182777596,0.0,-44.11340778163192,-37.600370182777596,-44.11340778163192,2.155955692173413,-39.88793814482339,-39.88793814482339,-39.88793814482339,0,0.0,2.155955692173413,0.0,224000,-39.88793814482339,10,10,0.0
1,-38.10221734969945,0.1,-42.844096795734366,-38.10221734969945,-42.844096795734366,1.4521892971903372,-40.499845179187176,-40.49984517918719,-40.499845179187176,1,0.0,1.4521892971903372,0.1,248000,-40.49984517918719,10,10,0.0
2,-36.29286665753141,0.5,-63.280040778356955,-36.29286665753141,-63.280040778356955,10.173918121483744,-48.319354803646654,-48.319354803646654,-48.319354803646654,2,0.0,10.173918121483744,0.5,272000,-48.319354803646654,10,10,0.0
3,-32.06908265010096,0.1,-51.408223197625354,-32.06908265010096,-51.408223197625354,4.570441887398642,-40.13095999929593,-40.130959999295925,-40.13095999929593,3,0.0,4.570441887398642,0.1,296000,-40.130959999295925,10,10,0.0
4,-37.78907920284891,0.3,-71.37451321945845,-37.78907920284891,-71.37451321945845,11.543728708467311,-46.97539739663119,-46.97539739663121,-46.97539739663119,4,0.0,11.543728708467311,0.3,320000,-46.97539739663121,10,10,0.0
5,-49.753302864540586,0.3,-101.42689346720242,-49.753302864540586,-101.42689346720242,21.039287188091837,-69.41214508761894,-69.41214508761894,-69.41214508761894,5,0.0,21.039287188091837,0.3,344000,-69.41214508761894,10,10,0.0
6,-142.77119613737784,0.0,-157.27325912941728,-142.77119613737784,-157.27325912941728,4.609563610387777,-149.7227078499359,-149.72270784993597,-149.7227078499359,6,0.0,4.609563610387777,0.0,368000,-149.72270784993597,10,10,0.0
7,-75.78468141052215,0.0,-137.13527116586198,-75.78468141052215,-137.13527116586198,25.121589377820285,-105.76883900047116,-105.76883900047115,-105.76883900047116,7,0.0,25.121589377820285,0.0,392000,-105.76883900047115,10,10,0.0
8,-53.099939522929574,0.0,-108.81828399790126,-53.099939522929574,-108.81828399790126,15.977012173305695,-72.45023422773994,-72.45023422773995,-72.45023422773994,8,0.0,15.977012173305695,0.0,416000,-72.45023422773995,10,10,0.0
9,-56.106294663281744,0.0,-123.97403411204536,-56.106294663281744,-123.97403411204536,23.59243163536354,-85.32533884036259,-85.3253388403626,-85.32533884036259,9,0.0,23.59243163536354,0.0,440000,-85.3253388403626,10,10,0.0
