MetaTest/door-close-v1/Iteration,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/door-close-v1/MinReturn,MetaTest/door-close-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/door-close-v1/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/door-close-v1/StdReturn,MetaTest/door-close-v1/SuccessRate,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/door-close-v1/NumTrajs,MetaTest/door-close-v1/TerminationRate
10,-35.060071547206796,0.1,-145.5487219070001,-35.060071547206796,-145.5487219070001,32.779107847151394,-82.51772148197657,-82.51772148197657,-82.51772148197657,10,0.0,32.779107847151394,0.1,464000,-82.51772148197657,10,10,0.0
11,-51.43996650561749,0.4,-112.34473892937751,-51.43996650561749,-112.34473892937751,17.41672858978245,-68.38647769037019,-68.38647769037014,-68.38647769037019,11,0.0,17.41672858978245,0.4,488000,-68.38647769037014,10,10,0.0
12,-26.095517072625476,0.3,-102.13740468553817,-26.095517072625476,-102.13740468553817,20.252860353216935,-61.70392036782634,-61.703920367826356,-61.70392036782634,12,0.0,20.252860353216935,0.3,512000,-61.703920367826356,10,10,0.0
13,-33.70981559479692,0.5,-82.69493042034019,-33.70981559479692,-82.69493042034019,14.79693148580499,-54.158930230660545,-54.158930230660545,-54.158930230660545,13,0.0,14.79693148580499,0.5,536000,-54.158930230660545,10,10,0.0
14,3420.623025490656,0.6,-83.34070555939711,3420.623025490656,-83.34070555939711,1044.5564421832325,287.2962227123223,287.2962227123224,287.2962227123223,14,0.0,1044.5564421832325,0.6,560000,287.2962227123224,10,10,0.0
15,-21.783188940457425,0.4,-144.39554800974457,-21.783188940457425,-144.39554800974457,43.77273930972405,-75.81781650304767,-75.81781650304762,-75.81781650304767,15,0.0,43.77273930972405,0.4,584000,-75.81781650304762,10,10,0.0
16,-62.06911657785354,0.2,-129.25357138695153,-62.06911657785354,-129.25357138695153,22.572169091559864,-84.62183169716226,-84.62183169716226,-84.62183169716226,16,0.0,22.572169091559864,0.2,608000,-84.62183169716226,10,10,0.0
17,-43.03694413320002,0.3,-76.06032836281432,-43.03694413320002,-76.06032836281432,9.515195434586607,-57.50804857353139,-57.50804857353138,-57.50804857353139,17,0.0,9.515195434586607,0.3,632000,-57.50804857353138,10,10,0.0
18,-49.18151023636608,0.1,-95.34002677923324,-49.18151023636608,-95.34002677923324,14.810705389261438,-77.08648456735207,-77.08648456735207,-77.08648456735207,18,0.0,14.810705389261438,0.1,656000,-77.08648456735207,10,10,0.0
19,-38.21030194205565,0.1,-144.1080764489878,-38.21030194205565,-144.1080764489878,26.11384914661022,-72.19079579308341,-72.19079579308342,-72.19079579308341,19,0.0,26.11384914661022,0.1,680000,-72.19079579308342,10,10,0.0
20,-20.26194865848628,0.3,-70.42522435419421,-20.26194865848628,-70.42522435419421,15.749045320762251,-55.62118811755986,-55.62118811755987,-55.62118811755986,20,0.0,15.749045320762251,0.3,704000,-55.62118811755987,10,10,0.0
21,-36.739003561819835,0.2,-124.13044882854905,-36.739003561819835,-124.13044882854905,23.611817980781495,-65.09346234216956,-65.0934623421696,-65.09346234216956,21,0.0,23.611817980781495,0.2,728000,-65.0934623421696,10,10,0.0
22,-53.094367068648836,0.0,-86.37206639589175,-53.094367068648836,-86.37206639589175,10.473449861160391,-72.24156859102565,-72.24156859102564,-72.24156859102565,22,0.0,10.473449861160391,0.0,752000,-72.24156859102564,10,10,0.0
23,-64.44785713239902,0.0,-79.71857342325683,-64.44785713239902,-79.71857342325683,4.887383964994541,-71.42262304432197,-71.42262304432197,-71.42262304432197,23,0.0,4.887383964994541,0.0,776000,-71.42262304432197,10,10,0.0
24,-57.97631226085384,0.0,-70.82821050822237,-57.97631226085384,-70.82821050822237,4.099465686333299,-66.07513055406669,-66.07513055406669,-66.07513055406669,24,0.0,4.099465686333299,0.0,800000,-66.07513055406669,10,10,0.0
25,-37.725196049191624,0.3,-68.85202353321323,-37.725196049191624,-68.85202353321323,8.48815304059238,-49.63260319763214,-49.632603197632136,-49.63260319763214,25,0.0,8.48815304059238,0.3,824000,-49.632603197632136,10,10,0.0
26,24.931919149203733,0.0,-68.3955566874124,24.931919149203733,-68.3955566874124,25.093035455212153,-48.231445525403714,-48.23144552540371,-48.231445525403714,26,0.0,25.093035455212153,0.0,848000,-48.23144552540371,10,10,0.0
27,-23.89420723702089,0.4,-132.00096140262656,-23.89420723702089,-132.00096140262656,30.752978673860852,-54.986724322125575,-54.986724322125575,-54.986724322125575,27,0.0,30.752978673860852,0.4,872000,-54.986724322125575,10,10,0.0
28,26277.90129896476,0.4,-106.59630055875246,26277.90129896476,-106.59630055875246,7899.337592063112,2580.0208781650786,2580.0208781650754,2580.0208781650786,28,0.0,7899.337592063112,0.4,896000,2580.0208781650754,10,10,0.0
29,484.02336133250043,0.3,-70.86358237060651,484.02336133250043,-70.86358237060651,199.4497530757246,45.963872948320066,45.96387294832006,45.963872948320066,29,0.0,199.4497530757246,0.3,920000,45.96387294832006,10,10,0.0
30,-42.68982990402805,0.1,-95.66569115472238,-42.68982990402805,-95.66569115472238,18.828818321897064,-57.10021081572908,-57.100210815729056,-57.10021081572908,30,0.0,18.828818321897064,0.1,944000,-57.100210815729056,10,10,0.0
31,-62.57884680310374,0.1,-133.3850066891248,-62.57884680310374,-133.3850066891248,25.400597527946555,-95.36657430577233,-95.36657430577232,-95.36657430577233,31,0.0,25.400597527946555,0.1,968000,-95.36657430577232,10,10,0.0
32,-77.51334151464138,0.0,-146.39447932620885,-77.51334151464138,-146.39447932620885,18.085708142742455,-116.43255291046793,-116.43255291046799,-116.43255291046793,32,0.0,18.085708142742455,0.0,992000,-116.43255291046799,10,10,0.0
33,-77.49519952493671,0.0,-108.96063288663515,-77.49519952493671,-108.96063288663515,10.93426996584205,-91.0497219429055,-91.04972194290546,-91.0497219429055,33,0.0,10.93426996584205,0.0,1016000,-91.04972194290546,10,10,0.0
34,-77.81179345509703,0.0,-102.12822610148633,-77.81179345509703,-102.12822610148633,6.857233408936694,-96.13948381752253,-96.13948381752252,-96.13948381752253,34,0.0,6.857233408936694,0.0,1040000,-96.13948381752252,10,10,0.0
35,-54.295214207488506,0.0,-100.06406664937,-54.295214207488506,-100.06406664937,12.879781514797873,-80.10526340445871,-80.10526340445871,-80.10526340445871,35,0.0,12.879781514797873,0.0,1064000,-80.10526340445871,10,10,0.0
36,-66.59715307344571,0.0,-96.41826149929243,-66.59715307344571,-96.41826149929243,9.793247645612555,-82.84898427175942,-82.8489842717594,-82.84898427175942,36,0.0,9.793247645612555,0.0,1088000,-82.8489842717594,10,10,0.0
37,-60.7129958943798,0.0,-95.64688625166988,-60.7129958943798,-95.64688625166988,9.314861910810263,-86.47083823478381,-86.47083823478383,-86.47083823478381,37,0.0,9.314861910810263,0.0,1112000,-86.47083823478383,10,10,0.0
38,-81.2195761762288,0.0,-158.65060714017227,-81.2195761762288,-158.65060714017227,29.606884465744315,-109.12659009161214,-109.12659009161214,-109.12659009161214,38,0.0,29.606884465744315,0.0,1136000,-109.12659009161214,10,10,0.0
39,-48.08188081680691,0.0,-114.94781759152835,-48.08188081680691,-114.94781759152835,20.07820583085175,-75.99845296786336,-75.99845296786334,-75.99845296786336,39,0.0,20.07820583085175,0.0,1160000,-75.99845296786334,10,10,0.0
40,-52.36911761361079,0.1,-87.46526784775118,-52.36911761361079,-87.46526784775118,12.86136002151974,-72.39392142774298,-72.393921427743,-72.39392142774298,40,0.0,12.86136002151974,0.1,1184000,-72.393921427743,10,10,0.0
41,-52.18229487888276,0.1,-116.5680585488582,-52.18229487888276,-116.5680585488582,20.60960599006147,-73.51301603153975,-73.51301603153976,-73.51301603153975,41,0.0,20.60960599006147,0.1,1208000,-73.51301603153976,10,10,0.0
42,-42.345104334007054,0.0,-92.00936245813423,-42.345104334007054,-92.00936245813423,16.544093826376233,-72.35182848346574,-72.35182848346571,-72.35182848346574,42,0.0,16.544093826376233,0.0,1232000,-72.35182848346571,10,10,0.0
43,-53.77153616325705,0.0,-100.33198065772767,-53.77153616325705,-100.33198065772767,14.529525777735552,-79.95965568571943,-79.95965568571943,-79.95965568571943,43,0.0,14.529525777735552,0.0,1256000,-79.95965568571943,10,10,0.0
44,-73.73638178788335,0.1,-139.2713175592545,-73.73638178788335,-139.2713175592545,22.900149879687703,-96.14412576066579,-96.14412576066576,-96.14412576066579,44,0.0,22.900149879687703,0.1,1280000,-96.14412576066576,10,10,0.0
45,-53.79342528867602,0.0,-112.23195655932747,-53.79342528867602,-112.23195655932747,16.17433314942267,-71.43361258917027,-71.43361258917028,-71.43361258917027,45,0.0,16.17433314942267,0.0,1304000,-71.43361258917028,10,10,0.0
46,-50.16303575900512,0.0,-85.30748577789743,-50.16303575900512,-85.30748577789743,10.687134363627967,-68.48495994104421,-68.48495994104421,-68.48495994104421,46,0.0,10.687134363627967,0.0,1328000,-68.48495994104421,10,10,0.0
47,-48.145297566555726,0.2,-101.69839430863424,-48.145297566555726,-101.69839430863424,14.363916572276903,-70.04701291325703,-70.04701291325702,-70.04701291325703,47,0.0,14.363916572276903,0.2,1352000,-70.04701291325702,10,10,0.0
48,-24.23040742465824,0.5,-155.64546680559008,-24.23040742465824,-155.64546680559008,37.29108821693099,-79.52911985062664,-79.5291198506266,-79.52911985062664,48,0.0,37.29108821693099,0.5,1376000,-79.5291198506266,10,10,0.0
49,-50.29203984595905,0.4,-94.12992379649161,-50.29203984595905,-94.12992379649161,13.21636499405155,-74.05117971158481,-74.05117971158482,-74.05117971158481,49,0.0,13.21636499405155,0.4,1400000,-74.05117971158482,10,10,0.0
50,-42.99469970425204,0.0,-80.65586808714832,-42.99469970425204,-80.65586808714832,14.212669578535209,-59.291388887199595,-59.291388887199574,-59.291388887199595,50,0.0,14.212669578535209,0.0,1424000,-59.291388887199574,10,10,0.0
51,-40.26329458424998,0.1,-70.59105327199416,-40.26329458424998,-70.59105327199416,10.122225751796076,-54.67423821906002,-54.67423821906003,-54.67423821906002,51,0.0,10.122225751796076,0.1,1448000,-54.67423821906003,10,10,0.0
52,650.9232927389272,0.4,-127.13213952168516,650.9232927389272,-127.13213952168516,220.97592480145917,-9.301737791761633,-9.301737791761607,-9.301737791761633,52,0.0,220.97592480145917,0.4,1472000,-9.301737791761607,10,10,0.0
53,-38.72154441052976,0.2,-89.88407513885367,-38.72154441052976,-89.88407513885367,15.928475874958734,-62.76942301925298,-62.76942301925298,-62.76942301925298,53,0.0,15.928475874958734,0.2,1496000,-62.76942301925298,10,10,0.0
54,-34.14164456461398,0.4,-73.93964489604814,-34.14164456461398,-73.93964489604814,10.25853275305584,-57.9883857252583,-57.98838572525831,-57.9883857252583,54,0.0,10.25853275305584,0.4,1520000,-57.98838572525831,10,10,0.0
55,-34.15175525945639,0.5,-70.78318429572863,-34.15175525945639,-70.78318429572863,12.020797768461478,-53.46793852775104,-53.467938527751016,-53.46793852775104,55,0.0,12.020797768461478,0.5,1544000,-53.467938527751016,10,10,0.0
56,-28.80630011746662,0.1,-133.46728301882055,-28.80630011746662,-133.46728301882055,29.640374042286833,-60.807772912166364,-60.80777291216641,-60.807772912166364,56,0.0,29.640374042286833,0.1,1568000,-60.80777291216641,10,10,0.0
57,75.98618086374444,0.2,-68.22629505497028,75.98618086374444,-68.22629505497028,39.30239708557236,-34.38435772301824,-34.384357723018226,-34.38435772301824,57,0.0,39.30239708557236,0.2,1592000,-34.384357723018226,10,10,0.0
58,-26.52879234729744,0.0,-81.84078853523384,-26.52879234729744,-81.84078853523384,16.083900630608692,-52.595686498801356,-52.59568649880136,-52.595686498801356,58,0.0,16.083900630608692,0.0,1616000,-52.59568649880136,10,10,0.0
59,-60.66574739117243,0.0,-145.90157055781336,-60.66574739117243,-145.90157055781336,25.7566367875382,-107.6079219738067,-107.60792197380674,-107.6079219738067,59,0.0,25.7566367875382,0.0,1640000,-107.60792197380674,10,10,0.0
60,-33.286003134530446,0.0,-123.10153526459453,-33.286003134530446,-123.10153526459453,23.682105731918977,-84.23621217214736,-84.23621217214739,-84.23621217214736,60,0.0,23.682105731918977,0.0,1664000,-84.23621217214739,10,10,0.0
61,-22.834990248071907,0.1,-78.69167902937238,-22.834990248071907,-78.69167902937238,18.484693286916972,-54.40593367164113,-54.40593367164113,-54.40593367164113,61,0.0,18.484693286916972,0.1,1688000,-54.40593367164113,10,10,0.0
62,-27.447193422769924,0.1,-89.2017002310894,-27.447193422769924,-89.2017002310894,18.656919446330775,-62.35361059597744,-62.35361059597744,-62.35361059597744,62,0.0,18.656919446330775,0.1,1712000,-62.35361059597744,10,10,0.0
63,-49.04947120511527,0.1,-153.82643266054586,-49.04947120511527,-153.82643266054586,36.57449732491567,-105.11917992321278,-105.1191799232128,-105.11917992321278,63,0.0,36.57449732491567,0.1,1736000,-105.1191799232128,10,10,0.0
64,-43.13302963383952,0.1,-148.5819691159749,-43.13302963383952,-148.5819691159749,35.969671981285494,-90.34776908408318,-90.34776908408318,-90.34776908408318,64,0.0,35.969671981285494,0.1,1760000,-90.34776908408318,10,10,0.0
65,-37.194934522544955,0.0,-78.28121464219613,-37.194934522544955,-78.28121464219613,10.966069568088754,-55.248811134942756,-55.248811134942756,-55.248811134942756,65,0.0,10.966069568088754,0.0,1784000,-55.248811134942756,10,10,0.0
66,-43.25175633855123,0.0,-92.65338466680213,-43.25175633855123,-92.65338466680213,12.933556688910626,-65.31896562467549,-65.31896562467549,-65.31896562467549,66,0.0,12.933556688910626,0.0,1808000,-65.31896562467549,10,10,0.0
67,-54.44640032160391,0.0,-98.90961750534015,-54.44640032160391,-98.90961750534015,13.27803204830129,-69.83316759621839,-69.83316759621839,-69.83316759621839,67,0.0,13.27803204830129,0.0,1832000,-69.83316759621839,10,10,0.0
68,-69.68754166258735,0.0,-146.79924429769872,-69.68754166258735,-146.79924429769872,21.033243138884057,-130.33017556849654,-130.3301755684966,-130.33017556849654,68,0.0,21.033243138884057,0.0,1856000,-130.3301755684966,10,10,0.0
69,-43.55583297635544,0.4,-73.6354844152176,-43.55583297635544,-73.6354844152176,9.505908266621137,-52.93575351590199,-52.93575351590198,-52.93575351590199,69,0.0,9.505908266621137,0.4,1880000,-52.93575351590198,10,10,0.0
70,-49.952365858087056,0.2,-78.78378028780661,-49.952365858087056,-78.78378028780661,9.94828824543739,-64.07964069888638,-64.07964069888637,-64.07964069888638,70,0.0,9.94828824543739,0.2,1904000,-64.07964069888637,10,10,0.0
71,-54.16199198102145,0.0,-146.74933352031235,-54.16199198102145,-146.74933352031235,32.10873812395159,-102.71064219378381,-102.71064219378385,-102.71064219378381,71,0.0,32.10873812395159,0.0,1928000,-102.71064219378385,10,10,0.0
72,-41.57665310264363,0.3,-82.40031047415329,-41.57665310264363,-82.40031047415329,12.475572844129,-62.19522262636216,-62.19522262636217,-62.19522262636216,72,0.0,12.475572844129,0.3,1952000,-62.19522262636217,10,10,0.0
73,-45.27538842437832,0.0,-74.80817771028585,-45.27538842437832,-74.80817771028585,11.397122798280234,-58.41846280355818,-58.41846280355818,-58.41846280355818,73,0.0,11.397122798280234,0.0,1976000,-58.41846280355818,10,10,0.0
74,-41.2853356824185,0.0,-53.378212020643275,-41.2853356824185,-53.378212020643275,3.1999159984881156,-50.0419951415459,-50.0419951415459,-50.0419951415459,74,0.0,3.1999159984881156,0.0,2000000,-50.0419951415459,10,10,0.0
75,7546.155927165814,0.3,-101.00729091676398,7546.155927165814,-101.00729091676398,2281.885627083624,700.886274723013,700.8862747230132,700.886274723013,75,0.0,2281.885627083624,0.3,2024000,700.8862747230132,10,10,0.0
76,10479.013469725964,0.2,-92.62789481974015,10479.013469725964,-92.62789481974015,3158.9312975670205,1002.3575306160288,1002.357530616029,1002.3575306160288,76,0.0,3158.9312975670205,0.2,2048000,1002.357530616029,10,10,0.0
77,-38.809368219314344,0.2,-94.36575029227572,-38.809368219314344,-94.36575029227572,18.093044964392394,-64.3341665974261,-64.3341665974261,-64.3341665974261,77,0.0,18.093044964392394,0.2,2072000,-64.3341665974261,10,10,0.0
78,-49.504416833984926,0.3,-78.76962051658273,-49.504416833984926,-78.76962051658273,9.170069448916976,-65.80941531948048,-65.8094153194805,-65.80941531948048,78,0.0,9.170069448916976,0.3,2096000,-65.8094153194805,10,10,0.0
79,-41.586306688323994,0.3,-102.39442143219087,-41.586306688323994,-102.39442143219087,19.355401755004568,-61.630634056753514,-61.6306340567535,-61.630634056753514,79,0.0,19.355401755004568,0.3,2120000,-61.6306340567535,10,10,0.0
80,-34.94643830993913,0.6,-94.56927107869174,-34.94643830993913,-94.56927107869174,20.240005789415335,-65.70240830502327,-65.70240830502327,-65.70240830502327,80,0.0,20.240005789415335,0.6,2144000,-65.70240830502327,10,10,0.0
81,-43.70947333307494,0.1,-135.42729953813517,-43.70947333307494,-135.42729953813517,25.173467684882155,-65.8562906806593,-65.85629068065933,-65.8562906806593,81,0.0,25.173467684882155,0.1,2168000,-65.85629068065933,10,10,0.0
82,-48.895832316106095,0.4,-80.56480735894299,-48.895832316106095,-80.56480735894299,11.073157359268198,-60.91728837677855,-60.91728837677854,-60.91728837677855,82,0.0,11.073157359268198,0.4,2192000,-60.91728837677854,10,10,0.0
83,-25.201155540808433,0.3,-70.57247580198529,-25.201155540808433,-70.57247580198529,13.874632586083573,-47.97840094041608,-47.97840094041609,-47.97840094041608,83,0.0,13.874632586083573,0.3,2216000,-47.97840094041609,10,10,0.0
84,-18.24116483191764,0.2,-93.80187842952316,-18.24116483191764,-93.80187842952316,24.526978411700288,-52.63815956441598,-52.63815956441597,-52.63815956441598,84,0.0,24.526978411700288,0.2,2240000,-52.63815956441597,10,10,0.0
85,-22.829378059272504,0.1,-71.54118268957544,-22.829378059272504,-71.54118268957544,14.941753188896877,-46.9730035658195,-46.973003565819496,-46.9730035658195,85,0.0,14.941753188896877,0.1,2264000,-46.973003565819496,10,10,0.0
86,-28.565124954579996,0.2,-82.85725977371546,-28.565124954579996,-82.85725977371546,19.53541672075248,-54.84109350046979,-54.841093500469796,-54.84109350046979,86,0.0,19.53541672075248,0.2,2288000,-54.841093500469796,10,10,0.0
87,288.0876931985892,0.1,-62.539883281594825,288.0876931985892,-62.539883281594825,101.23604465606273,-14.018742659291473,-14.018742659291465,-14.018742659291473,87,0.0,101.23604465606273,0.1,2312000,-14.018742659291465,10,10,0.0
88,-20.30082557288542,0.5,-62.72377919523997,-20.30082557288542,-62.72377919523997,14.087343683746187,-39.34498587097456,-39.344985870974554,-39.34498587097456,88,0.0,14.087343683746187,0.5,2336000,-39.344985870974554,10,10,0.0
89,-28.79751576276558,0.2,-72.42474161397718,-28.79751576276558,-72.42474161397718,16.89772739328801,-49.02477985129915,-49.02477985129915,-49.02477985129915,89,0.0,16.89772739328801,0.2,2360000,-49.02477985129915,10,10,0.0
90,3320.4952793073453,0.2,-148.84492103563258,3320.4952793073453,-148.84492103563258,1129.0126736772113,465.78782824580776,465.78782824580765,465.78782824580776,90,0.0,1129.0126736772113,0.2,2384000,465.78782824580765,10,10,0.0
91,-23.936680902504847,0.1,-108.37928050898174,-23.936680902504847,-108.37928050898174,24.283538989863764,-53.605843248831185,-53.605843248831185,-53.605843248831185,91,0.0,24.283538989863764,0.1,2408000,-53.605843248831185,10,10,0.0
92,-22.435025736457558,0.2,-78.40346277276335,-22.435025736457558,-78.40346277276335,16.99380340637751,-46.210647275733,-46.21064727573301,-46.210647275733,92,0.0,16.99380340637751,0.2,2432000,-46.21064727573301,10,10,0.0
93,-19.256155156884073,0.3,-70.63517567355092,-19.256155156884073,-70.63517567355092,16.96678310040936,-47.48498296245675,-47.48498296245674,-47.48498296245675,93,0.0,16.96678310040936,0.3,2456000,-47.48498296245674,10,10,0.0
94,-31.169698627733172,0.0,-87.03114361688947,-31.169698627733172,-87.03114361688947,16.44884408287365,-61.302542392361474,-61.30254239236149,-61.302542392361474,94,0.0,16.44884408287365,0.0,2480000,-61.30254239236149,10,10,0.0
95,1305.786457411473,0.2,-71.30906003019307,1305.786457411473,-71.30906003019307,404.53790178005073,93.15198157379923,93.15198157379918,93.15198157379923,95,0.0,404.53790178005073,0.2,2504000,93.15198157379918,10,10,0.0
96,-27.619887805847096,0.1,-80.53887419848806,-27.619887805847096,-80.53887419848806,19.689985687138893,-49.13010824088406,-49.130108240884056,-49.13010824088406,96,0.0,19.689985687138893,0.1,2528000,-49.130108240884056,10,10,0.0
97,270.7789714040582,0.3,-42.44410064676654,270.7789714040582,-42.44410064676654,91.17002810298743,-2.2160035564072826,-2.2160035564072755,-2.2160035564072826,97,0.0,91.17002810298743,0.3,2552000,-2.2160035564072755,10,10,0.0
98,97894.47674259038,0.5,-84.14245981127698,97894.47674259038,-84.14245981127698,29297.693256712395,10032.256727081478,10032.256727081476,10032.256727081478,98,0.0,29297.693256712395,0.5,2576000,10032.256727081476,10,10,0.0
99,6514.294055282603,0.1,-133.82491355345587,6514.294055282603,-133.82491355345587,1962.8118518582894,708.6459411848668,708.645941184867,708.6459411848668,99,0.0,1962.8118518582894,0.1,2600000,708.645941184867,10,10,0.0
100,2001.7380541597452,0.2,-100.83469398962205,2001.7380541597452,-100.83469398962205,616.5855382335346,153.04360028026733,153.04360028026736,153.04360028026733,100,0.0,616.5855382335346,0.2,2624000,153.04360028026736,10,10,0.0
101,6424.855553483943,0.2,-78.82295198942549,6424.855553483943,-78.82295198942549,1941.652428533378,600.180911358157,600.1809113581569,600.180911358157,101,0.0,1941.652428533378,0.2,2648000,600.1809113581569,10,10,0.0
102,-21.758396467708607,0.2,-152.7447204763573,-21.758396467708607,-152.7447204763573,35.80443680417105,-52.245748707524214,-52.24574870752421,-52.245748707524214,102,0.0,35.80443680417105,0.2,2672000,-52.24574870752421,10,10,0.0
103,-22.693498687549347,0.1,-104.53316936549007,-22.693498687549347,-104.53316936549007,29.19667867165857,-51.113158786594155,-51.113158786594155,-51.113158786594155,103,0.0,29.19667867165857,0.1,2696000,-51.113158786594155,10,10,0.0
104,66116.90028822469,0.2,-92.05600077681179,66116.90028822469,-92.05600077681179,19728.849204760936,7232.531931295646,7232.53193129564,7232.531931295646,104,0.0,19728.849204760936,0.2,2720000,7232.53193129564,10,10,0.0
105,-25.705398699517552,0.2,-97.44842666632503,-25.705398699517552,-97.44842666632503,22.617933924409197,-51.150643360974605,-51.150643360974605,-51.150643360974605,105,0.0,22.617933924409197,0.2,2744000,-51.150643360974605,10,10,0.0
106,5268.057946258984,0.1,-107.45929706441866,5268.057946258984,-107.45929706441866,1596.4782399588478,479.1456877921868,479.1456877921868,479.1456877921868,106,0.0,1596.4782399588478,0.1,2768000,479.1456877921868,10,10,0.0
107,114933.98697393927,0.4,-94.84641628672541,114933.98697393927,-94.84641628672541,34495.065508205786,11448.80771719254,11448.807717192534,11448.80771719254,107,0.0,34495.065508205786,0.4,2792000,11448.807717192534,10,10,0.0
108,-33.28939490865052,0.1,-88.32154402877244,-33.28939490865052,-88.32154402877244,18.80394242580084,-59.136443541956794,-59.136443541956794,-59.136443541956794,108,0.0,18.80394242580084,0.1,2816000,-59.136443541956794,10,10,0.0
109,18051.877153023855,0.0,-75.71354943791778,18051.877153023855,-75.71354943791778,5434.3021578371,1748.9857585455302,1748.9857585455309,1748.9857585455302,109,0.0,5434.3021578371,0.0,2840000,1748.9857585455309,10,10,0.0
110,23198.145480700157,0.0,-79.1072366199794,23198.145480700157,-79.1072366199794,6975.106045571785,2272.865968245694,2272.8659682456946,2272.865968245694,110,0.0,6975.106045571785,0.0,2864000,2272.8659682456946,10,10,0.0
111,-44.52528162057938,0.0,-99.5880683713296,-44.52528162057938,-99.5880683713296,15.881329565682073,-86.13962496602751,-86.13962496602748,-86.13962496602751,111,0.0,15.881329565682073,0.0,2888000,-86.13962496602748,10,10,0.0
112,-52.81458818844357,0.0,-94.92155597910127,-52.81458818844357,-94.92155597910127,11.982614503092988,-73.76178475133486,-73.76178475133484,-73.76178475133486,112,0.0,11.982614503092988,0.0,2912000,-73.76178475133484,10,10,0.0
113,-23.891121635387943,0.2,-129.22448671426264,-23.891121635387943,-129.22448671426264,31.923480735580785,-49.015418608356285,-49.01541860835629,-49.015418608356285,113,0.0,31.923480735580785,0.2,2936000,-49.01541860835629,10,10,0.0
114,107854.41244607314,0.1,-84.63390138880251,107854.41244607314,-84.63390138880251,32373.93047830223,10732.640940426874,10732.64094042687,10732.640940426874,114,0.0,32373.93047830223,0.1,2960000,10732.64094042687,10,10,0.0
115,167765.15301536588,0.2,-87.92006461874777,167765.15301536588,-87.92006461874777,49726.024894995906,19821.056988144952,19821.056988144963,19821.056988144952,115,0.0,49726.024894995906,0.2,2984000,19821.056988144963,10,10,0.0
