MetaTrain/Average/PolicyLoss,MetaTest/peg-unplug-side-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/peg-unplug-side-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/Average/Iteration,MetaTest/peg-unplug-side-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/peg-unplug-side-v1/StdReturn
175.09932,10,-23.15181004850438,-28.386587843991187,0.0,-28.386587843991187,0.0,0.028914578,10,-23.15181004850438,-19.68608957695071,464000,0.0,0.003796839,-19.68608957695071,-23.15181004850438,2.4726779619336994,10,10,0.0,7.642701,18.448355,-23.15181004850438,2.4726779619336994
175.77655,11,-22.00150062891458,-30.737216038688654,0.0,-30.737216038688654,0.0,0.02662028,10,-22.001500628914577,-17.11576413953048,488000,0.0,0.0014114666,-17.11576413953048,-22.00150062891458,3.9097840771198613,10,11,0.0,7.6362734,18.13448,-22.001500628914577,3.9097840771198613
175.77403,12,-20.235996686712337,-26.80494309263248,0.0,-26.80494309263248,0.0,0.024185902,10,-20.235996686712333,-16.180598304641865,512000,0.0,0.0012655321,-16.180598304641865,-20.235996686712337,3.1424017994465223,10,12,0.0,7.6392403,17.70427,-20.235996686712333,3.1424017994465223
175.51648,13,-21.730554605943922,-27.11385667126813,0.0,-27.11385667126813,0.0,0.023551196,10,-21.730554605943922,-17.583869237073944,536000,0.0,0.00046246647,-17.583869237073944,-21.730554605943922,2.9611304694133165,10,13,0.0,7.626335,17.306242,-21.730554605943922,2.9611304694133165
175.35481,14,-21.68235820887874,-23.8282971000336,0.0,-23.8282971000336,0.0,0.022934034,10,-21.682358208878735,-16.20299565447789,560000,0.0,0.00034607595,-16.20299565447789,-21.68235820887874,2.487377355111192,10,14,0.0,7.638855,17.063671,-21.682358208878735,2.487377355111192
174.40671,15,-20.918452366126395,-24.93044701422406,0.0,-24.93044701422406,0.0,0.022538433,10,-20.918452366126406,-16.204664825079558,584000,0.0,0.0001355877,-16.204664825079558,-20.918452366126395,3.1202776465211244,10,15,0.0,7.6302404,16.815464,-20.918452366126406,3.1202776465211244
172.3647,16,-19.841241995038292,-22.32108067988556,0.0,-22.32108067988556,0.0,0.021664178,10,-19.84124199503829,-16.750569597535325,608000,0.0,0.000583506,-16.750569597535325,-19.841241995038292,2.196335414568199,10,16,0.0,7.6324763,16.408743,-19.84124199503829,2.196335414568199
170.39587,17,-22.03144794492868,-25.97750664427654,0.0,-25.97750664427654,0.0,0.021299751,10,-22.03144794492868,-17.738244878841737,632000,0.0,-0.00020411289,-17.738244878841737,-22.03144794492868,2.6117553926733876,10,17,0.0,7.642387,16.104025,-22.03144794492868,2.6117553926733876
167.0655,18,-20.58722210310082,-23.60522480514652,0.0,-23.60522480514652,0.0,0.020962125,10,-20.58722210310082,-18.712726672554187,656000,0.0,0.000987368,-18.712726672554187,-20.58722210310082,1.6139803639192989,10,18,0.0,7.6292434,15.144477,-20.58722210310082,1.6139803639192989
164.59927,19,-20.489227957809707,-23.94563915613124,0.0,-23.94563915613124,0.0,0.019965775,10,-20.489227957809714,-15.400255005964143,680000,0.0,0.00035376876,-15.400255005964143,-20.489227957809707,2.438574466793522,10,19,0.0,7.62533,14.613077,-20.489227957809714,2.438574466793522
162.13864,20,-19.89915748232348,-22.47740466038496,0.0,-22.47740466038496,0.0,0.019167896,10,-19.89915748232348,-16.528624550269484,704000,0.0,0.00015740392,-16.528624550269484,-19.89915748232348,1.9710741319905936,10,20,0.0,7.625927,14.26566,-19.89915748232348,1.9710741319905936
159.43347,21,-20.72188762282941,-25.12278447514615,0.0,-25.12278447514615,0.0,0.018645216,10,-20.72188762282941,-17.872830520078065,728000,0.0,0.00095865596,-17.872830520078065,-20.72188762282941,1.862122659512972,10,21,0.0,7.6321697,13.776688,-20.72188762282941,1.862122659512972
157.04597,22,-19.795616022593418,-22.819064509119766,0.0,-22.819064509119766,0.0,0.017406067,10,-19.795616022593414,-17.91543011888907,752000,0.0,0.0004983948,-17.91543011888907,-19.795616022593418,1.3531602350143472,10,22,0.0,7.6258836,13.1261425,-19.795616022593414,1.3531602350143472
155.0547,23,-20.31517143441213,-22.327930573265967,0.0,-22.327930573265967,0.0,0.016651357,10,-20.315171434412125,-17.76683067896618,776000,0.0,0.00028143873,-17.76683067896618,-20.31517143441213,1.2838381268939751,10,23,0.0,7.625682,12.693607,-20.315171434412125,1.2838381268939751
153.24123,24,-19.614635598433004,-21.02610684675248,0.0,-21.02610684675248,0.0,0.016006183,10,-19.614635598433008,-18.51249156019099,800000,0.0,0.0007551283,-18.51249156019099,-19.614635598433004,0.7258856091410061,10,24,0.0,7.6276193,12.284819,-19.614635598433008,0.7258856091410061
151.52719,25,-19.393274884295955,-21.672723492160966,0.0,-21.672723492160966,0.0,0.01517334,10,-19.393274884295955,-18.3064792321348,824000,0.0,0.0005810104,-18.3064792321348,-19.393274884295955,0.9842580516984266,10,25,0.0,7.6260147,12.056318,-19.393274884295955,0.9842580516984266
149.63374,26,-18.59210947014889,-21.991900084966588,0.0,-21.991900084966588,0.0,0.015064064,10,-18.592109470148888,-15.842157668530763,848000,0.0,-0.00039905892,-15.842157668530763,-18.59210947014889,1.7843188858045609,10,26,0.0,7.6250196,11.757905,-18.592109470148888,1.7843188858045609
147.32431,27,-18.226015113374935,-20.641630001849954,0.0,-20.641630001849954,0.0,0.015810078,10,-18.226015113374935,-16.958189668815464,872000,0.0,-0.0007739279,-16.958189668815464,-18.226015113374935,1.0825953997653428,10,27,0.0,7.6292863,11.247852,-18.226015113374935,1.0825953997653428
145.40134,28,-17.845857815297745,-19.08229316554896,0.0,-19.08229316554896,0.0,0.017792992,10,-17.845857815297745,-16.955554724186243,896000,0.0,-0.0017436456,-16.955554724186243,-17.845857815297745,0.6820334394079894,10,28,0.0,7.6254325,11.052505,-17.845857815297745,0.6820334394079894
143.45578,29,-18.041366974606092,-20.957159050617104,0.0,-20.957159050617104,0.0,0.020236438,10,-18.041366974606092,-16.236426178602073,920000,0.0,-0.0011014863,-16.236426178602073,-18.041366974606092,1.2768877932745994,10,29,0.0,7.6247344,10.918749,-18.041366974606092,1.2768877932745994
141.2709,30,-17.95278124297668,-20.572632398850363,0.0,-20.572632398850363,0.0,0.020337246,10,-17.95278124297668,-16.462731605941194,944000,0.0,0.00058577635,-16.462731605941194,-17.95278124297668,1.5622893537349356,10,30,0.0,7.624686,10.805842,-17.95278124297668,1.5622893537349356
139.26762,31,-18.557825814572286,-20.253254974782017,0.0,-20.253254974782017,0.0,0.02081594,10,-18.557825814572286,-16.459919210949206,968000,0.0,-0.00019289169,-16.459919210949206,-18.557825814572286,1.1513605993665692,10,31,0.0,7.6251698,10.769265,-18.557825814572286,1.1513605993665692
137.40381,32,-17.59714978952809,-18.614224367183144,0.0,-18.614224367183144,0.0,0.02014839,10,-17.597149789528082,-16.271967301302656,992000,0.0,0.00066169805,-16.271967301302656,-17.59714978952809,0.7311547906314175,10,32,0.0,7.624767,10.491552,-17.597149789528082,0.7311547906314175
135.12611,33,-17.787269231559236,-19.022336857633768,0.0,-19.022336857633768,0.0,0.01990798,10,-17.78726923155923,-15.958048849048566,1016000,0.0,-0.0003661544,-15.958048849048566,-17.787269231559236,0.95263728651154,10,33,0.0,7.6247206,10.212459,-17.78726923155923,0.95263728651154
133.27486,34,-17.542047986912795,-19.98584649334264,0.0,-19.98584649334264,0.0,0.020349707,10,-17.542047986912795,-15.766062979950519,1040000,0.0,1.1669234e-05,-15.766062979950519,-17.542047986912795,1.2815595173818466,10,34,0.0,7.625228,10.235184,-17.542047986912795,1.2815595173818466
131.40697,35,-19.782603492769894,-22.575807020086266,0.0,-22.575807020086266,0.0,0.020375425,10,-19.78260349276989,-17.225584110753285,1064000,0.0,-0.0004578932,-17.225584110753285,-19.782603492769894,1.4940819828920586,10,35,0.0,7.624695,10.005885,-19.78260349276989,1.4940819828920586
129.67697,36,-17.39815792187045,-18.849208163419867,0.0,-18.849208163419867,0.0,0.020616975,10,-17.398157921870443,-15.611383139381275,1088000,0.0,0.00028670728,-15.611383139381275,-17.39815792187045,0.91814043287766,10,36,0.0,7.6257267,10.1583805,-17.398157921870443,0.91814043287766
128.4889,37,-17.545281441329042,-19.009253395155806,0.0,-19.009253395155806,0.0,0.020535426,10,-17.545281441329045,-16.589886063316033,1112000,0.0,0.00026493304,-16.589886063316033,-17.545281441329042,0.6359802656857609,10,37,0.0,7.6253853,10.084662,-17.545281441329045,0.6359802656857609
127.53608,38,-17.658511442767175,-18.850138798340897,0.0,-18.850138798340897,0.0,0.020912992,10,-17.65851144276717,-17.07562595938132,1136000,0.0,-0.0008818998,-17.07562595938132,-17.658511442767175,0.5738121042215285,10,38,0.0,7.625225,10.221559,-17.65851144276717,0.5738121042215285
126.46615,39,-18.778242865305316,-20.128571037913265,0.0,-20.128571037913265,0.0,0.022807725,10,-18.778242865305316,-17.655507085778815,1160000,0.0,-0.00041541088,-17.655507085778815,-18.778242865305316,0.7459423405687996,10,39,0.0,7.62469,10.383897,-18.778242865305316,0.7459423405687996
125.34961,40,-17.8572930659372,-19.63371511672214,0.0,-19.63371511672214,0.0,0.021353738,10,-17.857293065937196,-16.659334438736895,1184000,0.0,0.00056993554,-16.659334438736895,-17.8572930659372,0.9512519794873975,10,40,0.0,7.624632,10.32801,-17.857293065937196,0.9512519794873975
124.60203,41,-17.845435954538658,-18.51708538719276,0.0,-18.51708538719276,0.0,0.021785334,10,-17.845435954538654,-17.199741486863424,1208000,0.0,9.782017e-06,-17.199741486863424,-17.845435954538658,0.40100383541261797,10,41,0.0,7.624632,10.628137,-17.845435954538654,0.40100383541261797
123.9842,42,-18.125738325907847,-19.9801897258225,0.0,-19.9801897258225,0.0,0.023165608,10,-18.12573832590785,-17.054783617378476,1232000,0.0,-0.0013346346,-17.054783617378476,-18.125738325907847,0.8156311331459261,10,42,0.0,7.624632,10.889017,-18.12573832590785,0.8156311331459261
123.23033,43,-18.201178418336994,-21.713255987229374,0.0,-21.713255987229374,0.0,0.024499005,10,-18.201178418336994,-17.243228340327207,1256000,0.0,-0.0015306892,-17.243228340327207,-18.201178418336994,1.4258143361484608,10,43,0.0,7.624632,11.402413,-18.201178418336994,1.4258143361484608
122.519905,44,-18.405210750123985,-20.70105648967306,0.0,-20.70105648967306,0.0,0.02411564,10,-18.405210750123977,-17.18289092730285,1280000,0.0,0.00072564086,-17.18289092730285,-18.405210750123985,1.0097681757356005,10,44,0.0,7.624632,11.41256,-18.405210750123977,1.0097681757356005
121.82367,45,-19.2274210148878,-21.899917396110563,0.0,-21.899917396110563,0.0,0.024185548,10,-19.2274210148878,-17.901887117486886,1304000,0.0,0.0009981337,-17.901887117486886,-19.2274210148878,1.1353158376527295,10,45,0.0,7.624632,11.595165,-19.2274210148878,1.1353158376527295
121.2845,46,-18.37816305085286,-19.06709711133184,0.0,-19.06709711133184,0.0,0.023556927,10,-18.378163050852862,-17.640657148282056,1328000,0.0,-0.0007309963,-17.640657148282056,-18.37816305085286,0.443612961035516,10,46,0.0,7.624632,11.475477,-18.378163050852862,0.443612961035516
120.54446,47,-17.641160397021405,-19.13907619068648,0.0,-19.13907619068648,0.0,0.023884952,10,-17.641160397021405,-16.769672090861913,1352000,0.0,0.00078459666,-16.769672090861913,-17.641160397021405,0.6980853037672962,10,47,0.0,7.624632,11.79787,-17.641160397021405,0.6980853037672962
120.146965,48,-18.090563261960067,-23.90619919255235,0.0,-23.90619919255235,0.0,0.023517556,10,-18.090563261960064,-16.251414136100685,1376000,0.0,0.00027415997,-16.251414136100685,-18.090563261960067,2.177481663335067,10,48,0.0,7.624632,11.705843,-18.090563261960064,2.177481663335067
119.14045,49,-17.48792684987529,-19.68379308972785,0.0,-19.68379308972785,0.0,0.022866383,10,-17.487926849875294,-16.64665829933242,1400000,0.0,0.00028631956,-16.64665829933242,-17.48792684987529,0.8618884669193553,10,49,0.0,7.624632,11.597555,-17.487926849875294,0.8618884669193553
