MetaTrain/Average/PolicyLoss,MetaTest/peg-unplug-side-v1/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/peg-unplug-side-v1/MinReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,MetaTest/peg-unplug-side-v1/TerminationRate,MetaTrain/Average/Alpha,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,MetaTest/peg-unplug-side-v1/MaxReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/MaxReturn,MetaTest/peg-unplug-side-v1/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/peg-unplug-side-v1/NumEpisodes,MetaTest/Average/Iteration,MetaTest/peg-unplug-side-v1/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/QfLoss,MetaTest/peg-unplug-side-v1/AverageReturn,MetaTest/peg-unplug-side-v1/StdReturn
11.363546,0,-34.55850626387302,-42.37519353727149,0.0,-42.37519353727149,0.0,0.7666169,10,-34.55850626387303,-26.40373734263987,224000,0.0,5.1489773,-26.40373734263987,-34.55850626387302,5.4353049754957965,10,0,0.0,8.804689,2.3162658,-34.55850626387303,5.4353049754957965
47.510635,1,-30.71500237688815,-33.11454500004279,0.0,-33.11454500004279,0.0,0.45454842,10,-30.71500237688815,-28.618613740788895,248000,0.0,2.9429479,-28.618613740788895,-30.71500237688815,1.2268759982133852,10,1,0.0,7.797522,5.9238477,-30.71500237688815,1.2268759982133852
84.04836,2,-24.801489159897404,-31.24273029319121,0.0,-31.24273029319121,0.0,0.2757866,10,-24.801489159897393,-19.961205536724705,272000,0.0,1.5770657,-19.961205536724705,-24.801489159897404,2.8208611585978103,10,2,0.0,7.7326145,9.899397,-24.801489159897393,2.8208611585978103
112.91841,3,-24.583214264903415,-29.4729680180718,0.0,-29.4729680180718,0.0,0.16984841,10,-24.58321426490343,-21.201063166009614,296000,0.0,0.7795321,-21.201063166009614,-24.583214264903415,2.4905070209399907,10,3,0.0,7.67763,13.736438,-24.58321426490343,2.4905070209399907
133.71431,4,-23.949344282889346,-30.673403952805494,0.0,-30.673403952805494,0.0,0.10641049,10,-23.94934428288934,-20.090265395910343,320000,0.0,0.34883937,-20.090265395910343,-23.949344282889346,3.124819312378599,10,4,0.0,7.682557,16.58503,-23.94934428288934,3.124819312378599
148.28432,5,-22.401320902701436,-26.745856287218867,0.0,-26.745856287218867,0.0,0.06799719,10,-22.40132090270144,-19.727718021269915,344000,0.0,0.14161517,-19.727718021269915,-22.401320902701436,2.0500266077968203,10,5,0.0,7.6994777,18.529964,-22.40132090270144,2.0500266077968203
158.2556,6,-27.185597376859526,-32.159509226712125,0.0,-32.159509226712125,0.0,0.044844337,10,-27.185597376859526,-19.232156568125994,368000,0.0,0.047947045,-19.232156568125994,-27.185597376859526,3.680987488046146,10,6,0.0,7.64046,18.94406,-27.185597376859526,3.680987488046146
164.9566,7,-25.242180463721716,-32.567772709571415,0.0,-32.567772709571415,0.0,0.031769756,10,-25.24218046372172,-18.62755866399915,392000,0.0,0.011954971,-18.62755866399915,-25.242180463721716,3.8343495536708967,10,7,0.0,7.6585097,19.415644,-25.24218046372172,3.8343495536708967
170.7695,8,-21.84360204588458,-29.384912147178948,0.0,-29.384912147178948,0.0,0.028349986,10,-21.843602045884573,-16.727105979193816,416000,0.0,-0.0005341188,-16.727105979193816,-21.84360204588458,3.6780702587037095,10,8,0.0,7.6417255,19.184118,-21.843602045884573,3.6780702587037095
174.46202,9,-23.125140712554295,-26.372379757240328,0.0,-26.372379757240328,0.0,0.031295877,10,-23.125140712554305,-17.80034032705756,440000,0.0,-0.0019354454,-17.80034032705756,-23.125140712554295,2.6188021904007126,10,9,0.0,7.6495886,19.191984,-23.125140712554305,2.6188021904007126
