Average/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/NumEpisodes,Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/Average/TerminationRate,Average/StdReturn,MetaTest/Average/NumEpisodes,GaussianMLPPolicy/KLAfter,TotalEnvSteps,Average/AverageReturn,reach-v1/MinReturn,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,Average/Iteration,MetaTest/Average/Iteration,MetaTest/reach-v1/MinReturn,MetaTest/Average/AverageReturn,Average/TerminationRate,GaussianMLPPolicy/Entropy,reach-v1/Iteration,reach-v1/MaxReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,MetaTest/Average/StdReturn,MetaTest/reach-v1/MaxReturn,Average/MaxReturn,MetaTest/Average/MaxReturn,reach-v1/TerminationRate,GaussianMLPPolicy/KLBefore,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/reach-v1/StdReturn,Average/SuccessRate,MetaTest/Average/SuccessRate,reach-v1/AverageDiscountedReturn,reach-v1/NumEpisodes,MetaTest/reach-v1/AverageReturn,MetaTest/reach-v1/Iteration,Iteration,reach-v1/AverageReturn,reach-v1/StdReturn,MetaTest/reach-v1/SuccessRate,MetaTest/Average/AverageDiscountedReturn,reach-v1/SuccessRate
4267.518945700347,,,200,,,29515.937309506327,,1.3080918506602757e-05,1840000,52536.205353469064,4267.518945700347,1.0475957878952613e-06,1.0290522141076508e-06,22,,,,0.0,5.6797404289245605,22,146208.18813864578,18822.955701044564,1.8543573787610512e-08,,,146208.18813864578,,0.0,0.0,,,0.11,,18822.955701044564,200,,,22,52536.205353469064,29515.937309506327,,,0.11
6465.434127053259,,,200,,,29266.65742407767,,8.643696673971135e-06,1920000,53801.964683783735,6465.434127053259,5.597494237008505e-07,5.47494096281298e-07,23,,,,0.0,5.68033504486084,23,150952.4979950049,19314.163311075623,1.2255327419552486e-08,,,150952.4979950049,,0.0,0.0,,,0.135,,19314.163311075623,200,,,23,53801.964683783735,29266.65742407767,,,0.135
3913.7897917353134,,,200,,,29935.052704917987,,8.795994290267117e-06,2000000,49459.81885615932,3913.7897917353134,1.4640576750934997e-07,1.3393317033205676e-07,24,,,,0.0,5.680483818054199,24,162289.25340595027,18057.00687574421,1.247259717729321e-08,,,162289.25340595027,,0.0,0.0,,,0.11,,18057.00687574421,200,,,24,49459.81885615932,29935.052704917987,,,0.11
8251.174032412173,,,200,,,30842.06960722154,,7.9986957643996e-06,2080000,57877.79187613303,8251.174032412173,-1.0395085610070964e-06,-1.0508408649911871e-06,25,,,,0.0,5.67928409576416,25,151836.8742075991,20642.164440556502,1.1332303984090686e-08,,,151836.8742075991,,0.0,0.0,,,0.15,,20642.164440556502,200,,,25,57877.79187613303,30842.06960722154,,,0.15
7042.719804825612,,,200,,,27329.041759776035,,1.1995112799922936e-05,2160000,51499.465528683504,7042.719804825612,-2.2359817819506134e-07,-2.4060511805146234e-07,26,,,,0.0,5.6790595054626465,26,133510.66642231165,18917.888848440507,1.7006939856401004e-08,,,133510.66642231165,,0.0,0.0,,,0.115,,18917.888848440507,200,,,26,51499.465528683504,27329.041759776035,,,0.115
7018.211263451728,,,200,,,33187.25894104362,,7.666754754609428e-06,2240000,58819.34315849479,7018.211263451728,-2.343050908848454e-07,-2.4517507313248643e-07,27,,,,0.0,5.678809642791748,27,151617.0141000018,20896.317141767,1.0869982247641019e-08,,,151617.0141000018,,0.0,0.0,,,0.135,,20896.317141767,200,,,27,58819.34315849479,33187.25894104362,,,0.135
7928.166789624947,,,200,,,30583.618741539463,,6.6385409809299745e-06,2320000,54081.049193824234,7928.166789624947,-8.855427040543873e-07,-8.949646144174039e-07,28,,,,0.0,5.677881717681885,28,195491.98293250983,19805.858981590645,9.42191036301665e-09,,,195491.98293250983,,0.0,0.0,,,0.125,,19805.858981590645,200,,,28,54081.049193824234,30583.618741539463,,,0.125
9869.782747529644,,,200,,,32018.53498926557,,6.616029622819042e-06,2400000,53219.1571615629,9869.782747529644,-1.2308116765780142e-06,-1.2401928870531265e-06,29,,,,0.0,5.676525592803955,29,182303.06127536925,19116.925248263175,9.381210475112312e-09,,,182303.06127536925,,0.0,0.0,,,0.115,,19116.925248263175,200,,,29,53219.1571615629,32018.53498926557,,,0.115
8250.451411381317,0.0,50,200,12926.566662294586,0.0,28502.581174978684,50,6.975117230467731e-06,2480000,55630.15568898015,8250.451411381317,-3.698410182551015e-07,-3.797351268985949e-07,30,3,12926.566662294586,62356.801536521,0.0,5.6761345863342285,30,151012.3748894409,20430.339774282067,9.894108643493382e-09,34339.39452904822,156831.26513533716,151012.3748894409,156831.26513533716,0.0,0.0,62356.80153652098,34339.39452904822,0.105,0.16,20430.339774282067,200,62356.801536521,3,30,55630.15568898015,28502.581174978684,0.16,62356.80153652098,0.105
6466.261976251321,,,200,,,30511.458428501068,,4.398998498800211e-06,2560000,58763.959344755596,6466.261976251321,-1.752914329244959e-07,-1.8149229674691014e-07,31,,,,0.0,5.6759562492370605,31,177200.2930030777,21148.109160897733,6.200863822414249e-09,,,177200.2930030777,,0.0,0.0,,,0.14,,21148.109160897733,200,,,31,58763.959344755596,30511.458428501068,,,0.14
5409.274203920629,,,200,,,32711.55462197785,,6.663733074674383e-06,2640000,58334.25627682479,5409.274203920629,-1.1318238790636315e-07,-1.226254653374781e-07,32,,,,0.0,5.6758341789245605,32,163134.89214387734,20890.183747679697,9.443077431114943e-09,,,163134.89214387734,,0.0,0.0,,,0.17,,20890.183747679697,200,,,32,58334.25627682479,32711.55462197785,,,0.17
4730.46518723752,,,200,,,29054.331824861216,,8.764049198362045e-06,2720000,55488.66256342354,4730.46518723752,2.71268163487548e-07,2.588420215943188e-07,33,,,,0.0,5.676124572753906,33,157436.1778049502,19952.38958893128,1.2426141893229214e-08,,,157436.1778049502,,0.0,0.0,,,0.1,,19952.38958893128,200,,,33,55488.66256342354,29054.331824861216,,,0.1
3571.1151150713536,,,200,,,32581.31961015151,,2.395002638877486e-06,2800000,62465.1106776382,3571.1151150713536,3.6218528975950903e-07,3.587924197745451e-07,34,,,,0.0,5.676508903503418,34,171130.75280040372,22472.564745328884,3.3928699849639088e-09,,,171130.75280040372,,0.0,0.0,,,0.16,,22472.564745328884,200,,,34,62465.1106776382,32581.31961015151,,,0.16
6206.089422610743,,,200,,,34039.41201042911,,9.314688213635236e-06,2880000,59956.33401057218,6206.089422610743,-1.652414383102041e-08,-2.971045276467521e-08,35,,,,0.0,5.676490783691406,35,175024.4319959558,21691.406947760097,1.31863089336548e-08,,,175024.4319959558,,0.0,0.0,,,0.175,,21691.406947760097,200,,,35,59956.33401057218,34039.41201042911,,,0.175
5671.671943349076,,,200,,,34772.312998182315,,3.2104157980938908e-06,2960000,65464.537194222634,5671.671943349076,-4.0702175851947686e-07,-4.115740068755258e-07,36,,,,0.0,5.676045894622803,36,181100.1880327149,23042.28472651242,4.552248356048949e-09,,,181100.1880327149,,0.0,0.0,,,0.23,,23042.28472651242,200,,,36,65464.537194222634,34772.312998182315,,,0.23
3942.6295169524615,,,200,,,29106.916350615797,,4.55043800684507e-06,3040000,57223.805743286706,3942.6295169524615,-4.5709197138421587e-07,-4.6354125515790656e-07,37,,,,0.0,5.675559997558594,37,135491.2738612094,20683.077453355338,6.449283773690695e-09,,,135491.2738612094,,0.0,0.0,,,0.14,,20683.077453355338,200,,,37,57223.805743286706,29106.916350615797,,,0.14
7130.454375829467,,,200,,,29433.116988415833,,5.642004907713272e-06,3120000,59886.763516345105,7130.454375829467,-2.4888782945708954e-07,-2.569146602127148e-07,38,,,,0.0,5.675300598144531,38,139670.13701590794,20927.204369756255,8.02683075562527e-09,,,139670.13701590794,,0.0,0.0,,,0.185,,20927.204369756255,200,,,38,59886.763516345105,29433.116988415833,,,0.185
