dial-turn-v1/StdReturn,dial-turn-v1/NumEpisodes,Average/AverageReturn,MetaTest/Average/Iteration,Average/AverageDiscountedReturn,dial-turn-v1/MinReturn,MetaTest/Average/StdReturn,dial-turn-v1/Iteration,MetaTest/Average/TerminationRate,policy/KLBefore,dial-turn-v1/AverageDiscountedReturn,MetaTest/Average/MinReturn,Average/MaxReturn,MetaTest/dial-turn-v1/SuccessRate,policy/KL,MetaTest/Average/NumEpisodes,MetaTest/dial-turn-v1/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,Average/MinReturn,Average/NumEpisodes,dial-turn-v1/SuccessRate,policy/LossAfter,TotalEnvSteps,dial-turn-v1/TerminationRate,Average/StdReturn,dial-turn-v1/MaxReturn,Average/Iteration,policy/dLoss,policy/Entropy,MetaTest/dial-turn-v1/Iteration,policy/LossBefore,LinearFeatureBaseline/ExplainedVariance,dial-turn-v1/AverageReturn,MetaTest/Average/MaxReturn,Average/SuccessRate,MetaTest/dial-turn-v1/MinReturn,MetaTest/Average/AverageReturn,MetaTest/dial-turn-v1/AverageDiscountedReturn,MetaTest/dial-turn-v1/NumEpisodes,MetaTest/dial-turn-v1/AverageReturn,MetaTest/dial-turn-v1/StdReturn,MetaTest/dial-turn-v1/MaxReturn
10.741423897999269,100,-60.340021800174924,0,-22.722798942997375,-83.5594547676684,6.667467768447345,0,0.0,0.0,-22.722798942997375,-73.23347293422805,-36.32563931055501,0.0,0.008194832,10,0.0,0.0,0.0,-61.39165109673652,-83.5594547676684,100,0.0,-0.043640178,20000,0.0,10.741423897999269,-36.32563931055501,0,0.03007801,5.6887307,0,-0.013562167,0.46281518234349706,-60.340021800174924,-47.686275634138354,0.0,-73.23347293422805,-61.39165109673652,-61.39165109673652,10,-61.39165109673652,6.667467768447345,-47.686275634138354
11.520490572393678,100,-47.92888183089852,,-18.734342172420984,-72.93435133926025,,1,,0.0,-18.734342172420984,,-21.0656243851059,,0.022247251,,,,0.0,,-72.93435133926025,100,0.0,-0.038787805,40000,0.0,11.520490572393678,-21.0656243851059,1,0.021973018,5.6842647,,-0.016814787,0.5756867736316633,-47.92888183089852,,0.0,,,,,,,
138.75342396747493,100,-8.462653896582268,,-7.768520192464267,-55.27258690466056,,2,,0.0,-7.768520192464267,,1022.015115744177,,0.011944292,,,,0.0,,-55.27258690466056,100,0.08,-0.0428094,60000,0.0,138.75342396747493,1022.015115744177,2,0.17687832,5.6673193,,0.13406892,0.14083071396666702,-8.462653896582268,,0.08,,,,,,,
619.5168944014476,100,50.94938093160921,,4.543143578003418,-46.8816464758997,,3,,0.0,4.543143578003418,,6116.778724781613,,0.00592957,,,,0.0,,-46.8816464758997,100,0.12,-0.4963789,80000,0.0,619.5168944014476,6116.778724781613,3,0.72776985,5.644651,,0.23139094,0.24778063673728234,50.94938093160921,,0.12,,,,,,,
391.9943704562463,100,39.996363406214556,,6.50998624421168,-54.81347183020636,,4,,0.0,6.50998624421168,,2927.6672376711485,,0.008589139,,,,0.0,,-54.81347183020636,100,0.21,-0.49446505,100000,0.0,391.9943704562463,2927.6672376711485,4,0.44179475,5.6439943,,-0.05267031,0.08969396260745544,39.996363406214556,,0.21,,,,,,,
986.1277379844238,100,80.07791380687196,,4.810589998285106,-46.256479776568646,,5,,0.0,4.810589998285106,,9879.293648937892,,0.009376085,,,,0.0,,-46.256479776568646,100,0.19,-1.2797352,120000,0.0,986.1277379844238,9879.293648937892,5,0.8276325,5.636869,,-0.45210272,0.06734285745062618,80.07791380687196,,0.19,,,,,,,
2424.7484674053962,100,216.85382411350434,,23.401852284402167,-51.62483539935877,,6,,0.0,23.401852284402167,,24342.640280412903,,0.0064009703,,,,0.0,,-51.62483539935877,100,0.14,-3.5427985,140000,0.0,2424.7484674053962,24342.640280412903,6,2.208736,5.6399584,,-1.3340625,0.2609350190444475,216.85382411350434,,0.14,,,,,,,
1528.713133502885,100,165.8339666726831,,34.71017626991068,-54.847156102891944,,7,,0.0,34.71017626991068,,15044.658686008823,,0.008607205,,,,0.0,,-54.847156102891944,100,0.1,0.96848476,160000,0.0,1528.713133502885,15044.658686008823,7,1.1555718,5.630679,,2.1240566,0.12007939871586126,165.8339666726831,,0.1,,,,,,,
1599.742208107449,100,135.76792025078473,,11.211651833548501,-39.54312227795743,,8,,0.0,11.211651833548501,,16052.906996776792,,0.014210184,,,,0.0,,-39.54312227795743,100,0.13,-0.66842204,180000,0.0,1599.742208107449,16052.906996776792,8,1.347471,5.6319118,,0.679049,0.15458207804499158,135.76792025078473,,0.13,,,,,,,
325.34590231448726,100,20.166952977881284,,-1.818356503893402,-36.411433228811106,,9,,0.0,-1.818356503893402,,3070.0670392539587,,0.009013013,,,,0.0,,-36.411433228811106,100,0.25,-0.23162574,200000,0.0,325.34590231448726,3070.0670392539587,9,0.16330534,5.6369705,,-0.068320386,0.0752846693944278,20.166952977881284,,0.25,,,,,,,
534.1092305515942,100,44.93846288966835,1,3.5235948430185853,-41.64500474058936,13.073086991703788,10,0.0,0.0,3.5235948430185853,-37.93933104964805,5111.991955681274,0.1,0.0095256,10,0.0,0.1,0.0,-18.68558265888073,-41.64500474058936,100,0.12,-0.38558593,220000,0.0,534.1092305515942,5111.991955681274,10,0.50177634,5.6383986,1,0.116190426,0.09465760416373936,44.93846288966835,13.043931239710533,0.12,-37.93933104964805,-18.685582658880726,-18.68558265888073,10,-18.685582658880726,13.073086991703788,13.043931239710533
