Average/AverageReturn,push-v1/MinReturn,GaussianMLPPolicy/Entropy,Iteration,MetaTest/Average/AverageDiscountedReturn,push-v1/Iteration,Average/MinReturn,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/push-v1/MaxReturn,MetaTest/push-v1/Iteration,GaussianMLPPolicy/dLoss,push-v1/AverageReturn,push-v1/StdReturn,push-v1/SuccessRate,Average/MaxReturn,MetaTest/push-v1/TerminationRate,Average/StdReturn,MetaTest/push-v1/MinReturn,GaussianMLPPolicy/LossAfter,MetaTest/push-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/TerminationRate,Average/NumEpisodes,MetaTest/Average/Iteration,push-v1/NumEpisodes,push-v1/MaxReturn,GaussianMLPPolicy/KLBefore,GaussianMLPPolicy/LossBefore,MetaTest/Average/MaxReturn,MetaTest/push-v1/NumEpisodes,Average/SuccessRate,MetaTest/Average/SuccessRate,MetaTest/push-v1/StdReturn,MetaTest/push-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,Average/Iteration,push-v1/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/push-v1/AverageReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,push-v1/AverageDiscountedReturn
-48.389009588083134,-77.20280315088664,5.675262928009033,0,34.54655587317641,0,-77.20280315088664,-18.47859329245877,0.007398046553134918,1237.2845571503442,0,0.0009329107706435025,-48.389009588083134,35.957404011641124,0.0,424.3435840384168,0.0,35.957404011641124,-57.483007326206106,-0.0011950277257710695,34.54655587317641,34.54655587317637,0.0,200,0,200,424.3435840384168,0.0,-0.00026211695512756705,1237.2845571503442,50,0.0,0.0,269.67697062695225,0.0,269.67697062695225,-57.483007326206106,0,0.0,0.0,34.54655587317637,80000,50,-18.47859329245877
13.991538607355764,-69.78888707480763,5.647031307220459,1,,1,-69.78888707480763,-1.4017155179720782,0.006654410157352686,,,0.0008309983531944454,13.991538607355764,348.48845872856526,0.0,4140.123789373513,,348.48845872856526,,-0.0017580017447471619,,,0.0,200,,200,4140.123789373513,0.0,-0.0009270033915527165,,,0.0,,,,,,1,0.0,,,160000,,-1.4017155179720782
153.59217646860142,-56.528266045918876,5.607290267944336,2,,2,-56.528266045918876,53.09933444112831,0.006752769462764263,,,0.0006384176667779684,153.59217646860142,628.2947629052597,0.0,4683.485168193951,,628.2947629052597,,-0.0026796706952154636,,,0.0,200,,200,4683.485168193951,0.0,-0.0020412530284374952,,,0.0,,,,,,2,0.0,,,240000,,53.09933444112831
357.0982473802134,-38.121990045188774,5.5761847496032715,3,,3,-38.121990045188774,101.11396905640764,0.0067386319860816,,,0.00010477461910340935,357.0982473802134,1083.1403139237582,0.035,7835.493872683384,,1083.1403139237582,,-0.00031972836586646736,,,0.0,200,,200,7835.493872683384,0.0,-0.000214953746763058,,,0.035,,,,,,3,0.0,,,320000,,101.11396905640764
1133.073459238798,-42.85664221989594,5.643852710723877,4,,4,-42.85664221989594,313.9787578447537,0.006702019367367029,,,5.6537624914199114e-05,1133.073459238798,4464.721554817469,0.025,51772.916826202934,,4464.721554817469,,0.00024104397743940353,,,0.0,200,,200,51772.916826202934,0.0,0.00029758160235360265,,,0.025,,,,,,4,0.0,,,400000,,313.9787578447537
1813.8359767705572,-30.173815981619963,5.63709020614624,5,,5,-30.173815981619963,559.4642215481362,0.007540492806583643,,,0.0005925596633460373,1813.8359767705572,4246.024869514852,0.015,36214.73536913136,,4246.024869514852,,-0.0008120107231661677,,,0.0,200,,200,36214.73536913136,0.0,-0.00021945105982013047,,,0.015,,,,,,5,0.0,,,480000,,559.4642215481362
1899.2330402774417,-26.794443677824695,5.5978851318359375,6,,6,-26.794443677824695,593.2882817103379,0.00620927382260561,,,1.4666133210994303e-05,1899.2330402774417,4940.26558591736,0.035,41023.04172706137,,4940.26558591736,,-5.7719538745004684e-05,,,0.0,200,,200,41023.04172706137,0.0,-4.305340553401038e-05,,,0.035,,,,,,6,0.0,,,560000,,593.2882817103379
1703.782688758117,-23.81531573026725,5.594718933105469,7,,7,-23.81531573026725,517.9864918559093,0.00519560044631362,,,1.0203321608059923e-05,1703.782688758117,4266.225794936289,0.04,33610.38544330724,,4266.225794936289,,-1.3149568985681981e-05,,,0.0,200,,200,33610.38544330724,0.0,-2.9462473776220577e-06,,,0.04,,,,,,7,0.0,,,640000,,517.9864918559093
3451.632002105063,-40.5024780966928,5.618659973144531,8,,8,-40.5024780966928,1015.4668266470699,0.00561267975717783,,,1.2623245311260689e-05,3451.632002105063,9047.364644170482,0.05,96258.59992404975,,9047.364644170482,,1.0319926332158502e-05,,,0.0,200,,200,96258.59992404975,0.0,2.294317164341919e-05,,,0.05,,,,,,8,0.0,,,720000,,1015.4668266470699
4267.406704621535,-37.18652821462232,5.6191840171813965,9,,9,-37.18652821462232,1340.9659329857122,0.0018927818164229393,,,3.47605040929011e-06,4267.406704621535,7911.205622090102,0.04,49178.59377815325,,7911.205622090102,,-3.353801730554551e-06,,,0.0,200,,200,49178.59377815325,0.0,1.2224867873555922e-07,,,0.04,,,,,,9,0.0,,,800000,,1340.9659329857122
3575.940944632151,-25.793953325431005,5.653343677520752,10,2326.933604178218,10,-25.793953325431005,1167.1698581147202,0.0006873832317069173,15037.8252796079,1,1.0085605026688427e-06,3575.940944632151,7468.370899549948,0.03,64267.549094618866,0.0,7468.370899549948,-19.311560052988007,2.2582931705983356e-05,2326.933604178218,2326.9336041782185,0.0,200,1,200,64267.549094618866,0.0,2.35914922086522e-05,15037.8252796079,50,0.03,0.04,3523.7431356237817,0.04,3523.7431356237817,-19.311560052988007,10,0.0,0.0,2326.9336041782185,880000,50,1167.1698581147202
4036.1353343642427,-19.106539495297927,5.647674560546875,11,,11,-19.106539495297927,1311.5332565292326,0.002810534555464983,,,5.0254830057383515e-06,4036.1353343642427,6773.282338582828,0.04,37837.175857983275,,6773.282338582828,,-9.668228813097812e-06,,,0.0,200,,200,37837.175857983275,0.0,-4.642745807359461e-06,,,0.04,,,,,,11,0.0,,,960000,,1311.5332565292326
3779.063201298388,-24.607640786237297,5.647677421569824,12,,12,-24.607640786237297,1137.130654690052,8.943532884586602e-05,,,1.273730021456032e-07,3779.063201298388,6360.757409949405,0.05,38926.52790812712,,6360.757409949405,,-1.2467789645143057e-07,,,0.0,200,,200,38926.52790812712,0.0,2.6951056941726392e-09,,,0.05,,,,,,12,0.0,,,1040000,,1137.130654690052
5415.00578579154,-23.892525501716293,5.6624627113342285,13,,13,-23.892525501716293,1640.6357515283964,0.00013611842587124556,,,1.937296474352479e-07,5415.00578579154,12460.138296279361,0.065,107735.32099758119,,12460.138296279361,,1.0474534064996988e-05,,,0.0,200,,200,107735.32099758119,0.0,1.0668263712432235e-05,,,0.065,,,,,,13,0.0,,,1120000,,1640.6357515283964
7206.770179822372,-19.67147488707713,5.6545209884643555,14,,14,-19.67147488707713,2193.282835579502,5.591818626271561e-05,,,7.921244105091318e-08,7206.770179822372,10970.631402529021,0.065,65500.74370666366,,10970.631402529021,,-5.345560566638596e-06,,,0.0,200,,200,65500.74370666366,0.0,-5.266348125587683e-06,,,0.065,,,,,,14,0.0,,,1200000,,2193.282835579502
5944.535127376887,-43.03831308053504,5.668062686920166,15,,15,-43.03831308053504,1789.6883956181812,6.21830768068321e-05,,,8.817005436867476e-08,5944.535127376887,11547.714666609463,0.065,69363.36499778766,,11547.714666609463,,7.299216122191865e-06,,,0.0,200,,200,69363.36499778766,0.0,7.38738617656054e-06,,,0.065,,,,,,15,0.0,,,1280000,,1789.6883956181812
