MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/handle-press-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/handle-press-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/handle-press-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/SuccessRate,MetaTest/handle-press-v1/MaxReturn,MetaTest/handle-press-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/handle-press-v1/StdReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTest/handle-press-v1/Iteration
70507.16709723337,218.27911,27636.40098226078,27873.55294001313,10,nan,10301649.0,27873.55294001313,10,0.0,10,-16.940786735717456,27873.55294001313,0.1,70507.16709723337,27873.55294001313,0.1,27636.40098226078,-16.940786735717456,464000,-135393.7,-20.24662,0.0,10
108662.98629962762,550.3435,32964.87036532854,21863.000487794176,10,nan,11610326.0,21863.00048779418,11,0.0,10,-14.996615884394627,21863.000487794176,0.1,108662.98629962762,21863.00048779418,0.1,32964.87036532854,-14.996615884394627,488000,-135902.64,-20.238789,0.0,11
178930.42628656834,159.14238,47769.3408295133,45122.925268459265,10,nan,12525267.0,45122.92526845926,12,0.0,10,1919.8633454168787,45122.925268459265,0.1,178930.42628656834,45122.92526845926,0.1,47769.3408295133,1919.8633454168787,512000,-135568.72,-19.94363,0.0,12
102413.3279017258,166.45103,39207.72987927961,42164.939645905164,10,nan,14127686.0,42164.939645905164,13,0.0,10,-19.074882446223967,42164.939645905164,0.3,102413.3279017258,42164.939645905164,0.3,39207.72987927961,-19.074882446223967,536000,-134597.22,-19.685942,0.0,13
119454.2543989045,73.34931,38237.81013671182,25564.544755227747,10,nan,17744890.0,25564.54475522774,14,0.0,10,-85.37695738655631,25564.544755227747,0.1,119454.2543989045,25564.54475522774,0.1,38237.81013671182,-85.37695738655631,560000,-62662.15,-21.755722,0.0,14
58356.38460477917,330.9477,21247.55114362679,13051.466928799198,10,nan,6220248.0,13051.466928799191,15,0.0,10,-126.12466854376635,13051.466928799198,0.0,58356.38460477917,13051.466928799191,0.0,21247.55114362679,-126.12466854376635,584000,-51278.633,-21.52848,0.0,15
16838.34718867752,2680.131,5321.379421500725,2806.915061451079,10,nan,7719862.0,2806.9150614510822,16,0.0,10,-120.40695115878225,2806.915061451079,0.0,16838.34718867752,2806.9150614510822,0.0,5321.379421500725,-120.40695115878225,608000,-50303.21,-18.226774,0.0,16
139108.09989439853,614.8171,44052.00436656956,27190.1306960869,10,nan,17176996.0,27190.1306960869,17,0.0,10,-44.152570075106134,27190.1306960869,0.0,139108.09989439853,27190.1306960869,0.0,44052.00436656956,-44.152570075106134,632000,-83738.48,-21.444433,0.0,17
151858.0984592934,695.19446,49620.169384092675,35659.66403424552,10,nan,23196168.0,35659.66403424555,18,0.0,10,-30.21868047666982,35659.66403424552,0.1,151858.0984592934,35659.66403424555,0.1,49620.169384092675,-30.21868047666982,656000,-95780.01,-22.799707,0.0,18
174505.6351722631,20.476753,33899.52820908294,99690.03090049436,10,nan,31262512.0,99690.03090049434,19,0.0,10,47609.94396788433,99690.03090049436,0.2,174505.6351722631,99690.03090049434,0.2,33899.52820908294,47609.94396788433,680000,-116009.21,-23.728779,0.0,19
260706.02833166692,19.38086,90174.6404658453,129765.58390687374,10,nan,38525892.0,129765.58390687376,20,0.0,10,1459.119518691008,129765.58390687374,0.6,260706.02833166692,129765.58390687376,0.6,90174.6404658453,1459.119518691008,704000,-130821.72,-24.356512,0.0,20
218383.4110174186,34.10622,70446.43272269511,133890.07535517414,10,nan,39284196.0,133890.07535517417,21,0.0,10,8247.829306480826,133890.07535517414,0.8,218383.4110174186,133890.07535517417,0.8,70446.43272269511,8247.829306480826,728000,-131894.38,-24.201527,0.0,21
206716.37481401855,21.855938,42822.238918845505,156316.0742746261,10,nan,44373116.0,156316.07427462612,22,0.0,10,67810.24078497039,156316.0742746261,1.0,206716.37481401855,156316.07427462612,1.0,42822.238918845505,67810.24078497039,752000,-143783.17,-23.490864,0.0,22
229182.08566690102,23.458336,76436.64765329468,112251.48549315248,10,nan,55244330.0,112251.48549315248,23,0.0,10,-12.801503223723525,112251.48549315248,0.5,229182.08566690102,112251.48549315248,0.5,76436.64765329468,-12.801503223723525,776000,-173105.36,-24.921717,0.0,23
170980.15937468177,17.617128,50775.046180481884,85815.46698320073,10,nan,64790064.0,85815.46698320075,24,0.0,10,-21.050995265221978,85815.46698320073,0.6,170980.15937468177,85815.46698320075,0.6,50775.046180481884,-21.050995265221978,800000,-206368.62,-27.072483,0.0,24
182754.76632876234,19.436953,44915.47947391194,129709.35461069495,10,nan,72280490.0,129709.35461069489,25,0.0,10,39949.302391038,129709.35461069495,0.7,182754.76632876234,129709.35461069489,0.7,44915.47947391194,39949.302391038,824000,-233667.52,-29.191448,0.0,25
259940.66720219958,26.790258,65017.59731585747,197794.38890157203,10,nan,77803520.0,197794.388901572,26,0.0,10,98171.6918685207,197794.38890157203,0.7,259940.66720219958,197794.388901572,0.7,65017.59731585747,98171.6918685207,848000,-266513.53,-29.9141,0.0,26
234944.6308853306,36.603725,55857.6956898689,166733.11511420945,10,nan,82638424.0,166733.11511420942,27,0.0,10,93785.71853046911,166733.11511420945,0.8,234944.6308853306,166733.11511420942,0.8,55857.6956898689,93785.71853046911,872000,-286398.62,-29.773123,0.0,27
253406.04081360027,43.66866,89243.8692663079,72187.45641424842,10,nan,89315000.0,72187.45641424842,28,0.0,10,-117.38568665803938,72187.45641424842,0.2,253406.04081360027,72187.45641424842,0.2,89243.8692663079,-117.38568665803938,896000,-305064.6,-29.469496,0.0,28
223162.90200277464,92.582886,80119.7711808112,67121.12024099402,10,nan,87145700.0,67121.120240994,29,0.0,10,-127.50904492397629,67121.12024099402,0.3,223162.90200277464,67121.120240994,0.3,80119.7711808112,-127.50904492397629,920000,-296563.16,-29.586359,0.0,29
169582.15234464107,101.42492,59164.05550079051,36819.76251955061,10,nan,87951660.0,36819.76251955061,30,0.0,10,-90.81254568944753,36819.76251955061,0.2,169582.15234464107,36819.76251955061,0.2,59164.05550079051,-90.81254568944753,944000,-298870.97,-29.595829,0.0,30
246525.63615136573,216.50826,61047.816687676815,160103.88240543817,10,nan,94261740.0,160103.88240543808,31,0.0,10,66980.07608941245,160103.88240543817,0.7,246525.63615136573,160103.88240543808,0.7,61047.816687676815,66980.07608941245,968000,-313858.2,-29.86062,0.0,31
250252.3431232034,40.194954,72941.06617109115,140815.1386925013,10,nan,103109180.0,140815.1386925013,32,0.0,10,1938.785665829203,140815.1386925013,0.5,250252.3431232034,140815.1386925013,0.5,72941.06617109115,1938.785665829203,992000,-342351.53,-29.64058,0.0,32
246145.86313151405,47.090866,74713.53628599766,138878.0616748909,10,nan,107235220.0,138878.06167489098,33,0.0,10,28820.336312527856,138878.0616748909,0.7,246145.86313151405,138878.06167489098,0.7,74713.53628599766,28820.336312527856,1016000,-360161.38,-28.692556,0.0,33
209505.13429479985,50.135193,66637.06212253917,39987.05577964812,10,nan,108849220.0,39987.05577964812,34,0.0,10,-58.57798437566094,39987.05577964812,0.3,209505.13429479985,39987.05577964812,0.3,66637.06212253917,-58.57798437566094,1040000,-360723.03,-28.751715,0.0,34
261262.5116912859,61.79992,90684.45355134543,129838.44296626569,10,nan,105904470.0,129838.44296626565,35,0.0,10,5689.533256813454,129838.44296626569,0.4,261262.5116912859,129838.44296626565,0.4,90684.45355134543,5689.533256813454,1064000,-357541.5,-27.964106,0.0,35
232608.17441219682,39.969994,61456.681742287496,106041.36286144568,10,nan,109890810.0,106041.36286144568,36,0.0,10,47466.00684663079,106041.36286144568,0.2,232608.17441219682,106041.36286144568,0.2,61456.681742287496,47466.00684663079,1088000,-385912.38,-26.885712,0.0,36
234222.91500985183,33.319984,67850.69417069881,144862.00849176245,10,nan,120472750.0,144862.00849176245,37,0.0,10,11149.052291523536,144862.00849176245,0.5,234222.91500985183,144862.00849176245,0.5,67850.69417069881,11149.052291523536,1112000,-406404.7,-26.421059,0.0,37
245258.66430486427,63.76411,79804.86846219384,171907.10668508676,10,nan,123463176.0,171907.10668508674,38,0.0,10,40766.287990313285,171907.10668508676,0.7,245258.66430486427,171907.10668508674,0.7,79804.86846219384,40766.287990313285,1136000,-383972.16,-27.07968,0.0,38
143085.08676052478,44.391388,50514.81466538574,30416.95062268193,10,nan,120905240.0,30416.950622681954,39,0.0,10,-60.897374681310886,30416.95062268193,0.1,143085.08676052478,30416.950622681954,0.1,50514.81466538574,-60.897374681310886,1160000,-391193.1,-26.357628,0.0,39
247869.46549879544,68.78112,78919.63197671072,161096.47408701424,10,nan,107406104.0,161096.47408701424,40,0.0,10,36201.50855175961,161096.47408701424,0.5,247869.46549879544,161096.47408701424,0.5,78919.63197671072,36201.50855175961,1184000,-332231.22,-25.838863,0.0,40
230004.5000950962,30.77908,81920.031485325,105889.68401488292,10,nan,123148900.0,105889.68401488292,41,0.0,10,2386.403042318321,105889.68401488292,0.5,230004.5000950962,105889.68401488292,0.5,81920.031485325,2386.403042318321,1208000,-393418.34,-26.458345,0.0,41
239978.74882086125,33.13273,79146.65511691879,133087.38816574877,10,nan,123656376.0,133087.38816574874,42,0.0,10,7460.282413703219,133087.38816574877,0.4,239978.74882086125,133087.38816574874,0.4,79146.65511691879,7460.282413703219,1232000,-391034.8,-26.141079,0.0,42
114302.02630509202,124.80897,37664.66912903862,31812.73451521492,10,nan,158200750.0,31812.73451521491,43,0.0,10,-114.36564963198092,31812.73451521492,0.0,114302.02630509202,31812.73451521491,0.0,37664.66912903862,-114.36564963198092,1256000,-383581.8,-25.877804,0.0,43
256098.7623074398,390.45953,86249.59132479996,55406.25505594589,10,nan,138608430.0,55406.255055945905,44,0.0,10,-105.0533548505588,55406.25505594589,0.3,256098.7623074398,55406.255055945905,0.3,86249.59132479996,-105.0533548505588,1280000,-432737.38,-26.348372,0.0,44
267808.1226848147,340.22858,106071.39649379786,82562.62848164763,10,nan,139965010.0,82562.62848164767,45,0.0,10,-110.89718398272598,82562.62848164763,0.4,267808.1226848147,82562.62848164767,0.4,106071.39649379786,-110.89718398272598,1304000,-460335.9,-26.655468,0.0,45
247315.89693049176,192.1482,100868.48565581365,98070.94088092304,10,nan,139841730.0,98070.9408809231,46,0.0,10,-73.75268074594473,98070.94088092304,0.4,247315.89693049176,98070.9408809231,0.4,100868.48565581365,-73.75268074594473,1328000,-470596.22,-26.406668,0.0,46
262682.9085968526,159.71603,102014.35771140827,93880.74370264029,10,nan,138207490.0,93880.74370264029,47,0.0,10,-83.42746579183112,93880.74370264029,0.5,262682.9085968526,93880.74370264029,0.5,102014.35771140827,-83.42746579183112,1352000,-480204.94,-26.302902,0.0,47
236198.90250850457,242.93715,100304.33260310265,127127.70442397644,10,nan,142947900.0,127127.70442397645,48,0.0,10,3157.616678039171,127127.70442397644,0.5,236198.90250850457,127127.70442397645,0.5,100304.33260310265,3157.616678039171,1376000,-477688.25,-26.256603,0.0,48
241787.2538590863,33.01673,75116.95021406571,167889.89482897116,10,nan,141330480.0,167889.89482897116,49,0.0,10,34109.3378419569,167889.89482897116,0.8,241787.2538590863,167889.89482897116,0.8,75116.95021406571,34109.3378419569,1400000,-494256.97,-25.927046,0.0,49
256271.3061150627,33.02772,61820.546677223305,168980.55720581775,10,nan,144999230.0,168980.55720581775,50,0.0,10,58307.6015912083,168980.55720581775,0.7,256271.3061150627,168980.55720581775,0.7,61820.546677223305,58307.6015912083,1424000,-489624.6,-25.42884,0.0,50
242177.1347963232,34.426624,34812.37417548056,182110.368527577,10,nan,148001620.0,182110.36852757703,51,0.0,10,120391.62073992204,182110.368527577,1.0,242177.1347963232,182110.36852757703,1.0,34812.37417548056,120391.62073992204,1448000,-491931.97,-25.391323,0.0,51
245368.49218832122,38.270336,65503.27735273156,153587.8023606884,10,nan,149779180.0,153587.8023606884,52,0.0,10,73055.4277624688,153587.8023606884,0.5,245368.49218832122,153587.8023606884,0.5,65503.27735273156,73055.4277624688,1472000,-480058.44,-25.30032,0.0,52
266526.3318195686,49.910984,51035.287290908396,189628.48518266657,10,nan,153870620.0,189628.48518266663,53,0.0,10,107219.19799701366,189628.48518266657,0.8,266526.3318195686,189628.48518266663,0.8,51035.287290908396,107219.19799701366,1496000,-481796.03,-24.976908,0.0,53
255465.6544120511,36.886116,58567.04765631829,132119.46404700878,10,nan,155717650.0,132119.4640470088,54,0.0,10,45760.38024613985,132119.46404700878,0.3,255465.6544120511,132119.4640470088,0.3,58567.04765631829,45760.38024613985,1520000,-493224.94,-24.804932,0.0,54
262940.5161477516,32.260002,73980.70879579903,181024.34321891426,10,nan,152819260.0,181024.3432189142,55,0.0,10,11651.338587087625,181024.34321891426,0.8,262940.5161477516,181024.3432189142,0.8,73980.70879579903,11651.338587087625,1544000,-509983.7,-24.697498,0.0,55
211823.24810818792,25.058676,82349.71444240413,150911.65898804422,10,nan,152300160.0,150911.6589880442,56,0.0,10,24825.744492439724,150911.65898804422,0.7,211823.24810818792,150911.6589880442,0.7,82349.71444240413,24825.744492439724,1568000,-516721.44,-24.416513,0.0,56
230465.38347223058,18.607578,76621.07553641604,157486.74966300203,10,nan,152304480.0,157486.74966300203,57,0.0,10,18977.234592365112,157486.74966300203,0.7,230465.38347223058,157486.74966300203,0.7,76621.07553641604,18977.234592365112,1592000,-527649.2,-24.363039,0.0,57
257595.5795546023,26.719324,54950.13159845359,191783.0361417093,10,nan,156264530.0,191783.0361417093,58,0.0,10,111521.4665993107,191783.0361417093,0.7,257595.5795546023,191783.0361417093,0.7,54950.13159845359,111521.4665993107,1616000,-532972.1,-24.374327,0.0,58
271099.5779443234,22.807455,72881.27877255503,176651.68843405083,10,nan,155000880.0,176651.68843405083,59,0.0,10,14289.410144438418,176651.68843405083,0.8,271099.5779443234,176651.68843405083,0.8,72881.27877255503,14289.410144438418,1640000,-538743.4,-24.129848,0.0,59
229886.86006249546,25.007944,47931.700991183476,154265.2319904407,10,nan,155970660.0,154265.23199044075,60,0.0,10,71444.74607626388,154265.2319904407,0.6,229886.86006249546,154265.23199044075,0.6,47931.700991183476,71444.74607626388,1664000,-542428.56,-23.940742,0.0,60
257881.0949898017,18.992792,50233.25393815627,187735.293954173,10,nan,158303420.0,187735.293954173,61,0.0,10,85134.77624118167,187735.293954173,0.9,257881.0949898017,187735.293954173,0.9,50233.25393815627,85134.77624118167,1688000,-546119.75,-23.677645,0.0,61
250770.09724477812,22.190098,53045.88009803031,145061.5784498405,10,nan,159480700.0,145061.5784498405,62,0.0,10,55935.43756655556,145061.5784498405,0.5,250770.09724477812,145061.5784498405,0.5,53045.88009803031,55935.43756655556,1712000,-551746.1,-23.244457,0.0,62
243258.11073767368,4610.2505,92583.30174515958,53694.669555632594,10,nan,524506430.0,53694.66955563261,63,0.0,10,-41.9367489144221,53694.669555632594,0.2,243258.11073767368,53694.66955563261,0.2,92583.30174515958,-41.9367489144221,1736000,-423163.47,-23.222649,0.0,63
228361.46740195635,106.45545,35827.65392519063,195960.97582023253,10,nan,147134050.0,195960.9758202325,64,0.0,10,93985.88459122955,195960.97582023253,0.9,228361.46740195635,195960.9758202325,0.9,35827.65392519063,93985.88459122955,1760000,-459911.06,-22.720282,0.0,64
257457.5378179987,72.638824,64588.59331263481,152102.33709665138,10,nan,156799570.0,152102.33709665132,65,0.0,10,44221.918667420476,152102.33709665138,0.7,257457.5378179987,152102.33709665132,0.7,64588.59331263481,44221.918667420476,1784000,-497942.4,-22.253548,0.0,65
236778.85510536598,51.751114,57916.31233256002,158608.68832867747,10,nan,165398510.0,158608.68832867744,66,0.0,10,46956.97628437488,158608.68832867747,0.7,236778.85510536598,158608.68832867744,0.7,57916.31233256002,46956.97628437488,1808000,-520879.6,-22.386436,0.0,66
656.5336786344164,29013590.0,229.71816211242415,-31.3491644871892,10,nan,204455230000.0,-31.34916448718917,67,0.0,10,-127.3109795382059,-31.3491644871892,0.0,656.5336786344164,-31.34916448718917,0.0,229.71816211242415,-127.3109795382059,1832000,2311436.5,-27.211203,0.0,67
1096.6170002731026,3679378.0,431.9635859854965,124.79750641736582,10,nan,218139430000.0,124.79750641736591,68,0.0,10,-110.21470740475424,124.79750641736582,0.0,1096.6170002731026,124.79750641736591,0.0,431.9635859854965,-110.21470740475424,1856000,498410.53,-22.069265,0.0,68
204515.55139553105,1769271.1,61254.22175920293,20763.342977054057,10,nan,527151260.0,20763.342977054046,69,0.0,10,-103.71033858547702,20763.342977054057,0.1,204515.55139553105,20763.342977054046,0.1,61254.22175920293,-103.71033858547702,1880000,790372.6,-27.165522,0.0,69
869.6278822437808,1585921.0,382.0903211730376,100.6873970456051,10,nan,882914600.0,100.68739704560505,70,0.0,10,-99.84175911023206,100.6873970456051,0.0,869.6278822437808,100.68739704560505,0.0,382.0903211730376,-99.84175911023206,1904000,799053.06,-22.25345,0.0,70
862.0211449414447,1358380.8,304.11483283012967,59.13938656804729,10,nan,366756400.0,59.139386568047335,71,0.0,10,-104.29894274418902,59.13938656804729,0.0,862.0211449414447,59.139386568047335,0.0,304.11483283012967,-104.29894274418902,1928000,645253.94,-19.191238,0.0,71
1173.7032238084778,164148.05,443.9139567204076,311.16910378066706,10,nan,19902518.0,311.169103780667,72,0.0,10,-28.47221981118593,311.16910378066706,0.0,1173.7032238084778,311.169103780667,0.0,443.9139567204076,-28.47221981118593,1952000,197036.97,-30.024055,0.0,72
221051.49533080278,2974.6265,82099.27129690457,52445.190374256505,10,nan,15085132.0,52445.1903742565,73,0.0,10,-101.55316801633937,52445.190374256505,0.3,221051.49533080278,52445.1903742565,0.3,82099.27129690457,-101.55316801633937,1976000,-13477.479,-16.76854,0.0,73
261308.19530737103,336.1987,47834.477814063066,217023.9402194196,10,nan,23189544.0,217023.9402194196,74,0.0,10,95148.47501091786,217023.9402194196,0.9,261308.19530737103,217023.9402194196,0.9,47834.477814063066,95148.47501091786,2000000,-81714.85,-12.330689,0.0,74
283179.69381671643,889.12335,107952.46432142406,105162.4919775826,10,nan,367082720.0,105162.4919775826,75,0.0,10,-27.150579569836143,105162.4919775826,0.3,283179.69381671643,105162.4919775826,0.3,107952.46432142406,-27.150579569836143,2024000,-90067.555,-29.444086,0.0,75
214535.42627190685,539.5055,80949.21288965979,117706.57444509034,10,nan,39522390.0,117706.57444509034,76,0.0,10,30890.71744031136,117706.57444509034,0.5,214535.42627190685,117706.57444509034,0.5,80949.21288965979,30890.71744031136,2048000,-114746.94,-25.3105,0.0,76
257503.85797602916,285.89008,57220.7092948743,169111.44603403396,10,nan,56033744.0,169111.44603403396,77,0.0,10,44516.45007426412,169111.44603403396,0.8,257503.85797602916,169111.44603403396,0.8,57220.7092948743,44516.45007426412,2072000,-153435.2,-22.197094,0.0,77
239081.1166439964,121.336174,25992.780243586734,213982.6095993927,10,nan,70216520.0,213982.60959939257,78,0.0,10,156760.92978006724,213982.6095993927,1.0,239081.1166439964,213982.60959939257,1.0,25992.780243586734,156760.92978006724,2096000,-189514.03,-20.072884,0.0,78
237059.31387805473,89.52439,74206.78612829762,172418.27087463354,10,nan,90164830.0,172418.2708746336,79,0.0,10,959.7070828975408,172418.27087463354,1.0,237059.31387805473,172418.2708746336,1.0,74206.78612829762,959.7070828975408,2120000,-221799.03,-18.961657,0.0,79
258623.98107311293,270.7578,48284.587302163614,206539.309896902,10,nan,100480184.0,206539.30989690195,80,0.0,10,119022.40430722781,206539.309896902,0.9,258623.98107311293,206539.30989690195,0.9,48284.587302163614,119022.40430722781,2144000,-257756.81,-18.881277,0.0,80
256883.5074450022,74.054,38218.50793466047,195861.6276196564,10,nan,114425280.0,195861.62761965638,81,0.0,10,139603.82283497695,195861.6276196564,1.0,256883.5074450022,195861.62761965638,1.0,38218.50793466047,139603.82283497695,2168000,-305856.84,-18.953281,0.0,81
276710.18009545567,49.40054,46693.807559944915,230602.97732533622,10,nan,123880930.0,230602.97732533622,82,0.0,10,103880.61789312692,230602.97732533622,0.9,276710.18009545567,230602.97732533622,0.9,46693.807559944915,103880.61789312692,2192000,-324113.28,-17.863903,0.0,82
260063.47975227569,29.852402,56790.890531018245,207499.51118310576,10,nan,136213200.0,207499.51118310582,83,0.0,10,97307.34031744378,207499.51118310576,0.8,260063.47975227569,207499.51118310582,0.8,56790.890531018245,97307.34031744378,2216000,-351872.97,-18.494028,0.0,83
249650.98946662917,32.05071,69266.77075325392,157185.5824999551,10,nan,146093630.0,157185.58249995502,84,0.0,10,66911.79911257433,157185.5824999551,0.5,249650.98946662917,157185.58249995502,0.5,69266.77075325392,66911.79911257433,2240000,-380483.2,-19.416958,0.0,84
253799.86144072705,34.94582,77212.24202224976,150356.14216635903,10,nan,158474750.0,150356.142166359,85,0.0,10,12362.963353265079,150356.14216635903,0.5,253799.86144072705,150356.142166359,0.5,77212.24202224976,12362.963353265079,2264000,-416835.03,-19.897003,0.0,85
273331.90021505643,30.65032,74290.45047322924,158335.6411631109,10,nan,167920720.0,158335.641163111,86,0.0,10,88346.36356524339,158335.6411631109,0.4,273331.90021505643,158335.641163111,0.4,74290.45047322924,88346.36356524339,2288000,-448605.3,-20.851557,0.0,86
247126.78913837508,30.769314,81200.87608377369,172848.12730473175,10,nan,174427490.0,172848.1273047318,87,0.0,10,10174.980619688875,172848.12730473175,0.6,247126.78913837508,172848.1273047318,0.6,81200.87608377369,10174.980619688875,2312000,-474406.56,-20.911829,0.0,87
3836.323013659914,28.05402,1222.1386654046917,652.5215456912371,10,nan,292907400.0,652.5215456912368,88,0.0,10,-27.06692939023453,652.5215456912371,0.1,3836.323013659914,652.5215456912368,0.1,1222.1386654046917,-27.06692939023453,2336000,-503331.03,-21.94416,0.0,88
252314.5467970591,250.75046,49558.34717779917,199392.80329773988,10,nan,210386460.0,199392.80329773994,89,0.0,10,101264.00754460396,199392.80329773988,0.8,252314.5467970591,199392.80329773994,0.8,49558.34717779917,101264.00754460396,2360000,-490170.8,-26.62157,0.0,89
273483.0604338519,48.14644,36271.01188798744,224151.50605328404,10,nan,161451120.0,224151.50605328404,90,0.0,10,137117.22669188664,224151.50605328404,1.0,273483.0604338519,224151.50605328404,1.0,36271.01188798744,137117.22669188664,2384000,-491838.12,-24.331345,0.0,90
266040.2083170183,40.74646,72711.812669625,146179.07792280667,10,nan,167261810.0,146179.07792280667,91,0.0,10,51303.2265663206,146179.07792280667,0.5,266040.2083170183,146179.07792280667,0.5,72711.812669625,51303.2265663206,2408000,-518364.28,-24.658241,0.0,91
264629.6111053788,51.4468,45471.58533776077,208011.7474464757,10,nan,173048220.0,208011.74744647564,92,0.0,10,95937.54759500636,208011.7474464757,0.9,264629.6111053788,208011.74744647564,0.9,45471.58533776077,95937.54759500636,2432000,-542517.06,-24.87299,0.0,92
265448.6351821766,44.023552,73002.3476002855,164126.08423501902,10,nan,172611150.0,164126.084235019,93,0.0,10,17723.06446348759,164126.08423501902,0.6,265448.6351821766,164126.084235019,0.6,73002.3476002855,17723.06446348759,2456000,-560082.94,-24.74185,0.0,93
259130.24633128455,41.269314,61373.220138900055,192135.86927533284,10,nan,176661020.0,192135.86927533287,94,0.0,10,101098.97083712564,192135.86927533284,0.7,259130.24633128455,192135.86927533287,0.7,61373.220138900055,101098.97083712564,2480000,-577431.8,-24.572676,0.0,94
247174.76703005697,34.71754,64154.768056008616,164416.87337488416,10,nan,177360370.0,164416.8733748842,95,0.0,10,96811.52678194971,164416.87337488416,0.5,247174.76703005697,164416.8733748842,0.5,64154.768056008616,96811.52678194971,2504000,-590197.5,-24.69671,0.0,95
276077.6962975011,37.072437,73676.98133010387,125883.64406045173,10,nan,179522820.0,125883.6440604517,96,0.0,10,28725.86488274498,125883.64406045173,0.4,276077.6962975011,125883.6440604517,0.4,73676.98133010387,28725.86488274498,2528000,-605423.4,-24.76866,0.0,96
