MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/handle-press-v1/AverageDiscountedReturn,MetaTest/handle-press-v1/NumTrajs,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,MetaTest/Average/AverageReturn,MetaTest/Average/Iteration,MetaTest/handle-press-v1/TerminationRate,MetaTest/Average/NumTrajs,MetaTest/handle-press-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-v1/SuccessRate,MetaTest/handle-press-v1/MaxReturn,MetaTest/handle-press-v1/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/handle-press-v1/StdReturn,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/Average/TerminationRate,MetaTest/handle-press-v1/Iteration
29346.606966293548,10.844387,11205.677418007446,8571.013367491609,10,nan,175600.66,8571.0133674916,0,0.0,10,-15.761570648562918,8571.013367491609,0.0,29346.606966293548,8571.0133674916,0.0,11205.677418007446,-15.761570648562918,224000,-619.2355,-1.0031899,0.0,0
43592.50646034733,28.153893,12185.196038561404,11273.551841682178,10,nan,558770.7,11273.551841682181,1,0.0,10,1259.3662255352438,11273.551841682178,0.0,43592.50646034733,11273.551841682181,0.0,12185.196038561404,1259.3662255352438,248000,-10436.976,-13.865365,0.0,1
45293.93712262875,143.12233,17548.378488453465,17251.64591163458,10,nan,901095.94,17251.645911634587,2,0.0,10,-28.12967237306225,17251.64591163458,0.0,45293.93712262875,17251.645911634587,0.0,17548.378488453465,-28.12967237306225,272000,-38994.87,-16.352829,0.0,2
31882.62792658016,267.16647,9324.554668527115,3977.4594446196447,10,nan,1164942.8,3977.4594446196434,3,0.0,10,-54.933415525006716,3977.4594446196447,0.0,31882.62792658016,3977.4594446196434,0.0,9324.554668527115,-54.933415525006716,296000,-50092.39,-16.22131,0.0,3
77108.01677466306,359.0375,16442.001188189337,41324.7457049024,10,nan,1766507.6,41324.74570490241,4,0.0,10,16244.096448937278,41324.7457049024,0.0,77108.01677466306,41324.74570490241,0.0,16442.001188189337,16244.096448937278,320000,-63209.062,-16.331932,0.0,4
163886.8292061432,2200.4546,44280.45948279468,76248.20113855612,10,nan,4574253.0,76248.20113855612,5,0.0,10,-21.244799696303787,76248.20113855612,0.2,163886.8292061432,76248.20113855612,0.2,44280.45948279468,-21.244799696303787,344000,-27676.596,-19.6893,0.0,5
117720.9480640751,773.3292,38358.17385404007,34776.55822616433,10,nan,3037596.8,34776.55822616432,6,0.0,10,-108.7814032214495,34776.55822616433,0.0,117720.9480640751,34776.55822616432,0.0,38358.17385404007,-108.7814032214495,368000,-61660.688,-15.98818,0.0,6
81811.07546183017,169.49051,30148.361895609578,25261.12431145399,10,nan,4653749.0,25261.12431145399,7,0.0,10,-98.59175971630954,25261.12431145399,0.0,81811.07546183017,25261.12431145399,0.0,30148.361895609578,-98.59175971630954,392000,-90578.88,-16.765722,0.0,7
70991.08189758085,252.55823,26023.345798361155,33962.181522415856,10,nan,8246770.0,33962.181522415856,8,0.0,10,-22.85943249948622,33962.181522415856,0.0,70991.08189758085,33962.181522415856,0.0,26023.345798361155,-22.85943249948622,416000,-114522.35,-21.280094,0.0,8
141457.69967589364,306.71643,48287.48914088753,39849.924603920525,10,nan,9151343.0,39849.924603920525,9,0.0,10,-16.9182705114995,39849.924603920525,0.1,141457.69967589364,39849.924603920525,0.1,48287.48914088753,-16.9182705114995,440000,-133943.3,-20.928894,0.0,9
