TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTrain/Average/PolicyLoss,MetaTest/push-wall-v1/MaxReturn,MetaTest/push-wall-v1/StdReturn,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/push-wall-v1/NumTrajs,MetaTest/push-wall-v1/Iteration,MetaTest/push-wall-v1/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/push-wall-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/push-wall-v1/AverageDiscountedReturn
224000,-43.53709834207216,6507.5635,-43.53709834207216,-43.53709834207216,-26.75835630009035,0,0.0,-70.7625,-26.75835630009035,6.021053382860469,-48.89545037725043,nan,10,10,0,-48.89545037725043,12.0352545,0.0,5.5407434,0.0,6.021053382860469,0.0,-43.53709834207216
248000,-36.4612602220492,22342.736,-36.4612602220492,-36.4612602220492,-28.710573053033386,1,0.0,-209.66594,-28.710573053033386,3.8179224024045118,-41.856185504223774,nan,10,10,1,-41.856185504223774,52.63238,0.0,4.2879815,0.0,3.8179224024045118,0.0,-36.4612602220492
272000,85.0797010250549,18338.727,85.07970102505487,85.0797010250549,977.2913166335126,2,0.0,-503.05948,977.2913166335126,297.9035379012505,-25.868678554245772,nan,10,10,2,-25.868678554245772,131.67635,0.0,3.288025,0.0,297.9035379012505,0.0,85.07970102505487
296000,10118.535033160435,28461.229,10118.535033160433,10118.535033160435,101336.5509472707,3,0.0,-689.3933,101336.5509472707,30406.105955384493,-143.88181243019855,nan,10,10,3,-143.88181243019855,169.31915,0.1,2.7770357,0.1,30406.105955384493,0.0,10118.535033160433
320000,38.65809057225661,122119.46,38.6580905722566,38.65809057225661,292.3839637290184,4,0.0,-3195.628,292.3839637290184,101.93894040973106,-40.341007431653594,nan,10,10,4,-40.341007431653594,1379.2715,0.0,-3.047462,0.0,101.93894040973106,0.0,38.6580905722566
344000,17008.725659593,297746.8,17008.72565959301,17008.725659593,42868.24031117863,5,0.0,-5455.0854,42868.24031117863,16507.59848307369,542.6977643065496,nan,10,10,5,542.6977643065496,980.9792,0.2,-8.478936,0.2,16507.59848307369,0.0,17008.72565959301
368000,4730.928889258278,917282.7,4730.928889258279,4730.928889258278,29892.175643855542,6,0.0,-12875.013,29892.175643855542,8729.860058801063,-28.8903759727471,nan,10,10,6,-28.8903759727471,1563.4482,0.2,-11.911527,0.2,8729.860058801063,0.0,4730.928889258279
392000,3260.361163330614,1741817.0,3260.3611633306164,3260.361163330614,18732.65712666872,7,0.0,-23296.04,18732.65712666872,6456.590745433154,-57.94672434535479,nan,10,10,7,-57.94672434535479,1347.9192,0.1,-14.979937,0.1,6456.590745433154,0.0,3260.3611633306164
416000,3487.762316963172,2809997.0,3487.762316963169,3487.762316963172,30709.094387389243,8,0.0,-25787.305,30709.094387389243,9085.747626951925,-26.914107907457936,nan,10,10,8,-26.914107907457936,2825.5894,0.2,-13.920945,0.2,9085.747626951925,0.0,3487.762316963169
440000,33995.97796036949,14552240.0,33995.9779603695,33995.97796036949,330423.5533422284,9,0.0,-99132.41,330423.5533422284,98829.34026388863,-59.95927532757673,nan,10,10,9,-59.95927532757673,9673.043,0.1,-21.367952,0.1,98829.34026388863,0.0,33995.9779603695
464000,1715.2708649373049,10412669.0,1715.270864937304,1715.2708649373049,11930.58484338523,10,0.0,-113117.06,11930.58484338523,3782.944876273479,-52.95566939418431,nan,10,10,10,-52.95566939418431,1786.01,0.0,-24.110802,0.0,3782.944876273479,0.0,1715.270864937304
488000,22083.226755449716,12557134.0,22083.226755449723,22083.226755449716,221483.2694728751,11,0.0,-131911.86,221483.2694728751,66466.69201565401,-152.67313620936378,nan,10,10,11,-152.67313620936378,65745.34,0.2,-24.9128,0.2,66466.69201565401,0.0,22083.226755449723
512000,-19.847676760127047,12650590.0,-19.84767676012701,-19.847676760127047,451.3907375796419,12,0.0,-125864.98,451.3907375796419,164.57756478691974,-198.42231229220545,nan,10,10,12,-198.42231229220545,60295.613,0.2,-22.511864,0.2,164.57756478691974,0.0,-19.84767676012701
536000,-64.20748738540598,14303054.0,-64.20748738540598,-64.20748738540598,-25.71868617697953,13,0.0,-125041.0,-25.71868617697953,27.446015438515015,-101.11527066165432,nan,10,10,13,-101.11527066165432,40790.516,0.1,-21.848915,0.1,27.446015438515015,0.0,-64.20748738540598
560000,576.0160475200842,15992832.0,576.0160475200839,576.0160475200842,6185.040736035259,14,0.0,-119157.02,6185.040736035259,1869.7878421240412,-89.03587231750168,nan,10,10,14,-89.03587231750168,12821.317,0.0,-22.137205,0.0,1869.7878421240412,0.0,576.0160475200839
584000,151.9614413367471,17770178.0,151.96144133674719,151.9614413367471,1087.2327291465908,15,0.0,-117579.66,1087.2327291465908,403.0024351595025,-87.69386922439291,nan,10,10,15,-87.69386922439291,1175.5166,0.2,-22.810535,0.2,403.0024351595025,0.0,151.96144133674719
608000,2499.843404604553,16572144.0,2499.8434046045536,2499.843404604553,13233.489425189024,16,0.0,-94189.86,13233.489425189024,5071.577517603103,-57.2362675461534,nan,10,10,16,-57.2362675461534,3870.7158,0.0,-21.621464,0.0,5071.577517603103,0.0,2499.8434046045536
632000,5756.259084806444,20592746.0,5756.259084806448,5756.259084806444,58038.50203757606,17,0.0,-106931.07,58038.50203757606,17427.427176629157,-93.78838249308409,nan,10,10,17,-93.78838249308409,8429.398,0.2,-23.48782,0.2,17427.427176629157,0.0,5756.259084806448
656000,530.8988911010226,24124224.0,530.8988911010226,530.8988911010226,6080.170772558895,18,0.0,-113276.1,6080.170772558895,1850.2316695995598,-186.28892710917285,nan,10,10,18,-186.28892710917285,16266.634,0.1,-24.138025,0.1,1850.2316695995598,0.0,530.8988911010226
680000,21461.777694024182,27132162.0,21461.777694024182,21461.777694024182,133860.0459895942,19,0.0,-117412.47,133860.0459895942,42657.41865634124,-90.04429576773187,nan,10,10,19,-90.04429576773187,23088.236,0.4,-22.704636,0.4,42657.41865634124,0.0,21461.777694024182
704000,3591.9559053105863,28185864.0,3591.955905310584,3591.9559053105863,21789.509828407638,20,0.0,-115205.78,21789.509828407638,7015.209622285416,-101.6160070751254,nan,10,10,20,-101.6160070751254,3874.394,0.0,-23.481878,0.0,7015.209622285416,0.0,3591.955905310584
728000,4096.4538864586175,28089480.0,4096.453886458619,4096.4538864586175,21496.675536846542,21,0.0,-105953.086,21496.675536846542,8215.669023136932,-101.0072290069554,nan,10,10,21,-101.0072290069554,8520.815,0.0,-24.362669,0.0,8215.669023136932,0.0,4096.453886458619
752000,84036.99035250994,30644330.0,84036.99035250997,84036.99035250994,232900.45956789664,22,0.0,-99670.9,232900.45956789664,87744.37337283834,-17.94304165749479,nan,10,10,22,-17.94304165749479,16821.309,0.7,-24.664583,0.7,87744.37337283834,0.0,84036.99035250997
776000,4157.172186569355,37194572.0,4157.1721865693535,4157.172186569355,21363.680467845963,23,0.0,-106756.99,21363.680467845963,6700.163550028544,-61.99979497347814,nan,10,10,23,-61.99979497347814,639.28143,0.0,-25.467152,0.0,6700.163550028544,0.0,4157.1721865693535
800000,38217.73047702727,40095144.0,38217.73047702726,38217.73047702727,230479.75007030697,24,0.0,-110042.07,230479.75007030697,72008.39887894767,-98.6542549260411,nan,10,10,24,-98.6542549260411,487.4672,0.2,-25.23602,0.2,72008.39887894767,0.0,38217.73047702726
824000,13738.590749412524,43902516.0,13738.590749412522,13738.590749412524,84002.30275531962,25,0.0,-110096.695,84002.30275531962,24150.555898561746,-105.05284033814011,nan,10,10,25,-105.05284033814011,499.1522,0.0,-24.244051,0.0,24150.555898561746,0.0,13738.590749412522
848000,18669.399689235695,48733630.0,18669.399689235695,18669.399689235695,175907.36460183834,26,0.0,-108911.1,175907.36460183834,52457.56963288405,-69.59372153008268,nan,10,10,26,-69.59372153008268,6407.4316,0.1,-23.147648,0.1,52457.56963288405,0.0,18669.399689235695
872000,36851.67467132223,57104508.0,36851.674671322224,36851.67467132223,214545.35992371844,27,0.0,-114246.03,214545.35992371844,68821.79790991296,-100.75016577422073,nan,10,10,27,-100.75016577422073,743.0512,0.2,-22.28412,0.2,68821.79790991296,0.0,36851.674671322224
896000,55440.49580195404,73258140.0,55440.49580195404,55440.49580195404,194233.24726072195,28,0.0,-131143.1,194233.24726072195,69591.91925303335,-65.40779174991088,nan,10,10,28,-65.40779174991088,666.58575,0.2,-21.725317,0.2,69591.91925303335,0.0,55440.49580195404
920000,38473.029086235765,82511980.0,38473.029086235765,38473.029086235765,137620.92382220185,29,0.0,-136735.66,137620.92382220185,51451.44061857801,-47.552469225487194,nan,10,10,29,-47.552469225487194,1068.409,0.3,-21.111372,0.3,51451.44061857801,0.0,38473.029086235765
944000,94.5971431311203,95380744.0,94.59714313112032,94.5971431311203,678.6075870333125,30,0.0,-145682.77,678.6075870333125,290.55360980954305,-98.08019687340976,nan,10,10,30,-98.08019687340976,20722.557,0.1,-21.317894,0.1,290.55360980954305,0.0,94.59714313112032
968000,57764.58923115168,102609820.0,57764.58923115168,57764.58923115168,209484.77244355122,31,0.0,-153918.27,209484.77244355122,63233.2139175598,2345.9674415949794,nan,10,10,31,2345.9674415949794,722.0089,0.5,-21.530216,0.5,63233.2139175598,0.0,57764.58923115168
992000,36819.849120294944,107888184.0,36819.84912029492,36819.849120294944,171680.45934806086,32,0.0,-158670.75,171680.45934806086,58257.79135096349,-40.54966156459226,nan,10,10,32,-40.54966156459226,403.94382,0.3,-22.18993,0.3,58257.79135096349,0.0,36819.84912029492
1016000,93118.28204951859,115764330.0,93118.2820495186,93118.28204951859,235176.81991965865,33,0.0,-158638.73,235176.81991965865,86022.17629454983,9550.481366492875,nan,10,10,33,9550.481366492875,1189.0348,0.5,-22.886457,0.5,86022.17629454983,0.0,93118.2820495186
1040000,15145.081864957057,130572850.0,15145.081864957061,15145.081864957057,90429.35803079105,34,0.0,-168860.62,90429.35803079105,26430.527925781866,-52.88240631338535,nan,10,10,34,-52.88240631338535,804.9194,0.3,-24.066544,0.3,26430.527925781866,0.0,15145.081864957061
1064000,47162.1585398052,135894420.0,47162.1585398052,47162.1585398052,185143.73898664917,35,0.0,-171261.89,185143.73898664917,57407.56389400688,-83.15167010068933,nan,10,10,35,-83.15167010068933,397.1184,0.4,-24.42526,0.4,57407.56389400688,0.0,47162.1585398052
1088000,29007.76323647965,141401100.0,29007.76323647966,29007.76323647965,136269.3570783125,36,0.0,-178966.67,136269.3570783125,51343.4309850548,-88.25950283773571,nan,10,10,36,-88.25950283773571,342.33884,0.4,-24.359758,0.4,51343.4309850548,0.0,29007.76323647966
1112000,15222.31010780565,139893150.0,15222.310107805646,15222.31010780565,51927.63265022133,37,0.0,-180527.95,51927.63265022133,19430.111716442385,-84.4171169927621,nan,10,10,37,-84.4171169927621,321.5526,0.3,-23.501474,0.3,19430.111716442385,0.0,15222.310107805646
1136000,41991.54018194665,141715630.0,41991.54018194664,41991.54018194665,168156.9684590498,38,0.0,-175185.6,168156.9684590498,52721.95604221836,-23.696574619294186,nan,10,10,38,-23.696574619294186,783.6714,0.4,-23.418915,0.4,52721.95604221836,0.0,41991.54018194664
1160000,65809.81336837691,150941440.0,65809.8133683769,65809.81336837691,190818.94860397658,39,0.0,-179501.69,190818.94860397658,69362.58164635938,-60.748658773802994,nan,10,10,39,-60.748658773802994,567.0712,0.6,-24.290522,0.6,69362.58164635938,0.0,65809.8133683769
1184000,63765.703712972834,152381170.0,63765.703712972834,63765.703712972834,181463.56097863143,40,0.0,-178913.73,181463.56097863143,62958.57110780234,-163.51717070818327,nan,10,10,40,-163.51717070818327,638.35236,0.3,-24.18227,0.3,62958.57110780234,0.0,63765.703712972834
1208000,53114.82287932405,163708400.0,53114.82287932405,53114.82287932405,249520.73927068905,41,0.0,-185571.78,249520.73927068905,80883.58228253074,-70.2554182819899,nan,10,10,41,-70.2554182819899,781.31335,0.3,-24.217505,0.3,80883.58228253074,0.0,53114.82287932405
1232000,38581.20352741174,182177630.0,38581.20352741172,38581.20352741174,266019.3296194595,42,0.0,-186821.62,266019.3296194595,81856.52648390284,-100.27207126065373,nan,10,10,42,-100.27207126065373,1513.2552,0.2,-24.044214,0.2,81856.52648390284,0.0,38581.20352741172
1256000,106950.39446819123,192541000.0,106950.39446819124,106950.39446819123,305247.84068618057,43,0.0,-195743.03,305247.84068618057,95130.03635943074,-61.96121831374741,nan,10,10,43,-61.96121831374741,1178.1586,0.5,-23.259863,0.5,95130.03635943074,0.0,106950.39446819124
1280000,135838.70614361606,211891700.0,135838.70614361606,135838.70614361606,272692.3634736798,44,0.0,-202580.58,272692.3634736798,97115.38005028502,-18.897215860577003,nan,10,10,44,-18.897215860577003,428.82834,0.7,-23.321661,0.7,97115.38005028502,0.0,135838.70614361606
1304000,36075.07105105545,240473730.0,36075.07105105546,36075.07105105545,148342.8374103409,45,0.0,-223915.19,148342.8374103409,47551.47362393689,-40.87129086079154,nan,10,10,45,-40.87129086079154,283.33862,0.1,-23.984673,0.1,47551.47362393689,0.0,36075.07105105546
1328000,45228.835532954545,241283460.0,45228.83553295456,45228.835532954545,130359.20103631399,46,0.0,-226496.36,130359.20103631399,48986.38493194482,-34.770454195868034,nan,10,10,46,-34.770454195868034,431.05576,0.3,-24.209738,0.3,48986.38493194482,0.0,45228.83553295456
1352000,98549.26297448043,257529380.0,98549.26297448043,98549.26297448043,246465.91780962353,47,0.0,-239441.97,246465.91780962353,81957.75181767136,-26.747503293614738,nan,10,10,47,-26.747503293614738,180.56691,0.4,-24.193829,0.4,81957.75181767136,0.0,98549.26297448043
1376000,80149.24932882842,294482340.0,80149.24932882845,80149.24932882842,190125.57554823504,48,0.0,-246471.97,190125.57554823504,69879.85494830183,10409.371701236803,nan,10,10,48,10409.371701236803,314.44678,0.4,-24.333529,0.4,69879.85494830183,0.0,80149.24932882845
