policy/KLBefore,policy/LossAfter,MetaTest/Average/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/Iteration,policy/dLoss,MetaTest/pick-place-wall-v1/AverageReturn,pick-place-wall-v1/MaxReturn,pick-place-wall-v1/NumEpisodes,MetaTest/pick-place-wall-v1/MaxReturn,policy/LossBefore,Average/StdReturn,Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/pick-place-wall-v1/StdReturn,MetaTest/Average/TerminationRate,pick-place-wall-v1/AverageReturn,Average/SuccessRate,pick-place-wall-v1/StdReturn,MetaTest/pick-place-wall-v1/SuccessRate,MetaTest/Average/MaxReturn,pick-place-wall-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/pick-place-wall-v1/NumEpisodes,MetaTest/Average/MinReturn,pick-place-wall-v1/MinReturn,pick-place-wall-v1/TerminationRate,MetaTest/Average/StdReturn,Average/Iteration,Average/TerminationRate,MetaTest/Average/Iteration,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageReturn,policy/KL,policy/Entropy,Average/NumEpisodes,Average/MinReturn,pick-place-wall-v1/SuccessRate,MetaTest/pick-place-wall-v1/AverageDiscountedReturn,MetaTest/pick-place-wall-v1/TerminationRate,MetaTest/pick-place-wall-v1/MinReturn,Average/AverageReturn,pick-place-wall-v1/Iteration,Average/MaxReturn
0.0,-0.056991357,-65.75659932675062,0,0.03261584,-65.75659932675062,-36.34920317671061,100,-43.11285714766129,-0.024375519,16.77187878637174,-21.932389995667204,20000,16.985793725416134,0.0,-63.45862156207983,0.0,16.77187878637174,0.0,-43.11285714766129,-21.932389995667204,0.0,10,-91.48517117111966,-103.76029313873377,0.0,16.985793725416134,0,0.0,0,0.4019296497795316,10,-65.75659932675062,0.006088914,5.6782146,100,-103.76029313873377,0.0,-65.75659932675062,0.0,-91.48517117111966,-63.45862156207983,0,-36.34920317671061
0.0,-0.017973352,,,0.0130421445,,-8.064760341870283,100,,-0.0049312073,15.991173379926746,-18.94220812929739,40000,,,-52.094447516301116,0.0,15.991173379926746,,,-18.94220812929739,,,,-110.48527743089505,0.0,,1,0.0,,0.36256574691624877,,,0.009937381,5.6666956,100,-110.48527743089505,0.0,,,,-52.094447516301116,1,-8.064760341870283
0.0,-0.009949966,,,0.009792664,,-14.275508484885155,100,,-0.0001573021,13.951008134146498,-16.693054674098985,60000,,,-43.67571673986027,0.0,13.951008134146498,,,-16.693054674098985,,,,-84.2899936554648,0.0,,2,0.0,,0.3761810699118733,,,0.011659801,5.662026,100,-84.2899936554648,0.0,,,,-43.67571673986027,2,-14.275508484885155
0.0,-0.020171067,,,0.011950834,,-24.799952042925458,100,,-0.008220233,12.729980203647868,-16.77209368949972,80000,,,-45.17475597740173,0.0,12.729980203647868,,,-16.77209368949972,,,,-88.768750174959,0.0,,3,0.0,,0.3174906475366308,,,0.010586027,5.665093,100,-88.768750174959,0.0,,,,-45.17475597740173,3,-24.799952042925458
0.0,-0.015326304,,,0.0075719617,,32.92893537973568,100,,-0.0077543426,14.717273400596838,-15.585275870061084,100000,,,-40.78934598495044,0.0,14.717273400596838,,,-15.585275870061084,,,,-76.84684209305603,0.0,,4,0.0,,0.2705598962289598,,,0.008786715,5.6545997,100,-76.84684209305603,0.0,,,,-40.78934598495044,4,32.92893537973568
0.0,-0.029754883,,,0.0073266197,,-24.473668202015975,100,,-0.022428263,12.440443935949562,-15.875591420735429,120000,,,-41.9580845747823,0.0,12.440443935949562,,,-15.875591420735429,,,,-89.47391939910112,0.0,,5,0.0,,0.42014546456343205,,,0.010836628,5.6380305,100,-89.47391939910112,0.0,,,,-41.9580845747823,5,-24.473668202015975
0.0,-0.0031545723,,,0.005556917,,-24.379235888891877,100,,0.0024023445,9.379113226596836,-15.35856838170379,140000,,,-39.95070177880667,0.0,9.379113226596836,,,-15.35856838170379,,,,-68.74289028312478,0.0,,6,0.0,,0.3621075931299713,,,0.0126797985,5.6266556,100,-68.74289028312478,0.0,,,,-39.95070177880667,6,-24.379235888891877
0.0,-0.23719083,,,0.22075802,,1568.3671491114967,100,,-0.016432812,160.43895204811878,-12.094777821940557,160000,,,-21.588873470631285,0.0,160.43895204811878,,,-12.094777821940557,,,,-78.19861630604576,0.0,,7,0.0,,0.20327649036686446,,,0.010156029,5.5964456,100,-78.19861630604576,0.0,,,,-21.588873470631285,7,1568.3671491114967
0.0,4.8034668e-05,,,0.0019428771,,109.51355034997141,100,,0.0019909118,27.255724391272604,-15.816549232450969,180000,,,-40.77449061561955,0.0,27.255724391272604,,,-15.816549232450969,,,,-90.12841116462786,0.0,,8,0.0,,0.3420170682544772,,,0.013005962,5.5697093,100,-90.12841116462786,0.0,,,,-40.77449061561955,8,109.51355034997141
0.0,-0.012374948,,,0.01075324,,124.29608952608818,100,,-0.0016217071,19.95423785136552,-15.169945943535852,200000,,,-38.0888367828305,0.0,19.95423785136552,,,-15.169945943535852,,,,-76.3173348770392,0.0,,9,0.0,,0.4212461412483932,,,0.009758161,5.554444,100,-76.3173348770392,0.0,,,,-38.0888367828305,9,124.29608952608818
