MetaTest/window-open-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,Average/SuccessRate,policy/LossAfter,policy/dLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,Average/StdReturn,MetaTest/Average/SuccessRate,MetaTest/window-open-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/window-open-v1/TerminationRate,Average/MaxReturn,Average/TerminationRate,MetaTest/window-open-v1/MinReturn,MetaTest/Average/NumEpisodes,Average/NumEpisodes,window-open-v1/StdReturn,policy/KLBefore,policy/Entropy,window-open-v1/SuccessRate,Average/Iteration,MetaTest/window-open-v1/AverageReturn,MetaTest/window-open-v1/SuccessRate,window-open-v1/NumEpisodes,MetaTest/Average/TerminationRate,window-open-v1/MaxReturn,policy/KL,policy/LossBefore,MetaTest/Average/StdReturn,Average/AverageReturn,MetaTest/window-open-v1/NumEpisodes,window-open-v1/AverageReturn,TotalEnvSteps,window-open-v1/Iteration,MetaTest/window-open-v1/MaxReturn,MetaTest/window-open-v1/StdReturn,window-open-v1/TerminationRate,Average/AverageDiscountedReturn,Average/MinReturn,LinearFeatureBaseline/ExplainedVariance,window-open-v1/AverageDiscountedReturn,window-open-v1/MinReturn
,,,0.12,-28.281418,20.867609,,,26580.518353461863,,,,,131478.85326230165,0.0,,,100,26580.518353461863,0.0,5.7007136,0.12,15,,,100,,131478.85326230165,0.0059897085,-7.4138093,,10863.032399885515,,10863.032399885515,320000,15,,,0.0,2618.9407561116536,-35.91214169376436,0.4862058311430878,2618.9407561116536,-35.91214169376436
,,,0.07,-17.39435,16.257576,,,25138.86783577336,,,,,143287.91537282488,0.0,,,100,25138.86783577336,0.0,5.6677194,0.07,16,,,100,,143287.91537282488,0.00817242,-1.136775,,9063.053629073807,,9063.053629073807,340000,16,,,0.0,2143.4414237325454,-38.82121514223114,0.5691973889175606,2143.4414237325454,-38.82121514223114
,,,0.13,-13.295336,20.622957,,,36996.60297785633,,,,,176050.21658787507,0.0,,,100,36996.60297785633,0.0,5.612473,0.13,17,,,100,,176050.21658787507,0.005980667,7.327622,,17000.501736104492,,17000.501736104492,360000,17,,,0.0,4309.320873987212,-39.68178292378354,0.7332913119268323,4309.320873987212,-39.68178292378354
,,,0.02,0.8260648,5.357563,,,12124.225952911924,,,,,79911.07084450863,0.0,,,100,12124.225952911924,0.0,5.5885468,0.02,18,,,100,,79911.07084450863,0.0042586634,6.183628,,3331.3932349471884,,3331.3932349471884,380000,18,,,0.0,784.6803623699471,-38.5135520701111,0.6278119885263842,784.6803623699471,-38.5135520701111
,,,0.05,-10.841393,9.140137,,,20969.632170684956,,,,,123778.47288716445,0.0,,,100,20969.632170684956,0.0,5.585181,0.05,19,,,100,,123778.47288716445,0.0038005414,-1.7012563,,6739.803474841439,,6739.803474841439,400000,19,,,0.0,1557.3187182789366,-45.5584339565895,0.6540968036273911,1557.3187182789366,-45.5584339565895
4274.44013088841,2,-44.983679278900816,0.06,-19.935568,14.024256,4274.44013088841,23720.47490416278,20489.026738120716,0.0,2,4274.440130888409,0.0,106194.14678308119,0.0,-44.983679278900816,10,100,20489.026738120716,0.0,5.5799713,0.06,20,4274.440130888409,0.0,100,0.0,106194.14678308119,0.0054875594,-5.9113126,7557.631411262398,5757.57580286778,10,5757.57580286778,420000,20,23720.47490416278,7557.631411262398,0.0,1345.206812457995,-44.348838884888316,0.5958407973230786,1345.206812457995,-44.348838884888316
,,,0.05,-27.80485,18.382225,,,24093.92462195368,,,,,153820.91731273377,0.0,,,100,24093.92462195368,0.0,5.569572,0.05,21,,,100,,153820.91731273377,0.0048520835,-9.422625,,9745.34485482153,,9745.34485482153,440000,21,,,0.0,2208.1247698958405,-38.80814213233541,0.49289797573328165,2208.1247698958405,-38.80814213233541
,,,0.28,-36.572674,27.426987,,,46305.46144176526,,,,,166742.1364402123,0.0,,,100,46305.46144176526,0.0,5.542689,0.28,22,,,100,,166742.1364402123,0.0053779245,-9.145687,,32427.881459166285,,32427.881459166285,460000,22,,,0.0,7975.759883046819,-41.98915469554806,0.6726981460141357,7975.759883046819,-41.98915469554806
,,,0.0,0.60469687,1.6545922,,,6200.303477603511,,,,,44393.82975823548,0.0,,,100,6200.303477603511,0.0,5.529859,0.0,23,,,100,,44393.82975823548,0.0035238625,2.259289,,1115.635575442503,,1115.635575442503,480000,23,,,0.0,274.17538966888407,-37.158974970894874,0.47069293739492524,274.17538966888407,-37.158974970894874
,,,0.04,-6.8282266,10.254934,,,19489.273097178055,,,,,110150.30537373429,0.0,,,100,19489.273097178055,0.0,5.540237,0.04,24,,,100,,110150.30537373429,0.005446573,3.4267077,,7399.727946767595,,7399.727946767595,500000,24,,,0.0,1704.494940738852,-37.80077764206481,0.5353882583833033,1704.494940738852,-37.80077764206481
,,,0.17,-39.424076,24.047733,,,37630.33429284435,,,,,150273.43440116278,0.0,,,100,37630.33429284435,0.0,5.553596,0.17,25,,,100,,150273.43440116278,0.0042318916,-15.376344,,20595.39719333899,,20595.39719333899,520000,25,,,0.0,5077.501423491842,-36.56538455768445,0.6435767546441713,5077.501423491842,-36.56538455768445
,,,0.13,-34.462467,27.206879,,,36743.02372366577,,,,,151702.52504053092,0.0,,,100,36743.02372366577,0.0,5.5720973,0.13,26,,,100,,151702.52504053092,0.005666378,-7.2555876,,15135.963827427275,,15135.963827427275,540000,26,,,0.0,3426.128392719886,-40.41222547411221,0.6906459042428352,3426.128392719886,-40.41222547411221
,,,0.09,-18.916388,17.013912,,,32110.923281256713,,,,,174262.78620712296,0.0,,,100,32110.923281256713,0.0,5.576089,0.09,27,,,100,,174262.78620712296,0.004571021,-1.902475,,12273.321618949038,,12273.321618949038,560000,27,,,0.0,3006.9404677334487,-38.611440706583856,0.6814145137835235,3006.9404677334487,-38.611440706583856
,,,0.11,-17.60745,14.7108345,,,24003.02786307627,,,,,95527.37647354922,0.0,,,100,24003.02786307627,0.0,5.5799494,0.11,28,,,100,,95527.37647354922,0.0031892718,-2.8966157,,10281.225243154375,,10281.225243154375,580000,28,,,0.0,2356.8097869349535,-46.523294777402384,0.6177983922660872,2356.8097869349535,-46.523294777402384
,,,0.04,-17.617702,11.675253,,,19011.90869758782,,,,,156828.45726297525,0.0,,,100,19011.90869758782,0.0,5.5887837,0.04,29,,,100,,156828.45726297525,0.0070760436,-5.94245,,5860.083866066729,,5860.083866066729,600000,29,,,0.0,1305.376845786349,-46.95377111562972,0.3854928216037803,1305.376845786349,-46.95377111562972
15979.848748326724,3,-28.74046029440364,0.09,-10.57425,20.420519,15979.848748326724,83498.70405407359,28416.568922773517,0.2,3,15979.84874832672,0.0,123484.83948095459,0.0,-28.74046029440364,10,100,28416.568922773517,0.0,5.6134543,0.09,30,15979.84874832672,0.2,100,0.0,123484.83948095459,0.004194583,9.846269,30029.76185231362,11388.623656295184,10,11388.623656295184,620000,30,83498.70405407359,30029.76185231362,0.0,2694.7260967323423,-54.97510349837179,0.5123606479833249,2694.7260967323423,-54.97510349837179
,,,0.18,-47.901024,26.989973,,,45063.46507492217,,,,,180968.90571644309,0.0,,,100,45063.46507492217,0.0,5.6178217,0.18,31,,,100,,180968.90571644309,0.0055903024,-20.91105,,24640.8526405046,,24640.8526405046,640000,31,,,0.0,5881.524301538482,-40.5638506363163,0.6224202335108189,5881.524301538482,-40.5638506363163
,,,0.03,-20.792128,8.651153,,,15292.205987299452,,,,,96281.95361950513,0.0,,,100,15292.205987299452,0.0,5.617454,0.03,32,,,100,,96281.95361950513,0.0070742997,-12.140975,,6095.395913624199,,6095.395913624199,660000,32,,,0.0,1407.4960159097402,-50.43241067175136,0.5066365738450325,1407.4960159097402,-50.43241067175136
,,,0.17,-29.675707,22.73986,,,35750.54110580797,,,,,135779.7318114303,0.0,,,100,35750.54110580797,0.0,5.6339574,0.17,33,,,100,,135779.7318114303,0.0049918126,-6.935847,,20025.782919839803,,20025.782919839803,680000,33,,,0.0,4969.409127751479,-39.92089318812281,0.6909097294125293,4969.409127751479,-39.92089318812281
,,,0.16,-30.253857,21.036757,,,30038.593589837616,,,,,144780.8890974602,0.0,,,100,30038.593589837616,0.0,5.6537633,0.16,34,,,100,,144780.8890974602,0.005279181,-9.2171,,16197.258177617225,,16197.258177617225,700000,34,,,0.0,3934.040824370222,-51.91053801597946,0.535898865625434,3934.040824370222,-51.91053801597946
,,,0.18,-37.80664,29.369488,,,41533.28256875494,,,,,179869.9065445,0.0,,,100,41533.28256875494,0.0,5.6567235,0.18,35,,,100,,179869.9065445,0.005090623,-8.437153,,22476.918171530455,,22476.918171530455,720000,35,,,0.0,5448.398184461532,-42.8736605737728,0.6285477804430056,5448.398184461532,-42.8736605737728
,,,0.06,-9.381113,8.533229,,,19795.159435474565,,,,,104816.73733917951,0.0,,,100,19795.159435474565,0.0,5.6473837,0.06,36,,,100,,104816.73733917951,0.005013496,-0.84788436,,6067.196802870666,,6067.196802870666,740000,36,,,0.0,1400.6089033861626,-52.94734102823996,0.5921777630278416,1400.6089033861626,-52.94734102823996
,,,0.11,-21.211435,19.705189,,,25918.995614642336,,,,,128159.99038643324,0.0,,,100,25918.995614642336,0.0,5.6406636,0.11,37,,,100,,128159.99038643324,0.0052783247,-1.5062469,,11525.827744994947,,11525.827744994947,760000,37,,,0.0,2727.8334978899006,-47.3319562010164,0.48327302369143965,2727.8334978899006,-47.3319562010164
,,,0.04,-24.547434,20.120996,,,24072.7008325678,,,,,148544.83077815382,0.0,,,100,24072.7008325678,0.0,5.6632915,0.04,38,,,100,,148544.83077815382,0.005400156,-4.4264374,,6294.953053863287,,6294.953053863287,780000,38,,,0.0,1402.4198347276924,-46.959305506278916,0.4781419357280883,1402.4198347276924,-46.959305506278916
,,,0.06,-19.415302,13.164774,,,20104.710922125094,,,,,98280.7802376357,0.0,,,100,20104.710922125094,0.0,5.684771,0.06,39,,,100,,98280.7802376357,0.005093293,-6.2505283,,8143.205503416895,,8143.205503416895,800000,39,,,0.0,1874.30112925526,-59.52188621004752,0.6077919451940279,1874.30112925526,-59.52188621004752
39952.739836059256,4,-39.474171878979625,0.16,-35.700397,21.4805,39952.739836059256,136324.70891668857,28822.439093274923,0.3,4,39952.73983605926,0.0,127342.11291058229,0.0,-39.474171878979625,10,100,28822.439093274923,0.0,5.694526,0.16,40,39952.73983605926,0.3,100,0.0,127342.11291058229,0.0066030244,-14.219897,51039.29739412895,14962.640605826327,10,14962.640605826327,820000,40,136324.70891668857,51039.29739412895,0.0,3468.8475213748643,-54.18575698269574,0.5853367870065687,3468.8475213748643,-54.18575698269574
,,,0.12,-24.656225,16.357925,,,38827.32961149652,,,,,166236.27956749956,0.0,,,100,38827.32961149652,0.0,5.688012,0.12,41,,,100,,166236.27956749956,0.005235407,-8.2983,,20064.735104988184,,20064.735104988184,840000,41,,,0.0,4724.847712656788,-60.949605243558636,0.8083844446082362,4724.847712656788,-60.949605243558636
,,,0.06,-18.371475,11.20775,,,14882.47946752178,,,,,79419.37275380646,0.0,,,100,14882.47946752178,0.0,5.681832,0.06,42,,,100,,79419.37275380646,0.005195951,-7.163725,,4565.317349633992,,4565.317349633992,860000,42,,,0.0,1137.5778635184338,-53.365737617634,0.6192575008759904,1137.5778635184338,-53.365737617634
,,,0.04,-12.296537,19.370962,,,28365.573142231297,,,,,176609.24495350602,0.0,,,100,28365.573142231297,0.0,5.665873,0.04,43,,,100,,176609.24495350602,0.0055548795,7.074425,,8760.981327888187,,8760.981327888187,880000,43,,,0.0,2151.0061070296,-57.31014912666112,0.5143296164457282,2151.0061070296,-57.31014912666112
,,,0.17,-68.02095,34.216763,,,48234.586707477545,,,,,189973.8877009465,0.0,,,100,48234.586707477545,0.0,5.655536,0.17,44,,,100,,189973.8877009465,0.0068927184,-33.804188,,23590.10930242303,,23590.10930242303,900000,44,,,0.0,5730.732298684274,-54.23576958605379,0.7039382731057517,5730.732298684274,-54.23576958605379
,,,0.1,-21.131985,17.706795,,,22419.849952181565,,,,,137297.84433695133,0.0,,,100,22419.849952181565,0.0,5.666801,0.1,45,,,100,,137297.84433695133,0.004498417,-3.4251907,,9342.972799489931,,9342.972799489931,920000,45,,,0.0,2188.2931046569015,-60.92094145755895,0.5118055148415892,2188.2931046569015,-60.92094145755895
,,,0.04,-15.7512045,14.618275,,,19209.372994072794,,,,,117535.9451293149,0.0,,,100,19209.372994072794,0.0,5.6783442,0.04,46,,,100,,117535.9451293149,0.0037860477,-1.1329297,,6713.3101907901,,6713.3101907901,940000,46,,,0.0,1595.512167126039,-59.23873644329967,0.48957575685653765,1595.512167126039,-59.23873644329967
,,,0.08,-35.164677,15.708752,,,25569.570027074387,,,,,140911.38965445876,0.0,,,100,25569.570027074387,0.0,5.6848884,0.08,47,,,100,,140911.38965445876,0.0040809317,-19.455925,,9961.68333736303,,9961.68333736303,960000,47,,,0.0,2353.964405568363,-65.69137088698,0.4806376052520337,2353.964405568363,-65.69137088698
,,,0.06,-16.456976,15.362376,,,21266.979474510375,,,,,139445.20308039914,0.0,,,100,21266.979474510375,0.0,5.685868,0.06,48,,,100,,139445.20308039914,0.005620531,-1.0946,,8440.600493749547,,8440.600493749547,980000,48,,,0.0,1992.8404783194067,-67.54318543026403,0.5492660016910507,1992.8404783194067,-67.54318543026403
,,,0.03,-6.4558163,11.097265,,,12919.863770695172,,,,,68089.58328995107,0.0,,,100,12919.863770695172,0.0,5.695127,0.03,49,,,100,,68089.58328995107,0.0038681293,4.6414495,,3436.040179575636,,3436.040179575636,1000000,49,,,0.0,818.2712751594769,-77.1451697496976,0.543900512100624,818.2712751594769,-77.1451697496976
19535.25939462544,5,-35.658997324063726,0.12,-14.051325,25.514061,19535.25939462544,76432.11028887,40435.2376909591,0.2,5,19535.25939462544,0.0,175152.56705340245,0.0,-35.658997324063726,10,100,40435.2376909591,0.0,5.6921945,0.12,50,19535.25939462544,0.2,100,0.0,175152.56705340245,0.0063736048,11.462737,29799.661030313924,16351.4830761219,10,16351.4830761219,1020000,50,76432.11028887,29799.661030313924,0.0,4054.910458414456,-58.27011959872397,0.6785571192439414,4054.910458414456,-58.27011959872397
,,,0.03,-16.142256,17.392431,,,28031.15426306664,,,,,186133.55622152364,0.0,,,100,28031.15426306664,0.0,5.675298,0.03,51,,,100,,186133.55622152364,0.005415654,1.250175,,10082.780027228438,,10082.780027228438,1040000,51,,,0.0,2378.1118174857593,-83.20759706844255,0.5440317152073407,2378.1118174857593,-83.20759706844255
,,,0.15,-28.251913,16.994762,,,46945.8669206938,,,,,170471.64104186383,0.0,,,100,46945.8669206938,0.0,5.6414084,0.15,52,,,100,,170471.64104186383,0.005407293,-11.25715,,21629.41143200503,,21629.41143200503,1060000,52,,,0.0,4970.051982224055,-75.51360213163989,0.8633282254293373,4970.051982224055,-75.51360213163989
,,,0.0,-3.9371781,6.065487,,,9412.751799763886,,,,,46154.642517572545,0.0,,,100,9412.751799763886,0.0,5.620959,0.0,53,,,100,,46154.642517572545,0.0056004263,2.1283085,,3051.400584315715,,3051.400584315715,1080000,53,,,0.0,748.3146191778729,-84.46888414600274,0.43788395979026007,748.3146191778729,-84.46888414600274
,,,0.11,-25.3392,18.00589,,,24865.783984559464,,,,,107176.51719587066,0.0,,,100,24865.783984559464,0.0,5.613602,0.11,54,,,100,,107176.51719587066,0.0055878907,-7.333309,,11454.002101689117,,11454.002101689117,1100000,54,,,0.0,2990.950934219384,-93.56705173852127,0.6474751437628176,2990.950934219384,-93.56705173852127
,,,0.12,-15.38465,25.127987,,,43111.09669118738,,,,,169910.09515129367,0.0,,,100,43111.09669118738,0.0,5.6031165,0.12,55,,,100,,169910.09515129367,0.00455465,9.743338,,17659.325285761453,,17659.325285761453,1120000,55,,,0.0,4323.510356684078,-79.85820423837129,0.8093356010433814,4323.510356684078,-79.85820423837129
,,,0.07,-32.177746,27.335058,,,25267.065302452076,,,,,171059.07651474632,0.0,,,100,25267.065302452076,0.0,5.591835,0.07,56,,,100,,171059.07651474632,0.0075668856,-4.8426876,,8059.8465612205355,,8059.8465612205355,1140000,56,,,0.0,1924.9794213805385,-90.00231595984613,0.4492190701109635,1924.9794213805385,-90.00231595984613
,,,0.09,-27.583513,19.797844,,,30423.5446502582,,,,,156057.80335906585,0.0,,,100,30423.5446502582,0.0,5.5773034,0.09,57,,,100,,156057.80335906585,0.0054484415,-7.785669,,12821.959795986682,,12821.959795986682,1160000,57,,,0.0,3025.3152022728104,-72.91333341211623,0.585059575088835,3025.3152022728104,-72.91333341211623
,,,0.04,-30.365704,13.501579,,,18076.366940625903,,,,,121397.81843096584,0.0,,,100,18076.366940625903,0.0,5.5738597,0.04,58,,,100,,121397.81843096584,0.0048525007,-16.864124,,4881.675322702905,,4881.675322702905,1180000,58,,,0.0,1217.7050715345276,-86.64233044592741,0.60488870340318,1217.7050715345276,-86.64233044592741
,,,0.04,-18.188887,13.233677,,,13861.81807373243,,,,,68784.85154369925,0.0,,,100,13861.81807373243,0.0,5.581429,0.04,59,,,100,,68784.85154369925,0.0060818745,-4.9552093,,3925.20046578953,,3925.20046578953,1200000,59,,,0.0,968.6657953563996,-75.46411074200063,0.5552766375499026,968.6657953563996,-75.46411074200063
93.82726559925564,6,-78.48725380713236,0.06,-29.073196,22.71223,93.82726559925564,1488.2488472879859,35797.885310414655,0.0,6,93.82726559925561,0.0,175934.05804122513,0.0,-78.48725380713236,10,100,35797.885310414655,0.0,5.588067,0.06,60,93.82726559925561,0.0,100,0.0,175934.05804122513,0.0052673724,-6.3609657,465.03272305478066,11825.999433942568,10,11825.999433942568,1220000,60,1488.2488472879859,465.03272305478066,0.0,3095.2771592452873,-86.886719032117,0.6637421090307543,3095.2771592452873,-86.886719032117
,,,0.07,-21.582663,19.84685,,,21902.878354089517,,,,,95933.6119845225,0.0,,,100,21902.878354089517,0.0,5.5970564,0.07,61,,,100,,95933.6119845225,0.006481634,-1.7358125,,8282.333263992501,,8282.333263992501,1240000,61,,,0.0,1925.4718098720498,-84.1737490955099,0.567359831550098,1925.4718098720498,-84.1737490955099
,,,0.04,-16.091825,14.426373,,,29059.59319376997,,,,,185257.42829284142,0.0,,,100,29059.59319376997,0.0,5.6026053,0.04,62,,,100,,185257.42829284142,0.003798716,-1.6654531,,8865.223668992683,,8865.223668992683,1260000,62,,,0.0,2267.1320756068912,-75.78935658637569,0.5443545837749637,2267.1320756068912,-75.78935658637569
,,,0.07,-16.46135,15.056757,,,20889.27471445888,,,,,106340.7785636192,0.0,,,100,20889.27471445888,0.0,5.6062474,0.07,63,,,100,,106340.7785636192,0.0051763533,-1.404593,,8335.25438181299,,8335.25438181299,1280000,63,,,0.0,2033.5773161835511,-93.22147360632215,0.6566268682172566,2033.5773161835511,-93.22147360632215
,,,0.21,-62.35492,38.98845,,,46464.15253185878,,,,,181795.33341463047,0.0,,,100,46464.15253185878,0.0,5.5947185,0.21,64,,,100,,181795.33341463047,0.0064827017,-23.366468,,23343.248007374248,,23343.248007374248,1300000,64,,,0.0,5599.3792566474285,-85.71617452612351,0.6872246117768439,5599.3792566474285,-85.71617452612351
,,,0.1,-24.32555,22.63432,,,24677.23952441942,,,,,130701.07947800335,0.0,,,100,24677.23952441942,0.0,5.5893555,0.1,65,,,100,,130701.07947800335,0.00807969,-1.6912313,,10686.125384126979,,10686.125384126979,1320000,65,,,0.0,2692.4952241252677,-87.63158849940805,0.6171853825212716,2692.4952241252677,-87.63158849940805
,,,0.03,-25.689865,11.856147,,,19080.845704941166,,,,,151235.39875739624,0.0,,,100,19080.845704941166,0.0,5.5914607,0.03,66,,,100,,151235.39875739624,0.006807712,-13.833718,,4564.468175302283,,4564.468175302283,1340000,66,,,0.0,1032.7217397721731,-98.18317781945528,0.4905507689955466,1032.7217397721731,-98.18317781945528
,,,0.03,-14.456982,12.82236,,,15385.39535248588,,,,,88100.16286218748,0.0,,,100,15385.39535248588,0.0,5.596679,0.03,67,,,100,,88100.16286218748,0.0050130645,-1.6346219,,4943.24320720825,,4943.24320720825,1360000,67,,,0.0,1265.1006591942223,-93.76846543997667,0.5312236532715288,1265.1006591942223,-93.76846543997667
,,,0.12,-45.614624,29.721674,,,31153.93200850169,,,,,157441.11088857072,0.0,,,100,31153.93200850169,0.0,5.606107,0.12,68,,,100,,157441.11088857072,0.0048234337,-15.89295,,11045.630967197909,,11045.630967197909,1380000,68,,,0.0,2521.12118663384,-91.28829915055262,0.6432999430888917,2521.12118663384,-91.28829915055262
,,,0.08,-20.349474,21.654728,,,23568.354875655423,,,,,124464.67247882008,0.0,,,100,23568.354875655423,0.0,5.6058326,0.08,69,,,100,,124464.67247882008,0.0052545965,1.3052539,,8467.302360025213,,8467.302360025213,1400000,69,,,0.0,2149.374916068525,-89.24309536032015,0.5370712447595103,2149.374916068525,-89.24309536032015
