bin-picking-v1/MinReturn,bin-picking-v1/AverageReturn,MetaTest/Average/MaxReturn,bin-picking-v1/MaxReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/SuccessRate,bin-picking-v1/AverageDiscountedReturn,policy/dLoss,bin-picking-v1/StdReturn,MetaTest/bin-picking-v1/TerminationRate,policy/Entropy,bin-picking-v1/NumEpisodes,Average/SuccessRate,LinearFeatureBaseline/ExplainedVariance,TotalEnvSteps,policy/LossBefore,Average/NumEpisodes,MetaTest/bin-picking-v1/MaxReturn,Average/TerminationRate,MetaTest/bin-picking-v1/AverageDiscountedReturn,MetaTest/bin-picking-v1/NumEpisodes,Average/MaxReturn,Average/StdReturn,Average/AverageReturn,bin-picking-v1/Iteration,bin-picking-v1/TerminationRate,MetaTest/Average/StdReturn,MetaTest/Average/AverageReturn,bin-picking-v1/SuccessRate,Average/MinReturn,policy/KLBefore,MetaTest/Average/NumEpisodes,MetaTest/bin-picking-v1/Iteration,MetaTest/bin-picking-v1/StdReturn,MetaTest/bin-picking-v1/MinReturn,Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,policy/KL,Average/Iteration,MetaTest/bin-picking-v1/AverageReturn,MetaTest/bin-picking-v1/SuccessRate,MetaTest/Average/TerminationRate,policy/LossAfter
-196.93747344294022,-81.33022699461202,-36.88897360389204,-29.155084548911553,-106.68392055989807,0.0,-33.42424710286646,0.017001167,37.54165507724494,0.0,5.6679435,100,0.0,0.9217029570514231,20000,-0.021574177,100,-36.88897360389204,0.0,-106.68392055989807,10,-29.155084548911553,37.54165507724494,-81.33022699461202,0,0.0,32.703393854695,-106.68392055989807,0.0,-196.93747344294022,0.0,10,0,32.703393854695,-143.66702143875506,-33.42424710286646,0,-143.66702143875506,0.0060942997,0,-106.68392055989807,0.0,0.0,-0.038575344
-114.15803896214057,-68.06167000047884,,-23.537395028837256,,,-29.040766948144352,0.0077073313,22.348880657992428,,5.6488266,100,0.1,0.8656145520124681,40000,-0.012583556,100,,0.0,,,-23.537395028837256,22.348880657992428,-68.06167000047884,1,0.0,,,0.1,-114.15803896214057,0.0,,,,,-29.040766948144352,,,0.0093101505,1,,,,-0.020290887
-160.1552548484019,-102.28932674978219,,-34.59078871077919,,,-43.60934468226313,0.01721266,35.97126881462834,,5.6287103,100,0.0,0.9019266322962036,60000,-0.014754217,100,,0.0,,,-34.59078871077919,35.97126881462834,-102.28932674978219,2,0.0,,,0.0,-160.1552548484019,0.0,,,,,-43.60934468226313,,,0.013226941,2,,,,-0.031966876
-145.73598887095562,-71.3264541402553,,-28.53678105244451,,,-30.796105280395523,0.009464041,26.389937726669036,,5.61654,100,0.0,0.8780262098570791,80000,-0.012026218,100,,0.0,,,-28.53678105244451,26.389937726669036,-71.3264541402553,3,0.0,,,0.0,-145.73598887095562,0.0,,,,,-30.796105280395523,,,0.011731737,3,,,,-0.02149026
-143.09535371837856,-84.14174784041693,,-31.83197597796424,,,-36.907839597185124,0.011875687,27.986052966400155,,5.6066995,100,0.1,0.8767044143568661,100000,-0.017208273,100,,0.0,,,-31.83197597796424,27.986052966400155,-84.14174784041693,4,0.0,,,0.1,-143.09535371837856,0.0,,,,,-36.907839597185124,,,0.012416234,4,,,,-0.02908396
-124.0669508571212,-60.6239380657803,,-26.96898127767875,,,-27.35613804131303,0.0059868293,22.3716547004521,,5.58641,100,0.0,0.8655524168386663,120000,-0.015131294,100,,0.0,,,-26.96898127767875,22.3716547004521,-60.6239380657803,5,0.0,,,0.0,-124.0669508571212,0.0,,,,,-27.35613804131303,,,0.008880206,5,,,,-0.021118123
-125.77414672672332,-65.18698482959003,,-24.758452352705145,,,-29.276068027380514,0.00168022,26.333042120690767,,5.5587244,100,0.0,0.9137857238238271,140000,-0.0055882246,100,,0.0,,,-24.758452352705145,26.333042120690767,-65.18698482959003,6,0.0,,,0.0,-125.77414672672332,0.0,,,,,-29.276068027380514,,,0.010320663,6,,,,-0.0072684446
-97.67719000739545,-52.94701025456879,,-22.53662855583545,,,-25.697263358798935,0.0042547355,20.964555022509735,,5.5352325,100,0.0,0.8792788884189209,160000,-0.0076288977,100,,0.0,,,-22.53662855583545,20.964555022509735,-52.94701025456879,7,0.0,,,0.0,-97.67719000739545,0.0,,,,,-25.697263358798935,,,0.009785182,7,,,,-0.011883633
-69.85111068766636,-46.06399867280562,,-29.585124076216953,,,-21.242277061607503,0.002530757,8.796315785379395,,5.5112386,100,0.0,0.6753554594477074,180000,-0.0019573623,100,,0.0,,,-29.585124076216953,8.796315785379395,-46.06399867280562,8,0.0,,,0.0,-69.85111068766636,0.0,,,,,-21.242277061607503,,,0.010356463,8,,,,-0.0044881194
-106.0825476650293,-64.69073991399787,,-25.71514537992764,,,-30.54358980239701,0.0016589025,16.582455299881765,,5.4870124,100,0.0,0.874025052314694,200000,-0.009267475,100,,0.0,,,-25.71514537992764,16.582455299881765,-64.69073991399787,9,0.0,,,0.0,-106.0825476650293,0.0,,,,,-30.54358980239701,,,0.007429613,9,,,,-0.010926378
-76.86314621402379,-45.94029407337781,-37.04746660782651,-20.036921948482718,-64.66779359064483,0.0,-21.770359013894087,0.0005087538,13.508755304084909,0.0,5.465813,100,0.0,0.8316061243033697,220000,-0.0032577668,100,-37.04746660782651,0.0,-64.66779359064483,10,-20.036921948482718,13.508755304084909,-45.94029407337781,10,0.0,19.912050024149632,-64.66779359064482,0.0,-76.86314621402379,0.0,10,1,19.912050024149632,-103.0496589386056,-21.770359013894087,1,-103.0496589386056,0.0074021867,10,-64.66779359064482,0.0,0.0,-0.0037665206
-65.74275913467116,-43.459659475273604,,-24.846837545039776,,,-20.92734517018167,0.0017873673,9.968183226660916,,5.4460273,100,0.0,0.7437276718205202,240000,-0.00793766,100,,0.0,,,-24.846837545039776,9.968183226660916,-43.459659475273604,11,0.0,,,0.0,-65.74275913467116,0.0,,,,,-20.92734517018167,,,0.008040808,11,,,,-0.009725028
-89.89224649873704,-43.10883853710555,,-22.76188459975277,,,-20.07683800747786,0.0050657867,16.663743212003794,,5.4301,100,0.0,0.9142336651103137,260000,0.00079486694,100,,0.0,,,-22.76188459975277,16.663743212003794,-43.10883853710555,12,0.0,,,0.0,-89.89224649873704,0.0,,,,,-20.07683800747786,,,0.012283218,12,,,,-0.0042709196
-107.62073803692118,-54.373152444561185,,-24.417031378253114,,,-25.540474323079152,0.002466442,23.352845492561364,,5.4085608,100,0.1,0.9265930386600858,280000,-0.011377042,100,,0.0,,,-24.417031378253114,23.352845492561364,-54.373152444561185,13,0.0,,,0.1,-107.62073803692118,0.0,,,,,-25.540474323079152,,,0.0077933944,13,,,,-0.013843484
-87.6269880211486,-50.31885307448246,,-23.60890012714846,,,-24.770060369528604,0.002746887,16.491527038830935,,5.3948693,100,0.0,0.9150087657261177,300000,-0.0014344848,100,,0.0,,,-23.60890012714846,16.491527038830935,-50.31885307448246,14,0.0,,,0.0,-87.6269880211486,0.0,,,,,-24.770060369528604,,,0.0072167283,14,,,,-0.004181372
-67.1717205243827,-39.61003977952812,,-23.34223427786272,,,-19.597314422626233,0.001570743,9.081442156689011,,5.3838663,100,0.0,0.7888708497884604,320000,-0.0059032897,100,,0.0,,,-23.34223427786272,9.081442156689011,-39.61003977952812,15,0.0,,,0.0,-67.1717205243827,0.0,,,,,-19.597314422626233,,,0.0060333316,15,,,,-0.0074740327
-103.46097910472047,-41.378926106631944,,-21.807940415046325,,,-18.304503502871995,0.006158583,18.991222127748365,,5.372894,100,0.0,0.9266560478209868,340000,-0.0049530854,100,,0.0,,,-21.807940415046325,18.991222127748365,-41.378926106631944,16,0.0,,,0.0,-103.46097910472047,0.0,,,,,-18.304503502871995,,,0.004995275,16,,,,-0.011111668
-92.35575678155067,-52.38291662017531,,-24.196586979657614,,,-24.11156058475427,0.003963859,20.814831877427,,5.366735,100,0.1,0.9377697095171228,360000,-0.007827218,100,,0.0,,,-24.196586979657614,20.814831877427,-52.38291662017531,17,0.0,,,0.1,-92.35575678155067,0.0,,,,,-24.11156058475427,,,0.0067810416,17,,,,-0.0117910765
-76.40469091134908,-44.29047010481473,,-25.36494165337807,,,-21.373037590220928,0.002718057,12.945156935975909,,5.35704,100,0.0,0.8611057701156799,380000,-0.0046664583,100,,0.0,,,-25.36494165337807,12.945156935975909,-44.29047010481473,18,0.0,,,0.0,-76.40469091134908,0.0,,,,,-21.373037590220928,,,0.008686867,18,,,,-0.0073845154
-57.86964685041758,-35.284926195560324,,-22.82872781584464,,,-17.280655781546912,0.0010497062,8.399077667667731,,5.3453727,100,0.0,0.819862278731643,400000,-0.004753941,100,,0.0,,,-22.82872781584464,8.399077667667731,-35.284926195560324,19,0.0,,,0.0,-57.86964685041758,0.0,,,,,-17.280655781546912,,,0.0073327315,19,,,,-0.0058036475
-97.84014641592587,-39.739645101407206,-26.17980855667182,-21.261889514770296,-56.7326328238326,0.0,-20.21431600539948,0.0043545635,17.100066180923896,0.0,5.335589,100,0.1,0.8884914142866676,420000,-0.0031715531,100,-26.17980855667182,0.0,-56.7326328238326,10,-21.261889514770296,17.100066180923896,-39.739645101407206,20,0.0,27.559981198158788,-56.73263282383259,0.1,-97.84014641592587,0.0,10,2,27.559981198158788,-99.71129978987143,-20.21431600539948,2,-99.71129978987143,0.00707302,20,-56.73263282383259,0.0,0.0,-0.007526117
-78.08502321779395,-44.07846281609335,,-22.481671833323986,,,-21.347610274898443,-0.0012506535,17.199938320977036,,5.315053,100,0.0,0.9055325875178034,440000,-0.008196799,100,,0.0,,,-22.481671833323986,17.199938320977036,-44.07846281609335,21,0.0,,,0.0,-78.08502321779395,0.0,,,,,-21.347610274898443,,,0.0068124114,21,,,,-0.0069461456
-93.79662724798426,-40.062992422568044,,-22.104401953714746,,,-19.2304205556281,0.0012279939,17.87385178855152,,5.3036656,100,0.0,0.9341866401262249,460000,-0.0016581024,100,,0.0,,,-22.104401953714746,17.87385178855152,-40.062992422568044,22,0.0,,,0.0,-93.79662724798426,0.0,,,,,-19.2304205556281,,,0.008924023,22,,,,-0.0028860962
-99.6113436628269,-52.13439753820906,,-21.03199714294094,,,-24.568543987018547,0.004193424,22.674558793678543,,5.2988887,100,0.0,0.945080806136464,480000,-0.005322864,100,,0.0,,,-21.03199714294094,22.674558793678543,-52.13439753820906,23,0.0,,,0.0,-99.6113436628269,0.0,,,,,-24.568543987018547,,,0.005903627,23,,,,-0.009516288
-100.27548018578943,-46.57851990379002,,-19.265772412402143,,,-21.85970854291502,-0.0003587189,23.951503107549808,,5.2793055,100,0.0,0.9441861194519088,500000,-0.0071735014,100,,0.0,,,-19.265772412402143,23.951503107549808,-46.57851990379002,24,0.0,,,0.0,-100.27548018578943,0.0,,,,,-21.85970854291502,,,0.004716731,24,,,,-0.0068147825
-92.34823283037963,-42.25680307903153,,-20.790889066545933,,,-19.986188800995418,-0.002048926,19.28989137039276,,5.2547083,100,0.0,0.9428175226132016,520000,-0.007176221,100,,0.0,,,-20.790889066545933,19.28989137039276,-42.25680307903153,25,0.0,,,0.0,-92.34823283037963,0.0,,,,,-19.986188800995418,,,0.007041795,25,,,,-0.005127295
-63.24269944007908,-38.84661655053773,,-21.423697302986838,,,-19.378705892797154,-0.003597673,11.904655479833927,,5.231902,100,0.0,0.8889011717071243,540000,-0.00022529603,100,,0.0,,,-21.423697302986838,11.904655479833927,-38.84661655053773,26,0.0,,,0.0,-63.24269944007908,0.0,,,,,-19.378705892797154,,,0.0043900413,26,,,,0.003372377
-71.56970208498758,-39.662772111435935,,-22.835153319092996,,,-19.322496895859075,0.00078153075,13.295153373709779,,5.2170305,100,0.1,0.8993424126853009,560000,-0.0015824952,100,,0.0,,,-22.835153319092996,13.295153373709779,-39.662772111435935,27,0.0,,,0.1,-71.56970208498758,0.0,,,,,-19.322496895859075,,,0.0055484176,27,,,,-0.002364026
