MetaTest/Average/Iteration,sweep-v1/TerminationRate,Average/Iteration,sweep-v1/NumEpisodes,MetaTest/sweep-v1/TerminationRate,GaussianMLPPolicy/Entropy,sweep-v1/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/MinReturn,MetaTest/sweep-v1/NumEpisodes,Average/MaxReturn,Iteration,Average/TerminationRate,Average/NumEpisodes,MetaTest/sweep-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,TotalEnvSteps,GaussianMLPPolicy/KLBefore,MetaTest/Average/SuccessRate,MetaTest/sweep-v1/SuccessRate,Average/AverageDiscountedReturn,sweep-v1/MinReturn,GaussianMLPPolicy/dLoss,MetaTest/sweep-v1/StdReturn,MetaTest/sweep-v1/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/StdReturn,GaussianMLPPolicy/LossAfter,Average/AverageReturn,sweep-v1/MaxReturn,Average/SuccessRate,MetaTest/Average/AverageDiscountedReturn,sweep-v1/AverageReturn,Average/StdReturn,sweep-v1/StdReturn,MetaTest/sweep-v1/AverageReturn,Average/MinReturn,GaussianMLPPolicy/LossBefore,MetaTest/sweep-v1/MinReturn,MetaTest/Average/AverageReturn,sweep-v1/AverageDiscountedReturn,MetaTest/sweep-v1/Iteration,GaussianMLPPolicy/KLAfter,sweep-v1/SuccessRate
0,0.0,0,200,0.0,5.664365291595459,0,50,-51.05138890675459,50,2160.8835967996984,0,0.0,200,-8.050340246458488,390.3766705641716,80000,0.0,0.0,0.0,-10.608641574118954,-66.42132313385657,0.0011861867969855666,71.26787399664488,390.3766705641716,0.0,71.26787399664488,-0.002044903114438057,-15.723551353172857,2160.8835967996984,0.0,-8.050340246458488,-15.723551353172857,169.4161656554797,169.4161656554797,-8.050340246458482,-66.42132313385657,-0.0008587163174524903,-51.05138890675459,-8.050340246458482,-10.608641574118954,0,0.006710580550134182,0.0
,0.0,1,200,,5.687255859375,1,,,,8338.97286060011,1,0.0,200,,,160000,0.0,,,28.565197350143354,-57.48661290402805,0.0010488364132470451,,,,,5.8279816585127264e-05,122.72190042448119,8338.97286060011,0.0,,122.72190042448119,729.5865732753223,729.5865732753223,,-57.48661290402805,0.0011071162298321724,,,28.565197350143354,,0.009554028511047363,0.0
,0.0,2,200,,5.706809997558594,2,,,,8381.356222947341,2,0.0,200,,,240000,0.0,,,47.97707048331495,-32.86974971427217,0.0006577366257261019,,,,,-2.741413118201308e-05,207.50540029153356,8381.356222947341,0.0,,207.50540029153356,788.860463035282,788.860463035282,,-32.86974971427217,0.0006303224945440888,,,47.97707048331495,,0.008235271088778973,0.0
,0.0,3,200,,5.732403755187988,3,,,,7546.052212485615,3,0.0,200,,,320000,0.0,,,122.6121088677524,-23.708077927506345,6.568126991624013e-05,,,,,4.501152579905465e-05,476.81143560203054,7546.052212485615,0.0,,476.81143560203054,1128.9842423874302,1128.9842423874302,,-23.708077927506345,0.00011069279571529478,,,122.6121088677524,,0.00690724840387702,0.0
,0.0,4,200,,5.729493141174316,4,,,,9997.826908890269,4,0.0,200,,,400000,0.0,,,206.10136132568604,-25.3129964484286,4.114731837034924e-06,,,,,-6.363307875290047e-06,843.2465255566631,9997.826908890269,0.0,,843.2465255566631,1585.2943503108881,1585.2943503108881,,-25.3129964484286,-2.2485760382551234e-06,,,206.10136132568604,,0.002770931925624609,0.0
,0.0,5,200,,5.6846747398376465,5,,,,24989.837606881134,5,0.0,200,,,480000,0.0,,,436.48724386161683,-24.694532399031917,3.173125151079148e-06,,,,,-3.921810639440082e-05,1771.9104295806203,24989.837606881134,0.005,,1771.9104295806203,3480.527432893585,3480.527432893585,,-24.694532399031917,-3.604498124332167e-05,,,436.48724386161683,,0.002096392447128892,0.005
,0.0,6,200,,5.696602821350098,6,,,,20167.39018084612,6,0.0,200,,,560000,0.0,,,335.2759723592176,-21.57053343744899,5.893170055060182e-06,,,,,4.059921593579929e-06,1389.734252668103,20167.39018084612,0.0,,1389.734252668103,2801.6005127775825,2801.6005127775825,,-21.57053343744899,9.953091648640111e-06,,,335.2759723592176,,0.0031288776081055403,0.0
,0.0,7,200,,5.664355278015137,7,,,,14884.153645952849,7,0.0,200,,,640000,0.0,,,502.5678369043281,-20.507893592645893,6.093414413044229e-07,,,,,-2.3444725229637697e-05,2034.8322241830354,14884.153645952849,0.0,,2034.8322241830354,3260.859953849757,3260.859953849757,,-20.507893592645893,-2.2835383788333274e-05,,,502.5678369043281,,0.0004203934222459793,0.0
,0.0,8,200,,5.637269496917725,8,,,,21360.012883861382,8,0.0,200,,,720000,0.0,,,424.07975178270004,-21.94117989164778,5.145358954905532e-06,,,,,-2.9278846341185272e-05,1721.0050081495242,21360.012883861382,0.0,,1721.0050081495242,2973.2880894640216,2973.2880894640216,,-21.94117989164778,-2.413348738627974e-05,,,424.07975178270004,,0.0028748917393386364,0.0
,0.0,9,200,,5.620353698730469,9,,,,19026.433649244427,9,0.0,200,,,800000,0.0,,,502.98368151313,-19.901940509102435,6.22414518147707e-07,,,,,-1.2934042388224043e-05,2054.6043268813455,19026.433649244427,0.0,,2054.6043268813455,2935.349995589136,2935.349995589136,,-19.901940509102435,-1.2311627870076336e-05,,,502.98368151313,,0.0004301786539144814,0.0
1,0.0,10,200,0.0,5.606208801269531,10,50,-17.9659477210294,50,22452.139153674612,10,0.0,200,2577.8902401997307,18036.099860743696,880000,0.0,0.0,0.0,609.6103652149797,-18.864010173109758,1.965661795111373e-06,3777.921748203158,18036.099860743696,0.0,3777.921748203158,-1.1150391401315574e-05,2339.601295922525,22452.139153674612,0.005,2577.8902401997307,2339.601295922525,3792.24599649425,3792.24599649425,2577.890240199731,-18.864010173109758,-9.1847296062042e-06,-17.9659477210294,2577.890240199731,609.6103652149797,1,0.001257921801880002,0.005
,0.0,11,200,,5.599967956542969,11,,,,20434.989915596012,11,0.0,200,,,960000,0.0,,,627.1339099382566,-20.413356720446547,2.170113475585822e-07,,,,,-4.487783826334635e-06,2527.721453523656,20434.989915596012,0.0,,2527.721453523656,3802.970159747116,3802.970159747116,,-20.413356720446547,-4.270772478776053e-06,,,627.1339099382566,,0.00015141199401114136,0.0
,0.0,12,200,,5.590853214263916,12,,,,17989.2589489215,12,0.0,200,,,1040000,0.0,,,491.72121359668233,-20.89918740002965,8.790357242105529e-08,,,,,-6.65547258904553e-06,2026.9758190935233,17989.2589489215,0.0,,2026.9758190935233,3304.84595699519,3304.84595699519,,-20.89918740002965,-6.567569016624475e-06,,,491.72121359668233,,6.213646702235565e-05,0.0
,0.0,13,200,,5.591341495513916,13,,,,20898.87592162129,13,0.0,200,,,1120000,0.0,,,632.1638738217548,-18.982129826931963,1.6422569615315297e-07,,,,,1.6857438822626136e-07,2627.757391650629,20898.87592162129,0.005,,2627.757391650629,4017.382458220327,4017.382458220327,,-18.982129826931963,3.3280008437941433e-07,,,632.1638738217548,,0.00011517749953782186,0.005
,0.0,14,200,,5.588149547576904,14,,,,31773.02250918147,14,0.0,200,,,1200000,0.0,,,650.4386905737081,-18.56405991007428,1.0616568033583462e-06,,,,,-6.038898391125258e-06,2550.4106022048327,31773.02250918147,0.01,,2550.4106022048327,4090.363447477168,4090.363447477168,,-18.56405991007428,-4.977241587766912e-06,,,650.4386905737081,,0.0007561593665741384,0.01
,0.0,15,200,,5.5805463790893555,15,,,,18619.80716861491,15,0.0,200,,,1280000,0.0,,,549.5962258624019,-19.80938071327062,2.0178094928269275e-07,,,,,-6.0970255617576186e-06,2224.607388626925,18619.80716861491,0.0,,2224.607388626925,3301.4480309883006,3301.4480309883006,,-19.80938071327062,-5.895244612474926e-06,,,549.5962258624019,,0.00014140931307338178,0.0
,0.0,16,200,,5.558822154998779,16,,,,20530.2698185616,16,0.0,200,,,1360000,0.0,,,639.3009159209935,-17.67138586737778,2.65668859356083e-07,,,,,-1.587513179401867e-05,2490.5865005588976,20530.2698185616,0.005,,2490.5865005588976,3613.7817384384284,3613.7817384384284,,-17.67138586737778,-1.5609462934662588e-05,,,639.3009159209935,,0.00018569172243587673,0.005
,0.0,17,200,,5.546572208404541,17,,,,24164.144542250102,17,0.0,200,,,1440000,0.0,,,731.5742409340019,-18.817502410422108,1.6674948710715398e-07,,,,,-8.108627298497595e-06,2980.3320595092337,24164.144542250102,0.005,,2980.3320595092337,4542.481264777247,4542.481264777247,,-18.817502410422108,-7.941877811390441e-06,,,731.5742409340019,,0.00011735029693227261,0.005
,0.0,18,200,,5.546690940856934,18,,,,18687.65455275448,18,0.0,200,,,1520000,0.0,,,702.0291165877794,-19.563198518849003,2.73164189934505e-07,,,,,-1.846994592824558e-07,2757.53325043528,18687.65455275448,0.0,,2757.53325043528,3834.6623001717885,3834.6623001717885,,-19.563198518849003,8.846473065204918e-08,,,702.0291165877794,,0.00019061788043472916,0.0
,0.0,19,200,,5.511002540588379,19,,,,15743.717810503666,19,0.0,200,,,1600000,0.0,,,565.3272157071617,-17.74833572924232,6.096324796089903e-07,,,,,-2.668139677552972e-05,2278.6998924393274,15743.717810503666,0.0,,2278.6998924393274,2919.4206951605156,2919.4206951605156,,-17.74833572924232,-2.607176429592073e-05,,,565.3272157071617,,0.00042109735659323633,0.0
2,0.0,20,200,0.0,5.506508827209473,20,50,-19.0931407259682,50,23396.819907398243,20,0.0,200,2391.190293572497,24307.63273299397,1680000,0.0,0.0,0.0,710.2041799609708,-17.75499802234973,6.384948392224032e-08,4540.55189240328,24307.63273299397,0.0,4540.55189240328,-3.3049775538529502e-06,2846.916686279756,23396.819907398243,0.005,2391.190293572497,2846.916686279756,4099.58384379395,4099.58384379395,2391.1902935724966,-17.75499802234973,-3.24112806993071e-06,-19.0931407259682,2391.1902935724966,710.2041799609708,2,4.507858102442697e-05,0.005
,0.0,21,200,,5.509125232696533,21,,,,24869.72236247313,21,0.0,200,,,1760000,0.0,,,820.0027365687353,-20.514806646929024,3.979380380769726e-08,,,,,2.404880888207117e-06,3305.4544608502724,24869.72236247313,0.0,,3305.4544608502724,5068.082306843823,5068.082306843823,,-20.514806646929024,2.4446746920148144e-06,,,820.0027365687353,,2.7963298634858802e-05,0.0
,0.0,22,200,,5.509225845336914,22,,,,29768.41351286435,22,0.0,200,,,1840000,0.0,,,695.0100872761566,-20.359770390388213,2.6716898560152913e-07,,,,,-1.840049037582503e-07,2796.213639537937,29768.41351286435,0.0,,2796.213639537937,4570.338861853785,4570.338861853785,,-20.359770390388213,8.316408184327884e-08,,,695.0100872761566,,0.00018647951947059482,0.0
,0.0,23,200,,5.486755847930908,23,,,,18927.278476556698,23,0.0,200,,,1920000,0.0,,,758.5560038062996,-18.627443655377053,3.3849210012704134e-07,,,,,-1.5886969777056947e-05,2947.1110763324195,18927.278476556698,0.0,,2947.1110763324195,4067.291781417746,4067.291781417746,,-18.627443655377053,-1.5548477676929906e-05,,,758.5560038062996,,0.00023617823899257928,0.0
,0.0,24,200,,5.474484920501709,24,,,,22755.482224748568,24,0.0,200,,,2000000,0.0,,,599.6246290472316,-19.951094933424503,2.84690031548962e-07,,,,,-1.0856989320018329e-05,2374.4472304920346,22755.482224748568,0.0,,2374.4472304920346,3826.154345613815,3826.154345613815,,-19.951094933424503,-1.0572299288469367e-05,,,599.6246290472316,,0.00019912011339329183,0.0
,0.0,25,200,,5.475956916809082,25,,,,19978.565675530102,25,0.0,200,,,2080000,0.0,,,793.7813142650493,-18.79767772908272,1.3477381344273454e-07,,,,,9.02069587027654e-07,3191.0714021905987,19978.565675530102,0.005,,3191.0714021905987,4226.797443430373,4226.797443430373,,-18.79767772908272,1.0368434004703886e-06,,,793.7813142650493,,9.497211431153119e-05,0.005
,0.0,26,200,,5.444024085998535,26,,,,24261.328397557092,26,0.0,200,,,2160000,0.0,,,732.4160135614383,-17.94374135000097,4.1755629354156554e-07,,,,,-2.2982469090493396e-05,2959.5491229246836,24261.328397557092,0.015,,2959.5491229246836,4556.930444548756,4556.930444548756,,-17.94374135000097,-2.256491279695183e-05,,,732.4160135614383,,0.00029022435774095356,0.015
,0.0,27,200,,5.4424285888671875,27,,,,28243.12392793794,27,0.0,200,,,2240000,0.0,,,716.0495118506293,-18.02667297091713,2.4387395569647197e-07,,,,,-1.8216051103081554e-06,2733.535270620375,28243.12392793794,0.0,,2733.535270620375,4416.631825239676,4416.631825239676,,-18.02667297091713,-1.5777311546116835e-06,,,716.0495118506293,,0.00017101857520174235,0.0
,0.0,28,200,,5.428077697753906,28,,,,33320.81937620875,28,0.0,200,,,2320000,0.0,,,696.5653596360117,-20.500500489896897,3.063887561438605e-07,,,,,-1.0822497642948292e-05,2730.4498494134045,33320.81937620875,0.005,,2730.4498494134045,4139.685377783851,4139.685377783851,,-20.500500489896897,-1.0516108886804432e-05,,,696.5653596360117,,0.00021386347361840308,0.005
,0.0,29,200,,5.4187188148498535,29,,,,22391.491838851023,29,0.0,200,,,2400000,0.0,,,922.468522682421,-17.240240348110643,2.138463059964124e-07,,,,,-7.57080579205649e-06,3739.9942658820305,22391.491838851023,0.005,,3739.9942658820305,4958.611921787174,4958.611921787174,,-17.240240348110643,-7.356959486060077e-06,,,922.468522682421,,0.00015007206820882857,0.005
3,0.0,30,200,0.0,5.406188488006592,30,50,-21.429446372191784,50,24325.23771685449,30,0.0,200,3618.9886183990443,23765.415324958787,2480000,0.0,0.0,0.0,994.0121346932152,-17.73959475430832,4.1279236029367894e-07,5501.643795183466,23765.415324958787,0.0,5501.643795183466,-7.93345952843083e-06,3916.2940518100727,24325.23771685449,0.01,3618.9886183990443,3916.2940518100727,5092.6968843308505,5092.6968843308505,3618.9886183990443,-17.73959475430832,-7.520667168137152e-06,-21.429446372191784,3618.9886183990443,994.0121346932152,3,0.0002896515070460737,0.01
