MetaTest/soccer-v1/SuccessRate,MetaTest/soccer-v1/StdReturn,MetaTest/Average/Iteration,MetaTest/soccer-v1/MinReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTest/Average/AverageReturn,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/soccer-v1/Iteration,MetaTest/soccer-v1/MaxReturn,MetaTest/soccer-v1/AverageReturn,MetaTest/soccer-v1/TerminationRate,MetaTest/soccer-v1/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/soccer-v1/NumTrajs
0.0,143.44638790677243,0,-66.02519951627852,-37.47467,0.0,5.9870377,nan,10,19.569799794395056,143.44638790677243,3973.2012,0,436.8587559954508,19.569799794395056,0.0,19.569799794395117,0.0,-66.02519951627852,224000,19.569799794395117,436.8587559954508,7.8665333,10
0.1,26447.792331562498,1,-82.28133516550523,-71.0633,0.0,5.8587956,nan,10,10941.114846114328,26447.792331562498,3871.99,1,89203.42754198707,10941.114846114328,0.0,10941.114846114328,0.1,-82.28133516550523,248000,10941.114846114328,89203.42754198707,11.802816,10
0.0,46.402139531531105,2,-67.62993818004506,-179.84921,0.0,4.825275,nan,10,-31.673794588535827,46.402139531531105,10646.04,2,101.66742677150657,-31.673794588535827,0.0,-31.673794588535838,0.0,-67.62993818004506,272000,-31.673794588535838,101.66742677150657,18.098633,10
0.0,25.414705575570498,3,-106.248388657289,-6863.013,0.0,-3.488967,nan,10,-60.55403537474816,25.414705575570498,402941.06,3,-28.396712791273764,-60.55403537474816,0.0,-60.55403537474814,0.0,-106.248388657289,296000,-60.55403537474814,-28.396712791273764,154.51007,10
0.0,18.50079587112204,4,-39.766065769627424,-6376.575,0.0,-5.740978,nan,10,-23.454263068787288,18.50079587112204,261188.75,4,29.093532726968938,-23.454263068787288,0.0,-23.454263068787284,0.0,-39.766065769627424,320000,-23.454263068787284,29.093532726968938,45.06948,10
0.0,49.9253871021972,5,-43.0922591993568,-30871.158,0.0,-12.931293,nan,10,-15.169162659874143,49.9253871021972,506906.44,5,133.6625676505699,-15.169162659874143,0.0,-15.169162659874143,0.0,-43.0922591993568,344000,-15.169162659874143,133.6625676505699,58.69058,10
0.0,19424.102032722993,6,-43.161168123611034,-44579.844,0.0,-13.41736,nan,10,7575.316308024766,19424.102032722993,508809.97,6,65127.11845659687,7575.316308024766,0.0,7575.316308024767,0.0,-43.161168123611034,368000,7575.316308024767,65127.11845659687,12.6127825,10
0.0,2640.170407912866,7,-35.03937518362075,-40348.6,0.0,-12.27801,nan,10,851.574824816829,2640.170407912866,459438.38,7,8772.079042669202,851.574824816829,0.0,851.57482481683,0.0,-35.03937518362075,392000,851.57482481683,8772.079042669202,13.955857,10
0.0,520.1052529517525,8,-35.89470491817571,-37930.734,0.0,-13.15105,nan,10,267.3817171656246,520.1052529517525,611900.4,8,1464.6216978263362,267.3817171656246,0.0,267.38171716562465,0.0,-35.89470491817571,416000,267.38171716562465,1464.6216978263362,16.279438,10
0.0,2317.5751090110266,9,-54.01564477452784,-44008.63,0.0,-15.003855,nan,10,738.3613380559452,2317.5751090110266,1165427.8,9,7691.0433641793625,738.3613380559452,0.0,738.3613380559456,0.0,-54.01564477452784,440000,738.3613380559456,7691.0433641793625,15.742063,10
0.0,25555.30052786104,10,-52.32080695388033,-58932.43,0.0,-15.579625,nan,10,12283.768846328023,25555.30052786104,1872548.6,10,77589.92360026191,12283.768846328023,0.0,12283.768846328023,0.0,-52.32080695388033,464000,12283.768846328023,77589.92360026191,18.93397,10
0.0,37502.6679066977,11,-59.19435396906953,-57906.06,0.0,-15.315645,nan,10,18024.0913441864,37502.6679066977,2421572.0,11,122499.07988289432,18024.0913441864,0.0,18024.0913441864,0.0,-59.19435396906953,488000,18024.0913441864,122499.07988289432,40.299248,10
0.2,38627.63065373024,12,-90.23701661186145,-66337.234,0.0,-18.446457,nan,10,17513.519187145877,38627.63065373024,2995917.2,12,123900.76251098179,17513.519187145877,0.0,17513.519187145877,0.2,-90.23701661186145,512000,17513.519187145877,123900.76251098179,49.441616,10
0.2,38016.3095450313,13,-84.75471658674769,-76446.55,0.0,-23.049503,nan,10,22044.21377948064,38016.3095450313,4019636.2,13,118856.25469187582,22044.21377948064,0.0,22044.21377948064,0.2,-84.75471658674769,536000,22044.21377948064,118856.25469187582,6418.1045,10
0.0,1375.7271626327004,14,-98.52337359995802,-77885.12,0.0,-21.267218,nan,10,396.1225777155595,1375.7271626327004,4549433.5,14,4522.806845939706,396.1225777155595,0.0,396.1225777155593,0.0,-98.52337359995802,560000,396.1225777155593,4522.806845939706,988.996,10
