MetaTest/Average/MinReturn,reach-wall-v1/TerminationRate,reach-wall-v1/SuccessRate,reach-wall-v1/MinReturn,Average/AverageDiscountedReturn,Average/Iteration,MetaTest/reach-wall-v1/StdReturn,Average/AverageReturn,MetaTest/reach-wall-v1/MaxReturn,Average/NumEpisodes,Average/SuccessRate,MetaTest/Average/Iteration,policy/LossBefore,LinearFeatureBaseline/ExplainedVariance,Average/TerminationRate,reach-wall-v1/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/reach-wall-v1/AverageReturn,reach-wall-v1/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,policy/KLBefore,policy/LossAfter,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,reach-wall-v1/MaxReturn,MetaTest/reach-wall-v1/MinReturn,reach-wall-v1/StdReturn,Average/MinReturn,Average/MaxReturn,MetaTest/reach-wall-v1/NumEpisodes,MetaTest/Average/SuccessRate,Average/StdReturn,MetaTest/reach-wall-v1/Iteration,MetaTest/reach-wall-v1/SuccessRate,policy/KL,reach-wall-v1/Iteration,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,policy/dLoss,MetaTest/reach-wall-v1/AverageDiscountedReturn,reach-wall-v1/AverageReturn,policy/Entropy,MetaTest/reach-wall-v1/TerminationRate
2415.2298302394142,0.0,0.0,1435.96611532248,2880.8213477801487,0,588.2386696650588,3419.1697358505853,4276.744079984187,100,0.0,0,1.5096773,0.587964174621853,0.0,100,0.0,3293.9872153857855,2880.8213477801487,3293.9872153857855,20000,0.0,-1.1488563,10,588.2386696650588,5800.1796313643135,2415.2298302394142,1073.2811457742712,1435.96611532248,5800.1796313643135,10,0.0,1073.2811457742712,0,0.0,0.0054095113,0,3293.9872153857855,4276.744079984187,2.6585336,3293.9872153857855,3419.1697358505853,5.660224,0.0
,0.0,0.0,1556.8780246487104,3104.405622249881,1,,3688.400721036038,,100,0.0,,0.46611837,0.6050652136358943,0.0,100,,,3104.405622249881,,40000,0.0,-1.8677171,,,7008.613534441621,,985.667512162138,1556.8780246487104,7008.613534441621,,,985.667512162138,,,0.005512553,1,,,2.3338356,,3688.400721036038,5.631762,
,0.0,0.0,2163.156451030756,3271.207438217547,2,,3916.973958576004,,100,0.0,,1.9861636,0.6260861038731582,0.0,100,,,3271.207438217547,,60000,0.0,-0.4261875,,,6732.5042951416535,,811.1591743124164,2163.156451030756,6732.5042951416535,,,811.1591743124164,,,0.009133063,2,,,2.4123511,,3916.973958576004,5.622115,
,0.0,0.0,1898.9902541663114,3519.696963545151,3,,4226.293878719732,,100,0.0,,2.1799397,0.604035739507668,0.0,100,,,3519.696963545151,,80000,0.0,-0.014450781,,,6378.300405540333,,1027.3805166793938,1898.9902541663114,6378.300405540333,,,1027.3805166793938,,,0.0092143025,3,,,2.1943905,,4226.293878719732,5.6130757,
,0.0,0.0,2416.526757736248,3606.7850025239354,4,,4369.706039803249,,100,0.0,,1.9128054,0.6101519990199906,0.0,100,,,3606.7850025239354,,100000,0.0,-0.7789,,,7214.133677762261,,1134.5472206756963,2416.526757736248,7214.133677762261,,,1134.5472206756963,,,0.00772609,4,,,2.6917055,,4369.706039803249,5.5990906,
,0.0,0.0,2361.734937566512,3826.5741898866127,5,,4649.464892346403,,100,0.0,,2.922395,0.7574072554118609,0.0,100,,,3826.5741898866127,,120000,0.0,0.52154636,,,7394.9881600343715,,1157.852679103371,2361.734937566512,7394.9881600343715,,,1157.852679103371,,,0.015269399,5,,,2.4008486,,4649.464892346403,5.5902095,
,0.0,0.0,2214.831014527072,4094.2484896389005,6,,5033.914794609012,,100,0.0,,1.3586016,0.6119306748344604,0.0,100,,,4094.2484896389005,,140000,0.0,-1.2199031,,,9260.7973876749,,1432.5842675575193,2214.831014527072,9260.7973876749,,,1432.5842675575193,,,0.009266066,6,,,2.5785046,,5033.914794609012,5.5790153,
,0.0,0.0,3413.745835528069,4627.122434827575,7,,5753.39689589791,,100,0.0,,2.040782,0.8044958808053383,0.0,100,,,4627.122434827575,,160000,0.0,-0.37831876,,,8911.598173572022,,1118.4001664361783,3413.745835528069,8911.598173572022,,,1118.4001664361783,,,0.006941597,7,,,2.4191008,,5753.39689589791,5.575518,
,0.0,0.0,3808.536191970522,4937.737335546661,8,,6230.9401928248535,,100,0.0,,2.8485115,0.7072493174415119,0.0,100,,,4937.737335546661,,180000,0.0,0.51209843,,,11988.942630615289,,1605.3538840325275,3808.536191970522,11988.942630615289,,,1605.3538840325275,,,0.008318332,8,,,2.336413,,6230.9401928248535,5.5901875,
,0.0,0.0,4037.6521941152087,5356.325461650641,9,,6883.050011306478,,100,0.0,,1.9533172,0.7591967523031683,0.0,100,,,5356.325461650641,,200000,0.0,-0.23927169,,,11668.51539464686,,1512.4069364265038,4037.6521941152087,11668.51539464686,,,1512.4069364265038,,,0.0043430855,9,,,2.1925888,,6883.050011306478,5.5874095,
