MetaTest/door-close-v1/NumTrajs,MetaTrain/Average/QfLoss,MetaTrain/Average/ContrastiveLoss,TotalEnvSteps,MetaTest/Average/SuccessRate,MetaTrain/Average/Alpha,MetaTest/door-close-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/NumTrajs,MetaTest/door-close-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTest/door-close-v1/StdReturn,MetaTest/Average/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/door-close-v1/Iteration,MetaTest/door-close-v1/MinReturn,MetaTest/door-close-v1/TerminationRate,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/door-close-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/StdReturn,MetaTest/door-close-v1/AverageReturn
10,145.50366,10.556891,224000,0.2,nan,-51.195588091959586,0,10,0.2,-76.60771967515322,12.146723347320625,0.0,6.701094,-51.195588091959586,0,-76.60771967515322,0.0,-40.76223982099145,-51.195588091959586,-40.76223982099145,2.0206723,12.146723347320625,-51.195588091959586
10,157.00044,7.5720615,248000,0.8,nan,-46.14326650246163,1,10,0.8,-50.6942051501857,3.5804619695707087,0.0,6.496863,-46.14326650246163,1,-50.6942051501857,0.0,-38.56699471197946,-46.143266502461614,-38.56699471197946,7.469386,3.5804619695707087,-46.143266502461614
10,173.67868,7.4524875,272000,0.7,nan,-94.80959164716583,2,10,0.7,-126.55183037740792,21.462759127661887,0.0,5.9184995,-94.80959164716583,2,-126.55183037740792,0.0,-60.383707567412124,-94.80959164716579,-60.383707567412124,3.5809345,21.462759127661887,-94.80959164716579
10,297.03668,8.459924,296000,0.3,nan,-46.68061551318052,3,10,0.3,-64.9805057001364,10.698547370977812,0.0,4.1548915,-46.68061551318052,3,-64.9805057001364,0.0,-31.208518197694946,-46.68061551318051,-31.208518197694946,-16.348013,10.698547370977812,-46.68061551318051
10,601.7864,14.296737,320000,0.1,nan,-53.113170297973795,4,10,0.1,-74.85529196669329,11.702398379396023,0.0,2.175812,-53.113170297973795,4,-74.85529196669329,0.0,-38.56577679526241,-53.113170297973795,-38.56577679526241,-167.80916,11.702398379396023,-53.113170297973795
10,863.33514,14.259457,344000,0.0,nan,-60.60653155101886,5,10,0.0,-68.61873516950511,4.637837044389099,0.0,0.8261523,-60.60653155101886,5,-68.61873516950511,0.0,-52.964691419810094,-60.60653155101888,-52.964691419810094,-345.9173,4.637837044389099,-60.60653155101888
10,1277.858,8.545251,368000,0.0,nan,-46.50335718060633,6,10,0.0,-64.06851421175533,11.742271242844879,0.0,0.04580133,-46.50335718060633,6,-64.06851421175533,0.0,-26.42521791333797,-46.503357180606336,-26.42521791333797,-499.29898,11.742271242844879,-46.503357180606336
10,1240.8339,10.688997,392000,0.7,nan,-46.46975737344332,7,10,0.7,-56.7610226744835,6.616361192159882,0.0,-0.9210844,-46.46975737344332,7,-56.7610226744835,0.0,-38.939372043841395,-46.46975737344333,-38.939372043841395,-713.9571,6.616361192159882,-46.46975737344333
10,4765.812,44.81999,416000,0.4,nan,-78.6935112084914,8,10,0.4,-102.19256739422246,16.65125202872337,0.0,0.21033804,-78.6935112084914,8,-102.19256739422246,0.0,-41.289647179739426,-78.69351120849137,-41.289647179739426,-560.5477,16.65125202872337,-78.69351120849137
10,6045.469,109.92686,440000,0.4,nan,-56.26129938196634,9,10,0.4,-88.39746140418671,20.273129391779023,0.0,2.104623,-56.26129938196634,9,-88.39746140418671,0.0,-27.253807894398772,-56.26129938196635,-27.253807894398772,-316.37158,20.273129391779023,-56.26129938196635
