MetaTest/Average/MinReturn,MetaTest/push-wall-v1/MinReturn,MetaTest/push-wall-v1/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/StdReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/push-wall-v1/StdReturn,MetaTrain/Average/AlphaLoss,MetaTest/push-wall-v1/SuccessRate,MetaTest/push-wall-v1/MaxReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/Alpha,MetaTest/Average/NumTrajs,MetaTrain/Average/QfLoss,MetaTest/Average/MaxReturn,MetaTest/push-wall-v1/AverageReturn,MetaTest/Average/Iteration,TotalEnvSteps,MetaTest/push-wall-v1/AverageDiscountedReturn,MetaTest/push-wall-v1/TerminationRate,MetaTest/Average/AverageReturn,MetaTest/push-wall-v1/Iteration
-20.46799007077571,-20.46799007077571,10,0.0,8.35165,221.00204977324077,192.43435143415553,0.0,221.00204977324077,6.7291985,0.0,662.5477896454187,-3.25162,nan,10,2.363182,662.5477896454187,192.4343514341555,0,224000,192.43435143415553,0.0,192.4343514341555,0
-49.68733799900453,-49.68733799900453,10,0.0,8.5247965,24.343739538978525,-32.560037373781036,0.0,24.343739538978525,6.6884246,0.0,36.99526307517888,-7.02147,nan,10,171.54037,36.99526307517888,-32.56003737378104,1,248000,-32.560037373781036,0.0,-32.56003737378104,1
-40.60940009559249,-40.60940009559249,10,0.0,7.5412464,28.46120420476268,-1.935660044769984,0.0,28.46120420476268,6.4538517,0.0,48.65232264260886,-24.498123,nan,10,339.4065,48.65232264260886,-1.9356600447699948,2,272000,-1.935660044769984,0.0,-1.9356600447699948,2
-70.55433284720021,-70.55433284720021,10,0.0,13.19773,237.16166105384355,109.69317463233503,0.0,237.16166105384355,4.984906,0.0,784.0573719391496,-109.24614,nan,10,2223.6877,784.0573719391496,109.69317463233506,3,296000,109.69317463233503,0.0,109.69317463233506,3
-51.62883808934146,-51.62883808934146,10,0.0,13.3068285,10.599613312179716,-26.092120088685554,0.0,10.599613312179716,3.7983928,0.0,-15.142220474540272,-319.86932,nan,10,4995.4365,-15.142220474540272,-26.09212008868556,4,320000,-26.092120088685554,0.0,-26.09212008868556,4
-69.14127990412274,-69.14127990412274,10,0.0,25.220013,13.01719619419102,-46.25395925887396,0.0,13.01719619419102,0.6397773,0.0,-28.36839274883928,-763.84186,nan,10,9469.473,-28.36839274883928,-46.25395925887396,5,344000,-46.25395925887396,0.0,-46.25395925887396,5
-42.577198990569975,-42.577198990569975,10,0.0,30.523483,10.479652262923631,-28.032738444891482,0.0,10.479652262923631,-2.5371816,0.0,-14.412907470319452,-1736.5765,nan,10,14109.314,-14.412907470319452,-28.032738444891486,6,368000,-28.032738444891482,0.0,-28.032738444891486,6
-49.64211737397374,-49.64211737397374,10,0.0,17.285255,10.459585727245614,-30.054964176396417,0.0,10.459585727245614,-3.3183694,0.0,-16.682097630553855,-2721.0115,nan,10,14674.786,-16.682097630553855,-30.054964176396417,7,392000,-30.054964176396417,0.0,-30.054964176396417,7
-32.74324242316638,-32.74324242316638,10,0.0,11.224598,705.1522157295235,215.81474889504665,0.0,705.1522157295235,-2.522932,0.0,2331.199744879545,-2866.087,nan,10,12953.08,2331.199744879545,215.8147488950463,8,416000,215.81474889504665,0.0,215.8147488950463,8
-40.260089503081375,-40.260089503081375,10,0.0,10.002231,1616.7141563623638,671.279435379284,0.0,1616.7141563623638,-2.0747004,0.0,5480.140505648066,-3028.2666,nan,10,18371.26,5480.140505648066,671.2794353792837,9,440000,671.279435379284,0.0,671.2794353792837,9
-98.7497326653904,-98.7497326653904,10,0.0,10.669476,1911.3761773436897,919.6025427896735,0.0,1911.3761773436897,-2.980195,0.0,6454.068693118611,-3638.198,nan,10,40142.688,6454.068693118611,919.6025427896736,10,464000,919.6025427896735,0.0,919.6025427896736,10
-30.416925982988122,-30.416925982988122,10,0.1,13.4222145,3657.1503404865593,1555.5637831450808,0.0,3657.1503404865593,-4.657889,0.1,12462.45748697639,-4693.7505,nan,10,88972.24,12462.45748697639,1555.5637831450806,11,488000,1555.5637831450808,0.0,1555.5637831450806,11
-107.61797134440448,-107.61797134440448,10,0.1,18.509567,3363.051078964621,1623.12543423074,0.0,3363.051078964621,-5.719496,0.1,10025.120118838156,-6599.808,nan,10,176288.95,10025.120118838156,1623.125434230739,12,512000,1623.12543423074,0.0,1623.125434230739,12
-132.51358799952035,-132.51358799952035,10,0.1,18.483273,6104.97711852707,3721.685653596317,0.0,6104.97711852707,-7.61575,0.1,16328.033257826972,-8515.156,nan,10,453135.38,16328.033257826972,3721.6856535963184,13,536000,3721.685653596317,0.0,3721.6856535963184,13
-109.4558652183378,-109.4558652183378,10,0.1,39.157295,704.1868896519321,304.36440017373104,0.0,704.1868896519321,-9.150613,0.1,2102.504790923866,-10666.49,nan,10,680781.06,2102.504790923866,304.36440017373104,14,560000,304.36440017373104,0.0,304.36440017373104,14
-33.49559169918361,-33.49559169918361,10,0.0,95.075066,12833.178032758551,10126.607503740215,0.0,12833.178032758551,-9.649544,0.0,31771.35589115927,-13426.26,nan,10,808711.75,31771.35589115927,10126.607503740215,15,584000,10126.607503740215,0.0,10126.607503740215,15
-122.86506258385262,-122.86506258385262,10,0.1,25.89029,68214.65191542737,28564.852342421807,0.0,68214.65191542737,-10.063531,0.1,232318.12726941067,-17851.664,nan,10,1124437.0,232318.12726941067,28564.85234242183,16,608000,28564.852342421807,0.0,28564.85234242183,16
