MetaTest/handle-pull-side-v1/NumTrajs,MetaTest/Average/StdReturn,MetaTest/handle-pull-side-v1/SuccessRate,MetaTest/handle-pull-side-v1/AverageDiscountedReturn,MetaTest/handle-pull-side-v1/MinReturn,MetaTest/Average/NumTrajs,MetaTest/Average/SuccessRate,MetaTrain/Average/AlphaLoss,MetaTest/handle-pull-side-v1/TerminationRate,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTrain/Average/PolicyLoss,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/MaxReturn,MetaTest/handle-pull-side-v1/StdReturn,MetaTest/handle-pull-side-v1/MaxReturn,MetaTest/Average/Iteration,MetaTest/Average/MinReturn,MetaTrain/Average/QfLoss,MetaTest/handle-pull-side-v1/Iteration,MetaTest/handle-pull-side-v1/AverageReturn
10,3.2810609978123124,0.0,-50.44939335187581,-56.5016419673869,10,0.0,5.9398146,0.0,0.0,224000,-50.44939335187579,-50.44939335187581,-37.070972,25.11818,nan,-45.12278230508621,3.2810609978123124,-45.12278230508621,0,-56.5016419673869,14833.22,0,-50.44939335187579
10,14616.94030725664,0.0,12734.084157387102,-54.02691940201486,10,0.0,0.5891107,0.0,0.0,248000,12734.0841573871,12734.084157387102,-368.71082,42.952263,nan,43128.51937834762,14616.94030725664,43128.51937834762,1,-54.02691940201486,16898.496,1,12734.0841573871
10,21869.136567484195,0.0,11554.221690645858,-59.2765361021355,10,0.0,0.750391,0.0,0.0,272000,11554.221690645854,11554.221690645858,-2061.8347,122.418594,nan,75285.21042684211,21869.136567484195,75285.21042684211,2,-59.2765361021355,172642.66,2,11554.221690645854
10,12795.7891530543,0.0,31659.04612995874,-56.18297196028627,10,0.0,-11.118785,0.0,0.0,296000,31659.046129958726,31659.04612995874,-12630.219,146.53862,nan,45743.266034647146,12795.7891530543,45743.266034647146,3,-56.18297196028627,574344.8,3,31659.046129958726
10,18247.783060078258,0.0,13334.376014242287,-27.775143834403,10,0.0,-17.765696,0.0,0.0,320000,13334.376014242283,13334.376014242287,-39563.64,83.62898,nan,44580.143225148924,18247.783060078258,44580.143225148924,4,-27.775143834403,1307089.1,4,13334.376014242283
10,5.5840877026839495,0.0,-77.68945040340307,-87.07892039353627,10,0.0,-18.308008,0.0,0.0,344000,-77.68945040340303,-77.68945040340307,-67118.08,137.94337,nan,-67.08218619948465,5.5840877026839495,-67.08218619948465,5,-87.07892039353627,1855435.0,5,-77.68945040340303
10,11.53769421041285,0.0,-32.06058523511167,-48.20855196454324,10,0.0,-14.749041,0.0,0.0,368000,-32.06058523511165,-32.06058523511167,-65547.72,520.21625,nan,-15.442055616150084,11.53769421041285,-15.442055616150084,6,-48.20855196454324,1621205.9,6,-32.06058523511165
10,2488.2076710497668,0.0,805.588208570909,-27.2297518980261,10,0.0,-17.459555,0.0,0.0,392000,805.5882085709076,805.588208570909,-79745.46,175.67392,nan,8270.206841122812,2488.2076710497668,8270.206841122812,7,-27.2297518980261,1551529.8,7,805.5882085709076
10,13277.984333794886,0.0,6609.725378054373,-44.296451667162216,10,0.0,-16.193333,0.0,0.0,416000,6609.725378054373,6609.725378054373,-73311.1,369.17142,nan,33619.87657710574,13277.984333794886,33619.87657710574,8,-44.296451667162216,1500659.8,8,6609.725378054373
10,15559.933795668783,0.0,17765.932307775267,-29.11949862168002,10,0.0,-15.7141285,0.0,0.0,440000,17765.932307775263,17765.932307775267,-84140.96,137.906,nan,43065.7529593068,15559.933795668783,43065.7529593068,9,-29.11949862168002,1776131.6,9,17765.932307775263
10,19212.443882454467,0.0,19161.37314965254,-49.758496215269524,10,0.0,-15.910076,0.0,0.0,464000,19161.37314965254,19161.37314965254,-84610.65,151.77922,nan,45526.03973910697,19212.443882454467,45526.03973910697,10,-49.758496215269524,2219508.5,10,19161.37314965254
10,8808.835943291262,0.0,44067.04744856514,29217.3880623402,10,0.0,-16.94735,0.0,0.0,488000,44067.04744856514,44067.04744856514,-84669.39,116.48099,nan,65881.49628278326,8808.835943291262,65881.49628278326,11,29217.3880623402,2715776.2,11,44067.04744856514
10,763.8802932096116,0.0,45186.32471024965,44088.221414501444,10,0.0,-15.34169,0.0,0.0,512000,45186.32471024965,45186.32471024965,-86884.58,122.348785,nan,46087.45904302524,763.8802932096116,46087.45904302524,12,44088.221414501444,3315991.2,12,45186.32471024965
10,92132.48302939936,0.6,140270.21761873754,38470.8982501375,10,0.6,-13.942412,0.0,0.0,536000,140270.21761873754,140270.21761873754,-96102.695,184.33328,nan,262095.78774925976,92132.48302939936,262095.78774925976,13,38470.8982501375,5136937.0,13,140270.21761873754
10,20226.633899647128,0.0,16179.865018774366,-64.54399540824535,10,0.0,-16.46786,0.0,0.0,560000,16179.865018774373,16179.865018774366,-103656.625,7892.2437,nan,46069.74956508431,20226.633899647128,46069.74956508431,14,-64.54399540824535,10282009.0,14,16179.865018774373
10,86477.39137915295,0.2,62268.195186089666,-68.37912990349655,10,0.2,-14.411595,0.0,0.0,584000,62268.195186089644,62268.195186089666,-92232.54,1633.6176,nan,243933.7046047217,86477.39137915295,243933.7046047217,15,-68.37912990349655,5570249.5,15,62268.195186089644
10,12133.488289580395,0.0,8872.693516459625,-124.5577476201599,10,0.0,-17.02447,0.0,0.0,608000,8872.693516459625,8872.693516459625,-116933.19,1298.5702,nan,38484.35487690288,12133.488289580395,38484.35487690288,16,-124.5577476201599,13751884.0,16,8872.693516459625
