MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageDiscountedReturn,Average/Iteration,policy/LossAfter,button-press-wall-v1/MaxReturn,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/button-press-wall-v1/StdReturn,TotalEnvSteps,policy/LossBefore,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/Average/MinReturn,Average/StdReturn,button-press-wall-v1/TerminationRate,button-press-wall-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,policy/KLBefore,MetaTest/Average/Iteration,Average/AverageReturn,Average/MaxReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/StdReturn,MetaTest/button-press-wall-v1/MinReturn,policy/Entropy,MetaTest/button-press-wall-v1/SuccessRate,Average/SuccessRate,Average/TerminationRate,MetaTest/Average/MaxReturn,button-press-wall-v1/SuccessRate,button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/SuccessRate,button-press-wall-v1/StdReturn,button-press-wall-v1/AverageReturn,button-press-wall-v1/MinReturn,MetaTest/button-press-wall-v1/MaxReturn,Average/AverageDiscountedReturn,Average/MinReturn,policy/dLoss,MetaTest/Average/TerminationRate,policy/KL,button-press-wall-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/Average/AverageReturn
0,-57.25119212263287,0,-0.03929332,-34.97068430510622,-57.25119212263286,5.2846560805755605,20000,-0.017889366,0.0,-66.87682330605509,8.35305109264889,0.0,-21.86540310726702,10,0.0,0,-59.101692382980765,-34.97068430510622,0.4713189061279044,5.2846560805755605,-66.87682330605509,5.6868157,0.0,0.0,0.0,-49.95048069477387,0.0,0,10,0.0,8.35305109264889,-59.101692382980765,-76.56855326295735,-49.95048069477387,-21.86540310726702,-76.56855326295735,0.021403953,0.0,0.005428372,100,-57.25119212263287,100,-57.25119212263286
,,1,-0.039932624,-24.333321565494177,,,40000,-0.01514013,,,10.201760940312102,0.0,-18.958894479467116,,0.0,,-49.32373804564658,-24.333321565494177,0.4530861748386883,,,5.6965156,,0.0,0.0,,0.0,1,,,10.201760940312102,-49.32373804564658,-80.62835351401918,,-18.958894479467116,-80.62835351401918,0.024792492,,0.025496976,100,,100,
,,2,-2.2723556,12033.18777941409,,,60000,0.42736328,,,1651.954061351598,0.0,159.12337425493212,,0.0,,387.06994441548073,12033.18777941409,0.1526726210135324,,,5.691032,,0.0,0.0,,0.0,2,,,1651.954061351598,387.06994441548073,-54.71852630239693,,159.12337425493212,-54.71852630239693,2.699719,,0.011570312,100,,100,
,,3,-3.4923625,47424.16131397618,,,80000,2.974914,,,6186.253717357372,0.0,830.2158962944978,,0.0,,2046.690473962543,47424.16131397618,0.1583348701493742,,,5.6686316,,0.0,0.0,,0.0,3,,,6186.253717357372,2046.690473962543,-50.09470778180893,,830.2158962944978,-50.09470778180893,6.4672766,,0.008259952,100,,100,
,,4,-7.157755,19209.253020764816,,,100000,-3.358451,,,4186.189159251217,0.0,1109.7486642595418,,0.0,,2139.920876688953,19209.253020764816,0.19848744458461087,,,5.640882,,0.05,0.0,,0.05,4,,,4186.189159251217,2139.920876688953,-37.25617659865806,,1109.7486642595418,-37.25617659865806,3.799304,,0.0069770096,100,,100,
,,5,-12.505294,175146.42223282243,,,120000,7.971,,,24192.468142339058,0.0,3570.120296013257,,0.0,,8183.880740208847,175146.42223282243,0.24812844854253058,,,5.6058354,,0.1,0.0,,0.1,5,,,24192.468142339058,8183.880740208847,-60.722419456299356,,3570.120296013257,-60.722419456299356,20.476294,,0.0066064117,100,,100,
,,6,-1.0864,158701.69247429777,,,140000,18.139013,,,24231.887567010086,0.0,3421.107947329562,,0.0,,8182.973820601529,158701.69247429777,0.2218816770273795,,,5.6004663,,0.04,0.0,,0.04,6,,,24231.887567010086,8182.973820601529,-53.60592527460566,,3421.107947329562,-53.60592527460566,19.225414,,0.007120454,100,,100,
,,7,-27.374426,171056.10697429965,,,160000,-11.161507,,,24329.5877578519,0.0,3577.5346940462437,,0.0,,8499.800320283151,171056.10697429965,0.260044646543272,,,5.591311,,0.07,0.0,,0.07,7,,,24329.5877578519,8499.800320283151,-40.09130678413727,,3577.5346940462437,-40.09130678413727,16.21292,,0.0062114075,100,,100,
,,8,-13.329043,120115.37531941565,,,180000,-1.5856438,,,15502.372850868911,0.0,3438.985707096286,,0.0,,6780.84808560274,120115.37531941565,0.18362728351393376,,,5.574142,,0.01,0.0,,0.01,8,,,15502.372850868911,6780.84808560274,-40.84939886493986,,3438.985707096286,-40.84939886493986,11.7434,,0.0054643145,100,,100,
,,9,-6.248547,144512.9717996655,,,200000,6.652006,,,19414.967765682362,0.0,3119.065222753326,,0.0,,6647.4545844683025,144512.9717996655,0.1945195922527313,,,5.5662313,,0.07,0.0,,0.07,9,,,19414.967765682362,6647.4545844683025,-47.47223577832129,,3119.065222753326,-47.47223577832129,12.900553,,0.0055171256,100,,100,
