MetaTest/button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/AverageDiscountedReturn,Average/Iteration,policy/LossAfter,button-press-wall-v1/MaxReturn,MetaTest/button-press-wall-v1/AverageReturn,MetaTest/button-press-wall-v1/StdReturn,TotalEnvSteps,policy/LossBefore,MetaTest/button-press-wall-v1/TerminationRate,MetaTest/Average/MinReturn,Average/StdReturn,button-press-wall-v1/TerminationRate,button-press-wall-v1/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,policy/KLBefore,MetaTest/Average/Iteration,Average/AverageReturn,Average/MaxReturn,LinearFeatureBaseline/ExplainedVariance,MetaTest/Average/StdReturn,MetaTest/button-press-wall-v1/MinReturn,policy/Entropy,MetaTest/button-press-wall-v1/SuccessRate,Average/SuccessRate,Average/TerminationRate,MetaTest/Average/MaxReturn,button-press-wall-v1/SuccessRate,button-press-wall-v1/Iteration,MetaTest/button-press-wall-v1/NumEpisodes,MetaTest/Average/SuccessRate,button-press-wall-v1/StdReturn,button-press-wall-v1/AverageReturn,button-press-wall-v1/MinReturn,MetaTest/button-press-wall-v1/MaxReturn,Average/AverageDiscountedReturn,Average/MinReturn,policy/dLoss,MetaTest/Average/TerminationRate,policy/KL,button-press-wall-v1/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,Average/NumEpisodes,MetaTest/Average/AverageReturn
1,9102.863976375547,10,-22.484587,130932.25781849536,9102.863976375538,23212.687872548762,220000,-9.892919,0.0,-41.734372407786616,19971.583841255648,0.0,4166.129876127647,10,0.0,1,8443.707307763378,130932.25781849536,0.2630406814537628,23212.687872548762,-41.734372407786616,5.573051,0.0,0.05,0.0,78316.86621484191,0.05,10,10,0.0,19971.583841255648,8443.707307763378,-49.01464584317963,78316.86621484191,4166.129876127647,-49.01464584317963,12.591668,0.0,0.0046187523,100,9102.863976375547,100,9102.863976375538
,,11,-6.897072,156963.82590369871,,,240000,0.9494563,,,17319.799633485716,0.0,3119.397582916533,,0.0,,5942.305000780237,156963.82590369871,0.1904957245886164,,,5.5641,,0.05,0.0,,0.05,11,,,17319.799633485716,5942.305000780237,-47.81054501593945,,3119.397582916533,-47.81054501593945,7.846528,,0.0047699106,100,,100,
,,12,-12.328894,204046.4193224148,,,260000,10.833069,,,30023.987486046848,0.0,5359.219675249563,,0.0,,11471.253317785768,204046.4193224148,0.32856172788275684,,,5.5422645,,0.03,0.0,,0.03,12,,,30023.987486046848,11471.253317785768,-55.227396894518286,,5359.219675249563,-55.227396894518286,23.161963,,0.0062881,100,,100,
,,13,6.056975,141141.4338573783,,,280000,25.13695,,,23362.319949897,0.0,4644.175042482497,,0.0,,10337.090136723864,141141.4338573783,0.2563485131787967,,,5.5198903,,0.06,0.0,,0.06,13,,,23362.319949897,10337.090136723864,-49.01999815310509,,4644.175042482497,-49.01999815310509,19.079975,,0.0050466037,100,,100,
,,14,-38.520382,199938.6190277107,,,300000,-20.86707,,,27940.324077090634,0.0,5230.040850542053,,0.0,,10445.340559852984,199938.6190277107,0.29238612295449207,,,5.5058055,,0.06,0.0,,0.06,14,,,27940.324077090634,10445.340559852984,-61.42323435897112,,5230.040850542053,-61.42323435897112,17.653313,,0.00525688,100,,100,
,,15,-14.623688,157859.3344956002,,,320000,3.6005595,,,24742.309382373263,0.0,6448.02287337145,,0.0,,12885.395150195136,157859.3344956002,0.22808441908172572,,,5.4775243,,0.01,0.0,,0.01,15,,,24742.309382373263,12885.395150195136,-47.55250260781214,,6448.02287337145,-47.55250260781214,18.224247,,0.0040541044,100,,100,
,,16,2.3521094,205693.20530466145,,,340000,19.544188,,,29570.966223629483,0.0,6222.461997438294,,0.0,,12576.002492560787,205693.20530466145,0.23466490597978862,,,5.4786634,,0.03,0.0,,0.03,16,,,29570.966223629483,12576.002492560787,-42.551283406684966,,6222.461997438294,-42.551283406684966,17.192078,,0.005731086,100,,100,
,,17,-15.254083,153901.3909755287,,,360000,7.982039,,,28070.28989260556,0.0,7651.759651002305,,0.0,,14938.46699517251,153901.3909755287,0.2532959988963468,,,5.4694037,,0.07,0.0,,0.07,17,,,28070.28989260556,14938.46699517251,-39.67561629021492,,7651.759651002305,-39.67561629021492,23.236122,,0.005034035,100,,100,
,,18,-39.37845,297237.1583454515,,,380000,-1.4187969,,,40774.0435957837,0.0,10845.130586755162,,0.0,,22547.691363970414,297237.1583454515,0.27024837265421,,,5.4482694,,0.07,0.0,,0.07,18,,,40774.0435957837,22547.691363970414,-51.100979980168255,,10845.130586755162,-51.100979980168255,37.959652,,0.005650164,100,,100,
,,19,-39.577732,151413.63965347444,,,400000,-22.17635,,,24280.424647930155,0.0,6087.750901754912,,0.0,,12836.721216052258,151413.63965347444,0.24843487031789313,,,5.440643,,0.01,0.0,,0.01,19,,,24280.424647930155,12836.721216052258,-41.46019970682377,,6087.750901754912,-41.46019970682377,17.401382,,0.008439201,100,,100,
2,20804.07329213281,20,-65.672615,246989.2180526803,20804.07329213281,32687.52149673787,420000,-27.491982,0.0,-24.58868360182823,41542.96697549465,0.0,9872.980722674292,10,0.0,2,22518.52859791779,246989.2180526803,0.28156079898231834,32687.52149673787,-24.58868360182823,5.412629,0.0,0.05,0.0,108459.65233335826,0.05,20,10,0.0,41542.96697549465,22518.52859791779,-37.484598224891904,108459.65233335826,9872.980722674292,-37.484598224891904,38.180634,0.0,0.005421829,100,20804.07329213281,100,20804.07329213281
,,21,-53.646774,153561.80248263344,,,440000,-17.779325,,,38233.49437469278,0.0,11654.035268946067,,0.0,,27740.4896013788,153561.80248263344,0.31468570495783954,,,5.3939137,,0.06,0.0,,0.06,21,,,38233.49437469278,27740.4896013788,-38.11704082496455,,11654.035268946067,-38.11704082496455,35.867447,,0.006052214,100,,100,
,,22,-34.427162,283294.7768251104,,,460000,15.664425,,,63538.4073179314,0.0,18545.466546881755,,0.0,,48931.87289975586,283294.7768251104,0.3362643517982765,,,5.3626623,,0.09,0.0,,0.09,22,,,63538.4073179314,48931.87289975586,-33.6482531427445,,18545.466546881755,-33.6482531427445,50.091587,,0.0066961823,100,,100,
,,23,-101.18112,233508.83415709934,,,480000,-53.496777,,,61554.60245340648,0.0,16100.737780260195,,0.0,,45389.40326057528,233508.83415709934,0.3327771030784481,,,5.3210654,,0.16,0.0,,0.16,23,,,61554.60245340648,45389.40326057528,-38.44193000897858,,16100.737780260195,-38.44193000897858,47.684345,,0.0066198395,100,,100,
,,24,-26.35745,271596.9120849288,,,500000,34.027176,,,67122.16568085762,0.0,21341.610373951957,,0.0,,58266.85570266538,271596.9120849288,0.3395757896475907,,,5.2769613,,0.12,0.0,,0.12,24,,,67122.16568085762,58266.85570266538,-33.95425023489129,,21341.610373951957,-33.95425023489129,60.38463,,0.007331993,100,,100,
,,25,-141.67084,234344.67321385734,,,520000,-105.03887,,,55256.630089729944,0.0,16999.432928465743,,0.0,,43076.3450654354,234344.67321385734,0.36200619900908315,,,5.237752,,0.07,0.0,,0.07,25,,,55256.630089729944,43076.3450654354,-32.99602530010637,,16999.432928465743,-32.99602530010637,36.631966,,0.0074299295,100,,100,
,,26,-38.2439,201100.1421470121,,,540000,14.245075,,,53025.24920084471,0.0,14898.49275403513,,0.0,,39961.52926376888,201100.1421470121,0.45190304909595713,,,5.2182755,,0.05,0.0,,0.05,26,,,53025.24920084471,39961.52926376888,-33.16714832595452,,14898.49275403513,-33.16714832595452,52.488976,,0.0058028703,100,,100,
,,27,-62.84465,214755.95564329493,,,560000,-8.605388,,,66565.7356771761,0.0,21934.640690403994,,0.0,,61856.70661603928,214755.95564329493,0.381513588687056,,,5.198727,,0.1,0.0,,0.1,27,,,66565.7356771761,61856.70661603928,-33.32423565140903,,21934.640690403994,-33.32423565140903,54.23926,,0.008124661,100,,100,
,,28,-82.9041,284479.26940792956,,,580000,-41.779373,,,68394.59739900196,0.0,24937.247568361723,,0.0,,69862.20875545817,284479.26940792956,0.37065401774434115,,,5.1836934,,0.1,0.0,,0.1,28,,,68394.59739900196,69862.20875545817,-32.39598877520809,,24937.247568361723,-32.39598877520809,41.124725,,0.004247989,100,,100,
,,29,16.12235,277401.2096600657,,,600000,65.747536,,,69827.56855339771,0.0,18438.898249881095,,0.0,,48913.120384584705,277401.2096600657,0.4136057337346388,,,5.1716123,,0.06,0.0,,0.06,29,,,69827.56855339771,48913.120384584705,-31.530321000074444,,18438.898249881095,-31.530321000074444,49.625183,,0.0056857606,100,,100,
3,63323.723932306595,30,7.827375,310690.0914499766,63323.723932306646,84161.42705501619,620000,59.20215,0.0,-23.145611983426665,68225.00538173251,0.0,27697.616240091967,10,0.0,3,75072.37162623496,310690.0914499766,0.3609941540306849,84161.42705501619,-23.145611983426665,5.134,0.1,0.12,0.0,269552.0629367673,0.12,30,10,0.1,68225.00538173251,75072.37162623496,-33.62759619011166,269552.0629367673,27697.616240091967,-33.62759619011166,51.374775,0.0,0.005563712,100,63323.723932306595,100,63323.723932306646
,,31,-0.323275,293913.72596445633,,,640000,58.899555,,,73574.89133513297,0.0,31882.845941740918,,0.0,,88730.67510828302,293913.72596445633,0.4070622281581693,,,5.1005397,,0.13,0.0,,0.13,31,,,73574.89133513297,88730.67510828302,-32.17690637237014,,31882.845941740918,-32.17690637237014,59.22283,,0.005251679,100,,100,
,,32,4.005469,307329.3324512355,,,660000,59.33724,,,75882.10263548921,0.0,25904.5154009032,,0.0,,69595.73118606508,307329.3324512355,0.3704820113628783,,,5.096429,,0.07,0.0,,0.07,32,,,75882.10263548921,69595.73118606508,-31.732917497385145,,25904.5154009032,-31.732917497385145,55.331768,,0.003994865,100,,100,
,,33,-38.20685,279611.0606801679,,,680000,3.20055,,,68938.17882969836,0.0,26736.326310463995,,0.0,,72588.38992143211,279611.0606801679,0.4009829219139952,,,5.096215,,0.12,0.0,,0.12,33,,,68938.17882969836,72588.38992143211,-34.96691840465418,,26736.326310463995,-34.96691840465418,41.4074,,0.006447132,100,,100,
,,34,-23.041925,312922.6561493093,,,700000,34.1176,,,72953.7009881815,0.0,34173.042340187356,,0.0,,88008.25222048115,312922.6561493093,0.3602808315625975,,,5.076534,,0.16,0.0,,0.16,34,,,72953.7009881815,88008.25222048115,-28.184672645478432,,34173.042340187356,-28.184672645478432,57.159523,,0.006541693,100,,100,
,,35,-54.27423,268868.6697433107,,,720000,3.6553311,,,71388.8274886574,0.0,36055.13155265694,,0.0,,96385.33492089556,268868.6697433107,0.40622204006216,,,5.0532784,,0.21,0.0,,0.21,35,,,71388.8274886574,96385.33492089556,-28.518821690564433,,36055.13155265694,-28.518821690564433,57.92956,,0.0053206747,100,,100,
,,36,-7.354075,279577.9921451939,,,740000,42.447914,,,77455.4731571913,0.0,31769.560318797277,,0.0,,82770.2672237264,279577.9921451939,0.40511352374998333,,,5.049121,,0.17,0.0,,0.17,36,,,77455.4731571913,82770.2672237264,-29.95197949052801,,31769.560318797277,-29.95197949052801,49.80199,,0.0038316734,100,,100,
,,37,-81.90403,291563.85163867514,,,760000,-21.730122,,,82782.72806596191,0.0,34677.39068709079,,0.0,,97993.65535739066,291563.85163867514,0.42165455512299566,,,5.023137,,0.15,0.0,,0.15,37,,,82782.72806596191,97993.65535739066,-35.47995952865288,,34677.39068709079,-35.47995952865288,60.17391,,0.008522356,100,,100,
,,38,-78.39217,312816.3612549634,,,780000,-13.3631,,,78282.84553346521,0.0,34492.611137520005,,0.0,,90262.08165251889,312816.3612549634,0.3386638128917522,,,5.0021133,,0.1,0.0,,0.1,38,,,78282.84553346521,90262.08165251889,-34.63190902648372,,34492.611137520005,-34.63190902648372,65.029076,,0.0055943066,100,,100,
,,39,-27.501724,286535.04476359865,,,800000,1.9384187,,,84018.97231040904,0.0,37080.12929514803,,0.0,,101704.05617906268,286535.04476359865,0.38946120848245,,,4.988288,,0.28,0.0,,0.28,39,,,84018.97231040904,101704.05617906268,-28.44518167607343,,37080.12929514803,-28.44518167607343,29.440144,,0.009347814,100,,100,
4,90789.2731427149,40,-61.362663,301452.67747308937,90789.27314271491,64392.974858718146,820000,6.251669,0.0,-22.189950500290493,90790.03073454228,0.0,37725.578373704906,10,0.0,4,103880.96955850047,301452.67747308937,0.42814762722050737,64392.974858718146,-22.189950500290493,4.9848585,0.1,0.21,0.0,186088.26319587493,0.21,40,10,0.1,90790.03073454228,103880.96955850047,-36.90907600911928,186088.26319587493,37725.578373704906,-36.90907600911928,67.614334,0.0,0.004343897,100,90789.2731427149,100,90789.27314271491
,,41,-79.95918,322699.69262291264,,,840000,-11.511437,,,94050.47751717886,0.0,40789.16389332398,,0.0,,109531.34894355555,322699.69262291264,0.4605932064790371,,,4.9650545,,0.22,0.0,,0.22,41,,,94050.47751717886,109531.34894355555,-38.21000854635255,,40789.16389332398,-38.21000854635255,68.44775,,0.006090424,100,,100,
,,42,-48.137188,314237.1259875491,,,860000,3.6122437,,,88904.04122078799,0.0,33462.73158325373,,0.0,,91082.26510371847,314237.1259875491,0.4822549860449413,,,4.923394,,0.11,0.0,,0.11,42,,,88904.04122078799,91082.26510371847,-37.14657421525706,,33462.73158325373,-37.14657421525706,51.74943,,0.0052480693,100,,100,
,,43,-45.623177,329798.81006724725,,,880000,21.17735,,,97185.08392404612,0.0,43794.873674435075,,0.0,,123858.37941440802,329798.81006724725,0.38051040897468524,,,4.916341,,0.3,0.0,,0.3,43,,,97185.08392404612,123858.37941440802,-32.71571973502767,,43794.873674435075,-32.71571973502767,66.80052,,0.005798015,100,,100,
,,44,-47.418926,326775.93663571216,,,900000,1.4288875,,,98172.87809107733,0.0,41204.00195491734,,0.0,,117010.79895672288,326775.93663571216,0.5475893793775612,,,4.918723,,0.17,0.0,,0.17,44,,,98172.87809107733,117010.79895672288,-36.58263129708142,,41204.00195491734,-36.58263129708142,48.847813,,0.0055679036,100,,100,
,,45,-142.38823,329967.0687486444,,,920000,-71.47339,,,102685.93104871074,0.0,42847.12026506477,,0.0,,119586.8318618727,329967.0687486444,0.4982964440783535,,,4.896759,,0.25,0.0,,0.25,45,,,102685.93104871074,119586.8318618727,-36.713048147422775,,42847.12026506477,-36.713048147422775,70.91484,,0.004297686,100,,100,
,,46,-86.4635,339678.9204011599,,,940000,-31.606943,,,94636.09534328613,0.0,44229.98373906477,,0.0,,125308.7414785305,339678.9204011599,0.4403095533060376,,,4.8813868,,0.2,0.0,,0.2,46,,,94636.09534328613,125308.7414785305,-27.354083794347883,,44229.98373906477,-27.354083794347883,54.85656,,0.0061087683,100,,100,
,,47,-57.1458,341647.7802750185,,,960000,-3.6086125,,,105417.90735289155,0.0,44877.1156616129,,0.0,,125728.91804142941,341647.7802750185,0.5341482820332799,,,4.860284,,0.24,0.0,,0.24,47,,,105417.90735289155,125728.91804142941,-35.31252632501642,,44877.1156616129,-35.31252632501642,53.53719,,0.005207833,100,,100,
,,48,-154.3936,330842.35442840034,,,980000,-109.52595,,,100782.37870891445,0.0,43428.21088577038,,0.0,,121053.66520694958,330842.35442840034,0.5669594869571781,,,4.840331,,0.27,0.0,,0.27,48,,,100782.37870891445,121053.66520694958,-38.62616333340956,,43428.21088577038,-38.62616333340956,44.867653,,0.0055145407,100,,100,
,,49,-50.787575,336340.5503411043,,,1000000,20.008724,,,107606.30645261993,0.0,47548.75014794511,,0.0,,133421.5194096239,336340.5503411043,0.5028997477911088,,,4.8317537,,0.29,0.0,,0.29,49,,,107606.30645261993,133421.5194096239,-32.939243798018886,,47548.75014794511,-32.939243798018886,70.796295,,0.0057404665,100,,100,
5,94669.8523861903,50,-50.2333,330900.58064246736,94669.85238619024,96755.01870690983,1020000,-10.37125,0.0,-23.08230537928971,102706.52716117521,0.0,53593.31192673381,10,0.0,5,147932.22816368265,330900.58064246736,0.49401837094699075,96755.01870690983,-23.08230537928971,4.814779,0.1,0.32,0.0,274375.1741505532,0.32,50,10,0.1,102706.52716117521,147932.22816368265,-29.3156318260306,274375.1741505532,53593.31192673381,-29.3156318260306,39.86205,0.0,0.0066075316,100,94669.8523861903,100,94669.85238619024
,,51,-96.95219,333501.07553642656,,,1040000,-51.074913,,,100589.69053480182,0.0,43705.37247230176,,0.0,,115366.18395839323,333501.07553642656,0.4918760327620052,,,4.7944956,,0.21,0.0,,0.21,51,,,100589.69053480182,115366.18395839323,-33.863900623304104,,43705.37247230176,-33.863900623304104,45.877274,,0.006352686,100,,100,
,,52,-19.489725,335981.03804921964,,,1060000,53.978825,,,98788.34081049242,0.0,57739.40222074769,,0.0,,160096.78998387614,335981.03804921964,0.4748625882379972,,,4.769538,,0.42,0.0,,0.42,52,,,98788.34081049242,160096.78998387614,-31.328729046388986,,57739.40222074769,-31.328729046388986,73.46855,,0.0077608083,100,,100,
,,53,-132.40402,346319.8548663637,,,1080000,-72.2142,,,107145.84777682634,0.0,56137.0686267903,,0.0,,156626.45206239852,346319.8548663637,0.4824216285252029,,,4.7514296,,0.35,0.0,,0.35,53,,,107145.84777682634,156626.45206239852,-27.45910302992616,,56137.0686267903,-27.45910302992616,60.18982,,0.0037201024,100,,100,
,,54,-13.7814,342282.5333374347,,,1100000,40.14096,,,101868.10121540153,0.0,63177.89424513048,,0.0,,178224.75019813445,342282.5333374347,0.43530633158244747,,,4.7505198,,0.42,0.0,,0.42,54,,,101868.10121540153,178224.75019813445,-22.39672561748594,,63177.89424513048,-22.39672561748594,53.92236,,0.0048894575,100,,100,
,,55,-82.5214,336308.7036199819,,,1120000,-31.6672,,,92425.74617899762,0.0,48659.521120048536,,0.0,,135918.0221731555,336308.7036199819,0.49578357289784947,,,4.7425804,,0.17,0.0,,0.17,55,,,92425.74617899762,135918.0221731555,-32.91188930376116,,48659.521120048536,-32.91188930376116,50.854202,,0.0038011493,100,,100,
,,56,-167.38036,332508.5597667386,,,1140000,-101.72316,,,91447.68736336892,0.0,49302.425407480725,,0.0,,139890.35783149573,332508.5597667386,0.4423579364874165,,,4.7210627,,0.21,0.0,,0.21,56,,,91447.68736336892,139890.35783149573,-33.46951648348516,,49302.425407480725,-33.46951648348516,65.657196,,0.005236107,100,,100,
,,57,-119.222565,329036.20462676947,,,1160000,-61.3148,,,78715.59497165478,0.0,57110.674140309406,,0.0,,165326.47725371725,329036.20462676947,0.42398789916645085,,,4.7203255,,0.27,0.0,,0.27,57,,,78715.59497165478,165326.47725371725,-35.84828376042742,,57110.674140309406,-35.84828376042742,57.907764,,0.0066233063,100,,100,
,,58,-62.2265,329909.0032073698,,,1180000,-4.420975,,,96055.23055091753,0.0,50085.26530638942,,0.0,,141950.69620136713,329909.0032073698,0.5278357734838175,,,4.7188115,,0.2,0.0,,0.2,58,,,96055.23055091753,141950.69620136713,-30.24282110487966,,50085.26530638942,-30.24282110487966,57.805527,,0.0064304993,100,,100,
,,59,-32.130657,324692.46383639745,,,1200000,27.736488,,,90208.44875047414,0.0,47419.92135259051,,0.0,,133611.29984909217,324692.46383639745,0.3997820343417552,,,4.7038827,,0.16,0.0,,0.16,59,,,90208.44875047414,133611.29984909217,-34.319660764980846,,47419.92135259051,-34.319660764980846,59.867146,,0.0045461026,100,,100,
6,131883.85573871795,60,34.71875,342137.66382608423,131883.85573871798,76781.22380447885,1220000,90.47205,0.0,5169.614354401585,104853.65028905617,0.0,43019.56623771727,10,0.0,6,122049.56929525525,342137.66382608423,0.5233434612114258,76781.22380447885,5169.614354401585,4.6808577,0.1,0.17,0.0,237872.867325219,0.17,60,10,0.1,104853.65028905617,122049.56929525525,-31.716730769391464,237872.867325219,43019.56623771727,-31.716730769391464,55.753304,0.0,0.003953771,100,131883.85573871795,100,131883.85573871798
,,61,-108.3283,332706.29105779453,,,1240000,-44.718327,,,100117.37486971654,0.0,54628.87287175393,,0.0,,156631.47013766662,332706.29105779453,0.5067117914802517,,,4.665077,,0.24,0.0,,0.24,61,,,100117.37486971654,156631.47013766662,-36.03360718910658,,54628.87287175393,-36.03360718910658,63.609974,,0.0047755423,100,,100,
,,62,-47.059223,348150.9980810696,,,1260000,26.29715,,,106743.36711094988,0.0,54577.301524156195,,0.0,,158422.66895372292,348150.9980810696,0.5146893415795015,,,4.6534605,,0.33,0.0,,0.33,62,,,106743.36711094988,158422.66895372292,-37.35087797840847,,54577.301524156195,-37.35087797840847,73.35637,,0.0055034733,100,,100,
,,63,-75.78673,331667.00162213837,,,1280000,-21.962988,,,103374.15827658777,0.0,53509.66552644619,,0.0,,154261.5256333705,331667.00162213837,0.44682821614971635,,,4.630187,,0.29,0.0,,0.29,63,,,103374.15827658777,154261.5256333705,-27.279962091091633,,53509.66552644619,-27.279962091091633,53.82374,,0.004057361,100,,100,
,,64,-174.588,340094.1834360376,,,1300000,-116.20497,,,103360.77837857325,0.0,51481.18702949693,,0.0,,144401.8105826815,340094.1834360376,0.4420657217005709,,,4.6332445,,0.21,0.0,,0.21,64,,,103360.77837857325,144401.8105826815,-35.490709124295854,,51481.18702949693,-35.490709124295854,58.383026,,0.00438308,100,,100,
,,65,-1.3976,340284.1746077127,,,1320000,57.32075,,,100927.41776911342,0.0,51229.238649937266,,0.0,,144795.71691790613,340284.1746077127,0.49835553193618976,,,4.634643,,0.25,0.0,,0.25,65,,,100927.41776911342,144795.71691790613,-27.90607016891183,,51229.238649937266,-27.90607016891183,58.71835,,0.0054458864,100,,100,
,,66,-100.7396,331306.8669872715,,,1340000,-34.88465,,,81720.16958330237,0.0,58515.042097404046,,0.0,,168167.24744368184,331306.8669872715,0.4187995144514214,,,4.631584,,0.3,0.0,,0.3,66,,,81720.16958330237,168167.24744368184,-33.63350434218664,,58515.042097404046,-33.63350434218664,65.85495,,0.004767217,100,,100,
,,67,-73.3564,347228.91181563353,,,1360000,-36.652973,,,92290.24882660712,0.0,54344.24300959973,,0.0,,157135.65870560711,347228.91181563353,0.3787957984553739,,,4.638692,,0.18,0.0,,0.18,67,,,92290.24882660712,157135.65870560711,-30.299405252831004,,54344.24300959973,-30.299405252831004,36.703426,,0.00426301,100,,100,
,,68,-153.20282,341207.780508608,,,1380000,-106.7749,,,94313.03169249636,0.0,50983.13174392099,,0.0,,146231.19143642543,341207.780508608,0.5142245360633999,,,4.6531672,,0.2,0.0,,0.2,68,,,94313.03169249636,146231.19143642543,-32.442535021447405,,50983.13174392099,-32.442535021447405,46.427917,,0.0056111217,100,,100,
,,69,-152.79254,334225.6278026525,,,1400000,-97.07801,,,100628.92260742825,0.0,55604.228464430525,,0.0,,158319.76447355942,334225.6278026525,0.4355132892903333,,,4.663762,,0.26,0.0,,0.26,69,,,100628.92260742825,158319.76447355942,-25.777592632207913,,55604.228464430525,-25.777592632207913,55.71453,,0.0049422695,100,,100,
