MetaTest/plate-slide-back-v1/MaxReturn,MetaTest/plate-slide-back-v1/MinReturn,MetaTrain/Average/AlphaLoss,MetaTest/Average/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/Iteration,MetaTest/plate-slide-back-v1/TerminationRate,MetaTest/plate-slide-back-v1/NumTrajs,MetaTest/plate-slide-back-v1/AverageDiscountedReturn,MetaTest/plate-slide-back-v1/SuccessRate,MetaTest/Average/MinReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/Average/NumTrajs,MetaTest/Average/StdReturn,MetaTest/plate-slide-back-v1/StdReturn,MetaTest/plate-slide-back-v1/AverageReturn,MetaTrain/Average/PolicyLoss,MetaTest/Average/Iteration,MetaTrain/Average/Alpha,MetaTrain/Average/QfLoss,MetaTest/Average/TerminationRate,TotalEnvSteps
-32.203757283531985,-39.07051367012941,6.7299614,-35.901093832177494,0,0.0,10,-35.901093832177494,0.0,-39.07051367012941,8.117634,-35.901093832177494,0.0,-32.203757283531985,10,2.0438434178714275,2.0438434178714275,-35.901093832177494,8.759204,0,nan,1.9652358,0.0,224000
-21.1097940395306,-25.017671430197975,6.721239,-23.493930675051068,1,0.0,10,-23.493930675051068,0.0,-25.017671430197975,7.7598205,-23.493930675051075,0.0,-21.1097940395306,10,1.201609467047734,1.201609467047734,-23.493930675051075,27.775362,1,nan,2.9249482,0.0,248000
-20.730172129431118,-22.966184819498544,6.706619,-21.843949946896267,2,0.0,10,-21.843949946896267,0.0,-22.966184819498544,7.5344205,-21.843949946896267,0.0,-20.730172129431118,10,0.6279814845053416,0.6279814845053416,-21.843949946896267,37.18917,2,nan,11.31341,0.0,272000
-74.54518245220844,-75.215013200883,6.524511,-74.79265625854838,3,0.0,10,-74.79265625854838,0.0,-75.215013200883,9.097819,-74.79265625854836,0.0,-74.54518245220844,10,0.18328112092937188,0.18328112092937188,-74.79265625854836,44.60348,3,nan,739.9844,0.0,296000
-18.637578989702295,-69.2270267872752,6.3942814,-43.168047238505295,4,0.0,10,-43.168047238505295,0.0,-69.2270267872752,10.446746,-43.16804723850531,0.0,-18.637578989702295,10,24.49999597150643,24.49999597150643,-43.16804723850531,29.165833,4,nan,848.06067,0.0,320000
-35.38101475709493,-44.483805231041465,6.1298504,-37.715882826493626,5,0.0,10,-37.715882826493626,0.0,-44.483805231041465,18.43398,-37.71588282649363,0.0,-35.38101475709493,10,2.5437635644344128,2.5437635644344128,-37.71588282649363,6.2403564,5,nan,2469.989,0.0,344000
-48.53477592416441,-55.46754268181181,4.9636345,-52.48219574349141,6,0.0,10,-52.48219574349141,0.0,-55.46754268181181,26.31446,-52.48219574349139,0.0,-48.53477592416441,10,2.5652931813406314,2.5652931813406314,-52.48219574349139,-72.497856,6,nan,6070.576,0.0,368000
26878.873089638008,-24.27314229688476,3.9382646,4971.161812224413,7,0.0,10,4971.161812224413,0.0,-24.27314229688476,30.28668,4971.161812224413,0.0,26878.873089638008,10,8786.256236587002,8786.256236587002,4971.161812224413,-325.15878,7,nan,13011.925,0.0,392000
-22.48945171908727,-31.24769140181372,2.5853906,-24.726085591777526,8,0.0,10,-24.726085591777526,0.0,-31.24769140181372,37.736942,-24.726085591777522,0.0,-22.48945171908727,10,2.3020638476041597,2.3020638476041597,-24.726085591777522,-600.2856,8,nan,27259.941,0.0,416000
-21.5239646986322,-32.60715466088688,-0.728552,-26.378294287362184,9,0.0,10,-26.378294287362184,0.0,-32.60715466088688,20.312597,-26.378294287362188,0.0,-21.5239646986322,10,4.359391433123568,4.359391433123568,-26.378294287362188,-1539.7521,9,nan,43110.027,0.0,440000
-17.04174739053882,-24.02498039387866,-4.9370418,-20.548655127301835,10,0.0,10,-20.548655127301835,0.0,-24.02498039387866,15.825788,-20.54865512730184,0.0,-17.04174739053882,10,2.5307198343498034,2.5307198343498034,-20.54865512730184,-3628.7834,10,nan,67150.27,0.0,464000
-23.506122796629207,-65.23914774210921,-4.302409,-59.221105224591895,11,0.0,10,-59.221105224591895,0.0,-65.23914774210921,36.636314,-59.22110522459191,0.0,-23.506122796629207,10,11.93131199028656,11.93131199028656,-59.22110522459191,-3211.8254,11,nan,50021.797,0.0,488000
-17.87965214642935,-28.424542134506893,-3.4763339,-19.46768421470511,12,0.0,10,-19.46768421470511,0.0,-28.424542134506893,41.829746,-19.467684214705105,0.0,-17.87965214642935,10,3.0063252369335096,3.0063252369335096,-19.467684214705105,-3468.3894,12,nan,49181.297,0.0,512000
-78.59806347171988,-79.75041869248504,-5.779106,-79.58957586880408,13,0.0,10,-79.58957586880408,0.0,-79.75041869248504,21.10661,-79.58957586880408,0.0,-78.59806347171988,10,0.33138599955874704,0.33138599955874704,-79.58957586880408,-5410.7075,13,nan,77760.08,0.0,536000
-51.27160711422271,-86.28449131130685,1.1445938,-68.5176830464923,14,0.0,10,-68.5176830464923,0.0,-86.28449131130685,226.8136,-68.5176830464923,0.0,-51.27160711422271,10,12.595295567626291,12.595295567626291,-68.5176830464923,-694.8936,14,nan,101218.68,0.0,560000
-33.053520361858865,-85.4641553861915,4.2955284,-64.71954069307456,15,0.0,10,-64.71954069307456,0.0,-85.4641553861915,602.8546,-64.71954069307456,0.0,-33.053520361858865,10,18.79317024317991,18.79317024317991,-64.71954069307456,1727.448,15,nan,9452.07,0.0,584000
-64.5933470414202,-77.45382940099172,4.668238,-70.90218360535592,16,0.0,10,-70.90218360535592,0.0,-77.45382940099172,400.58447,-70.90218360535592,0.0,-64.5933470414202,10,5.629861718958471,5.629861718958471,-70.90218360535592,1254.7018,16,nan,4011.8193,0.0,608000
-34.72220264352793,-80.8370081055976,5.3022447,-68.35200845949387,17,0.0,10,-68.35200845949387,0.0,-80.8370081055976,86.91247,-68.35200845949389,0.0,-34.72220264352793,10,11.631971004723454,11.631971004723454,-68.35200845949389,978.8352,17,nan,8043.0894,0.0,632000
-33.618706288990495,-78.79230260228682,5.515569,-73.35498046316026,18,0.0,10,-73.35498046316026,0.0,-78.79230260228682,65.90464,-73.35498046316027,0.0,-33.618706288990495,10,13.395942452214475,13.395942452214475,-73.35498046316027,759.863,18,nan,2348.9446,0.0,656000
-20.419560020446674,-73.51782185830065,3.7285485,-47.32688545636814,19,0.0,10,-47.32688545636814,0.0,-73.51782185830065,296.44977,-47.32688545636813,0.0,-20.419560020446674,10,25.538058830958445,25.538058830958445,-47.32688545636813,-225.46786,19,nan,9677.107,0.0,680000
-71.09388404019276,-73.5292306832265,-2.7384095,-71.58373795335255,20,0.0,10,-71.58373795335255,0.0,-73.5292306832265,72.15681,-71.58373795335255,0.0,-71.09388404019276,10,0.6771877150269084,0.6771877150269084,-71.58373795335255,-4101.582,20,nan,30223.816,0.0,704000
-66.90494488379234,-75.4156080655283,-6.8346524,-71.1148150457509,21,0.0,10,-71.1148150457509,0.0,-75.4156080655283,7.767121,-71.11481504575089,0.0,-66.90494488379234,10,3.8707350309335307,3.8707350309335307,-71.11481504575089,-7011.759,21,nan,51634.742,0.0,728000
-53.38039689140646,-57.48475687078676,-6.9713693,-56.121388011215956,22,0.0,10,-56.121388011215956,0.0,-57.48475687078676,10.059673,-56.121388011215956,0.0,-53.38039689140646,10,1.06883688703476,1.06883688703476,-56.121388011215956,-7108.3594,22,nan,59388.77,0.0,752000
-85.87610131573014,-86.13328838388597,-6.1114545,-86.02147829159853,23,0.0,10,-86.02147829159853,0.0,-86.13328838388597,8.134876,-86.02147829159853,0.0,-85.87610131573014,10,0.07035189345364931,0.07035189345364931,-86.02147829159853,-7252.703,23,nan,58510.33,0.0,776000
-38.7321991387834,-40.804373180898835,-5.3844647,-40.127369847402406,24,0.0,10,-40.127369847402406,0.0,-40.804373180898835,10.837322,-40.127369847402406,0.0,-38.7321991387834,10,0.574165712688626,0.574165712688626,-40.127369847402406,-6960.894,24,nan,64341.574,0.0,800000
