MetaTrain/Average/AlphaLoss,MetaTest/Average/MinReturn,MetaTrain/Average/Alpha,MetaTest/Average/StdReturn,MetaTest/reach-v1/MaxReturn,TotalEnvSteps,MetaTest/reach-v1/SuccessRate,MetaTrain/Average/QfLoss,MetaTest/Average/Iteration,MetaTest/reach-v1/MinReturn,MetaTest/reach-v1/TerminationRate,MetaTest/reach-v1/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/NumEpisodes,MetaTest/reach-v1/StdReturn,MetaTrain/Average/PolicyLoss,MetaTest/reach-v1/Iteration,MetaTest/reach-v1/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/reach-v1/AverageReturn,MetaTrain/Average/ContrastiveLoss
7.412915,31255.54603488795,320.15265,66222.39555922394,263241.33810132643,824000,0.1,89764690.0,25,31255.54603488795,0.0,82994.61478059554,263241.33810132643,0.1,82994.61478059556,10,66222.39555922394,-548921.2,25,10,0.0,82994.61478059554,82994.61478059556,2756.7534
3.071876,34045.53619583432,318.754,51773.14333216908,212564.7796837841,848000,0.1,90884376.0,26,34045.53619583432,0.0,79155.55461131303,212564.7796837841,0.1,79155.55461131301,10,51773.14333216908,-562261.9,26,10,0.0,79155.55461131303,79155.55461131301,2681.36
-0.5819058,39603.424060988815,330.33603,58521.405742990006,257920.0931267868,872000,0.2,95022630.0,27,39603.424060988815,0.0,104344.71415734211,257920.0931267868,0.2,104344.7141573421,10,58521.405742990006,-564378.94,27,10,0.0,104344.71415734211,104344.7141573421,3268.6924
1.4325517,35950.31236110278,318.60532,57470.50563943728,216785.791472743,896000,0.2,92588620.0,28,35950.31236110278,0.0,93906.46118961283,216785.791472743,0.2,93906.46118961279,10,57470.50563943728,-565626.25,28,10,0.0,93906.46118961283,93906.46118961279,3771.0212
29.354425,49973.593621318694,309.02786,65733.17837174126,278351.4125916521,920000,0.1,93342940.0,29,49973.593621318694,0.0,92986.73114769395,278351.4125916521,0.1,92986.73114769396,10,65733.17837174126,-581206.75,29,10,0.0,92986.73114769395,92986.73114769396,5455.078
-7.477304,26967.224150983286,298.12283,49846.68881180906,168226.12012137944,944000,0.0,96161950.0,30,26967.224150983286,0.0,82637.27287849927,168226.12012137944,0.0,82637.2728784993,10,49846.68881180906,-579796.6,30,10,0.0,82637.27287849927,82637.2728784993,5799.293
38.58493,32810.08722079596,279.6814,54346.32856703817,202520.91090612733,968000,0.1,87216210.0,31,32810.08722079596,0.0,94818.30215211264,202520.91090612733,0.1,94818.30215211265,10,54346.32856703817,-580533.1,31,10,0.0,94818.30215211264,94818.30215211265,8005.508
-9.360949,46843.6686765365,264.42407,31738.296733384246,156578.44622609104,992000,0.0,85760970.0,32,46843.6686765365,0.0,87585.64989271735,156578.44622609104,0.0,87585.64989271737,10,31738.296733384246,-582868.4,32,10,0.0,87585.64989271735,87585.64989271737,6636.995
45.84557,20312.768620601633,246.61722,20116.050404151378,94582.61629317436,1016000,0.0,78056430.0,33,20312.768620601633,0.0,43852.791568748275,94582.61629317436,0.0,43852.79156874829,10,20116.050404151378,-541166.06,33,10,0.0,43852.791568748275,43852.79156874829,9208.756
-5.0322022,18894.05962515741,221.09596,52858.55222582631,171215.4907621849,1040000,0.2,69368024.0,34,18894.05962515741,0.0,78606.02724340669,171215.4907621849,0.2,78606.02724340672,10,52858.55222582631,-509770.4,34,10,0.0,78606.02724340669,78606.02724340672,10173.588
-4.2509503,19852.959257608443,232.29547,64407.90247346561,208853.1074062044,1064000,0.3,68932400.0,35,19852.959257608443,0.0,96821.11060658735,208853.1074062044,0.3,96821.11060658739,10,64407.90247346561,-519778.66,35,10,0.0,96821.11060658735,96821.11060658739,8531.568
-7.1647563,66160.64468724016,245.62462,59870.71157076345,267882.3442348855,1088000,0.2,72984120.0,36,66160.64468724016,0.0,122409.70357474026,267882.3442348855,0.2,122409.70357474024,10,59870.71157076345,-519980.9,36,10,0.0,122409.70357474026,122409.70357474024,12372.802
-0.2862788,33096.0511624412,251.97282,55179.856721179756,226803.71921653365,1112000,0.2,73459336.0,37,33096.0511624412,0.0,110769.40409770838,226803.71921653365,0.2,110769.40409770838,10,55179.856721179756,-530856.2,37,10,0.0,110769.40409770838,110769.40409770838,12665.463
-5.255277,27269.25491189941,251.87393,42403.57740361092,195687.45474276668,1136000,0.1,73482900.0,38,27269.25491189941,0.0,91527.46169179193,195687.45474276668,0.1,91527.46169179192,10,42403.57740361092,-533419.8,38,10,0.0,91527.46169179193,91527.46169179192,10844.078
-7.8686714,38260.689647768886,265.4512,45179.84390278183,195799.03181303042,1160000,0.2,73727190.0,39,38260.689647768886,0.0,98184.69182486177,195799.03181303042,0.2,98184.69182486182,10,45179.84390278183,-531476.8,39,10,0.0,98184.69182486177,98184.69182486182,6779.495
-2.217258,37883.94812184462,266.5376,45564.3641404442,157956.24923114807,1184000,0.1,74726104.0,40,37883.94812184462,0.0,90633.01901534297,157956.24923114807,0.1,90633.019015343,10,45564.3641404442,-529134.06,40,10,0.0,90633.01901534297,90633.019015343,6484.8276
-8.536042,49069.24004535569,277.43552,36948.47214187808,148913.33881773968,1208000,0.0,79420980.0,41,49069.24004535569,0.0,97126.12856382893,148913.33881773968,0.0,97126.12856382893,10,36948.47214187808,-535686.6,41,10,0.0,97126.12856382893,97126.12856382893,5607.347
5.7356143,45916.914550698726,284.9605,25011.26729694905,126369.48098542333,1232000,0.0,83389090.0,42,45916.914550698726,0.0,75956.14553180111,126369.48098542333,0.0,75956.14553180113,10,25011.26729694905,-541692.7,42,10,0.0,75956.14553180111,75956.14553180113,4999.5527
2.7302763,22846.826222794814,277.1788,29622.939792032106,109412.69421461223,1256000,0.1,81914280.0,43,22846.826222794814,0.0,66462.62283490124,109412.69421461223,0.1,66462.62283490124,10,29622.939792032106,-544901.4,43,10,0.0,66462.62283490124,66462.62283490124,4874.6904
-1.5549465,40438.21282959641,277.14526,60245.819790379486,206297.0533178397,1280000,0.2,84683416.0,44,40438.21282959641,0.0,106676.48334675263,206297.0533178397,0.2,106676.48334675263,10,60245.819790379486,-539175.44,44,10,0.0,106676.48334675263,106676.48334675263,8625.408
-7.1043186,27295.3952476442,282.51068,54349.69061561699,210628.1147641042,1304000,0.3,90555170.0,45,27295.3952476442,0.0,93360.19262730607,210628.1147641042,0.3,93360.19262730608,10,54349.69061561699,-536214.56,45,10,0.0,93360.19262730607,93360.19262730608,5652.078
-17.322441,38972.3391740819,303.3426,43652.63391994483,195359.8880310812,1328000,0.1,88162120.0,46,38972.3391740819,0.0,86029.6167291252,195359.8880310812,0.1,86029.6167291252,10,43652.63391994483,-553746.06,46,10,0.0,86029.6167291252,86029.6167291252,6574.258
28.974434,20813.724450003494,284.92178,59078.73238235385,209480.2872688267,1352000,0.1,95553736.0,47,20813.724450003494,0.0,92122.2031772098,209480.2872688267,0.1,92122.2031772098,10,59078.73238235385,-542319.2,47,10,0.0,92122.2031772098,92122.2031772098,5877.147
-3.4301796,24920.85858427156,277.62274,47998.21242643165,199812.66414970745,1376000,0.3,86722970.0,48,24920.85858427156,0.0,94389.82692990523,199812.66414970745,0.3,94389.82692990525,10,47998.21242643165,-529699.06,48,10,0.0,94389.82692990523,94389.82692990525,5214.17
26.139175,28749.438769112225,254.74243,25204.12647492374,108978.03814839484,1400000,0.2,86595020.0,49,28749.438769112225,0.0,69524.87780238192,108978.03814839484,0.2,69524.87780238192,10,25204.12647492374,-509878.9,49,10,0.0,69524.87780238192,69524.87780238192,6772.52
