MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/handle-press-side-v1/AverageReturn,TotalEnvSteps,MetaTest/handle-press-side-v1/TerminationRate,MetaTrain/Average/AlphaLoss,MetaTrain/Average/QfLoss,MetaTest/handle-press-side-v1/NumEpisodes,MetaTrain/Average/Alpha,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-press-side-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/handle-press-side-v1/Iteration,MetaTest/Average/MinReturn,MetaTest/handle-press-side-v1/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/handle-press-side-v1/StdReturn,MetaTest/handle-press-side-v1/MinReturn,MetaTest/Average/MaxReturn,MetaTest/handle-press-side-v1/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTrain/Average/PolicyLoss,MetaTest/Average/TerminationRate
0.0,10,-31.907016623428746,224000,0.0,0.518178,62947.895,10,0.93849325,-31.90701662342874,0.0,10.709263713707594,11.758269,0,-48.57165971147982,-17.786827413101104,-31.907016623428746,10.709263713707594,-48.57165971147982,-17.786827413101104,-31.90701662342874,0,-245.05988,0.0
0.0,10,-46.02012061770208,248000,0.0,-3.0287955,73533.305,10,1.5109361,-46.020120617702084,0.0,4.692692813405644,19.825493,1,-52.80182827307712,-40.05786407600964,-46.02012061770208,4.692692813405644,-52.80182827307712,-40.05786407600964,-46.020120617702084,1,-2535.975,0.0
0.0,10,-54.32632239554366,272000,0.0,-9.753454,105428.75,10,3.073665,-54.32632239554366,0.0,5.623004107127952,43.28775,2,-60.04984958499451,-44.27838690785334,-54.32632239554366,5.623004107127952,-60.04984958499451,-44.27838690785334,-54.32632239554366,2,-6024.0347,0.0
0.0,10,-55.723816461093364,296000,0.0,-10.553558,129935.65,10,5.681421,-55.72381646109335,0.0,9.224760426866286,89.833084,3,-70.04580670632457,-43.55683873488537,-55.723816461093364,9.224760426866286,-70.04580670632457,-43.55683873488537,-55.72381646109335,3,-9042.664,0.0
0.0,10,-75.36567296615267,320000,0.0,-3.5072758,118561.805,10,8.685801,-75.36567296615264,0.0,4.7896467420386735,59.34552,4,-82.70179841715462,-67.54541269643354,-75.36567296615267,4.7896467420386735,-82.70179841715462,-67.54541269643354,-75.36567296615264,4,-9935.548,0.0
0.0,10,-27.13839356769578,344000,0.0,0.83409524,129383.57,10,8.881355,-27.13839356769578,0.0,5.381728959620844,104.886856,5,-38.637961221385076,-20.446394990107006,-27.13839356769578,5.381728959620844,-38.637961221385076,-20.446394990107006,-27.13839356769578,5,-10344.404,0.0
0.0,10,-55.23306384503046,368000,0.0,0.6685171,133945.34,10,7.4539247,-55.23306384503046,0.0,3.843919393198515,266.14502,6,-62.75858169715636,-50.38504471570826,-55.23306384503046,3.843919393198515,-62.75858169715636,-50.38504471570826,-55.23306384503046,6,-9687.535,0.0
0.0,10,10928.093299650265,392000,0.0,1.4284263,149500.11,10,5.7025213,10928.093299650269,0.0,16927.587337835612,595.5463,7,-86.37920851015664,41421.83402513083,10928.093299650265,16927.587337835612,-86.37920851015664,41421.83402513083,10928.093299650269,7,-8776.505,0.0
0.0,10,-32.21803220461884,416000,0.0,-0.54639393,196846.66,10,5.365791,-32.21803220461884,0.0,4.605327625285798,659.8316,8,-37.96772641196251,-22.166081886626028,-32.21803220461884,4.605327625285798,-37.96772641196251,-22.166081886626028,-32.21803220461884,8,-9091.71,0.0
0.0,10,233.13776223440277,440000,0.0,-0.65637684,271977.9,10,5.9758615,233.13776223440308,0.0,809.6982273211709,655.4478,9,-66.99205933109772,2661.9254977732826,233.13776223440277,809.6982273211709,-66.99205933109772,2661.9254977732826,233.13776223440308,9,-9469.274,0.0
0.0,10,3653.1873744229465,464000,0.0,-2.2000108,421710.03,10,7.4760413,3653.187374422946,0.0,7511.774142940596,786.35486,10,-55.52423414951221,21674.813521918357,3653.1873744229465,7511.774142940596,-55.52423414951221,21674.813521918357,3653.187374422946,10,-10904.385,0.0
0.0,10,4547.015749819313,488000,0.0,3.0145333,580236.8,10,7.6022224,4547.015749819313,0.0,12150.99848807468,931.0898,11,-47.67211415471433,40831.47538238707,4547.015749819313,12150.99848807468,-47.67211415471433,40831.47538238707,4547.015749819313,11,-12096.413,0.0
0.0,10,14527.452585748824,512000,0.0,12.802035,362917.47,10,5.0788927,14527.452585748819,0.0,22173.745493911312,1180.6727,12,-71.09690325919246,51564.98275644166,14527.452585748824,22173.745493911312,-71.09690325919246,51564.98275644166,14527.452585748819,12,-4717.305,0.0
