MetaTest/Average/Iteration,MetaTest/Average/SuccessRate,MetaTest/Average/StdReturn,MetaTrain/Average/QfLoss,MetaTest/drawer-open-v1/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/drawer-open-v1/AverageDiscountedReturn,MetaTest/Average/TerminationRate,MetaTest/drawer-open-v1/MinReturn,MetaTest/drawer-open-v1/AverageReturn,MetaTest/Average/NumTrajs,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/drawer-open-v1/Iteration,MetaTest/drawer-open-v1/NumTrajs,MetaTest/Average/AverageReturn,MetaTrain/Average/Alpha,MetaTrain/Average/PolicyLoss,MetaTrain/Average/AlphaLoss,MetaTest/drawer-open-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTest/drawer-open-v1/SuccessRate,MetaTest/drawer-open-v1/MaxReturn
37,0.0,23.712510837985,82788730.0,0.0,-68.34088053464289,-20.202130399799717,-68.34088053464289,0.0,-101.07642000565205,-68.34088053464293,10,1112000,-101.07642000565205,37,10,-68.34088053464293,nan,-87698.625,-17.614851,23.712510837985,47308.344,0.0,-20.202130399799717
38,0.0,23.288602842266318,71713210.0,0.0,-56.99921301612898,-26.368917637576285,-56.99921301612898,0.0,-83.9548059014878,-56.99921301612896,10,1136000,-83.9548059014878,38,10,-56.99921301612896,nan,-84847.81,-14.281191,23.288602842266318,41079.43,0.0,-26.368917637576285
39,0.0,18.4211451489459,55293436.0,0.0,-75.00895590934924,-32.62190217968662,-75.00895590934924,0.0,-97.13051726046672,-75.00895590934921,10,1160000,-97.13051726046672,39,10,-75.00895590934921,nan,-69650.59,-11.795611,18.4211451489459,11015.852,0.0,-32.62190217968662
40,0.0,10.547757172247598,37351204.0,0.0,-72.74520090088012,-47.04845313108923,-72.74520090088012,0.0,-83.19274101533861,-72.74520090088012,10,1184000,-83.19274101533861,40,10,-72.74520090088012,nan,-41512.777,-7.0981297,10.547757172247598,37997.215,0.0,-47.04845313108923
41,0.0,34.07732033780685,36072972.0,0.0,-94.30099632486208,-23.848938864981456,-94.30099632486208,0.0,-125.50752590911112,-94.3009963248621,10,1208000,-125.50752590911112,41,10,-94.3009963248621,nan,-34437.312,-5.305372,34.07732033780685,19637.467,0.0,-23.848938864981456
42,0.0,29.36503568102822,76191960.0,0.0,-55.636848107361175,-19.034369063695323,-55.636848107361175,0.0,-98.92721254660381,-55.63684810736119,10,1232000,-98.92721254660381,42,10,-55.63684810736119,nan,-78774.63,-11.23333,29.36503568102822,14756.69,0.0,-19.034369063695323
43,0.0,11.745219811644462,77193990.0,0.0,-94.3052805996073,-69.30195818810654,-94.3052805996073,0.0,-110.09970339895676,-94.30528059960731,10,1256000,-110.09970339895676,43,10,-94.30528059960731,nan,-92492.09,-11.063343,11.745219811644462,24748.172,0.0,-69.30195818810654
44,0.0,21.7461747358869,41840790.0,0.0,-102.92656409145748,-49.03649822282428,-102.92656409145748,0.0,-126.36050646219718,-102.92656409145737,10,1280000,-126.36050646219718,44,10,-102.92656409145737,nan,-39633.32,-4.458569,21.7461747358869,63743.71,0.0,-49.03649822282428
45,0.0,18.107094923536447,27623066.0,0.0,-67.98448600949186,-18.962956745066162,-67.98448600949186,0.0,-83.75397630156637,-67.98448600949186,10,1304000,-83.75397630156637,45,10,-67.98448600949186,nan,-14799.698,-1.9556756,18.107094923536447,16679.27,0.0,-18.962956745066162
46,0.0,1360.965596532786,12717953.0,0.0,647.7965506972139,3506.6288096979197,647.7965506972139,0.0,-59.98741276025771,647.7965506972135,10,1328000,-59.98741276025771,46,10,647.7965506972135,nan,-5535.9775,0.47443825,1360.965596532786,7280.835,0.0,3506.6288096979197
47,0.1,17.141357133002803,7591082.0,0.0,-45.7587335284578,-19.538465489852474,-45.7587335284578,0.0,-70.88940058020086,-45.758733528457796,10,1352000,-70.88940058020086,47,10,-45.758733528457796,nan,1926.406,-0.96177995,17.141357133002803,21689.555,0.1,-19.538465489852474
48,0.0,1552.7484903423901,7980337.0,0.0,932.1046632929126,3334.8637261443473,932.1046632929126,0.0,-100.41410192038283,932.1046632929125,10,1376000,-100.41410192038283,48,10,932.1046632929125,nan,59.304764,-1.8009725,1552.7484903423901,110101.2,0.0,3334.8637261443473
49,0.0,15.38344065247156,16118299.0,0.0,-95.6395640474082,-64.2046700797962,-95.6395640474082,0.0,-118.1081901777234,-95.63956404740813,10,1400000,-118.1081901777234,49,10,-95.63956404740813,nan,3840.5066,0.29174745,15.38344065247156,121970.32,0.0,-64.2046700797962
50,0.0,1060.1190386563474,71956700.0,0.0,426.96396199847385,3430.1662792635184,426.96396199847385,0.0,-80.11559834811914,426.9639619984737,10,1424000,-80.11559834811914,50,10,426.9639619984737,nan,3739.0806,-0.11278167,1060.1190386563474,180227.39,0.0,3430.1662792635184
51,0.0,28.78311388057088,974753.4,0.0,-99.88008373406765,-35.43031709853138,-99.88008373406765,0.0,-138.89768667222444,-99.88008373406771,10,1448000,-138.89768667222444,51,10,-99.88008373406771,nan,2982.716,-0.30614978,28.78311388057088,53261.01,0.0,-35.43031709853138
52,0.1,602.1611965583235,2437716.8,0.0,168.32990978027152,1973.9568629659498,168.32990978027152,0.0,-67.65016471038163,168.32990978027135,10,1472000,-67.65016471038163,52,10,168.32990978027135,nan,1665.2627,0.20776862,602.1611965583235,90977.97,0.1,1973.9568629659498
53,0.1,17.27836309342494,4690861.0,0.0,-52.142675490792975,-23.315366671059778,-52.142675490792975,0.0,-71.61468560350332,-52.142675490792975,10,1496000,-71.61468560350332,53,10,-52.142675490792975,nan,975.19727,0.074705385,17.27836309342494,195974.11,0.1,-23.315366671059778
54,0.0,34.395855623828695,503985.22,0.0,-61.852122982293636,-15.528243468591736,-61.852122982293636,0.0,-127.17394513958084,-61.8521229822936,10,1520000,-127.17394513958084,54,10,-61.8521229822936,nan,1149.4213,-1.3377187,34.395855623828695,64711.23,0.0,-15.528243468591736
55,0.0,23.686345095886885,13013450.0,0.0,-74.26563612399764,-39.58993993072137,-74.26563612399764,0.0,-99.80500882519551,-74.2656361239977,10,1544000,-99.80500882519551,55,10,-74.2656361239977,nan,1877.0361,-1.4675959,23.686345095886885,403654.97,0.0,-39.58993993072137
56,0.0,905.8212701612993,309391.66,0.0,231.60442101210825,2948.3423771092753,231.60442101210825,0.0,-116.11417374663088,231.60442101210825,10,1568000,-116.11417374663088,56,10,231.60442101210825,nan,226.55746,-1.3471389,905.8212701612993,1106.8148,0.0,2948.3423771092753
57,0.0,6.9826711124329455,558123.75,0.0,-108.66284558035684,-100.32240589371295,-108.66284558035684,0.0,-118.26974499556185,-108.66284558035682,10,1592000,-118.26974499556185,57,10,-108.66284558035682,nan,2170.093,-3.4367914,6.9826711124329455,9055.778,0.0,-100.32240589371295
58,0.0,26.424374891481087,776376.25,0.0,-55.273765294793876,-13.759688930526083,-55.273765294793876,0.0,-91.16853689540179,-55.2737652947939,10,1616000,-91.16853689540179,58,10,-55.2737652947939,nan,5766.92,-2.9131684,26.424374891481087,47659.676,0.0,-13.759688930526083
59,0.2,29.615765363966343,1399049.0,0.0,-74.40576723775229,-32.428602518869184,-74.40576723775229,0.0,-108.28271029193606,-74.40576723775227,10,1640000,-108.28271029193606,59,10,-74.40576723775227,nan,1736.6295,-3.4252772,29.615765363966343,25053.691,0.2,-32.428602518869184
60,0.0,17.17991581686022,6990825.0,0.0,-76.55781324289298,-41.91990104464468,-76.55781324289298,0.0,-105.70498793824831,-76.557813242893,10,1664000,-105.70498793824831,60,10,-76.557813242893,nan,712.2091,-5.650784,17.17991581686022,147720.86,0.0,-41.91990104464468
61,0.0,1333.6345157701112,3504108.5,0.0,1429.5179432244397,3233.1960962409307,1429.5179432244397,0.0,-18.547261388412714,1429.5179432244397,10,1688000,-18.547261388412714,61,10,1429.5179432244397,nan,1593.8875,-2.030041,1333.6345157701112,93201.65,0.0,3233.1960962409307
62,0.0,12.95106412367208,1358282.9,0.0,-112.45018153411115,-82.09148399739345,-112.45018153411115,0.0,-124.48254040224131,-112.45018153411108,10,1712000,-124.48254040224131,62,10,-112.45018153411108,nan,1819.0363,-1.8165206,12.95106412367208,93471.79,0.0,-82.09148399739345
63,0.0,1227.5164544493186,2151065.5,0.0,561.7232831549944,3249.7239112110474,561.7232831549944,0.0,-64.2374137937989,561.7232831549948,10,1736000,-64.2374137937989,63,10,561.7232831549948,nan,48.552204,-5.3268213,1227.5164544493186,17821.781,0.0,3249.7239112110474
64,0.0,13.232023106640865,1095747000.0,0.0,-95.82463382093682,-84.66213705677937,-95.82463382093682,0.0,-131.98624820212783,-95.82463382093687,10,1760000,-131.98624820212783,64,10,-95.82463382093687,nan,18782.42,-11.076651,13.232023106640865,93360000.0,0.0,-84.66213705677937
65,0.0,1107.3417692440141,15332739.0,0.0,470.76222305293686,3096.3583524531823,470.76222305293686,0.0,-92.53618638891949,470.7622230529367,10,1784000,-92.53618638891949,65,10,470.7622230529367,nan,17387.809,-2.3656476,1107.3417692440141,27636614.0,0.0,3096.3583524531823
66,0.0,32.3117780818236,206860960.0,0.0,-76.12428269488129,-13.358558476546298,-76.12428269488129,0.0,-117.76722008023373,-76.12428269488132,10,1808000,-117.76722008023373,66,10,-76.12428269488132,nan,60312.316,-9.247676,32.3117780818236,26384258.0,0.0,-13.358558476546298
67,0.0,708.9896034815328,173354540.0,0.0,207.60331016008473,2333.9363844236996,207.60331016008473,0.0,-78.81068260968938,207.6033101600846,10,1832000,-78.81068260968938,67,10,207.6033101600846,nan,26108.605,-6.7710037,708.9896034815328,15731415.0,0.0,2333.9363844236996
68,0.0,5.442647358341052,178721000.0,0.0,-98.40083446579601,-90.02757905364338,-98.40083446579601,0.0,-106.8270811566622,-98.40083446579607,10,1856000,-106.8270811566622,68,10,-98.40083446579607,nan,51996.68,-14.094777,5.442647358341052,4132184.2,0.0,-90.02757905364338
69,0.0,35.48939967411595,4836108000.0,0.0,-61.80545685695315,-13.27736418186655,-61.80545685695315,0.0,-101.97276364373495,-61.805456856953185,10,1880000,-101.97276364373495,69,10,-61.805456856953185,nan,33060.094,-27.860298,35.48939967411595,13191997.0,0.0,-13.27736418186655
70,0.0,1345.0047010213616,6912364.0,0.0,612.2157509331674,3319.227712630603,612.2157509331674,0.0,-136.86154044329777,612.2157509331672,10,1904000,-136.86154044329777,70,10,612.2157509331672,nan,111494.91,-23.267511,1345.0047010213616,13442896.0,0.0,3319.227712630603
71,0.0,13.849370186384137,2539064.0,0.0,-97.18889289833979,-70.56717817364876,-97.18889289833979,0.0,-115.54903112471254,-97.18889289833977,10,1928000,-115.54903112471254,71,10,-97.18889289833977,nan,43649.664,-5.39343,13.849370186384137,4661415.0,0.0,-70.56717817364876
72,0.0,3.424510506001698,329243.4,0.0,-75.10468763953862,-71.4508002504262,-75.10468763953862,0.0,-82.7630672081626,-75.10468763953864,10,1952000,-82.7630672081626,72,10,-75.10468763953864,nan,13332.885,0.23454803,3.424510506001698,663581.3,0.0,-71.4508002504262
73,0.0,9.765306001480026,352695.03,0.0,-113.402289197505,-100.0527517860389,-113.402289197505,0.0,-126.84358386602132,-113.40228919750507,10,1976000,-126.84358386602132,73,10,-113.40228919750507,nan,11050.35,-0.38377562,9.765306001480026,154718.84,0.0,-100.0527517860389
74,0.0,23.58985745117326,479239.0,0.0,-73.64209221904044,-25.892715324046048,-73.64209221904044,0.0,-110.65133380289177,-73.64209221904039,10,2000000,-110.65133380289177,74,10,-73.64209221904039,nan,32783.227,0.24494343,23.58985745117326,108410.23,0.0,-25.892715324046048
75,0.0,1.305930848729985,290091.9,0.0,-71.28854203465811,-70.01668866615101,-71.28854203465811,0.0,-74.705492088535,-71.28854203465814,10,2024000,-74.705492088535,75,10,-71.28854203465814,nan,9395.17,0.21228509,1.305930848729985,67480.984,0.0,-70.01668866615101
76,0.0,1342.445142613087,286815.03,0.0,620.9524000832076,3361.661039219515,620.9524000832076,0.0,-71.6078791539514,620.9524000832077,10,2048000,-71.6078791539514,76,10,620.9524000832077,nan,3500.0215,-2.5945425,1342.445142613087,13470.116,0.0,3361.661039219515
77,0.0,16.024015899958435,322738.5,0.0,-69.45062477836267,-40.89079941490839,-69.45062477836267,0.0,-94.90565577563034,-69.45062477836268,10,2072000,-94.90565577563034,77,10,-69.45062477836268,nan,4100.22,-4.009317,16.024015899958435,23964.873,0.0,-40.89079941490839
78,0.0,22.221374399333058,418646.16,0.0,-100.84941138788058,-67.56774163560323,-100.84941138788058,0.0,-136.36575491179443,-100.84941138788061,10,2096000,-136.36575491179443,78,10,-100.84941138788061,nan,1370.0787,-2.4401996,22.221374399333058,9807.836,0.0,-67.56774163560323
79,0.0,15.633804602621755,952035.56,0.0,-41.0919215006827,-24.98834551304385,-41.0919215006827,0.0,-70.39025271384943,-41.091921500682716,10,2120000,-70.39025271384943,79,10,-41.091921500682716,nan,522.3237,-2.9889708,15.633804602621755,5441.589,0.0,-24.98834551304385
80,0.0,27.776591842095904,724281.94,0.0,-69.79728003302708,-25.650958055709282,-69.79728003302708,0.0,-109.64914962167602,-69.79728003302708,10,2144000,-109.64914962167602,80,10,-69.79728003302708,nan,2471.8042,-1.1299266,27.776591842095904,5790.1,0.0,-25.650958055709282
81,0.0,8.062424670158455,423534.22,0.0,-51.16805585538526,-35.006018404001736,-51.16805585538526,0.0,-69.86003950026448,-51.168055855385255,10,2168000,-69.86003950026448,81,10,-51.168055855385255,nan,5069.069,-2.1743734,8.062424670158455,11854.69,0.0,-35.006018404001736
82,0.3,938.4433189477297,1035853.8,0.0,391.9451807194188,3114.709674635606,391.9451807194188,0.0,-95.97121317202068,391.945180719419,10,2192000,-95.97121317202068,82,10,391.945180719419,nan,-2968.483,-10.759551,938.4433189477297,10225.711,0.3,3114.709674635606
83,0.2,1030.3904135118778,1808940.5,0.0,359.4219531562714,3405.2703739356984,359.4219531562714,0.0,-81.20133607226963,359.42195315627157,10,2216000,-81.20133607226963,83,10,359.42195315627157,nan,-2878.9507,-10.108254,1030.3904135118778,8116.8096,0.2,3405.2703739356984
84,0.0,427.30650377863367,1425796.5,0.0,87.31304908455203,1367.3843509341816,87.31304908455203,0.0,-95.87191390274178,87.31304908455198,10,2240000,-95.87191390274178,84,10,87.31304908455198,nan,-805.6111,-8.10312,427.30650377863367,66354.97,0.0,1367.3843509341816
85,0.0,19.41379202821027,1284024.5,0.0,-42.300620047736274,-21.611505851676178,-42.300620047736274,0.0,-69.64378024374825,-42.300620047736274,10,2264000,-69.64378024374825,85,10,-42.300620047736274,nan,2015.3456,-9.629846,19.41379202821027,18109.893,0.0,-21.611505851676178
86,0.0,7.47763237685653,1369967.9,0.0,-52.410959375875734,-36.04785762697489,-52.410959375875734,0.0,-63.37673340851153,-52.41095937587575,10,2288000,-63.37673340851153,86,10,-52.41095937587575,nan,3364.1445,-9.8675,7.47763237685653,13612.472,0.0,-36.04785762697489
87,0.0,6.662426660687209,417518.28,0.0,-36.98651073807217,-26.347021998892906,-36.98651073807217,0.0,-50.33561295563637,-36.98651073807217,10,2312000,-50.33561295563637,87,10,-36.98651073807217,nan,1782.2981,-8.112869,6.662426660687209,19242.371,0.0,-26.347021998892906
88,0.0,1256.9033650989454,386206.78,0.0,942.1420842642144,3224.422569022854,942.1420842642144,0.0,-71.17940433081316,942.1420842642144,10,2336000,-71.17940433081316,88,10,942.1420842642144,nan,-102.47472,-7.968125,1256.9033650989454,6583.391,0.0,3224.422569022854
89,0.0,11.620295590000222,1748579.2,0.0,-43.553951584292065,-27.08100535430372,-43.553951584292065,0.0,-66.06779252942121,-43.55395158429205,10,2360000,-66.06779252942121,89,10,-43.55395158429205,nan,-3620.613,-12.937547,11.620295590000222,114871.13,0.0,-27.08100535430372
90,0.0,17.671940235849686,1048747.2,0.0,-71.04839594470333,-39.01570475316694,-71.04839594470333,0.0,-94.06000801025161,-71.04839594470336,10,2384000,-94.06000801025161,90,10,-71.04839594470336,nan,1309.0376,-6.6052256,17.671940235849686,123067.75,0.0,-39.01570475316694
91,0.0,6.821586761286536,1833307.5,0.0,-96.87819854764538,-84.45770748717979,-96.87819854764538,0.0,-111.64029091155841,-96.8781985476453,10,2408000,-111.64029091155841,91,10,-96.8781985476453,nan,4089.361,-1.7862569,6.821586761286536,77547.39,0.0,-84.45770748717979
92,0.0,27.981751052569543,73902650.0,0.0,-51.68780865843994,-16.52823911312428,-51.68780865843994,0.0,-109.12763883068601,-51.68780865843994,10,2432000,-109.12763883068601,92,10,-51.68780865843994,nan,83031.83,-12.806555,27.981751052569543,2935644.2,0.0,-16.52823911312428
