MetaTest/Average/Iteration,MetaTest/window-close-v1/AverageReturn,MetaTest/Average/NumTrajs,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/window-close-v1/TerminationRate,MetaTest/window-close-v1/MinReturn,TotalEnvSteps,MetaTest/window-close-v1/AverageDiscountedReturn,MetaTest/window-close-v1/Iteration,MetaTest/window-close-v1/SuccessRate,MetaTest/window-close-v1/NumTrajs,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/Average/SuccessRate,MetaTest/window-close-v1/StdReturn,MetaTest/Average/StdReturn,MetaTest/window-close-v1/MaxReturn
10,169.45413702471538,10,169.4541370247153,169.45413702471538,-90.41466502492938,0.0,-90.41466502492938,464000,169.4541370247153,10,0.0,10,2064.7599308494096,0.0,0.0,632.4102157424365,632.4102157424365,2064.7599308494096
11,-28.413673031319814,10,-28.413673031319814,-28.413673031319814,-39.05168126102006,0.0,-39.05168126102006,488000,-28.413673031319814,11,0.2,10,-19.567176591133798,0.0,0.2,4.863611306509578,4.863611306509578,-19.567176591133798
12,-44.20249184295919,10,-44.20249184295919,-44.20249184295919,-63.47435310096077,0.0,-63.47435310096077,512000,-44.20249184295919,12,0.3,10,-20.521856456718368,0.0,0.3,16.803405209233404,16.803405209233404,-20.521856456718368
13,654.6560600134287,10,654.6560600134285,654.6560600134287,-62.433682025868265,0.0,-62.433682025868265,536000,654.6560600134285,13,0.0,10,3684.7344843924284,0.0,0.0,1418.4384178401797,1418.4384178401797,3684.7344843924284
14,1780.0237966850607,10,1780.0237966850623,1780.0237966850607,-60.680066607345395,0.0,-60.680066607345395,560000,1780.0237966850623,14,0.0,10,13821.420217733066,0.0,0.0,4213.607280186411,4213.607280186411,13821.420217733066
15,-39.46512930264726,10,-39.46512930264726,-39.46512930264726,-63.70027871076206,0.0,-63.70027871076206,584000,-39.46512930264726,15,0.1,10,-14.598992776905808,0.0,0.1,15.391960445755222,15.391960445755222,-14.598992776905808
16,3949.13367062244,10,3949.1336706224415,3949.13367062244,-63.40968018293521,0.0,-63.40968018293521,608000,3949.1336706224415,16,0.0,10,24811.41369533872,0.0,0.0,8284.224000075616,8284.224000075616,24811.41369533872
17,13213.312266595876,10,13213.31226659588,13213.312266595876,-60.282603106683254,0.0,-60.282603106683254,632000,13213.31226659588,17,0.1,10,75249.60234992583,0.0,0.1,26718.719270794947,26718.719270794947,75249.60234992583
18,10696.751430081951,10,10696.75143008195,10696.751430081951,-94.46033378063456,0.0,-94.46033378063456,656000,10696.75143008195,18,0.1,10,44689.66635237515,0.0,0.1,15059.429630169945,15059.429630169945,44689.66635237515
19,5636.034623291208,10,5636.034623291207,5636.034623291208,-94.6910243013918,0.0,-94.6910243013918,680000,5636.034623291207,19,0.0,10,56774.01599730909,0.0,0.0,17046.004484004745,17046.004484004745,56774.01599730909
20,20883.826478348637,10,20883.826478348623,20883.826478348637,-96.12869308722284,0.0,-96.12869308722284,704000,20883.826478348623,20,0.2,10,124874.46099381789,0.0,0.2,40025.827909693595,40025.827909693595,124874.46099381789
21,14432.929458481722,10,14432.929458481722,14432.929458481722,-95.64675206849964,0.0,-95.64675206849964,728000,14432.929458481722,21,0.2,10,86245.03399275467,0.0,0.2,28375.91603362939,28375.91603362939,86245.03399275467
22,12668.178049530883,10,12668.178049530887,12668.178049530883,-107.9377399441741,0.0,-107.9377399441741,752000,12668.178049530887,22,0.2,10,69661.38609693892,0.0,0.2,22804.570579488693,22804.570579488693,69661.38609693892
23,46764.45390547534,10,46764.45390547533,46764.45390547534,-96.23680284757076,0.0,-96.23680284757076,776000,46764.45390547533,23,0.4,10,141246.56673352866,0.0,0.4,59181.97031358314,59181.97031358314,141246.56673352866
24,2184.5981502925765,10,2184.5981502925774,2184.5981502925765,-96.27899277766667,0.0,-96.27899277766667,800000,2184.5981502925774,24,0.0,10,11882.05707672277,0.0,0.0,4308.298012369154,4308.298012369154,11882.05707672277
25,30097.140266619062,10,30097.14026661905,30097.140266619062,-96.1946894662806,0.0,-96.1946894662806,824000,30097.14026661905,25,0.2,10,153542.5426366493,0.0,0.2,60345.922195303516,60345.922195303516,153542.5426366493
26,42689.34447117541,10,42689.34447117543,42689.34447117541,-97.84890370901186,0.0,-97.84890370901186,848000,42689.34447117543,26,0.3,10,161649.91154102338,0.0,0.3,66188.83193424114,66188.83193424114,161649.91154102338
27,15497.743372996707,10,15497.743372996702,15497.743372996707,-88.50912637289822,0.0,-88.50912637289822,872000,15497.743372996702,27,0.3,10,155405.2487712321,0.0,0.3,46635.84208907761,46635.84208907761,155405.2487712321
28,58383.72611227352,10,58383.726112273536,58383.72611227352,-96.21235974257422,0.0,-96.21235974257422,896000,58383.726112273536,28,0.4,10,185803.04537361988,0.0,0.4,74525.23040876334,74525.23040876334,185803.04537361988
29,446.52360762617775,10,446.52360762617775,446.52360762617775,-95.08336798154032,0.0,-95.08336798154032,920000,446.52360762617775,29,0.0,10,5057.915991415324,0.0,0.0,1537.4372644926395,1537.4372644926395,5057.915991415324
30,32888.295785969465,10,32888.295785969465,32888.295785969465,-96.25994016199282,0.0,-96.25994016199282,944000,32888.295785969465,30,0.2,10,184899.62528682113,0.0,0.2,66533.19737811803,66533.19737811803,184899.62528682113
31,53262.28613549335,10,53262.286135493334,53262.28613549335,-94.75208388688253,0.0,-94.75208388688253,968000,53262.286135493334,31,0.5,10,148484.3792929527,0.0,0.5,66592.43931452215,66592.43931452215,148484.3792929527
32,44575.83532178712,10,44575.835321787104,44575.83532178712,-95.96717814701253,0.0,-95.96717814701253,992000,44575.835321787104,32,0.3,10,186892.2554266805,0.0,0.3,61812.42310213626,61812.42310213626,186892.2554266805
33,-63.26903002774085,10,-63.269030027740826,-63.26903002774085,-96.58909055035926,0.0,-96.58909055035926,1016000,-63.269030027740826,33,0.0,10,-28.329189776014854,0.0,0.0,32.017181076470706,32.017181076470706,-28.329189776014854
34,18682.514710108397,10,18682.514710108404,18682.514710108397,-62.81809906066625,0.0,-62.81809906066625,1040000,18682.514710108404,34,0.1,10,177482.29529252657,0.0,0.1,53004.655556440186,53004.655556440186,177482.29529252657
35,27595.709576866007,10,27595.70957686599,27595.709576866007,-63.30851450912865,0.0,-63.30851450912865,1064000,27595.70957686599,35,0.4,10,150672.07614029862,0.0,0.4,46841.28243488485,46841.28243488485,150672.07614029862
36,46427.58586345338,10,46427.585863453365,46427.58586345338,-62.451904472021134,0.0,-62.451904472021134,1088000,46427.585863453365,36,0.4,10,135148.07797411573,0.0,0.4,57501.30255086178,57501.30255086178,135148.07797411573
37,41869.612253682266,10,41869.612253682295,41869.612253682266,-92.19127679968257,0.0,-92.19127679968257,1112000,41869.612253682295,37,0.3,10,148409.1346605168,0.0,0.3,64259.29862984304,64259.29862984304,148409.1346605168
38,40641.08538554533,10,40641.08538554533,40641.08538554533,-94.78701023992097,0.0,-94.78701023992097,1136000,40641.08538554533,38,0.4,10,143074.54380935515,0.0,0.4,52484.603768479756,52484.603768479756,143074.54380935515
39,91057.42696642532,10,91057.42696642532,91057.42696642532,-41.22926532633559,0.0,-41.22926532633559,1160000,91057.42696642532,39,0.8,10,170834.72729985858,0.0,0.8,67669.85188242739,67669.85188242739,170834.72729985858
40,100347.82706276615,10,100347.82706276618,100347.82706276615,7349.344847768067,0.0,7349.344847768067,1184000,100347.82706276618,40,0.9,10,157353.75089125888,0.0,0.9,42740.479772470375,42740.479772470375,157353.75089125888
41,86776.76560436824,10,86776.76560436822,86776.76560436824,-40.18262222720481,0.0,-40.18262222720481,1208000,86776.76560436822,41,0.8,10,158711.4358063832,0.0,0.8,65675.75323325505,65675.75323325505,158711.4358063832
42,121219.24430606354,10,121219.24430606359,121219.24430606354,-37.93307056677318,0.0,-37.93307056677318,1232000,121219.24430606359,42,0.8,10,163280.37645900698,0.0,0.8,61411.11947761669,61411.11947761669,163280.37645900698
43,46087.213954941355,10,46087.21395494137,46087.213954941355,-96.10487901520278,0.0,-96.10487901520278,1256000,46087.21395494137,43,0.4,10,129837.84162011172,0.0,0.4,57087.029991989424,57087.029991989424,129837.84162011172
44,69633.5533210124,10,69633.55332101238,69633.5533210124,347.23039013774735,0.0,347.23039013774735,1280000,69633.55332101238,44,0.6,10,150272.2846950319,0.0,0.6,52746.885400625986,52746.885400625986,150272.2846950319
45,87160.51080862194,10,87160.51080862196,87160.51080862194,236.41843832817486,0.0,236.41843832817486,1304000,87160.51080862196,45,0.6,10,165753.15516273378,0.0,0.6,71862.53511457094,71862.53511457094,165753.15516273378
46,106157.02257532394,10,106157.02257532396,106157.02257532394,40351.497376160456,0.0,40351.497376160456,1328000,106157.02257532396,46,1.0,10,158019.63861597705,0.0,1.0,33489.63528166909,33489.63528166909,158019.63861597705
47,52905.97977564244,10,52905.979775642416,52905.97977564244,-33.72761824183465,0.0,-33.72761824183465,1352000,52905.979775642416,47,0.6,10,139839.08777673243,0.0,0.6,54207.12463236156,54207.12463236156,139839.08777673243
48,111509.65927718797,10,111509.65927718797,111509.65927718797,-46.82179015347937,0.0,-46.82179015347937,1376000,111509.65927718797,48,0.8,10,167525.08295908498,0.0,0.8,58788.15709116359,58788.15709116359,167525.08295908498
49,88277.21269339934,10,88277.21269339937,88277.21269339934,-81.22096306255482,0.0,-81.22096306255482,1400000,88277.21269339937,49,0.8,10,161044.27448896124,0.0,0.8,51150.08324911313,51150.08324911313,161044.27448896124
50,61091.83176071915,10,61091.83176071915,61091.83176071915,-96.78504659090294,0.0,-96.78504659090294,1424000,61091.83176071915,50,0.5,10,148636.02141012996,0.0,0.5,62714.04383969931,62714.04383969931,148636.02141012996
51,42888.23283098153,10,42888.23283098151,42888.23283098153,-96.51001265008719,0.0,-96.51001265008719,1448000,42888.23283098151,51,0.4,10,168859.39927280208,0.0,0.4,66458.16132489382,66458.16132489382,168859.39927280208
52,53703.73027409024,10,53703.73027409018,53703.73027409024,-91.04207550378298,0.0,-91.04207550378298,1472000,53703.73027409018,52,0.4,10,147340.13246863332,0.0,0.4,66401.2009284928,66401.2009284928,147340.13246863332
53,39647.859120721594,10,39647.859120721594,39647.859120721594,-78.83378002997324,0.0,-78.83378002997324,1496000,39647.859120721594,53,0.4,10,169285.99293143637,0.0,0.4,59859.06832793681,59859.06832793681,169285.99293143637
54,17318.954998649846,10,17318.954998649853,17318.954998649846,-94.9586023124368,0.0,-94.9586023124368,1520000,17318.954998649853,54,0.4,10,67765.30694312014,0.0,0.4,24421.592884240636,24421.592884240636,67765.30694312014
55,27916.990262732354,10,27916.990262732354,27916.990262732354,-96.3036497997476,0.0,-96.3036497997476,1544000,27916.990262732354,55,0.2,10,145067.33497328695,0.0,0.2,56035.938869380814,56035.938869380814,145067.33497328695
56,23385.505202302033,10,23385.505202302025,23385.505202302033,-63.30986985786748,0.0,-63.30986985786748,1568000,23385.505202302025,56,0.2,10,136282.93363484443,0.0,0.2,45436.37702464095,45436.37702464095,136282.93363484443
57,30706.064444806376,10,30706.06444480638,30706.064444806376,-85.62205384676125,0.0,-85.62205384676125,1592000,30706.06444480638,57,0.4,10,146990.00439505582,0.0,0.4,51314.84429026855,51314.84429026855,146990.00439505582
58,47036.21403437175,10,47036.21403437174,47036.21403437175,-80.96776539159701,0.0,-80.96776539159701,1616000,47036.21403437174,58,0.5,10,120689.19013358543,0.0,0.5,49795.6104337998,49795.6104337998,120689.19013358543
59,51983.6856976312,10,51983.68569763117,51983.6856976312,-78.59719409583809,0.0,-78.59719409583809,1640000,51983.68569763117,59,0.5,10,107708.38103620887,0.0,0.5,52087.402347954856,52087.402347954856,107708.38103620887
60,44880.841363656524,10,44880.84136365653,44880.841363656524,-73.85752588183374,0.0,-73.85752588183374,1664000,44880.84136365653,60,0.4,10,135977.30738231417,0.0,0.4,56504.93280606097,56504.93280606097,135977.30738231417
61,18485.713381921705,10,18485.713381921705,18485.713381921705,-80.06474615052483,0.0,-80.06474615052483,1688000,18485.713381921705,61,0.2,10,118579.92704727,0.0,0.2,37520.4954584264,37520.4954584264,118579.92704727
62,46492.342858910975,10,46492.34285891095,46492.342858910975,-87.58207368371976,0.0,-87.58207368371976,1712000,46492.34285891095,62,0.4,10,136557.52988846425,0.0,0.4,57802.97480404863,57802.97480404863,136557.52988846425
63,58783.82337643012,10,58783.823376430126,58783.82337643012,-80.46120536670713,0.0,-80.46120536670713,1736000,58783.823376430126,63,0.5,10,136141.68491812013,0.0,0.5,59652.98559532978,59652.98559532978,136141.68491812013
64,118975.16488480549,10,118975.16488480549,118975.16488480549,-19.064859256624356,0.0,-19.064859256624356,1760000,118975.16488480549,64,0.8,10,167062.6714942045,0.0,0.8,60860.60644033684,60860.60644033684,167062.6714942045
65,8225.27834264277,10,8225.27834264277,8225.27834264277,-96.29725687258295,0.0,-96.29725687258295,1784000,8225.27834264277,65,0.3,10,77742.68523726318,0.0,0.3,23195.770072714044,23195.770072714044,77742.68523726318
66,40750.3251553327,10,40750.3251553327,40750.3251553327,-121.5233161226672,0.0,-121.5233161226672,1808000,40750.3251553327,66,0.3,10,157285.3104965124,0.0,0.3,62304.95430381876,62304.95430381876,157285.3104965124
67,45367.050921926166,10,45367.05092192616,45367.050921926166,-108.37857520959963,0.0,-108.37857520959963,1832000,45367.05092192616,67,0.4,10,113984.20858840422,0.0,0.4,55680.58751589536,55680.58751589536,113984.20858840422
68,108561.3787236532,10,108561.37872365315,108561.3787236532,4819.931292657604,0.0,4819.931292657604,1856000,108561.37872365315,68,1.0,10,163895.07320525902,0.0,1.0,52316.342176760496,52316.342176760496,163895.07320525902
69,92399.75834189002,10,92399.75834189003,92399.75834189002,-28.706616871048766,0.0,-28.706616871048766,1880000,92399.75834189003,69,0.9,10,151048.86891957896,0.0,0.9,60071.66006385093,60071.66006385093,151048.86891957896
70,42773.24528053168,10,42773.24528053167,42773.24528053168,-90.48185271108623,0.0,-90.48185271108623,1904000,42773.24528053167,70,0.3,10,155899.32274636396,0.0,0.3,65945.92324788604,65945.92324788604,155899.32274636396
71,113639.15485081023,10,113639.15485081027,113639.15485081023,3825.9795991470874,0.0,3825.9795991470874,1928000,113639.15485081027,71,1.0,10,162104.61678882287,0.0,1.0,39488.07828035707,39488.07828035707,162104.61678882287
