MetaTest/shelf-place-v1/SuccessRate,MetaTest/Average/StdReturn,MetaTest/Average/SuccessRate,MetaTrain/Average/PolicyLoss,MetaTest/Average/MaxReturn,MetaTest/shelf-place-v1/MaxReturn,MetaTest/Average/MinReturn,MetaTest/shelf-place-v1/MinReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/shelf-place-v1/Iteration,MetaTest/shelf-place-v1/StdReturn,MetaTrain/Average/ContrastiveLoss,MetaTrain/Average/Alpha,MetaTest/Average/Iteration,MetaTrain/Average/AlphaLoss,MetaTest/shelf-place-v1/AverageReturn,MetaTrain/Average/QfLoss,MetaTest/shelf-place-v1/NumEpisodes,MetaTest/shelf-place-v1/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/Average/TerminationRate,TotalEnvSteps,MetaTest/Average/NumEpisodes,MetaTest/shelf-place-v1/TerminationRate
0.0,13.564288146755121,0.0,-2.1930478,-20.906671349586798,-20.906671349586798,-67.27104836701348,-67.27104836701348,-39.7158560046136,0,13.564288146755121,8.3913965,0.93072766,0,6.265122,-39.71585600461361,1.0483785,10,-39.7158560046136,-39.71585600461361,0.0,56000,10,0.0
0.0,10.157062575042715,0.0,-0.16928071,-25.69113799091604,-25.69113799091604,-57.69612187035066,-57.69612187035066,-42.018709025889976,1,10.157062575042715,8.129823,0.8087569,1,5.441743,-42.01870902588998,1.6746311,10,-42.018709025889976,-42.01870902588998,0.0,62000,10,0.0
0.0,8.390888922511873,0.0,3.515832,-28.511891794054133,-28.511891794054133,-57.84623820917824,-57.84623820917824,-37.0116002795579,2,8.390888922511873,7.639173,0.7065465,2,4.749996,-37.011600279557896,2.7985551,10,-37.0116002795579,-37.011600279557896,0.0,68000,10,0.0
0.0,11.963574387178555,0.0,8.850308,-20.297508407042397,-20.297508407042397,-65.17893198185118,-65.17893198185118,-34.56709693138953,3,11.963574387178555,7.6332026,0.6193724,3,4.1564493,-34.567096931389514,3.4748805,10,-34.56709693138953,-34.567096931389514,0.0,74000,10,0.0
0.0,3.6272212852914203,0.0,13.912559,-23.255547291680276,-23.255547291680276,-35.2067138392811,-35.2067138392811,-29.30055122757151,4,3.6272212852914203,9.05054,0.54389894,4,3.637271,-29.300551227571503,3.3946288,10,-29.30055122757151,-29.300551227571503,0.0,80000,10,0.0
0.0,2.491341964861042,0.0,20.064505,-21.895396601303442,-21.895396601303442,-31.88794166877931,-31.88794166877931,-26.977346076430166,5,2.491341964861042,7.632655,0.47826934,5,3.1816351,-26.977346076430155,4.3843136,10,-26.977346076430166,-26.977346076430155,0.0,86000,10,0.0
0.0,2.929678226334857,0.0,26.262127,-23.281437874781144,-23.281437874781144,-32.43247199535582,-32.43247199535582,-28.240869711519622,6,2.929678226334857,7.629025,0.4208102,6,2.7779608,-28.240869711519622,4.932829,10,-28.240869711519622,-28.240869711519622,0.0,92000,10,0.0
0.0,2.3989454523940315,0.0,32.305996,-21.875971774762426,-21.875971774762426,-30.600544704025136,-30.600544704025136,-25.400130878766756,7,2.3989454523940315,7.628086,0.37040383,7,2.4205582,-25.40013087876676,5.7591705,10,-25.400130878766756,-25.40013087876676,0.0,98000,10,0.0
0.0,2.816446360085061,0.0,37.50516,-21.258046922740185,-21.258046922740185,-29.792479593348464,-29.792479593348464,-26.021799928058613,8,2.816446360085061,8.933608,0.3263513,8,2.09977,-26.02179992805862,5.4312205,10,-26.021799928058613,-26.02179992805862,0.0,104000,10,0.0
0.0,3.2253386154493384,0.0,43.285004,-20.054394956196198,-20.054394956196198,-31.35159891767619,-31.35159891767619,-27.108412133676342,9,3.2253386154493384,7.632384,0.28769293,9,1.8184124,-27.108412133676335,6.341163,10,-27.108412133676342,-27.108412133676335,0.0,110000,10,0.0
0.0,3.6072729646498027,0.0,49.43557,-18.15165586357161,-18.15165586357161,-28.851684214185035,-28.851684214185035,-25.03409137884254,10,3.6072729646498027,7.629151,0.25368524,10,1.5681931,-25.034091378842554,7.1135836,10,-25.03409137884254,-25.034091378842554,0.0,116000,10,0.0
0.0,2.231893552157104,0.0,54.703655,-23.666432771513957,-23.666432771513957,-31.334804195643,-31.334804195643,-28.045461030481807,11,2.231893552157104,7.629483,0.22370784,11,1.3527797,-28.045461030481807,7.7170396,10,-28.045461030481807,-28.045461030481807,0.0,122000,10,0.0
0.0,3.713736886362446,0.0,60.329876,-22.299178880559396,-22.299178880559396,-35.00870790427683,-35.00870790427683,-28.39705763462528,12,3.713736886362446,7.630791,0.19744685,12,1.1562024,-28.397057634625277,8.087415,10,-28.39705763462528,-28.397057634625277,0.0,128000,10,0.0
0.0,3.0724180086318746,0.0,64.81846,-23.429771331481177,-23.429771331481177,-35.25741501260652,-35.25741501260652,-27.075639837819892,13,3.0724180086318746,8.95148,0.17440398,13,0.99090976,-27.07563983781988,8.132205,10,-27.075639837819892,-27.07563983781988,0.0,134000,10,0.0
0.0,2.5112315557375227,0.0,69.792465,-25.27799601592827,-25.27799601592827,-32.74026931990786,-32.74026931990786,-29.413465478244426,14,2.5112315557375227,7.6244755,0.15415142,14,0.83770615,-29.413465478244422,9.344436,10,-29.413465478244426,-29.413465478244422,0.0,140000,10,0.0
0.0,5.7363855235668515,0.0,74.547966,-17.878697244646293,-17.878697244646293,-35.25876009827862,-35.25876009827862,-28.186997774525686,15,5.7363855235668515,7.629236,0.13628848,15,0.7188051,-28.186997774525686,9.295966,10,-28.186997774525686,-28.186997774525686,0.0,146000,10,0.0
0.0,4.3661475896863,0.0,78.95249,-19.096986281548848,-19.096986281548848,-31.72137525713791,-31.72137525713791,-25.608710991210955,16,4.3661475896863,7.628452,0.12047113,16,0.61041665,-25.60871099121095,9.511621,10,-25.608710991210955,-25.60871099121095,0.0,152000,10,0.0
0.0,3.6256905876399546,0.0,82.68983,-23.893641454775917,-23.893641454775917,-34.39066853094785,-34.39066853094785,-28.897026195548648,17,3.6256905876399546,7.632002,0.10660186,17,0.515819,-28.897026195548648,9.807369,10,-28.897026195548648,-28.897026195548648,0.0,158000,10,0.0
0.0,4.371306359406756,0.0,86.14881,-21.824693975142534,-21.824693975142534,-34.21227602947072,-34.21227602947072,-29.615190575726807,18,4.371306359406756,7.653772,0.09435196,18,0.43916905,-29.615190575726803,9.710112,10,-29.615190575726807,-29.615190575726803,0.0,164000,10,0.0
0.0,3.189958613415277,0.0,89.63267,-23.518040230159386,-23.518040230159386,-33.27813128996961,-33.27813128996961,-30.038444858394694,19,3.189958613415277,7.6612153,0.08348963,19,0.36927754,-30.038444858394705,10.134892,10,-30.038444858394694,-30.038444858394705,0.0,170000,10,0.0
0.0,3.3332694978449515,0.0,93.26932,-21.332528948139558,-21.332528948139558,-32.34690078832171,-32.34690078832171,-27.649929970682148,20,3.3332694978449515,7.7495785,0.07389984,20,0.3144545,-27.649929970682148,10.168367,10,-27.649929970682148,-27.649929970682148,0.0,176000,10,0.0
0.0,2.169979362454067,0.0,96.544365,-26.860700515165572,-26.860700515165572,-33.572423159395164,-33.572423159395164,-31.036352001959063,21,2.169979362454067,7.6980724,0.06544514,21,0.26582757,-31.036352001959056,10.0909195,10,-31.036352001959063,-31.036352001959056,0.0,182000,10,0.0
