Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,handle-pull-v1/AverageDiscountedReturn,MetaTest/handle-pull-v1/NumEpisodes,GaussianMLPPolicy/dLoss,MetaTest/handle-pull-v1/SuccessRate,MetaTest/Average/Iteration,MetaTest/handle-pull-v1/MaxReturn,TotalEnvSteps,GaussianMLPPolicy/KLBefore,MetaTest/handle-pull-v1/MinReturn,Iteration,GaussianMLPPolicy/Entropy,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/handle-pull-v1/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,Average/TerminationRate,handle-pull-v1/StdReturn,Average/MaxReturn,handle-pull-v1/SuccessRate,MetaTest/Average/MinReturn,handle-pull-v1/MaxReturn,Average/NumEpisodes,Average/SuccessRate,handle-pull-v1/NumEpisodes,Average/MinReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/handle-pull-v1/AverageReturn,Average/AverageReturn,MetaTest/handle-pull-v1/Iteration,Average/StdReturn,GaussianMLPPolicy/LossBefore,MetaTest/handle-pull-v1/StdReturn,MetaTest/Average/TerminationRate,Average/Iteration,MetaTest/Average/SuccessRate,GaussianMLPPolicy/LossAfter,handle-pull-v1/MinReturn,MetaTest/handle-pull-v1/TerminationRate,handle-pull-v1/AverageReturn,handle-pull-v1/TerminationRate,handle-pull-v1/Iteration
295.6812125489435,7592.647905228844,295.6812125489435,10,0.0004644682048819959,0.0,0,22768.134093672583,80000,0.0,-35.76964073170504,0,5.663578987121582,4630.673802752431,4630.67380275243,4630.67380275243,0.006419765762984753,0.0,3566.4471525410563,32831.14952031688,0.0,-35.76964073170504,32831.14952031688,200,0.0,200,-67.67189568847,10,22768.134093672583,4630.673802752431,887.349646829706,0,3566.4471525410563,-0.0005641712923534214,7592.647905228844,0.0,0,0.0,-0.0010286394972354174,-67.67189568847,0.0,887.349646829706,0.0,0
634.682617442718,,634.682617442718,,2.2029573756299214e-06,,,,160000,0.0,,1,5.670709609985352,,,,0.001451565301977098,0.0,4552.177593986391,30682.433057249804,0.0,,30682.433057249804,200,0.0,200,-49.9738870449248,,,,1838.3278549648471,,4552.177593986391,5.293335561873391e-06,,,1,,3.09037818624347e-06,-49.9738870449248,,1838.3278549648471,0.0,1
1368.4612057059937,,1368.4612057059937,,3.8182952266652137e-07,,,,240000,0.0,,2,5.667944431304932,,,,0.0002672107657417655,0.0,8864.846917179273,46587.812405796154,0.0,,46587.812405796154,200,0.0,200,-48.29699281142582,,,,4715.777112119531,,8864.846917179273,-1.9065130345552461e-06,,,2,,-2.2883425572217675e-06,-48.29699281142582,,4715.777112119531,0.0,2
1822.5597593164407,,1822.5597593164407,,0.00012110226089134812,,,,320000,0.0,,3,5.660340309143066,,,,0.006938109640032053,0.0,10480.200076191837,73565.64484950257,0.0,,73565.64484950257,200,0.0,200,-44.35964637602151,,,,5779.433103640489,,10480.200076191837,-8.301377238240093e-05,,,3,,-0.00020411603327374905,-44.35964637602151,,5779.433103640489,0.0,3
2210.7923934738487,,2210.7923934738487,,6.005282671139867e-08,,,,400000,0.0,,4,5.660659313201904,,,,4.2430277972016484e-05,0.0,9687.01976922779,44319.13486221321,0.0,,44319.13486221321,200,0.0,200,-41.3178201166434,,,,6635.7927543457845,,9687.01976922779,3.3637178376011434e-07,,,4,,2.763189570487157e-07,-41.3178201166434,,6635.7927543457845,0.0,4
2140.015353368996,,2140.015353368996,,1.1901920515811071e-07,,,,480000,0.0,,5,5.668120861053467,,,,8.387956768274307e-05,0.0,9431.700907517014,42365.9607498401,0.0,,42365.9607498401,200,0.0,200,-44.69189075432139,,,,6602.634096242355,,9431.700907517014,5.782345851912396e-06,,,5,,5.663326646754285e-06,-44.69189075432139,,6602.634096242355,0.0,5
1906.651682910106,,1906.651682910106,,7.04435478837695e-08,,,,560000,0.0,,6,5.672945976257324,,,,4.973681643605232e-05,0.0,9622.42750775907,48040.70666568992,0.0,,48040.70666568992,200,0.0,200,-43.68368383831131,,,,5913.741451484393,,9622.42750775907,4.775780325871892e-06,,,6,,4.705336777988123e-06,-43.68368383831131,,5913.741451484393,0.0,6
2084.39817428693,,2084.39817428693,,0.00021583730267593637,,,,640000,0.0,,7,5.6641998291015625,,,,0.009110881015658379,0.0,9041.664701199652,41355.96359337837,0.0,,41355.96359337837,200,0.0,200,-52.67254469886298,,,,5983.655763974199,,9041.664701199652,-0.0001107112257159315,,,7,,-0.0003265485283918679,-52.67254469886298,,5983.655763974199,0.0,7
2316.6060784730266,,2316.6060784730266,,5.247238732408732e-08,,,,720000,0.0,,8,5.663449764251709,,,,3.704089976963587e-05,0.0,9861.953718685794,46620.57195097985,0.0,,46620.57195097985,200,0.0,200,-48.09822588216789,,,,6202.109616546613,,9861.953718685794,-8.35073819871468e-07,,,8,,-8.875462071955553e-07,-48.09822588216789,,6202.109616546613,0.0,8
2609.511841529598,,2609.511841529598,,2.1789901438751258e-08,,,,800000,0.0,,9,5.6615400314331055,,,,1.5405290469061583e-05,0.0,10800.193356422229,50930.40539157114,0.0,,50930.40539157114,200,0.0,200,-46.48798410105184,,,,7616.060700595748,,10800.193356422229,-2.5473677851550747e-06,,,9,,-2.569157686593826e-06,-46.48798410105184,,7616.060700595748,0.0,9
2253.221363192565,7211.180310108465,2253.221363192565,10,2.961155587399844e-08,0.0,1,21668.65470924758,880000,0.0,-28.705655798190634,10,5.663386821746826,7162.347466542089,7162.347466542092,7162.347466542092,2.0922982002957724e-05,0.0,10505.086960223274,57354.51539133973,0.0,-28.705655798190634,57354.51539133973,200,0.0,200,-47.02528565268646,10,21668.65470924758,7162.347466542089,6593.819275402879,1,10505.086960223274,2.4235785076598404e-06,7211.180310108465,0.0,10,0.0,2.393966951785842e-06,-47.02528565268646,0.0,6593.819275402879,0.0,10
2944.660432523724,,2944.660432523724,,4.9253344513999764e-08,,,,960000,0.0,,11,5.664184093475342,,,,3.477420978015289e-05,0.0,11723.33468174869,55046.425370966164,0.0,,55046.425370966164,200,0.0,200,-51.94593359654498,,,,8189.10828345733,,11723.33468174869,1.1449777730376809e-06,,,11,,1.0957244285236811e-06,-51.94593359654498,,8189.10828345733,0.0,11
2676.646101649023,,2676.646101649023,,5.88277089264011e-08,,,,1040000,0.0,,12,5.662200927734375,,,,4.150942186242901e-05,0.0,11336.35135669211,52357.77409397545,0.0,,52357.77409397545,200,0.0,200,-50.66382015426523,,,,7556.673874797638,,11336.35135669211,-3.0630278615717543e-06,,,12,,-3.1218555704981554e-06,-50.66382015426523,,7556.673874797638,0.0,12
2134.8024021102874,,2134.8024021102874,,6.935715646250173e-08,,,,1120000,0.0,,13,5.662552833557129,,,,4.8911944759311154e-05,0.0,9699.610206072177,52154.44131472713,0.0,,52154.44131472713,200,0.0,200,-44.47370661574484,,,,5751.125057150218,,9699.610206072177,4.135500546453841e-07,,,13,,3.4419289818288235e-07,-44.47370661574484,,5751.125057150218,0.0,13
2905.538466304661,,2905.538466304661,,2.9580860427813604e-08,,,,1200000,0.0,,14,5.659849166870117,,,,2.088713154080324e-05,0.0,11619.688826477512,44366.32303753686,0.0,,44366.32303753686,200,0.0,200,-61.541967631982224,,,,8173.662188635608,,11619.688826477512,-3.219698555767536e-06,,,14,,-3.2492794161953498e-06,-61.541967631982224,,8173.662188635608,0.0,14
3369.3655693007854,,3369.3655693007854,,1.7100205695896875e-08,,,,1280000,0.0,,15,5.6594061851501465,,,,1.2081562999810558e-05,0.0,12550.219048757903,58403.232580939366,0.0,,58403.232580939366,200,0.0,200,-48.66953856592388,,,,9635.437428696194,,12550.219048757903,-6.065837396818097e-07,,,15,,-6.236839453777066e-07,-48.66953856592388,,9635.437428696194,0.0,15
2736.6198642861154,,2736.6198642861154,,2.9479480190275353e-08,,,,1360000,0.0,,16,5.65966272354126,,,,2.0838697309955023e-05,0.0,12264.635920168095,51936.12694597144,0.0,,51936.12694597144,200,0.0,200,-59.14096463553851,,,,8197.492853367128,,12264.635920168095,3.9868845647106355e-07,,,16,,3.692089762807882e-07,-59.14096463553851,,8197.492853367128,0.0,16
